date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,30.5,33.45,30,31.2,1800,17997,-1.4,-4.294,31.1071,"Aug 5, 13",0
2013-08-06,31.6,32.76,31.5,31.952,243,2430,0.752,2.41,31.8215,"Aug 6, 13",0.024102564102564183
2013-08-07,32,32.9,31.5,32.9,260,2600,0.948,2.967,31.8385,"Aug 7, 13",0.05448717948717947
2013-08-08,29.8,32.8,29.8,32.8,220,2200,-0.1,-0.304,31.2683,"Aug 8, 13",0.05128205128205122
2013-08-09,32.9,32.99,32.9,32.99,20,200,0.19,0.579,32.945,"Aug 9, 13",0.05737179487179496
2013-08-12,29.799,32,29.5,30.9,1387,13870,-2.09,-6.335,30.6198,"Aug 12, 13",-0.009615384615384638
2013-08-13,31.5,31.5,29.4,30.4,1491,14908,-0.5,-1.618,30.3617,"Aug 13, 13",-0.025641025641025664
2013-08-14,31,31.3,28.5,29.2,980,9800,-1.2,-3.947,30.0755,"Aug 14, 13",-0.06410256410256411
2013-08-15,29.3,31.201,29.3,30.241,2817,28165,1.041,3.565,30.4245,"Aug 15, 13",-0.030737179487179477
2013-08-16,31.2,31.5,29,30.9,4144,41442,0.659,2.179,30.5761,"Aug 16, 13",-0.009615384615384638
2013-08-19,31.5,32.2,29.1,30.5,5184,51839,-0.4,-1.294,30.3938,"Aug 19, 13",-0.022435897435897415
2013-08-20,30.5,31.901,29.499,31.001,5072,50719,0.501,1.643,30.6648,"Aug 20, 13",-0.006378205128205066
2013-08-21,31.3,31.601,29.599,30,3468,34681,-1.001,-3.229,30.6921,"Aug 21, 13",-0.03846153846153844
2013-08-22,29.6,31.2,29.6,30.801,4306,43064,0.801,2.67,30.4185,"Aug 22, 13",-0.012788461538461568
2013-08-23,30.8,31.1,30.1,30.5,605,6050,-0.301,-0.977,30.4952,"Aug 23, 13",-0.022435897435897415
2013-08-26,31.1,31.3,29,29.3,5896,58960,-1.2,-3.934,30.0934,"Aug 26, 13",-0.060897435897435855
