date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,12.4441,12.5383,12.3027,12.3979,10785,10785,-0.074475,-0.597,12.4422,"Aug 5, 13",0
2013-08-06,12.3875,12.4347,12.2556,12.3781,7651,7651,-0.0198,-0.16,12.275,"Aug 6, 13",-0.0015970446607893305
2013-08-07,12.331,12.331,12.1785,12.2933,3597,3597,-0.084846,-0.685,12.2149,"Aug 7, 13",-0.008436912702957725
2013-08-08,12.4441,12.4441,12.3121,12.331,1200,1200,0.037712,0.307,12.3773,"Aug 8, 13",-0.005396075141757911
2013-08-09,12.4441,12.4913,12.3593,12.4253,3253,3253,0.094271,0.765,12.4373,"Aug 9, 13",0.0022100517023044297
2013-08-12,12.3498,12.5855,12.2556,12.2744,4645,4645,-0.150839,-1.214,12.4676,"Aug 12, 13",-0.009961364424620294
2013-08-13,12.3404,12.4724,12.2556,12.2556,6308,6308,-0.018852,-0.154,12.3091,"Aug 13, 13",-0.011477750264157684
2013-08-14,12.3875,12.4724,12.2367,12.2556,17848,17848,0,0,12.2757,"Aug 14, 13",-0.011477750264157684
2013-08-15,12.1613,12.4535,12.1613,12.3744,5221,5221,0.118784,0.969,12.3347,"Aug 15, 13",-0.0018954822994217003
2013-08-16,12.397,12.4158,12.3027,12.3781,4788,4788,0.00377,0.03,12.3599,"Aug 16, 13",-0.0015970446607893305
2013-08-19,12.4354,12.4581,12.199,12.2463,10397,10397,-0.131864,-1.065,12.3383,"Aug 19, 13",-0.012227877301801126
2013-08-20,12.2557,12.4354,12.2557,12.4165,5602,5602,0.170218,1.39,12.3336,"Aug 20, 13",0.001500254075286886
2013-08-21,12.3597,12.3597,12.2463,12.2463,4041,4041,-0.170218,-1.371,12.2828,"Aug 21, 13",-0.012227877301801126
2013-08-22,12.2652,12.303,12.2463,12.2652,3657,3657,0.018915,0.154,12.2696,"Aug 22, 13",-0.010703425580138558
2013-08-23,12.2841,12.3881,12.095,12.1422,13595,13595,-0.122934,-1.002,12.2038,"Aug 23, 13",-0.02062446059413281
2013-08-26,12.1706,12.3597,12.1706,12.1706,11679,11679,0.028367,0.234,12.2892,"Aug 26, 13",-0.018333750070576436
2013-08-27,12.2794,12.3408,12.2794,12.3408,9606,9606,0.170219,1.399,12.3297,"Aug 27, 13",-0.004605618693488425
2013-08-28,12.3787,12.407,12.3408,12.407,9089,9089,0.066196,0.536,12.3835,"Aug 28, 13",0.0007339952733930833
2013-08-29,12.407,12.5299,12.407,12.4354,15781,15781,0.028368,0.229,12.4491,"Aug 29, 13",0.0030247057969494547
2013-08-30,12.3314,12.4354,12.3125,12.4354,2761,2761,0,0,12.3284,"Aug 30, 13",0.0030247057969494547
2013-09-03,12.3881,12.3881,12.3125,12.3125,3105,3105,-0.122934,-0.989,12.33,"Sep 3, 13",-0.006888263334919617
2013-09-04,12.3219,12.4354,12.2935,12.2935,6723,6723,-0.018914,-0.154,12.3275,"Sep 4, 13",-0.008420780938707366
2013-09-05,12.1706,12.3503,12.1706,12.3503,15429,15429,0.05674,0.462,12.237,"Sep 5, 13",-0.0038393598915944798
2013-09-06,12.2983,12.4259,12.2983,12.3125,9800,9800,-0.037826,-0.306,12.3145,"Sep 6, 13",-0.006888263334919617
2013-09-09,12.3125,12.4714,12.2472,12.3692,12401,12401,0.056741,0.461,12.3246,"Sep 9, 13",-0.002314908169932054
2013-09-10,12.3787,12.5867,12.3787,12.5583,2100,2100,0.18913,1.529,12.5038,"Sep 10, 13",0.012937674928818527
2013-09-11,12.6245,12.634,12.4448,12.5772,4273,4273,0.018916,0.151,12.5717,"Sep 11, 13",0.014462126650481095
2013-09-12,12.4448,12.6056,12.4448,12.5678,2400,2400,-0.009459,-0.075,12.5722,"Sep 12, 13",0.013703933730712473
2013-09-13,12.6245,12.6245,12.4827,12.6056,3591,3591,0.037826,0.301,12.5634,"Sep 13, 13",0.01675283717403761
2013-09-16,12.4921,12.7664,12.4921,12.6434,14194,14194,0.037826,0.3,12.6808,"Sep 16, 13",0.019801740617362604
2013-09-17,12.5394,12.7664,12.5394,12.7191,15102,15102,0.075651,0.598,12.7269,"Sep 17, 13",0.025907613386137916
2013-09-18,12.7285,12.7285,12.5489,12.6246,8435,8435,-0.094471,-0.743,12.6666,"Sep 18, 13",0.018285354777825214
2013-09-19,12.4638,12.7664,12.4638,12.6151,3874,3874,-0.009551,-0.076,12.6424,"Sep 19, 13",0.017519095975931414
2013-09-20,12.7006,12.7461,12.4448,12.4448,6223,6223,-0.170219,-1.349,12.507,"Sep 20, 13",0.003782898716718221
2013-09-23,12.4448,12.4638,12.2935,12.4468,18886,18886,0.001989,0.016,12.3644,"Sep 23, 13",0.003944216359222104
2013-09-24,12.4638,12.5632,12.4543,12.4543,927,927,0.00747,0.06,12.4947,"Sep 24, 13",0.004549157518612024
2013-09-25,12.6146,12.6146,12.407,12.407,2550,2550,-0.047283,-0.38,12.5222,"Sep 25, 13",0.0007339952733930833
2013-09-26,12.4378,12.4458,12.4378,12.4458,825,825,0.038771,0.312,12.4399,"Sep 26, 13",0.0038635575379701624
2013-09-27,12.4355,12.5495,12.4354,12.5495,3440,3440,0.10374,0.834,12.4427,"Sep 27, 13",0.012227877301801126
2013-09-30,12.5772,12.7239,12.5772,12.6907,4195,4195,0.141186,1.125,12.6467,"Sep 30, 13",0.023616902862581543
