date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-07-31,54.5,55,41.3,42,324876,1624382,42,0,47.3658,"Jul 31, 14",0
2014-08-01,42.4,42.4,34.35,34.5,71825,359124,-7.5,-17.857,36.7195,"Aug 1, 14",-0.17857142857142858
2014-08-04,36.85,36.85,33.05,36.2,17815,89073,1.7,4.928,34.9968,"Aug 4, 14",-0.13809523809523802
2014-08-05,35.5,37.3,35.5,36.5,13318,66592,0.3,0.829,36.3989,"Aug 5, 14",-0.13095238095238096
2014-08-06,37.5,37.5,35,37.3,5480,27400,0.8,2.192,36.5103,"Aug 6, 14",-0.11190476190476198
2014-08-07,36.15,38,36.15,37.85,5804,29019,0.55,1.475,37.3349,"Aug 7, 14",-0.09880952380952378
2014-08-08,38,38.95,37.9,38.7,14448,72241,0.85,2.246,38.2568,"Aug 8, 14",-0.0785714285714285
2014-08-11,39.95,39.95,36.85,38.5,3522,17610,-0.2,-0.517,38.4347,"Aug 11, 14",-0.08333333333333333
2014-08-12,38.5,38.5,37,37.75,6098,30492,-0.75,-1.948,37.4888,"Aug 12, 14",-0.10119047619047619
2014-08-13,37,37.5,36.5,37.15,4040,20200,-0.6,-1.589,37.1188,"Aug 13, 14",-0.11547619047619051
2014-08-14,36.5,40.4995,35,36.5,2061,10307,-0.65,-1.75,35.9681,"Aug 14, 14",-0.13095238095238096
2014-08-15,36.1,36.9995,35.75,36.55,3243,16214,0.05,0.137,36.3918,"Aug 15, 14",-0.12976190476190483
2014-08-18,36.65,37.15,36.5005,37.15,1055,5276,0.6,1.642,36.5366,"Aug 18, 14",-0.11547619047619051
2014-08-19,37.55,37.55,36.1505,36.7,2241,11204,-0.45,-1.211,36.5237,"Aug 19, 14",-0.12619047619047613
2014-08-20,36.15,38.5,36.15,37.5,2009,10047,0.8,2.18,37.4354,"Aug 20, 14",-0.10714285714285714
2014-08-21,37.447,37.95,37.15,37.95,2931,14653,0.45,1.2,37.3789,"Aug 21, 14",-0.09642857142857136
2014-08-22,37.2505,38.75,37.2505,38.4,3655,18277,0.45,1.186,38.2647,"Aug 22, 14",-0.08571428571428574
2014-08-25,42.4,43.75,40.55,43.4,21271,106353,5,13.021,42.182,"Aug 25, 14",0.0333333333333333
2014-08-26,44.75,46.45,44.25,46.45,39600,198000,3.05,7.028,45.3309,"Aug 26, 14",0.10595238095238102
2014-08-27,50,50,47.5,48.95,32355,161773,2.5,5.382,49.1383,"Aug 27, 14",0.16547619047619055
2014-08-28,49.1,50,47.55,48.95,13867,69335,0,0,48.908,"Aug 28, 14",0.16547619047619055
2014-08-29,48.35,48.5,43.8,46.2,15570,77852,-2.75,-5.618,46.5788,"Aug 29, 14",0.10000000000000006
2014-09-02,45,48.95,43.0505,43.55,13847,69236,-2.65,-5.736,44.0849,"Sep 2, 14",0.036904761904761836
2014-09-03,44.7,46.45,44.35,44.35,4980,24898,0.8,1.837,45.5584,"Sep 3, 14",0.05595238095238099
2014-09-04,43.5,44.9,41.1005,42.25,3013,15067,-2.1,-4.735,42.8427,"Sep 4, 14",0.005952380952380952
2014-09-05,41.7,43.1495,41.0005,42.75,3531,17657,0.5,1.183,41.6328,"Sep 5, 14",0.017857142857142856
2014-09-08,46.2,46.2,43.6135,44.5,1296,6482,1.75,4.094,44.4119,"Sep 8, 14",0.05952380952380952
2014-09-09,46,46,42.8505,45.5995,1356,6780,1.0995,2.471,44.5694,"Sep 9, 14",0.08570238095238093
2014-09-10,44.9495,44.9495,41.5,43.1995,4645,23224,-2.4,-5.263,43.2313,"Sep 10, 14",0.02855952380952382
2014-09-11,44.75,44.75,42,44,3024,15118,0.8005,1.853,42.752,"Sep 11, 14",0.047619047619047616
2014-09-12,42.35,44,42.35,43.9995,451,2255,-0.0005,-0.001,43.2743,"Sep 12, 14",0.0476071428571428
2014-09-15,42.8,44,40.8,43,4801,24005,-0.9995,-2.272,42.5285,"Sep 15, 14",0.023809523809523808
2014-09-16,40.75,43.25,40.75,42.5,3213,16067,-0.5,-1.163,42.2798,"Sep 16, 14",0.011904761904761904
2014-09-17,42,44.25,42,43,6168,30839,0.5,1.176,43.4042,"Sep 17, 14",0.023809523809523808
2014-09-18,43.55,43.55,42.8005,42.9,1522,7608,-0.1,-0.233,43.2395,"Sep 18, 14",0.021428571428571394
