date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,5.9043,5.9925,5.8053,5.9836,28521,28521,0.079251,1.342,5.9121,"Aug 5, 13",0
2013-08-06,6.043,6.1421,6.043,6.1322,21540,21540,0.148601,2.483,6.1056,"Aug 6, 13",0.024834547763887972
2013-08-07,6.1421,6.1421,6.043,6.1421,10525,10525,0.009906,0.162,6.105,"Aug 7, 13",0.02648907012500837
2013-08-08,6.1322,6.1322,5.8548,6.0232,7851,7851,-0.11888,-1.935,6.0013,"Aug 8, 13",0.006618089444481596
2013-08-09,5.9836,6.0926,5.8766,6.0926,32295,32295,0.069348,1.151,5.9372,"Aug 9, 13",0.018216458319406374
2013-08-12,6.0133,6.4096,5.9266,6.2907,37695,37695,0.19813,3.252,6.2104,"Aug 12, 13",0.05132361788889634
2013-08-13,6.4096,6.4393,6.2877,6.2907,8787,8787,0,0,6.3686,"Aug 13, 13",0.05132361788889634
2013-08-14,6.3402,6.4195,6.1916,6.1916,16347,16347,-0.099065,-1.575,6.2974,"Aug 14, 13",0.03476168193061036
2013-08-15,6.1421,6.1916,5.9539,6.0331,21623,21623,-0.158505,-2.56,6.0525,"Aug 15, 13",0.008272611805601996
2013-08-16,6.0331,6.0331,5.944,5.9826,32704,32704,-0.050524,-0.837,5.9736,"Aug 16, 13",-0.0001671234708202978
2013-08-19,5.9721,5.9721,5.7954,5.8944,28833,28833,-0.088169,-1.474,5.8556,"Aug 19, 13",-0.014907413597165577
2013-08-20,5.8548,5.934,5.8312,5.934,13664,13664,0.039625,0.672,5.8574,"Aug 20, 13",-0.00828932415268398
2013-08-21,5.8944,5.9935,5.8647,5.9638,12597,12597,0.029722,0.501,5.9217,"Aug 21, 13",-0.003309044722240798
2013-08-22,5.9638,5.9935,5.8449,5.9935,17157,17157,0.029719,0.498,5.9305,"Aug 22, 13",0.001654522361120399
2013-08-23,5.9935,6.043,5.8449,5.9935,10583,10583,0,0,5.9046,"Aug 23, 13",0.001654522361120399
2013-08-26,5.944,5.9935,5.7954,5.9043,18474,18474,-0.089159,-1.488,5.8752,"Aug 26, 13",-0.013252891236045177
2013-08-27,5.8548,5.934,5.5675,5.5675,21527,21527,-0.336826,-5.705,5.6956,"Aug 27, 13",-0.06954007620830271
2013-08-28,5.5081,5.5477,5.3694,5.518,27061,27061,-0.049533,-0.89,5.4693,"Aug 28, 13",-0.07781268801390472
2013-08-29,5.4982,5.7755,5.4883,5.617,18410,18410,0.099067,1.795,5.601,"Aug 29, 13",-0.06126746440270072
2013-08-30,5.618,5.7458,5.617,5.6963,10838,10838,0.079254,1.411,5.6843,"Aug 30, 13",-0.04801457316665554
2013-09-03,5.6864,5.7458,5.5477,5.7161,40322,40322,0.019813,0.348,5.6331,"Sep 3, 13",-0.04470552844441474
2013-09-04,5.7161,5.934,5.6874,5.7458,37804,37804,0.029719,0.52,5.8172,"Sep 4, 13",-0.03974196136105355
2013-09-05,5.8152,5.934,5.7557,5.7557,6808,6808,0.009909,0.172,5.8356,"Sep 5, 13",-0.03808743899993315
2013-09-06,5.8152,5.934,5.6864,5.934,14658,14658,0.178315,3.098,5.837,"Sep 6, 13",-0.00828932415268398
2013-09-09,5.934,5.934,5.5675,5.7954,10060,10060,-0.138691,-2.337,5.7521,"Sep 9, 13",-0.03145263720836957
2013-09-10,5.8746,5.9033,5.7062,5.7161,11989,11989,-0.079252,-1.368,5.8119,"Sep 10, 13",-0.04470552844441474
2013-09-11,5.7161,5.7161,5.518,5.5576,22829,22829,-0.158507,-2.773,5.6059,"Sep 11, 13",-0.07119459856942312
2013-09-12,5.5378,5.6269,5.5378,5.5873,19739,19739,0.02972,0.535,5.5876,"Sep 12, 13",-0.06623103148606192
2013-09-13,5.5883,5.7854,5.5883,5.7161,6530,6530,0.128787,2.305,5.6869,"Sep 13, 13",-0.04470552844441474
2013-09-16,5.7729,5.7729,5.7161,5.7458,17881,17881,0.029719,0.52,5.7448,"Sep 16, 13",-0.03974196136105355
2013-09-17,5.6963,5.7954,5.4783,5.4783,98464,98464,-0.267476,-4.655,5.5888,"Sep 17, 13",-0.08444748980546829
2013-09-18,5.5378,5.8845,5.5378,5.7755,14393,14393,0.297196,5.425,5.6988,"Sep 18, 13",-0.03477839427769235
2013-09-19,5.8647,5.8845,5.6567,5.8152,16421,16421,0.039627,0.686,5.8013,"Sep 19, 13",-0.028143592486128768
2013-09-20,5.7954,5.8944,5.6765,5.8944,14225,14225,0.079252,1.363,5.884,"Sep 20, 13",-0.014907413597165577
2013-09-23,5.8944,5.8944,5.5031,5.7854,2270,2270,-0.108973,-1.849,5.7419,"Sep 23, 13",-0.03312387191657195
2013-09-24,5.8053,5.8845,5.6567,5.7854,14212,14212,0,0,5.7323,"Sep 24, 13",-0.03312387191657195
2013-09-25,5.5774,5.8944,5.5774,5.726,27595,27595,-0.05944,-1.027,5.6861,"Sep 25, 13",-0.043051006083294346
2013-09-26,5.7656,5.8944,5.6864,5.8152,7909,7909,0.089161,1.557,5.7615,"Sep 26, 13",-0.028143592486128768
2013-09-27,5.7755,5.8845,5.6765,5.7854,9785,9785,-0.029721,-0.511,5.7194,"Sep 27, 13",-0.03312387191657195
2013-09-30,5.6765,5.7954,5.5774,5.6368,20417,20417,-0.1486,-2.569,5.6593,"Sep 30, 13",-0.05795841968045992
2013-10-01,5.6765,5.7458,5.6468,5.7062,11230,11230,0.069347,1.23,5.6933,"Oct 1, 13",-0.046360050805535145
2013-10-02,5.6269,5.6765,5.5883,5.6071,10814,10814,-0.099066,-1.736,5.6212,"Oct 2, 13",-0.06292198676382112
2013-10-03,5.6071,5.6953,5.6071,5.6368,10012,10012,0.029719,0.53,5.6387,"Oct 3, 13",-0.05795841968045992
2013-10-04,5.726,5.726,5.617,5.6468,902,902,0.009907,0.176,5.6848,"Oct 4, 13",-0.056287184972257535
2013-10-07,5.6071,5.7854,5.5576,5.5873,29209,29209,-0.059439,-1.053,5.6464,"Oct 7, 13",-0.06623103148606192
2013-10-08,5.6368,5.6368,5.4585,5.4684,10390,10390,-0.11888,-2.128,5.5361,"Oct 8, 13",-0.08610201216658869
2013-10-09,5.4982,5.6468,5.4883,5.4982,12829,12829,0.029721,0.544,5.5227,"Oct 9, 13",-0.08112173273614551
2013-10-10,5.6765,5.6765,5.518,5.6368,1560,1560,0.138691,2.522,5.5935,"Oct 10, 13",-0.05795841968045992
2013-10-11,5.6368,5.6368,5.4982,5.617,4799,4799,-0.019812,-0.351,5.5388,"Oct 11, 13",-0.06126746440270072
2013-10-14,5.4982,5.6567,5.4982,5.6368,15600,15600,0.019812,0.353,5.555,"Oct 14, 13",-0.05795841968045992
2013-10-15,5.5972,5.6368,5.518,5.5477,8604,8604,-0.089158,-1.582,5.5387,"Oct 15, 13",-0.07284912093054352
2013-10-16,5.5378,5.6567,5.4982,5.6567,15879,15879,0.108973,1.964,5.5487,"Oct 16, 13",-0.05463266261113714
2013-10-17,5.5704,5.6468,5.4982,5.5972,8969,8969,-0.059441,-1.051,5.5389,"Oct 17, 13",-0.06457650912494152
2013-10-18,5.617,5.6368,5.5972,5.617,7993,7993,0.019814,0.354,5.6096,"Oct 18, 13",-0.06126746440270072
2013-10-21,5.6666,5.7359,5.6468,5.7359,31287,31287,0.118879,2.116,5.7108,"Oct 21, 13",-0.04139648372217395
2013-10-22,5.5774,5.7359,5.5774,5.7359,20767,20767,0,0,5.618,"Oct 22, 13",-0.04139648372217395
2013-10-23,5.6567,5.7161,5.6469,5.6713,15549,15549,-0.064591,-1.126,5.6979,"Oct 23, 13",-0.05219265993716165
2013-10-24,5.8647,5.8845,5.5477,5.5774,44948,44948,-0.093915,-1.656,5.6756,"Oct 24, 13",-0.06788555384718231
2013-10-25,5.5675,5.6071,5.4982,5.5081,70809,70809,-0.069344,-1.243,5.5719,"Oct 25, 13",-0.0794672103750251
2013-10-28,5.5279,5.6071,5.4883,5.4883,31644,31644,-0.019815,-0.36,5.5746,"Oct 28, 13",-0.08277625509726591
2013-10-29,5.4595,5.5467,5.0831,5.1911,43407,43407,-0.297199,-5.415,5.2265,"Oct 29, 13",-0.13244535062504184
2013-10-30,5.1911,5.1911,4.4084,4.5768,151060,151060,-0.614207,-11.832,4.6304,"Oct 30, 13",-0.23510929874991637
2013-10-31,4.4976,4.7254,4.4084,4.7254,34030,34030,0.148599,3.247,4.5449,"Oct 31, 13",-0.21027475098602855
2013-11-01,4.6066,4.6561,4.3787,4.458,38325,38325,-0.267476,-5.66,4.4778,"Nov 1, 13",-0.25496356708336115
2013-11-04,4.4183,4.7354,4.3887,4.5174,39337,39337,0.059438,1.333,4.5411,"Nov 4, 13",-0.24503643291663876
2013-11-05,4.5174,4.6449,4.1211,4.3787,35149,35149,-0.138693,-3.07,4.3048,"Nov 5, 13",-0.2682164583194063
2013-11-06,4.4084,4.4976,4.3787,4.4084,13923,13923,0.02972,0.679,4.43,"Nov 6, 13",-0.2632528912360451
2013-11-07,4.4382,4.4382,4.2697,4.349,6969,6969,-0.05944,-1.348,4.3392,"Nov 7, 13",-0.27318002540276753
2013-11-08,4.448,4.448,4.2806,4.3886,35010,35010,0.039628,0.911,4.3374,"Nov 8, 13",-0.2665619359582859
2013-11-11,4.4084,4.557,4.3193,4.3787,22796,22796,-0.009908,-0.226,4.4992,"Nov 11, 13",-0.2682164583194063
2013-11-12,4.4183,4.4183,4.3193,4.349,5629,5629,-0.02972,-0.679,4.3581,"Nov 12, 13",-0.27318002540276753
2013-11-13,4.3886,4.4055,4.3391,4.349,3034,3034,0,0,4.3775,"Nov 13, 13",-0.27318002540276753
2013-11-14,4.3094,4.3886,4.3094,4.349,7678,7678,0,0,4.335,"Nov 14, 13",-0.27318002540276753
2013-11-15,4.4084,4.4084,4.3193,4.3589,14731,14731,0.009908,0.228,4.3615,"Nov 15, 13",-0.27152550304164713
2013-11-18,4.3391,4.4382,4.2995,4.2995,15165,15165,-0.059441,-1.364,4.3422,"Nov 18, 13",-0.28145263720836955
2013-11-19,4.3094,4.4084,4.24,4.3688,10695,10695,0.069348,1.613,4.3378,"Nov 19, 13",-0.26987098068052673
2013-11-20,4.4173,4.4281,4.3589,4.3589,8322,8322,-0.009907,-0.227,4.3884,"Nov 20, 13",-0.27152550304164713
2013-11-21,4.3688,4.3985,4.3391,4.3589,5900,5900,0,0,4.369,"Nov 21, 13",-0.27152550304164713
2013-11-22,4.3886,4.4273,4.3589,4.3886,12639,12639,0.02972,0.682,4.3942,"Nov 22, 13",-0.2665619359582859
2013-11-25,4.3589,4.4679,4.3589,4.3886,13759,13759,0,0,4.3938,"Nov 25, 13",-0.2665619359582859
2013-11-26,4.4382,4.458,4.3292,4.4481,18950,18950,0.059438,1.354,4.4237,"Nov 26, 13",-0.25661808944448156
2013-11-27,4.4778,4.5372,4.3688,4.458,19879,19879,0.009909,0.223,4.4835,"Nov 27, 13",-0.25496356708336115
2013-11-29,4.4976,4.4976,4.4183,4.4679,7300,7300,0.009905,0.222,4.4622,"Nov 29, 13",-0.25330904472224075
2013-12-02,4.4382,4.4382,4.3589,4.3837,22036,22036,-0.084207,-1.885,4.4071,"Dec 2, 13",-0.2673808409653051
2013-12-03,4.3688,4.3886,4.3094,4.3094,29719,29719,-0.074299,-1.695,4.347,"Dec 3, 13",-0.27979811484724915
2013-12-04,4.4382,4.4976,4.349,4.3589,10384,10384,0.049534,1.149,4.4448,"Dec 4, 13",-0.27152550304164713
2013-12-05,4.3589,4.3886,4.3005,4.3886,4373,4373,0.02972,0.682,4.3315,"Dec 5, 13",-0.2665619359582859
2013-12-06,4.3787,4.4778,4.349,4.3589,22910,22910,-0.02972,-0.677,4.3956,"Dec 6, 13",-0.27152550304164713
2013-12-09,4.3985,4.458,4.3589,4.458,27323,27323,0.099067,2.273,4.4233,"Dec 9, 13",-0.25496356708336115
2013-12-10,4.4382,4.4778,4.4084,4.4183,17519,17519,-0.039628,-0.889,4.4429,"Dec 10, 13",-0.26159836887492477
2013-12-11,4.3886,4.447,4.3688,4.3787,19106,19106,-0.039627,-0.897,4.4059,"Dec 11, 13",-0.2682164583194063
2013-12-12,4.3688,4.458,4.3589,4.3787,21701,21701,0,0,4.3821,"Dec 12, 13",-0.2682164583194063
2013-12-13,4.3946,4.458,4.3391,4.3391,24125,24125,-0.039625,-0.905,4.3983,"Dec 13, 13",-0.27483454776388794
2013-12-16,4.2796,4.3787,4.2796,4.3688,13939,13939,0.02972,0.685,4.3296,"Dec 16, 13",-0.26987098068052673
2013-12-17,4.3589,4.3886,4.3292,4.349,6800,6800,-0.019815,-0.454,4.4125,"Dec 17, 13",-0.27318002540276753
2013-12-18,4.349,4.458,4.3094,4.3985,30167,30167,0.049534,1.139,4.3651,"Dec 18, 13",-0.2649074135971655
2013-12-19,4.3985,4.4183,4.3985,4.4183,23533,23533,0.019813,0.45,4.4123,"Dec 19, 13",-0.26159836887492477
2013-12-20,4.4183,4.458,4.3589,4.4382,22428,22428,0.019812,0.448,4.4188,"Dec 20, 13",-0.25827261180560196
2013-12-23,4.4035,4.6561,4.3985,4.6363,14471,14471,0.198133,4.464,4.5125,"Dec 23, 13",-0.22516545223611198
2013-12-24,4.6065,4.6065,4.3589,4.4877,8426,8426,-0.148598,-3.205,4.4488,"Dec 24, 13",-0.24999999999999997
2013-12-26,4.3712,4.6056,4.3712,4.557,7302,7302,0.069345,1.545,4.4954,"Dec 26, 13",-0.23841834347215718
2013-12-27,4.5075,4.6957,4.5075,4.5174,11031,11031,-0.039626,-0.87,4.5895,"Dec 27, 13",-0.24503643291663876
