date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,8.81,8.8399,8.8,8.81,12098,12098,-0.03,-0.339,8.8048,"Aug 5, 13",0
2013-08-06,8.84,8.9,8.78,8.8,32189,32189,-0.01,-0.114,8.8094,"Aug 6, 13",-0.0011350737797956624
2013-08-07,8.7947,9,8.78,8.78,13520,13520,-0.02,-0.227,8.8906,"Aug 7, 13",-0.003405221339387189
2013-08-08,9,10.75,8.9,10.2,317427,317427,1.42,16.173,10.0724,"Aug 8, 13",0.1577752553916003
2013-08-09,10.2,10.45,9.1,9.16,78464,78464,-1.04,-10.196,9.7313,"Aug 9, 13",0.03972758229284899
2013-08-12,9.25,9.939,8.75,9.0668,42016,42016,-0.0932,-1.017,9.0223,"Aug 12, 13",0.029148694665153248
2013-08-13,8.91,8.985,8.6,8.69,17373,17373,-0.3768,-4.156,8.696,"Aug 13, 13",-0.013620885357548353
2013-08-14,8.75,8.8,8.6,8.74,20288,20288,0.05,0.575,8.7107,"Aug 14, 13",-0.007945516458569838
2013-08-15,8.76,8.8699,8.7,8.71,10075,10075,-0.03,-0.343,8.7701,"Aug 15, 13",-0.011350737797956827
2013-08-16,8.67,8.75,8.3501,8.4,36740,36740,-0.31,-3.559,8.6139,"Aug 16, 13",-0.04653802497162317
2013-08-19,8.38,8.4194,8.35,8.39,10220,10220,-0.01,-0.119,8.3776,"Aug 19, 13",-0.047673098751418834
2013-08-20,8.35,8.44,8.35,8.39,7830,7830,0,0,8.3834,"Aug 20, 13",-0.047673098751418834
2013-08-21,8.42,8.49,8.36,8.36,6580,6580,-0.03,-0.358,8.3899,"Aug 21, 13",-0.05107832009080602
2013-08-23,8.351,8.4,8.35,8.361,3935,3935,0.001,0.012,8.3626,"Aug 23, 13",-0.05096481271282631
2013-08-26,8.36,8.3682,8.05,8.1,4860,4860,-0.261,-3.122,8.2425,"Aug 26, 13",-0.08059023836549385
2013-08-27,8.11,8.11,8.05,8.05,2740,2740,-0.05,-0.617,8.0681,"Aug 27, 13",-0.08626560726447216
