date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,12.7902,13.06,12.7,12.81,4897,4897,0.08,0.628,12.8544,"Aug 5, 13",0
2013-08-06,12.6,12.6,12.5,12.5,2688,2688,-0.31,-2.42,12.5281,"Aug 6, 13",-0.024199843871975057
2013-08-07,12.534,12.99,12.534,12.81,8612,8612,0.31,2.48,12.8053,"Aug 7, 13",0
2013-08-08,12.88,13.14,12.86,12.94,11513,11513,0.13,1.015,13.0295,"Aug 8, 13",0.010148321623731383
2013-08-09,13.02,13.2,12.62,12.62,40299,40299,-0.32,-2.473,12.7564,"Aug 9, 13",-0.01483216237314608
2013-08-12,12.53,12.96,12.53,12.96,1232,1232,0.34,2.694,12.8507,"Aug 12, 13",0.011709601873536327
2013-08-13,13,13,12.27,12.37,11556,11556,-0.59,-4.552,12.5202,"Aug 13, 13",-0.03434816549570658
2013-08-14,12.4,12.46,12.03,12.07,10361,10361,-0.3,-2.425,12.2092,"Aug 14, 13",-0.057767369242779094
2013-08-15,12.06,12.17,11.29,11.29,17943,17943,-0.78,-6.462,11.7223,"Aug 15, 13",-0.11865729898516794
2013-08-16,11.24,11.36,11.21,11.32,8956,8956,0.03,0.266,11.2803,"Aug 16, 13",-0.1163153786104606
2013-08-19,11.24,11.5299,11.24,11.27,10187,10187,-0.05,-0.442,11.3343,"Aug 19, 13",-0.12021857923497274
2013-08-20,11.9,11.9,11.43,11.59,9799,9799,0.32,2.839,11.6264,"Aug 20, 13",-0.09523809523809529
2013-08-21,11.28,11.4008,11.01,11.06,3161,3161,-0.53,-4.573,11.2025,"Aug 21, 13",-0.13661202185792348
2013-08-22,11.15,11.86,11.15,11.86,5587,5587,0.8,7.233,11.4812,"Aug 22, 13",-0.07416081186572998
2013-08-23,11.81,12.1199,11.81,11.89,1512,1512,0.03,0.253,11.9578,"Aug 23, 13",-0.07181889149102264
2013-08-26,12.322,12.322,11.78,11.78,1794,1794,-0.11,-0.925,11.8765,"Aug 26, 13",-0.08040593286494935
2013-08-27,11.75,11.98,11.38,11.4,12488,12488,-0.38,-3.226,11.6183,"Aug 27, 13",-0.11007025761124123
2013-08-28,11.44,11.944,11.44,11.7,4882,4882,0.3,2.632,11.7121,"Aug 28, 13",-0.08665105386416871
2013-08-29,11.79,11.97,11.79,11.97,5159,5159,0.27,2.308,11.9244,"Aug 29, 13",-0.06557377049180327
2013-08-30,11.93,11.93,11.24,11.52,7724,7724,-0.45,-3.759,11.5219,"Aug 30, 13",-0.10070257611241225
2013-09-03,11.55,12,11.18,11.8,5727,5727,0.28,2.431,11.5795,"Sep 3, 13",-0.0788446526151444
2013-09-04,11.77,12,11.58,12,9360,9360,0.2,1.695,11.9418,"Sep 4, 13",-0.06323185011709606
2013-09-05,13.21,14.01,12.4,13.39,331774,331774,1.39,11.583,13.0595,"Sep 5, 13",0.04527712724434036
2013-09-06,13.54,13.54,13.01,13.16,4294,4294,-0.23,-1.718,13.273,"Sep 6, 13",0.02732240437158467
2013-09-09,14.44,14.44,13.05,13.99,63843,63843,0.83,6.307,13.9639,"Sep 9, 13",0.09211553473848554
2013-09-10,13.98,14.37,12.93,14.275,25201,25201,0.285,2.037,13.6767,"Sep 10, 13",0.11436377829820452
2013-09-11,9.5,11.75,9.065,10.95,683930,683930,-3.325,-23.292,10.162,"Sep 11, 13",-0.1451990632318502
2013-09-12,10,10.93,9.9,10.22,133252,133252,-0.73,-6.667,10.3421,"Sep 12, 13",-0.20218579234972675
2013-09-13,10.47,10.5,10,10.01,142445,142445,-0.21,-2.055,10.1698,"Sep 13, 13",-0.21857923497267764
2013-09-16,10.17,10.4299,9.64,9.83,64439,64439,-0.18,-1.798,9.9967,"Sep 16, 13",-0.2326307572209212
2013-09-17,9.73,10.4,9.22,10.31,123044,123044,0.48,4.883,9.8273,"Sep 17, 13",-0.195160031225605
2013-09-18,10.3,10.459,10.2,10.28,36458,36458,-0.03,-0.291,10.3083,"Sep 18, 13",-0.19750195160031234
2013-09-19,10.37,10.55,10,10.3,41516,41516,0.02,0.195,10.2702,"Sep 19, 13",-0.19594067135050738
2013-09-20,10.35,10.44,9.95,9.95,90396,90396,-0.35,-3.398,10.0773,"Sep 20, 13",-0.2232630757220922
2013-09-23,10.03,10.3,9.8701,9.99,18232,18232,0.04,0.402,10.0602,"Sep 23, 13",-0.22014051522248246
2013-09-24,10.08,10.09,9.86,9.95,31611,31611,-0.04,-0.4,9.9908,"Sep 24, 13",-0.2232630757220922
2013-09-25,10.04,10.04,9.82,9.89,31556,31556,-0.06,-0.603,9.9497,"Sep 25, 13",-0.2279469164715066
2013-09-26,9.8201,10.085,9.8201,10,18144,18144,0.11,1.112,9.9998,"Sep 26, 13",-0.21935987509758004
2013-09-27,10.07,10.07,9.78,9.85,50558,50558,-0.15,-1.5,9.8753,"Sep 27, 13",-0.23106947697111638
2013-09-30,9.86,9.99,9.8,9.91,44763,44763,0.06,0.609,9.885,"Sep 30, 13",-0.22638563622170182
2013-10-01,9.97,10,9.8,9.95,26573,26573,0.04,0.404,9.9343,"Oct 1, 13",-0.2232630757220922
2013-10-02,9.89,10.03,9.8,9.87,10883,10883,-0.08,-0.804,9.8705,"Oct 2, 13",-0.22950819672131156
2013-10-03,9.91,10.24,9.87,9.92,39588,39588,0.05,0.507,9.9833,"Oct 3, 13",-0.2256049960967994
2013-10-04,9.88,10,9.88,10,17705,17705,0.08,0.806,9.9787,"Oct 4, 13",-0.21935987509758004
2013-10-07,9.93,10,9.8,9.81,34387,34387,-0.19,-1.9,9.8923,"Oct 7, 13",-0.23419203747072598
2013-10-08,9.84,9.99,9.77,9.81,29486,29486,0,0,9.857,"Oct 8, 13",-0.23419203747072598
2013-10-09,9.86,9.94,9.5,9.6,17664,17664,-0.21,-2.141,9.6095,"Oct 9, 13",-0.25058548009367687
2013-10-10,9.75,9.75,9.19,9.39,44200,44200,-0.21,-2.188,9.4756,"Oct 10, 13",-0.2669789227166276
2013-10-11,9.25,9.74,9.1855,9.54,20902,20902,0.15,1.597,9.4784,"Oct 11, 13",-0.25526932084309145
2013-10-14,9.5,9.9,9.398,9.9,9049,9049,0.36,3.774,10.1411,"Oct 14, 13",-0.22716627634660422
2013-10-15,9.85,9.9,9.67,9.76,10108,10108,-0.14,-1.414,9.7712,"Oct 15, 13",-0.23809523809523814
2013-10-16,9.83,9.98,9.7452,9.79,11360,11360,0.03,0.307,9.873,"Oct 16, 13",-0.23575331772053093
2013-10-17,9.77,9.99,9.75,9.87,17083,17083,0.08,0.817,9.8894,"Oct 17, 13",-0.22950819672131156
2013-10-18,9.99,10.23,9.92,10.1,36951,36951,0.23,2.33,10.0065,"Oct 18, 13",-0.21155347384855588
2013-10-21,10.2,10.25,10.1,10.11,24931,24931,0.01,0.099,10.1899,"Oct 21, 13",-0.21077283372365346
2013-10-22,10.11,10.25,9.82,9.92,22242,22242,-0.19,-1.879,10.0342,"Oct 22, 13",-0.2256049960967994
2013-10-23,9.86,10.2999,9.86,10.02,30856,30856,0.1,1.008,10.1111,"Oct 23, 13",-0.21779859484777525
2013-10-24,10.09,10.2,9.73,10.09,29972,29972,0.07,0.699,9.9918,"Oct 24, 13",-0.21233411397345828
2013-10-25,10.11,10.11,9.75,9.93,5861,5861,-0.16,-1.586,9.9536,"Oct 25, 13",-0.224824355971897
2013-10-28,9.91,9.94,9.7,9.72,9304,9304,-0.21,-2.115,9.7852,"Oct 28, 13",-0.24121779859484777
2013-10-29,9.72,9.82,9.06,9.33,22620,22620,-0.39,-4.012,9.3024,"Oct 29, 13",-0.2716627634660422
2013-10-30,9.28,10,9.28,9.73,24077,24077,0.4,4.287,9.7528,"Oct 30, 13",-0.24043715846994534
2013-10-31,9.94,9.95,9.414,9.67,29254,29254,-0.06,-0.617,9.7657,"Oct 31, 13",-0.2451209992193599
2013-11-01,9.64,9.91,9,9.64,45139,45139,-0.03,-0.31,9.5756,"Nov 1, 13",-0.24746291959406713
2013-11-04,9.7,9.93,9.47,9.63,34888,34888,-0.01,-0.104,9.6955,"Nov 4, 13",-0.24824355971896953
2013-11-05,9.73,9.8,9.5005,9.55,14877,14877,-0.08,-0.831,9.6875,"Nov 5, 13",-0.25448868071818886
2013-11-06,9.61,9.95,9.6,9.7,17033,17033,0.15,1.571,9.7168,"Nov 6, 13",-0.2427790788446527
2013-11-07,9.72,9.9,9.49,9.5,11949,11949,-0.2,-2.062,9.6478,"Nov 7, 13",-0.258391881342701
2013-11-08,9.5,9.91,9.5,9.67,13615,13615,0.17,1.789,9.7472,"Nov 8, 13",-0.2451209992193599
2013-11-11,9.9499,9.95,9.35,9.35,5312,5312,-0.32,-3.309,9.765,"Nov 11, 13",-0.2701014832162374
2013-11-12,9.116,9.45,9.116,9.19,4230,4230,-0.16,-1.711,9.2306,"Nov 12, 13",-0.2825917252146761
2013-11-13,9.16,9.5,9.16,9.42,13802,13802,0.23,2.503,9.3536,"Nov 13, 13",-0.2646370023419204
2013-11-14,9.26,9.69,8.99,9.012,19967,19967,-0.408,-4.331,9.1749,"Nov 14, 13",-0.2964871194379391
2013-11-15,8.99,8.99,8.14,8.62,49108,49108,-0.392,-4.35,8.5377,"Nov 15, 13",-0.32708821233411406
2013-11-18,8.65,8.9,8.594,8.66,8424,8424,0.04,0.464,8.7015,"Nov 18, 13",-0.3239656518345043
2013-11-19,8.63,8.7,8.52,8.52,9623,9623,-0.14,-1.617,8.5883,"Nov 19, 13",-0.3348946135831382
2013-11-20,8.56,8.65,8.4,8.58,6601,6601,0.06,0.704,8.5299,"Nov 20, 13",-0.3302107728337237
2013-11-21,8.59,8.95,8.46,8.95,7181,7181,0.37,4.312,8.8422,"Nov 21, 13",-0.30132708821233417
2013-11-22,8.92,9.08,8.8,8.94,7376,7376,-0.01,-0.112,8.9365,"Nov 22, 13",-0.3021077283372366
2013-11-25,8.95,8.99,8.73,8.93,7672,7672,-0.01,-0.112,8.9375,"Nov 25, 13",-0.302888368462139
2013-11-26,8.97,9.31,8.78,9.21,9694,9694,0.28,3.135,9.0534,"Nov 26, 13",-0.2810304449648712
2013-11-27,9.24,9.5,8.8,9.48,3016,3016,0.27,2.932,9.2958,"Nov 27, 13",-0.25995316159250587
2013-11-29,9.5,9.57,9.5,9.57,3087,3087,0.09,0.949,9.5349,"Nov 29, 13",-0.2529274004683841
2013-12-02,8.68,9.24,8.68,9.05,16199,16199,-0.52,-5.434,9.0565,"Dec 2, 13",-0.2935206869633099
2013-12-03,8.81,8.9,8.75,8.8,9212,9212,-0.25,-2.762,8.8013,"Dec 3, 13",-0.3130366900858704
2013-12-04,8.7,8.7,8.55,8.6,23149,23149,-0.2,-2.273,8.5929,"Dec 4, 13",-0.32864949258391885
2013-12-05,8.6,8.67,8.3101,8.58,6625,6625,-0.02,-0.233,8.4744,"Dec 5, 13",-0.3302107728337237
2013-12-06,8.66,8.94,8.59,8.87,11359,11359,0.29,3.38,8.783,"Dec 6, 13",-0.30757220921155354
2013-12-09,9.25,9.45,8.89,9.2,29121,29121,0.33,3.72,9.2076,"Dec 9, 13",-0.2818110850897737
2013-12-10,9.19,9.49,9.07,9.15,53101,53101,-0.05,-0.543,9.2843,"Dec 10, 13",-0.2857142857142857
2013-12-11,9.03,9.5,8.99,9.15,25987,25987,0,0,9.2407,"Dec 11, 13",-0.2857142857142857
2013-12-12,9.07,9.45,9,9.1,38760,38760,-0.05,-0.546,9.1252,"Dec 12, 13",-0.28961748633879786
2013-12-13,9.14,9.21,8.92,9.14,74056,74056,0.04,0.44,9.0337,"Dec 13, 13",-0.2864949258391881
2013-12-16,9.15,9.34,8.88,9.03,47105,47105,-0.11,-1.204,9.0146,"Dec 16, 13",-0.2950819672131148
2013-12-17,9.38,9.382,9,9.25,33972,33972,0.22,2.436,9.1872,"Dec 17, 13",-0.27790788446526155
2013-12-18,9.06,9.15,9,9.15,10331,10331,-0.1,-1.081,8.8254,"Dec 18, 13",-0.2857142857142857
2013-12-19,9.25,9.3,8.75,8.89,30319,30319,-0.26,-2.842,9.0917,"Dec 19, 13",-0.30601092896174864
