date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,45.4939,46.0308,44.6605,44.7727,70234,70234,-0.68918,-1.516,45.0835,"Aug 5, 13",0
2013-08-06,45.1012,46.0068,44.7326,44.7727,53161,53161,0,0,44.9818,"Aug 6, 13",0
2013-08-07,44.6204,45.2534,44.4922,45.0772,57856,57856,0.30452,0.68,44.7897,"Aug 7, 13",0.006801019371179252
2013-08-08,45.1894,45.8144,44.7727,45.3817,96419,96419,0.304524,0.676,45.1674,"Aug 8, 13",0.013602038742358664
2013-08-09,45.2134,45.7343,45.1349,45.2294,77160,77160,-0.152263,-0.336,45.3777,"Aug 9, 13",0.01020041230481963
2013-08-12,45.1173,45.5981,44.8127,44.8528,41220,41220,-0.376644,-0.833,45.2281,"Aug 12, 13",0.0017890366227634612
2013-08-13,44.8368,45.5179,43.779,45.3737,49808,49808,0.520892,1.161,44.5912,"Aug 13, 13",0.01342335843047212
2013-08-14,45.5259,47.2008,45.3416,45.9427,43639,43639,0.568975,1.254,46.4573,"Aug 14, 13",0.026131995613398382
2013-08-15,45.6381,45.6381,43.8511,44.1155,81121,81121,-1.8271,-3.977,44.6679,"Aug 15, 13",-0.014678587621474762
2013-08-16,44.1556,44.1556,42.8333,42.9535,68737,68737,-1.162,-2.634,43.1945,"Aug 16, 13",-0.0406319029229866
2013-08-19,42.8253,42.8253,41.9198,42.1842,40503,40503,-0.769318,-1.791,42.411,"Aug 19, 13",-0.05781424841477068
2013-08-20,42.1442,42.7131,41.8877,42.4487,81229,81229,0.264454,0.627,42.4104,"Aug 20, 13",-0.051906630603023675
2013-08-21,42.1602,42.7131,41.2546,42.2403,63980,63980,-0.208358,-0.491,42.3075,"Aug 21, 13",-0.0565612527276667
2013-08-22,42.2483,42.5128,41.3107,42.0159,86358,86358,-0.224384,-0.531,42.0195,"Aug 22, 13",-0.06157323547608249
2013-08-23,42.2083,42.4727,41.1745,41.447,43323,43323,-0.568975,-1.354,41.4857,"Aug 23, 13",-0.07427963915511009
2013-08-26,41.6553,41.6553,40.3811,40.6857,40798,40798,-0.761302,-1.837,40.682,"Aug 26, 13",-0.0912833043350078
2013-08-27,40.1247,41.0543,39.3874,40.6776,84553,84553,-0.008014,-0.02,40.5418,"Aug 27, 13",-0.09146421815079284
2013-08-28,40.5013,40.5414,39.0749,39.4195,62835,62835,-1.2582,-3.093,39.8404,"Aug 28, 13",-0.11956393069884105
2013-08-29,39.3554,39.3874,38.7314,38.9146,61751,61751,-0.504863,-1.281,38.9448,"Aug 29, 13",-0.13084089188277678
2013-08-30,39.1711,40.2289,38.7063,40.1007,85044,85044,1.186,3.048,39.7429,"Aug 30, 13",-0.10434930214170682
2013-09-03,40.325,40.7979,39.6679,40.2449,50228,50228,0.144249,0.36,40.1779,"Sep 3, 13",-0.10112858951995299
2013-09-04,40.3892,41.1905,40.309,40.9661,62872,62872,0.721233,1.792,40.8725,"Sep 4, 13",-0.0850205594033865
2013-09-05,41.0062,41.0062,40.6616,40.9341,62853,62853,-0.032054,-0.078,40.8677,"Sep 5, 13",-0.08573528065093236
2013-09-06,41.3508,41.9919,41.0222,41.8957,85082,85082,0.961645,2.349,41.7879,"Sep 6, 13",-0.06425790716217701
2013-09-09,42.04,42.04,41.7114,41.9118,61255,61255,0.016029,0.038,41.8984,"Sep 9, 13",-0.06389831303450542
2013-09-10,42.3846,42.5448,40.6728,41.6794,97488,97488,-0.232398,-0.554,41.6704,"Sep 10, 13",-0.06908897609480776
2013-09-11,41.8076,42.08,41.3348,41.8877,68975,68975,0.208356,0.5,41.7074,"Sep 11, 13",-0.06443658747406339
2013-09-12,41.7515,41.9118,41.439,41.5031,39272,39272,-0.384659,-0.918,41.687,"Sep 12, 13",-0.07302664346800611
2013-09-13,41.7194,42.7131,41.5832,41.8717,199317,199317,0.368632,0.888,42.3031,"Sep 13, 13",-0.06479394809783648
