date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,6.73,7,6.73,6.95,435145,435145,0.17,2.507,6.9328,"Aug 5, 13",0
2013-08-06,6.93,6.969,6.769,6.8,299177,299177,-0.15,-2.158,6.8293,"Aug 6, 13",-0.02158273381294969
2013-08-07,6.79,6.85,6.75,6.8,253671,253671,0,0,6.807,"Aug 7, 13",-0.02158273381294969
2013-08-08,6.8,6.94,6.745,6.85,332899,332899,0.05,0.735,6.8446,"Aug 8, 13",-0.01438848920863317
2013-08-09,6.83,6.94,6.7,6.89,374745,374745,0.04,0.584,6.8542,"Aug 9, 13",-0.008633093525179927
2013-08-12,6.83,7,6.82,6.98,200819,200819,0.09,1.306,6.9631,"Aug 12, 13",0.0043165467625899635
2013-08-13,6.97,7.08,6.89,7.08,236127,236127,0.1,1.433,7.0252,"Aug 13, 13",0.018705035971223007
2013-08-14,7.1,7.33,6.96,7.01,972281,972281,-0.07,-0.989,7.1465,"Aug 14, 13",0.0086330935251798
2013-08-15,6.89,7.105,6.76,6.99,331775,331775,-0.02,-0.285,6.9517,"Aug 15, 13",0.005755395683453243
2013-08-16,6.99,7.02,6.75,6.75,327230,327230,-0.24,-3.433,6.8252,"Aug 16, 13",-0.028776978417266213
2013-08-19,6.72,6.74,6.49,6.5,363294,363294,-0.25,-3.704,6.5985,"Aug 19, 13",-0.06474820143884895
2013-08-20,6.6,6.98,6.6,6.86,527806,527806,0.36,5.538,6.8521,"Aug 20, 13",-0.012949640287769763
2013-08-21,6.8,6.86,6.63,6.72,316902,316902,-0.14,-2.041,6.7478,"Aug 21, 13",-0.03309352517985618
2013-08-22,6.76,7.06,6.71,7.05,277120,277120,0.33,4.911,6.9798,"Aug 22, 13",0.014388489208633042
2013-08-23,7.06,7.17,6.97,7.14,204319,204319,0.09,1.277,7.1114,"Aug 23, 13",0.027338129496402807
2013-08-26,7.14,7.29,7.14,7.22,308456,308456,0.08,1.12,7.2271,"Aug 26, 13",0.03884892086330929
2013-08-27,7.1,7.27,6.93,6.95,315579,315579,-0.27,-3.74,7.0533,"Aug 27, 13",0
2013-08-28,6.95,7.27,6.95,7.21,250157,250157,0.26,3.741,7.1836,"Aug 28, 13",0.03741007194244601
2013-08-29,7.2,7.21,6.98,7.03,194402,194402,-0.18,-2.497,7.077,"Aug 29, 13",0.011510791366906485
2013-08-30,7.01,7.01,6.75,6.76,396530,396530,-0.27,-3.841,6.7986,"Aug 30, 13",-0.027338129496402932
2013-09-03,6.92,6.97,6.72,6.8,244069,244069,0.04,0.592,6.7985,"Sep 3, 13",-0.02158273381294969
2013-09-04,6.8,6.92,6.78,6.86,141563,141563,0.06,0.882,6.8681,"Sep 4, 13",-0.012949640287769763
2013-09-05,6.86,7.02,6.86,6.97,216732,216732,0.11,1.603,6.9705,"Sep 5, 13",0.002877697841726557
2013-09-06,7.02,7.2,6.83,7.1,288340,288340,0.13,1.865,7.1084,"Sep 6, 13",0.02158273381294956
2013-09-09,7.12,7.4,7.12,7.37,354087,354087,0.27,3.803,7.3429,"Sep 9, 13",0.06043165467625898
2013-09-10,7.41,7.41,7.21,7.28,301225,301225,-0.09,-1.221,7.2709,"Sep 10, 13",0.047482014388489216
2013-09-11,7.28,7.47,7.23,7.44,391040,391040,0.16,2.198,7.4101,"Sep 11, 13",0.07050359712230218
2013-09-12,7.37,7.37,7.26,7.32,163296,163296,-0.12,-1.613,7.3203,"Sep 12, 13",0.05323741007194246
2013-09-13,7.33,7.34,7.18,7.26,179508,179508,-0.06,-0.82,7.253,"Sep 13, 13",0.04460431654676253
2013-09-16,7.38,7.38,7.175,7.25,431107,431107,-0.01,-0.138,7.2403,"Sep 16, 13",0.043165467625899255
2013-09-17,7.23,7.44,7.23,7.39,318901,318901,0.14,1.931,7.3779,"Sep 17, 13",0.06330935251798554
2013-09-18,7.38,7.58,7.27,7.48,325123,325123,0.09,1.218,7.4628,"Sep 18, 13",0.07625899280575543
2013-09-19,7.51,7.71,7.45,7.61,407392,407392,0.13,1.738,7.6155,"Sep 19, 13",0.09496402877697843
2013-09-20,7.67,7.685,7.38,7.5,580008,580008,-0.11,-1.445,7.5381,"Sep 20, 13",0.07913669064748198
2013-09-23,7.46,7.49,7.3,7.36,213846,213846,-0.14,-1.867,7.3655,"Sep 23, 13",0.0589928057553957
2013-09-24,7.37,7.73,7.28,7.59,405270,405270,0.23,3.125,7.5662,"Sep 24, 13",0.09208633093525175
2013-09-25,7.59,7.78,7.546,7.61,311952,311952,0.02,0.264,7.6506,"Sep 25, 13",0.09496402877697843
2013-09-26,7.66,7.84,7.6275,7.74,391131,391131,0.13,1.708,7.7443,"Sep 26, 13",0.11366906474820145
2013-09-27,7.65,7.76,7.61,7.69,291441,291441,-0.05,-0.646,7.687,"Sep 27, 13",0.10647482014388492
2013-09-30,7.55,7.59,7.45,7.51,268789,268789,-0.18,-2.341,7.5085,"Sep 30, 13",0.08057553956834526
2013-10-01,7.53,7.79,7.49,7.58,348724,348724,0.07,0.932,7.5979,"Oct 1, 13",0.09064748201438848
2013-10-02,7.5,7.57,7.47,7.56,479547,479547,-0.02,-0.264,7.5366,"Oct 2, 13",0.08776978417266179
2013-10-03,7.51,7.55,7.31,7.52,391705,391705,-0.04,-0.529,7.4479,"Oct 3, 13",0.08201438848920854
2013-10-04,7.49,7.72,7.47,7.66,270666,270666,0.14,1.862,7.6408,"Oct 4, 13",0.10215827338129496
2013-10-07,7.52,7.685,7.48,7.57,381831,381831,-0.09,-1.175,7.5917,"Oct 7, 13",0.0892086330935252
2013-10-08,7.59,7.75,7.52,7.59,407167,407167,0.02,0.264,7.6256,"Oct 8, 13",0.09208633093525175
2013-10-09,7.62,7.62,7.35,7.39,303225,303225,-0.2,-2.635,6.9674,"Oct 9, 13",0.06330935251798554
2013-10-10,7.54,7.73,7.506,7.72,278405,278405,0.33,4.465,7.6743,"Oct 10, 13",0.11079136690647476
2013-10-11,7.68,8.05,7.67,8.04,370824,370824,0.32,4.145,7.932,"Oct 11, 13",0.15683453237410055
2013-10-14,7.97,8.21,7.89,8.14,510460,510460,0.1,1.244,8.1255,"Oct 14, 13",0.17122302158273386
2013-10-15,8.12,8.26,8.02,8.21,491623,491623,0.07,0.86,8.1897,"Oct 15, 13",0.18129496402877707
2013-10-16,8.32,8.35,8.18,8.27,275283,275283,0.06,0.731,8.2738,"Oct 16, 13",0.18992805755395675
2013-10-17,8.23,8.4,8.23,8.4,471736,471736,0.13,1.572,8.3695,"Oct 17, 13",0.20863309352517986
