date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,9.6427,9.6427,9.5923,9.6175,83926,83926,-0.025218,-0.262,9.6144,"Aug 5, 13",0
2013-08-06,9.6175,9.6175,9.5452,9.5671,105364,105364,-0.050441,-0.524,9.5868,"Aug 6, 13",-0.005240447101637617
2013-08-07,9.5334,9.5671,9.5091,9.5519,71247,71247,-0.015133,-0.158,9.54,"Aug 7, 13",-0.006820899402131519
2013-08-08,9.5671,9.6259,9.5168,9.5587,69060,69060,0.006722,0.07,9.5554,"Aug 8, 13",-0.006113854951910553
2013-08-09,9.5503,9.5587,9.4746,9.504,120358,120358,-0.054644,-0.572,9.5214,"Aug 9, 13",-0.011801403691187956
2013-08-12,9.4578,9.4997,9.441,9.4746,95532,95532,-0.029422,-0.31,9.4725,"Aug 12, 13",-0.014858331167143139
2013-08-13,9.5166,9.5166,9.4326,9.4662,81832,81832,-0.008407,-0.089,9.4662,"Aug 13, 13",-0.015731739017416077
2013-08-14,9.483,9.483,9.4124,9.4326,101530,101530,-0.033629,-0.355,9.429,"Aug 14, 13",-0.01922537041850782
2013-08-15,9.4017,9.4017,9.2584,9.2752,312041,312041,-0.157321,-1.668,9.3129,"Aug 15, 13",-0.035591369898622285
2013-08-16,9.2584,9.2584,9.1825,9.2162,120040,120040,-0.05902,-0.636,9.2301,"Aug 16, 13",-0.04172602027553929
2013-08-19,9.1993,9.2162,9.1487,9.1487,122529,122529,-0.067462,-0.732,9.1731,"Aug 19, 13",-0.04874447621523264
2013-08-20,9.1487,9.2575,9.1403,9.2246,53474,53474,0.075891,0.83,9.2324,"Aug 20, 13",-0.04085261242526635
2013-08-21,9.1993,9.2086,9.1235,9.1487,71839,71839,-0.075891,-0.823,9.1728,"Aug 21, 13",-0.04874447621523264
2013-08-22,9.1656,9.2305,9.1563,9.2078,89204,89204,0.059027,0.645,9.1855,"Aug 22, 13",-0.04259942812581222
2013-08-23,9.2415,9.2752,9.1909,9.2668,50668,50668,0.059024,0.641,9.2399,"Aug 23, 13",-0.03646477774889522
