date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-10-01,19,19.9,18.72,19.2,5652965,5652965,19.2,0,19.1053,"Oct 1, 15",0
2015-10-02,18.82,21.55,18.82,21.18,1365532,1365532,1.98,10.312,20.5992,"Oct 2, 15",0.10312500000000002
2015-10-05,21.63,22.56,21.3,22.02,535474,535474,0.84,3.966,21.9721,"Oct 5, 15",0.14687500000000003
2015-10-06,21.63,21.93,21.02,21.25,191434,191434,-0.77,-3.497,21.3599,"Oct 6, 15",0.10677083333333337
2015-10-07,21,21.63,20.5315,21.26,384537,384537,0.01,0.047,21.1448,"Oct 7, 15",0.10729166666666679
2015-10-08,21.01,22.06,21,21.98,136276,136276,0.72,3.387,21.889,"Oct 8, 15",0.14479166666666674
2015-10-09,22.08,22.14,21.58,21.7101,43561,43561,-0.2699,-1.228,21.8221,"Oct 9, 15",0.13073437500000007
2015-10-12,21.73,22.38,21.6301,22.29,45749,45749,0.5799,2.671,22.0822,"Oct 12, 15",0.1609375
2015-10-13,21.98,22.3,21.6585,22.02,167222,167222,-0.27,-1.211,22.0254,"Oct 13, 15",0.14687500000000003
2015-10-14,21.85,22.78,21.85,22.29,318382,318382,0.27,1.226,22.2148,"Oct 14, 15",0.1609375
2015-10-15,22.49,22.79,22.1985,22.42,141291,141291,0.13,0.583,22.3821,"Oct 15, 15",0.16770833333333346
2015-10-16,22.45,22.45,21.725,21.94,225835,225835,-0.48,-2.141,22.0593,"Oct 16, 15",0.14270833333333344
2015-10-19,21.88,22.29,21.54,21.95,182562,182562,0.01,0.046,21.9699,"Oct 19, 15",0.14322916666666669
2015-10-20,21.8,22.44,21.631,22.11,119176,119176,0.16,0.729,22.0477,"Oct 20, 15",0.15156250000000002
2015-10-21,22.41,22.45,22,22.18,105334,105334,0.07,0.317,22.2862,"Oct 21, 15",0.15520833333333336
2015-10-22,22.44,22.44,22.03,22.19,36067,36067,0.01,0.045,22.1791,"Oct 22, 15",0.15572916666666678
2015-10-23,22.3,22.3,22.082,22.19,65744,65744,0,0,22.1743,"Oct 23, 15",0.15572916666666678
2015-10-26,22.19,22.4499,22.02,22.03,98646,98646,-0.16,-0.721,22.1763,"Oct 26, 15",0.14739583333333345
2015-10-27,22.32,22.63,22.155,22.52,231576,231576,0.49,2.224,22.3917,"Oct 27, 15",0.1729166666666667
2015-10-28,22.61,22.79,22.23,22.51,308704,308704,-0.01,-0.044,22.4862,"Oct 28, 15",0.17239583333333347
2015-10-29,22.45,22.79,22.45,22.67,150766,150766,0.16,0.711,22.6688,"Oct 29, 15",0.1807291666666668
2015-10-30,22.57,22.8,22.295,22.77,78003,78003,0.1,0.441,22.5829,"Oct 30, 15",0.18593750000000003
2015-11-02,22.93,23,22.5,22.75,228367,228367,-0.02,-0.088,22.8074,"Nov 2, 15",0.18489583333333337
2015-11-03,22.63,23.18,22.524,22.98,484244,484244,0.23,1.011,22.9822,"Nov 3, 15",0.19687500000000008
2015-11-04,23.16,23.95,21.77,21.9,455104,455104,-1.08,-4.7,22.3727,"Nov 4, 15",0.14062499999999997
2015-11-05,21.85,22.61,21.25,21.52,443527,443527,-0.38,-1.735,21.9304,"Nov 5, 15",0.12083333333333335
2015-11-06,21.45,22.28,20.65,21.85,170929,170929,0.33,1.533,21.2036,"Nov 6, 15",0.13802083333333345
2015-11-09,21.78,21.94,20.9,21.69,165118,165118,-0.16,-0.732,21.284,"Nov 9, 15",0.12968750000000012
2015-11-10,21.7,23.53,21.33,22.74,229994,229994,1.05,4.841,22.2496,"Nov 10, 15",0.18437499999999996
2015-11-11,22.79,23.245,22.3,22.8,146204,146204,0.06,0.264,22.827,"Nov 11, 15",0.18750000000000008
2015-11-12,22.64,22.73,22.27,22.44,127842,127842,-0.36,-1.579,22.5116,"Nov 12, 15",0.16875000000000012
2015-11-13,22.49,22.49,22.05,22.39,32132,32132,-0.05,-0.223,22.2944,"Nov 13, 15",0.1661458333333334
2015-11-16,22.23,22.5,22.022,22.36,142177,142177,-0.03,-0.134,22.3505,"Nov 16, 15",0.16458333333333336
2015-11-17,22.3,23.0999,22.3,22.76,116744,116744,0.4,1.789,22.6732,"Nov 17, 15",0.18541666666666679
2015-11-18,22.7,23,22.59,23,81125,81125,0.24,1.054,22.9168,"Nov 18, 15",0.1979166666666667
2015-11-19,22.87,23.2599,22.62,22.65,89677,89677,-0.35,-1.522,22.8871,"Nov 19, 15",0.17968749999999997
2015-11-20,22.56,22.88,22.0101,22.66,90177,90177,0.01,0.044,22.5923,"Nov 20, 15",0.1802083333333334
2015-11-23,22.6,23.1999,22.575,23.03,142527,142527,0.37,1.633,23.0306,"Nov 23, 15",0.19947916666666676
2015-11-24,23.16,23.23,22.6,23.11,164701,164701,0.08,0.347,22.9949,"Nov 24, 15",0.20364583333333336
2015-11-25,23.06,23.17,22.9,22.96,220128,220128,-0.15,-0.649,23.0718,"Nov 25, 15",0.19583333333333341
2015-11-27,22.95,23.2,22.95,23.17,59621,59621,0.21,0.915,23.1117,"Nov 27, 15",0.20677083333333346
2015-11-30,23.02,23.23,23.02,23.13,117723,117723,-0.04,-0.173,23.1857,"Nov 30, 15",0.2046875
2015-12-01,23.29,23.5899,22.66,23.04,127132,127132,-0.09,-0.389,23.0226,"Dec 1, 15",0.2
2015-12-02,22.93,23.18,22.7601,22.95,147176,147176,-0.09,-0.391,22.9757,"Dec 2, 15",0.1953125
2015-12-03,22.95,22.98,21.37,21.91,351381,351381,-1.04,-4.532,22.0441,"Dec 3, 15",0.1411458333333334
2015-12-04,21.7635,22.29,21.7635,21.98,109318,109318,0.07,0.319,22.0039,"Dec 4, 15",0.14479166666666674
2015-12-07,22.05,23.1,22.05,23,188712,188712,1.02,4.641,22.882,"Dec 7, 15",0.1979166666666667
2015-12-08,22.98,23.08,22.46,23,162009,162009,0,0,22.8952,"Dec 8, 15",0.1979166666666667
2015-12-09,23.05,23.05,22.6,22.96,127746,127746,-0.04,-0.174,22.906,"Dec 9, 15",0.19583333333333341
2015-12-10,22.92,23.359,22.39,22.72,352265,352265,-0.24,-1.045,22.8796,"Dec 10, 15",0.18333333333333332
