date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,15.1668,15.2933,14.9645,15.268,197947,197947,0.11803,0.779,15.1987,"Aug 5, 13",0
2013-08-06,15.268,15.2849,15.0741,15.1921,125124,125124,-0.075876,-0.497,15.1627,"Aug 6, 13",-0.004971181556196014
2013-08-07,15.1921,15.1921,14.9982,15.0067,94610,94610,-0.185474,-1.221,15.0542,"Aug 7, 13",-0.0171142258318051
2013-08-08,15.1247,15.1247,14.9476,14.9814,148246,148246,-0.025292,-0.169,15.0016,"Aug 8, 13",-0.018771286350537066
2013-08-09,14.9476,15.0067,14.8971,14.9392,101516,101516,-0.042155,-0.281,14.9582,"Aug 9, 13",-0.021535237097196822
2013-08-12,14.8549,14.9392,14.8212,14.9308,105293,105293,-0.008433,-0.056,14.9066,"Aug 12, 13",-0.022085407388001115
2013-08-13,14.9138,14.9308,14.7272,14.8543,87804,87804,-0.07648,-0.512,14.8535,"Aug 13, 13",-0.027095886822111632
2013-08-14,14.8543,14.9308,14.7778,14.8883,97597,97597,0.033991,0.229,14.879,"Aug 14, 13",-0.02486900707361812
2013-08-15,14.7438,14.8033,14.6758,14.6843,101306,101306,-0.203949,-1.37,14.7213,"Aug 15, 13",-0.03823028556457953
2013-08-16,14.5994,14.8118,14.5824,14.7013,114556,114556,0.016997,0.116,14.7025,"Aug 16, 13",-0.03711684569033278
2013-08-19,14.6758,14.7013,14.5229,14.5654,122911,122911,-0.135969,-0.925,14.6003,"Aug 19, 13",-0.04601781503798797
2013-08-20,14.5484,14.7693,14.5399,14.7693,120222,120222,0.203949,1.4,14.6854,"Aug 20, 13",-0.03266308619334564
2013-08-21,14.6758,14.7268,14.4804,14.5569,85238,85238,-0.212446,-1.438,14.6412,"Aug 21, 13",-0.04657453497511135
2013-08-22,14.5739,14.7863,14.5569,14.7693,100050,100050,0.212446,1.459,14.7205,"Aug 22, 13",-0.03266308619334564
2013-08-23,14.7608,14.7778,14.6249,14.6758,82398,82398,-0.093473,-0.633,14.6706,"Aug 23, 13",-0.03878700550170291
2013-08-26,14.6673,14.6758,14.5059,14.5399,92234,92234,-0.135966,-0.926,14.601,"Aug 26, 13",-0.04768797484935822
2013-08-27,14.3699,14.3699,14.0045,14.013,191247,191247,-0.526871,-3.624,14.1275,"Aug 27, 13",-0.0821980613046896
2013-08-28,13.9705,14.0725,13.9195,13.9705,202164,202164,-0.04249,-0.303,13.9703,"Aug 28, 13",-0.0849816609903066
2013-08-29,13.928,14.1235,13.928,14.064,111650,111650,0.093477,0.669,14.0509,"Aug 29, 13",-0.07885774168194921
2013-08-30,14.0555,14.1235,13.7198,13.7496,142317,142317,-0.314422,-2.236,13.7924,"Aug 30, 13",-0.0994498297091958
2013-09-03,13.911,14.0215,13.5796,13.7156,169286,169286,-0.033992,-0.247,13.7064,"Sep 3, 13",-0.10167670945768931
2013-09-04,13.7071,13.7921,13.6221,13.6476,147145,147145,-0.067982,-0.496,13.6774,"Sep 4, 13",-0.10613046895467644
2013-09-05,13.6731,13.8176,13.6476,13.7581,107096,107096,0.110471,0.809,13.7359,"Sep 5, 13",-0.0988931097720723
2013-09-06,13.8176,13.8176,13.4097,13.6221,92725,92725,-0.135965,-0.988,13.6371,"Sep 6, 13",-0.1078006287660467
2013-09-09,13.6731,13.8685,13.5881,13.8685,151126,151126,0.246439,1.809,13.751,"Sep 9, 13",-0.09166230023578736
2013-09-10,13.928,13.9365,13.7751,13.928,105168,105168,0.059487,0.429,13.8758,"Sep 10, 13",-0.08776526067592348
2013-09-11,13.911,14.0045,13.8006,13.86,107809,107809,-0.067984,-0.488,13.8943,"Sep 11, 13",-0.09221902017291074
2013-09-12,13.894,13.9195,13.8091,13.8176,92430,92430,-0.042492,-0.307,13.8605,"Sep 12, 13",-0.09499607021220854
2013-09-13,13.9025,13.945,13.7751,13.894,81078,81078,0.076484,0.554,13.8816,"Sep 13, 13",-0.08999214042441711
2013-09-16,14.064,14.064,13.8346,13.9365,193345,193345,0.042491,0.306,13.9277,"Sep 16, 13",-0.0872085407388001
2013-09-17,13.9365,14.1745,13.928,14.1745,101431,101431,0.237939,1.707,14.0958,"Sep 17, 13",-0.07162038249934508
2013-09-18,14.149,14.2509,14.0215,14.081,165811,165811,-0.093478,-0.659,14.1197,"Sep 18, 13",-0.07774430180770246
2013-09-19,14.0895,14.2,13.8091,13.877,93627,93627,-0.203948,-1.448,13.8701,"Sep 19, 13",-0.09110558029866386
2013-09-20,13.928,14.1065,13.928,14.047,319691,319691,0.169957,1.225,14.0173,"Sep 20, 13",-0.07997118155619597
2013-09-23,13.9875,14.0045,13.7938,13.9025,155481,155481,-0.144464,-1.028,13.9243,"Sep 23, 13",-0.08943542048729373
2013-09-24,13.877,14.047,13.7853,13.9365,282711,282711,0.033994,0.245,13.9587,"Sep 24, 13",-0.0872085407388001
2013-09-25,13.9365,13.9705,13.7156,13.7496,350799,350799,-0.186957,-1.341,13.8377,"Sep 25, 13",-0.0994498297091958
2013-09-26,13.7411,13.8516,13.5711,13.6901,163417,163417,-0.059483,-0.433,13.6478,"Sep 26, 13",-0.10334686926905956
2013-09-27,13.5711,13.7581,13.5711,13.6221,344840,344840,-0.067985,-0.497,13.6289,"Sep 27, 13",-0.1078006287660467
2013-09-30,13.4691,13.7836,13.4521,13.7751,221859,221859,0.152963,1.123,13.705,"Sep 30, 13",-0.09777966989782555
2013-10-01,13.7666,13.9365,13.6901,13.928,180287,180287,0.152963,1.11,13.8845,"Oct 1, 13",-0.08776526067592348
2013-10-02,13.8516,13.9195,13.7793,13.86,157568,157568,-0.067984,-0.488,13.858,"Oct 2, 13",-0.09221902017291074
2013-10-03,13.8091,13.8516,13.6434,13.7666,200115,200115,-0.09348,-0.674,13.7548,"Oct 3, 13",-0.09833638983494893
2013-10-04,13.7326,13.9365,13.7326,13.911,168362,168362,0.144466,1.049,14.1432,"Oct 4, 13",-0.08887870055017036
2013-10-07,13.7836,13.8091,13.6562,13.7156,156664,156664,-0.195452,-1.405,13.7432,"Oct 7, 13",-0.10167670945768931
2013-10-08,13.7071,13.8091,13.6264,13.7496,283662,283662,0.033992,0.248,13.7329,"Oct 8, 13",-0.0994498297091958
2013-10-09,13.8176,14.047,13.7921,13.8346,324726,324726,0.084978,0.618,13.3962,"Oct 9, 13",-0.09388263033796179
2013-10-10,14.0045,14.3019,14.0045,14.2764,177448,177448,0.441894,3.194,14.2272,"Oct 10, 13",-0.06494629290018339
2013-10-11,14.1915,14.4464,14.166,14.3954,326450,326450,0.118967,0.833,14.3223,"Oct 11, 13",-0.05715221378045587
2013-10-14,14.3359,14.5739,14.2509,14.5739,160678,160678,0.178457,1.24,14.5212,"Oct 14, 13",-0.04546109510086459
2013-10-15,14.4889,14.6249,14.4379,14.5739,203362,203362,0,0,14.5665,"Oct 15, 13",-0.04546109510086459
2013-10-16,14.7013,14.8883,14.6673,14.8543,195875,195875,0.28043,1.924,14.8273,"Oct 16, 13",-0.027095886822111632
2013-10-17,14.7693,15.1007,14.7013,15.0667,257675,257675,0.212446,1.43,15.0194,"Oct 17, 13",-0.013184438040345808
2013-10-18,15.2367,15.2962,14.9435,14.9563,258669,258669,-0.110473,-0.733,15.0443,"Oct 18, 13",-0.020415247576630866
2013-10-21,14.9988,15.1475,14.9393,14.9563,161200,161200,0,0,15.017,"Oct 21, 13",-0.020415247576630866
2013-10-22,15.0498,15.0498,14.8968,14.9563,158055,158055,0,0,14.9756,"Oct 22, 13",-0.020415247576630866
2013-10-23,14.8713,15.0667,14.7693,14.9308,201510,201510,-0.025494,-0.17,14.9396,"Oct 23, 13",-0.022085407388001115
2013-10-24,14.9903,15.1687,14.9053,15.1177,154167,154167,0.186955,1.252,15.0734,"Oct 24, 13",-0.009844118417605543
2013-10-25,15.5171,16.231,15.5171,16.2225,262801,262801,1.1047,7.307,16.0177,"Oct 25, 13",0.0625163741157977
2013-10-28,15.5766,16.18,15.4492,16.061,343478,343478,-0.161459,-0.995,16.0211,"Oct 28, 13",0.051938695310453184
2013-10-29,16.061,16.1885,15.8486,16.0185,240919,240919,-0.042487,-0.265,16.0238,"Oct 29, 13",0.04915509562483618
2013-10-30,16.078,16.2225,15.9675,16.0525,316147,316147,0.03399,0.212,16.0731,"Oct 30, 13",0.05138197537332969
2013-10-31,16.01,16.0865,15.925,15.925,237528,237528,-0.127466,-0.794,15.9935,"Oct 31, 13",0.04303117631647891
2013-11-01,15.8656,15.993,15.6191,15.7636,332448,332448,-0.161461,-1.014,15.8475,"Nov 1, 13",0.03246004715745347
2013-11-04,15.8401,15.959,15.6956,15.8571,290554,290554,0.093478,0.593,15.8555,"Nov 4, 13",0.03858396646581086
