date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,54.2796,55.3125,54.2796,55.2123,63534,63534,0.724547,1.33,54.9228,"Aug 5, 13",0
2013-08-06,54.6188,54.7729,54.5802,54.719,33716,33716,-0.493311,-0.893,54.671,"Aug 6, 13",-0.008934603340197708
2013-08-07,54.349,54.6727,54.1023,54.5494,27673,27673,-0.169575,-0.31,54.5013,"Aug 7, 13",-0.012006382635753274
2013-08-08,54.5417,54.8577,54.0561,54.7806,77104,77104,0.231241,0.424,54.5353,"Aug 8, 13",-0.007818909916812002
2013-08-09,54.48,55.0735,54.3721,54.9579,33402,33402,0.177282,0.324,54.7699,"Aug 9, 13",-0.004607668943333222
2013-08-12,54.4184,54.9887,54.3181,54.9502,41054,41054,-0.007706,-0.014,54.7674,"Aug 12, 13",-0.004747130621256435
2013-08-13,54.2642,54.904,54.2642,54.7806,54543,54543,-0.169576,-0.309,54.6716,"Aug 13, 13",-0.007818909916812002
2013-08-14,54.4261,54.4607,53.8788,53.9405,55111,55111,-0.84017,-1.534,54.2676,"Aug 14, 13",-0.023034722335421618
2013-08-15,53.7401,54.1255,53.5705,54.0561,25721,25721,0.115621,0.214,53.8897,"Aug 15, 13",-0.020940985975950982
2013-08-16,54.2642,54.5571,54.1177,54.4569,47874,47874,0.400813,0.741,54.3719,"Aug 16, 13",-0.01368173396145427
2013-08-19,54.2257,54.2257,53.6167,53.6553,51777,51777,-0.801629,-1.472,53.9545,"Aug 19, 13",-0.02820023799044782
2013-08-20,53.3778,53.4163,51.4354,51.7591,96270,96270,-1.8962,-3.534,52.172,"Aug 20, 13",-0.06254403457200665
2013-08-21,51.5279,52.1484,51.1733,51.3583,45947,45947,-0.400813,-0.774,51.4896,"Aug 21, 13",-0.06980328658650335
2013-08-22,51.0346,51.4585,50.5567,50.7956,49026,49026,-0.562683,-1.096,50.9199,"Aug 22, 13",-0.07999485621863242
2013-08-23,50.8881,51.4199,50.8496,51.1502,72198,72198,0.354565,0.698,51.0841,"Aug 23, 13",-0.07357237427167498
2013-08-26,52.018,52.3096,51.5215,51.5215,52035,52035,0.371313,0.726,51.8433,"Aug 26, 13",-0.06684742349078006
2013-08-27,49.9315,49.9393,46.4172,46.7867,343799,343799,-4.7348,-9.19,47.7649,"Aug 27, 13",-0.15260367707920147
2013-08-28,46.771,48.0682,46.543,47.2348,234142,234142,0.448134,0.958,47.2812,"Aug 28, 13",-0.1444877319003193
2013-08-29,47.5493,49.5541,47.5493,48.6971,234196,234196,1.4623,3.096,48.88,"Aug 29, 13",-0.11800269142926487
2013-08-30,49.5384,50.1123,49.4735,49.8057,113197,113197,1.1085,2.276,49.7549,"Aug 30, 13",-0.0979238321895664
2013-09-03,49.8922,50.3089,49.2829,49.3733,96062,96062,-0.432411,-0.868,49.5365,"Sep 3, 13",-0.1057554204407351
2013-09-04,48.9251,48.9802,48.5871,48.7522,81383,81383,-0.621097,-1.258,48.7929,"Sep 4, 13",-0.11700472539633373
2013-09-05,48.9566,49.1217,48.5871,49.0431,84528,84528,0.290892,0.597,48.963,"Sep 5, 13",-0.11173597187583195
2013-09-06,49.6878,50.2224,49.2711,50.2066,83347,83347,1.1636,2.373,49.8858,"Sep 6, 13",-0.09066276898444726
2013-09-09,50.2695,51.213,50.2381,51.213,86225,86225,1.0063,2.004,50.8817,"Sep 9, 13",-0.07243494656082065
2013-09-10,51.2916,52.4709,51.2916,52.4237,119314,119314,1.2107,2.364,52.0328,"Sep 10, 13",-0.05050686169567293
2013-09-11,52.3451,52.5259,52.0935,52.3687,66207,66207,-0.055036,-0.105,52.3294,"Sep 11, 13",-0.05150301653798161
2013-09-12,52.3608,52.3608,51.5589,51.6926,41295,41295,-0.676131,-1.291,51.7712,"Sep 12, 13",-0.06374847633588893
2013-09-13,51.3545,52.235,50.9221,52.2115,120195,120195,0.518892,1.004,51.7215,"Sep 13, 13",-0.05435020819636201
2013-09-16,53.0291,53.147,52.5259,52.7146,41427,41427,0.503166,0.964,52.7623,"Sep 16, 13",-0.04523810817517115
2013-09-17,52.8326,53.4615,52.7775,53.3436,75651,75651,0.62896,1.193,53.2485,"Sep 17, 13",-0.03384571916040442
2013-09-18,53.2414,55.427,53.2217,55.3405,110079,110079,1.9969,3.744,54.5397,"Sep 18, 13",0.0023219463778904274
2013-09-19,55.3012,56.056,55.3012,55.655,89575,89575,0.31448,0.568,55.6552,"Sep 19, 13",0.00801814088527379
2013-09-20,55.3405,56.6771,54.9081,54.9867,54560,54560,-0.668271,-1.201,55.5404,"Sep 20, 13",-0.004086046044088003
2013-09-23,54.9396,55.0496,53.9332,53.9647,68105,68105,-1.0221,-1.859,54.2813,"Sep 23, 13",-0.022596414204805786
2013-09-24,53.9961,54.1612,53.6738,53.7603,33506,33506,-0.20441,-0.379,53.9036,"Sep 24, 13",-0.026298487836949342
2013-09-25,53.6188,54.7823,52.6281,52.8719,128103,128103,-0.888405,-1.653,52.8919,"Sep 25, 13",-0.04238910532616831
2013-09-26,53.2178,53.6502,52.9348,53.32,69156,69156,0.448135,0.848,53.2425,"Sep 26, 13",-0.034273160147286
2013-09-27,52.9977,52.9977,52.0935,52.636,40850,40850,-0.683994,-1.283,52.6881,"Sep 27, 13",-0.04666170400436128
2013-09-30,52.864,53.489,52.8168,53.3357,76457,76457,0.699717,1.329,53.1916,"Sep 30, 13",-0.033988803219572386
2013-10-01,53.3121,55.1518,53.2257,55.1361,105411,105411,1.8004,3.376,54.494,"Oct 1, 13",-0.0013801272542531293
2013-10-02,55.0811,55.3248,54.7745,55.1361,89565,89565,0,0,55.0494,"Oct 2, 13",-0.0013801272542531293
2013-10-03,55.5056,56.1031,54.6094,55.254,140446,140446,0.117933,0.214,55.3893,"Oct 3, 13",0.000755266489532201
2013-10-04,55.3248,55.6629,54.916,55.199,344911,344911,-0.055034,-0.1,55.3858,"Oct 4, 13",-0.00024088835277648237
2013-10-07,54.798,54.8845,54.2398,54.2398,59279,59279,-0.959165,-1.738,54.5177,"Oct 7, 13",-0.017613828802639928
