date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,35.06,36,35.06,36,6500,6500,0.6,1.695,35.8796,"Aug 5, 13",0
2013-08-06,35.93,35.93,35.5,35.5,400,400,-0.5,-1.389,35.715,"Aug 6, 13",-0.013888888888888888
2013-08-07,35.21,36,35.21,35.65,769,769,0.15,0.423,35.6753,"Aug 7, 13",-0.009722222222222262
2013-08-08,35.95,35.95,35.95,35.95,200,200,0.3,0.842,35.95,"Aug 8, 13",-0.00138888888888881
2013-08-09,36,36,35.9999,35.9999,1000,1000,0.0499,0.139,36,"Aug 9, 13",-0.0000027777777778699906
2013-08-12,35.59,35.91,34.67,35.89,1550,1550,-0.1099,-0.305,35.35,"Aug 12, 13",-0.0030555555555555397
2013-08-13,36,36,35.9737,36,1150,1150,0.11,0.306,35.9904,"Aug 13, 13",0
2013-08-14,35.9,35.9,35.9,35.9,400,400,-0.1,-0.278,35.9,"Aug 14, 13",-0.0027777777777778173
2013-08-15,35.9899,35.99,35.8006,35.84,600,600,-0.06,-0.167,35.8903,"Aug 15, 13",-0.00444444444444435
2013-08-19,36,36,36,36,100,100,0.16,0.446,36,"Aug 19, 13",0
2013-08-20,36,36,36,36,100,100,0,0,36,"Aug 20, 13",0
2013-08-21,36,36.37,35.97,36.37,9237,9237,0.37,1.028,36.2099,"Aug 21, 13",0.010277777777777707
2013-08-22,36.37,36.37,36.26,36.26,249,249,-0.11,-0.302,36.3258,"Aug 22, 13",0.007222222222222167
2013-08-23,36.25,36.5,36.124,36.5,5698,5698,0.24,0.662,36.285,"Aug 23, 13",0.013888888888888888
2013-08-26,36.45,36.55,36.345,36.42,3550,3550,-0.08,-0.219,36.5117,"Aug 26, 13",0.011666666666666714
2013-08-27,36.06,36.06,36.06,36.06,200,200,-0.36,-0.988,36.06,"Aug 27, 13",0.0016666666666667299
2013-08-30,35.5,35.52,35.5,35.52,1046,1046,-0.54,-1.498,35.5028,"Aug 30, 13",-0.013333333333333246
2013-09-03,35.28,36.3,35.28,36.3,1406,1406,0.78,2.196,35.4505,"Sep 3, 13",0.008333333333333255
2013-09-04,36.4999,36.5,34.81,36.38,2245,2245,0.08,0.22,36.1033,"Sep 4, 13",0.010555555555555627
2013-09-05,36.5,36.5,36.48,36.5,1100,1100,0.12,0.33,36.4973,"Sep 5, 13",0.013888888888888888
2013-09-10,36.5,36.52,36.4,36.52,1300,1300,0.02,0.055,36.4931,"Sep 10, 13",0.01444444444444453
2013-09-11,36.51,36.51,36.5099,36.5099,300,300,-0.0101,-0.028,36.51,"Sep 11, 13",0.01416388888888894
2013-09-12,34.17,35.7,34.17,35.7,300,300,-0.8099,-2.218,34.68,"Sep 12, 13",-0.008333333333333255
2013-09-13,35.64,35.64,35.64,35.64,100,100,-0.06,-0.168,35.64,"Sep 13, 13",-0.009999999999999985
2013-09-17,35.6638,35.6638,35.6,35.6,1010,1010,-0.04,-0.112,35.6198,"Sep 17, 13",-0.011111111111111072
2013-09-18,35.76,35.92,35.76,35.92,868,868,0.32,0.899,35.8591,"Sep 18, 13",-0.002222222222222175
2013-09-19,36.23,36.23,36.23,36.23,100,100,0.31,0.863,36.23,"Sep 19, 13",0.006388888888888802
2013-09-20,36.45,36.5,36.07,36.3,1300,1300,0.07,0.193,36.3615,"Sep 20, 13",0.008333333333333255
2013-09-23,36.5,37,36.5,37,16043,16043,0.7,1.928,36.7481,"Sep 23, 13",0.027777777777777776
