date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,15.9252,15.9438,15.3953,15.6742,10832775,10832775,-0.334681,-2.091,15.6121,"Aug 5, 13",0
2013-08-06,15.5812,15.5997,15.0234,15.0513,10839919,10839919,-0.622878,-3.974,15.1443,"Aug 6, 13",-0.03974046522310557
2013-08-07,14.977,14.977,14.5576,14.6702,12409753,12409753,-0.381162,-2.532,14.7324,"Aug 7, 13",-0.06405430580189109
2013-08-08,14.9026,14.9584,14.6144,14.6516,8883305,8883305,-0.018595,-0.127,14.7734,"Aug 8, 13",-0.06524096923606951
2013-08-09,14.6051,14.7166,14.3541,14.5679,10772927,10772927,-0.083668,-0.571,14.5337,"Aug 9, 13",-0.07058095468987259
2013-08-12,14.5493,14.8003,14.5168,14.6237,9882871,9882871,0.05578,0.383,14.6336,"Aug 12, 13",-0.06702096438733723
2013-08-13,14.6702,14.6702,14.038,14.289,15943587,15943587,-0.334681,-2.289,14.2233,"Aug 13, 13",-0.08837452629161303
2013-08-14,14.2146,14.2239,13.88,14.0473,12906134,12906134,-0.241713,-1.692,14.0244,"Aug 14, 13",-0.10379477102499654
2013-08-15,13.6289,14.9658,13.2292,14.791,26826987,26826987,0.743732,5.294,14.236,"Aug 15, 13",-0.05634737339066749
2013-08-16,14.8747,15.479,14.8375,15.135,22727760,22727760,0.343979,2.326,15.2135,"Aug 16, 13",-0.03440047976930248
2013-08-19,15.3953,15.3953,14.4656,14.5493,14061265,14061265,-0.58569,-3.87,14.8641,"Aug 19, 13",-0.071767618124051
2013-08-20,14.7166,15.1629,14.5865,15.0513,9927869,9927869,0.502018,3.45,14.9553,"Aug 20, 13",-0.03974046522310557
2013-08-21,14.9491,15.3209,14.8468,14.9677,13099987,13099987,-0.083669,-0.556,15.1029,"Aug 21, 13",-0.04507407076597211
2013-08-22,15.0234,15.4325,14.977,15.1722,6436959,6436959,0.204529,1.366,15.2101,"Aug 22, 13",-0.032027152900945544
2013-08-23,15.2745,15.2745,14.5214,14.9305,10116044,10116044,-0.241716,-1.593,14.8259,"Aug 23, 13",-0.04744739763432905
2013-08-26,14.8933,15.5626,14.6702,15.0141,6704372,6704372,0.083668,0.56,15.0405,"Aug 26, 13",-0.04211379209146251
2013-08-27,14.7631,14.8561,14.4378,14.4935,9572459,9572459,-0.520611,-3.467,14.5673,"Aug 27, 13",-0.07532760842658646
2013-08-28,14.4471,14.4656,14.0966,14.2983,10373884,10373884,-0.195229,-1.347,14.2855,"Aug 28, 13",-0.08778119457452382
2013-08-29,14.3076,14.9119,14.2797,14.7445,9268155,9268155,0.446241,3.121,14.7136,"Aug 29, 13",-0.05931403197611364
2013-08-30,14.7631,14.7631,14.2611,14.3076,7886048,7886048,-0.436947,-2.963,14.3838,"Aug 30, 13",-0.0871878628574345
2013-09-03,14.4935,14.6702,14.2983,14.3076,9145070,9145070,0,0,14.4567,"Sep 3, 13",-0.0871878628574345
2013-09-04,14.3169,14.5214,14.1635,14.2425,10063608,10063608,-0.065074,-0.455,14.3088,"Sep 4, 13",-0.09134118487705918
2013-09-05,14.3076,14.382,14.0752,14.1774,7602616,7602616,-0.065078,-0.457,14.2111,"Sep 5, 13",-0.09549450689668373
