date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,15.7781,15.9224,15.6266,15.742,36429,36429,-0.036073,-0.229,15.7429,"Aug 5, 13",0
2013-08-06,15.7564,15.9079,15.6266,15.8358,40097,40097,0.093789,0.596,15.7283,"Aug 6, 13",0.005958582136958448
2013-08-07,15.7492,15.9296,15.7492,15.8141,57005,57005,-0.021644,-0.137,15.8311,"Aug 7, 13",0.0045801041799008345
2013-08-08,15.8935,16.045,15.8682,15.9224,54818,54818,0.108217,0.684,15.9318,"Aug 8, 13",0.011459789099224925
2013-08-09,16.0306,16.1388,15.7791,15.9079,46775,46775,-0.014429,-0.091,15.8988,"Aug 9, 13",0.010538686316859282
2013-08-12,15.8069,15.944,15.6915,15.8141,88098,88098,-0.093788,-0.59,15.7705,"Aug 12, 13",0.0045801041799008345
2013-08-13,15.7853,16.045,15.6193,15.8719,128337,128337,0.057716,0.365,15.8072,"Aug 13, 13",0.008251810443399774
2013-08-14,15.861,15.9873,15.7997,15.8719,100040,100040,0,0,15.8677,"Aug 14, 13",0.008251810443399774
2013-08-15,15.7853,15.8791,15.7131,15.742,97355,97355,-0.129861,-0.818,15.7913,"Aug 15, 13",0
2013-08-16,15.7636,15.8286,15.6915,15.7709,55948,55948,0.028858,0.183,15.7734,"Aug 16, 13",0.0018358531317493566
2013-08-19,15.7709,15.7709,15.3055,15.4823,81305,81305,-0.288579,-1.83,15.5373,"Aug 19, 13",-0.016497268453817843
2013-08-20,15.4534,15.7348,15.2947,15.6915,46550,46550,0.20922,1.351,15.594,"Aug 20, 13",-0.003207978655825265
2013-08-21,15.6482,15.6482,15.2319,15.4462,55300,55300,-0.245292,-1.563,15.4651,"Aug 21, 13",-0.01879049676025928
2013-08-22,15.5039,15.5111,15.3741,15.4462,22398,22398,0,0,15.4392,"Aug 22, 13",-0.01879049676025928
2013-08-23,15.439,15.5111,15.338,15.4462,51232,51232,0,0,15.4296,"Aug 23, 13",-0.01879049676025928
2013-08-26,15.4462,15.4462,15.3019,15.3236,49067,49067,-0.122646,-0.794,15.363,"Aug 26, 13",-0.026578579595985266
2013-08-27,15.2298,15.3813,15.1432,15.1865,99553,99553,-0.137076,-0.895,15.2431,"Aug 27, 13",-0.03528776521407701
2013-08-28,15.1793,15.4101,15.1136,15.2226,99397,99397,0.036073,0.238,15.224,"Aug 28, 13",-0.03299453690763569
2013-08-29,15.2226,15.3813,15.071,15.2514,96762,96762,0.028858,0.19,15.2614,"Aug 29, 13",-0.03116503620886803
2013-08-30,15.2298,15.3308,15.1576,15.2153,124246,124246,-0.036073,-0.237,15.2266,"Aug 30, 13",-0.03345826451530947
2013-09-03,15.338,15.7564,15.3163,15.6699,87953,87953,0.454513,2.987,15.5347,"Sep 3, 13",-0.004580104179900947
2013-09-04,15.7059,15.7059,15.4462,15.4751,44362,44362,-0.194791,-1.243,15.591,"Sep 4, 13",-0.016954643628509812
2013-09-05,15.4895,15.5472,15.2009,15.2514,47601,47601,-0.223649,-1.445,15.3434,"Sep 5, 13",-0.03116503620886803
2013-09-06,15.3236,15.3885,15.0566,15.136,38528,38528,-0.115432,-0.757,15.2154,"Sep 6, 13",-0.038495743869902274
2013-09-09,15.1793,15.5761,15.1071,15.5688,36150,36150,0.432869,2.86,15.4434,"Sep 9, 13",-0.011002413924533182
2013-09-10,15.5833,15.6699,15.5328,15.6193,40529,40529,0.050501,0.324,15.5972,"Sep 10, 13",-0.007794435268707917
2013-09-11,15.5761,15.6554,15.3091,15.54,56967,56967,-0.079359,-0.508,15.5332,"Sep 11, 13",-0.012831914623300834
2013-09-12,15.5111,15.8069,15.4318,15.4895,24608,24608,-0.050501,-0.325,15.5013,"Sep 12, 13",-0.016039893279125986
