date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,7.81,7.98,7.71,7.91,175252,175252,0.07,0.893,7.9142,"Aug 5, 13",0
2013-08-06,7.88,7.975,7.61,7.69,345707,345707,-0.22,-2.781,7.7538,"Aug 6, 13",-0.027812895069532207
2013-08-07,7.65,7.705,7.45,7.64,254115,254115,-0.05,-0.65,7.5425,"Aug 7, 13",-0.03413400758533508
2013-08-08,7.7,7.76,7.62,7.69,126301,126301,0.05,0.654,7.6927,"Aug 8, 13",-0.027812895069532207
2013-08-09,7.68,7.7,7.42,7.46,310372,310372,-0.23,-2.991,7.5146,"Aug 9, 13",-0.056890012642225055
2013-08-12,7.45,7.66,7.45,7.53,302019,302019,0.07,0.938,7.5602,"Aug 12, 13",-0.048040455120101126
2013-08-13,7.53,7.88,7.03,7.64,428762,428762,0.11,1.461,7.6404,"Aug 13, 13",-0.03413400758533508
2013-08-14,7.84,8.2,7.5215,7.81,554727,554727,0.17,2.225,7.9399,"Aug 14, 13",-0.01264222503160563
2013-08-15,7.74,7.74,7.49,7.5,284062,284062,-0.31,-3.969,7.5931,"Aug 15, 13",-0.051833122629582826
2013-08-16,7.5,7.64,7.46,7.53,227243,227243,0.03,0.4,7.5379,"Aug 16, 13",-0.048040455120101126
2013-08-19,7.47,7.58,7.37,7.37,232135,232135,-0.16,-2.125,7.4481,"Aug 19, 13",-0.06826801517067003
2013-08-20,7.35,7.35,7.03,7.16,325209,325209,-0.21,-2.849,7.1725,"Aug 20, 13",-0.09481668773704172
2013-08-21,7.1,7.23,7.04,7.16,192238,192238,0,0,7.136,"Aug 21, 13",-0.09481668773704172
2013-08-22,7.2,7.3,7.2,7.27,57116,57116,0.11,1.536,7.2536,"Aug 22, 13",-0.08091024020227568
2013-08-23,7.27,7.38,7.2,7.38,133639,133639,0.11,1.513,7.3228,"Aug 23, 13",-0.06700379266750951
2013-08-26,7.37,7.41,7.3,7.33,209904,209904,-0.05,-0.678,7.3471,"Aug 26, 13",-0.07332490518331226
2013-08-27,7.25,7.38,7.21,7.35,286155,286155,0.02,0.273,7.3337,"Aug 27, 13",-0.07079646017699122
2013-08-28,7.36,7.53,7.36,7.41,108216,108216,0.06,0.816,7.423,"Aug 28, 13",-0.0632111251580278
2013-08-29,7.43,7.68,7.43,7.66,231797,231797,0.25,3.374,7.6331,"Aug 29, 13",-0.0316055625790139
2013-08-30,7.66,7.7,7.27,7.28,340980,340980,-0.38,-4.961,7.4184,"Aug 30, 13",-0.07964601769911503
2013-09-03,7.36,7.493,7.2,7.26,228370,228370,-0.02,-0.275,7.277,"Sep 3, 13",-0.0821744627054362
2013-09-04,7.25,7.575,7.25,7.51,174783,174783,0.25,3.444,7.483,"Sep 4, 13",-0.050568900126422296
2013-09-05,7.52,7.67,7.52,7.65,116925,116925,0.14,1.864,7.6331,"Sep 5, 13",-0.03286978508217443
2013-09-06,7.7,7.73,7.4201,7.53,109677,109677,-0.12,-1.569,7.5554,"Sep 6, 13",-0.048040455120101126
2013-09-09,7.56,7.6595,7.5,7.64,85835,85835,0.11,1.461,7.6001,"Sep 9, 13",-0.03413400758533508
2013-09-10,7.68,7.751,7.57,7.62,171626,171626,-0.02,-0.262,7.6231,"Sep 10, 13",-0.03666245259165613
2013-09-11,7.58,7.6,7.481,7.5,124731,124731,-0.12,-1.575,7.5288,"Sep 11, 13",-0.051833122629582826
2013-09-12,7.48,7.55,7.4,7.51,111481,111481,0.01,0.133,7.4778,"Sep 12, 13",-0.050568900126422296
2013-09-13,7.55,7.64,7.38,7.64,132793,132793,0.13,1.731,7.5662,"Sep 13, 13",-0.03413400758533508
