date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,14.1121,14.5354,13.8325,13.9458,2167538,2167538,0.052912,0.381,13.9978,"Aug 5, 13",0
2013-08-06,13.9081,14.0063,13.8492,13.9761,1019449,1019449,0.030235,0.217,13.9463,"Aug 6, 13",0.002172697156133061
2013-08-07,13.9081,13.9761,13.3865,13.6964,1150842,1150842,-0.279673,-2.001,13.6756,"Aug 7, 13",-0.017883520486454675
2013-08-08,13.7569,14.0517,13.7266,13.8098,1486101,1486101,0.11338,0.828,13.879,"Aug 8, 13",-0.00975204004072918
2013-08-09,13.84,14.0441,13.6208,13.6435,883880,883880,-0.166291,-1.204,13.8117,"Aug 9, 13",-0.021676777237591295
2013-08-12,13.6057,14.0214,13.5981,13.7569,950171,950171,0.113381,0.831,13.8192,"Aug 12, 13",-0.013545296791865672
2013-08-13,13.8249,14.0063,13.7301,13.9156,692198,692198,0.158733,1.154,13.9069,"Aug 13, 13",-0.0021655265384560706
2013-08-14,13.9156,14.3465,13.1371,14.0441,2667398,2667398,0.128498,0.923,13.8429,"Aug 14, 13",0.007048717176497587
2013-08-15,13.4243,13.4621,12.419,12.4643,2528367,2528367,-1.5798,-11.249,12.6867,"Aug 15, 13",-0.10623270088485426
2013-08-16,12.4492,12.9405,12.4341,12.8574,1794216,1794216,0.393053,3.153,12.824,"Aug 16, 13",-0.07804500279654089
2013-08-19,12.8649,12.9254,12.5777,12.5853,803820,803820,-0.272113,-2.116,12.7787,"Aug 19, 13",-0.09755625349567612
2013-08-20,12.5777,12.9481,12.487,12.9027,1858299,1858299,0.317466,2.523,12.68,"Aug 20, 13",-0.07479671298885691
2013-08-21,12.9179,12.9557,12.4946,12.555,800514,800514,-0.347702,-2.695,12.6528,"Aug 21, 13",-0.09972895065180919
2013-08-22,12.7667,12.812,12.6609,12.7213,348654,348654,0.166293,1.325,12.743,"Aug 22, 13",-0.08780421345494707
2013-08-23,12.7742,12.8498,12.5324,12.676,588438,588438,-0.045353,-0.357,12.6628,"Aug 23, 13",-0.09105250326263105
2013-08-26,12.6231,12.6231,11.6858,11.6933,2174206,2174206,-0.982634,-7.752,12.0085,"Aug 26, 13",-0.16151816317457582
2013-08-27,11.4137,11.8974,11.2323,11.7463,1936694,1936694,0.052911,0.452,11.6669,"Aug 27, 13",-0.15771773580576234
2013-08-28,11.7009,11.8899,11.4658,11.5422,1294178,1294178,-0.204086,-1.737,11.5987,"Aug 28, 13",-0.17235296648453305
2013-08-29,11.5044,11.8521,11.4741,11.7311,1229061,1229061,0.188969,1.637,11.7021,"Aug 29, 13",-0.15880766969266735
2013-08-30,11.7387,11.8218,11.4893,11.5875,685225,685225,-0.143616,-1.224,11.6036,"Aug 30, 13",-0.16910467667684892
2013-09-03,11.7463,11.8143,11.5422,11.7841,1049165,1049165,0.196526,1.696,11.7159,"Sep 3, 13",-0.15500724232385377
2013-09-04,11.8067,11.9881,11.716,11.9428,1616095,1616095,0.158734,1.347,11.9111,"Sep 4, 13",-0.14362747207044416
2013-09-05,11.9428,12.1015,11.9428,11.9957,915827,915827,0.052911,0.443,12.0258,"Sep 5, 13",-0.13983421531930768
2013-09-06,12.0637,12.094,11.716,11.9655,820981,820981,-0.030235,-0.252,11.9689,"Sep 6, 13",-0.1419997418577636
2013-09-09,11.9881,12.0788,11.716,12.0486,1066058,1066058,0.083146,0.695,11.8926,"Sep 9, 13",-0.13604095856817106
2013-09-10,12.094,12.1318,11.9239,11.9352,974387,974387,-0.113381,-0.941,12.0202,"Sep 10, 13",-0.14417243901389667
2013-09-11,11.8899,12.0637,11.8445,12.0486,1070137,1070137,0.113381,0.95,11.9905,"Sep 11, 13",-0.13604095856817106
2013-09-12,12.0486,12.094,11.8067,11.837,689681,689681,-0.211644,-1.757,11.9026,"Sep 12, 13",-0.15121398557271726
2013-09-13,11.837,12.1091,11.716,12.1015,1106894,1106894,0.264555,2.235,11.958,"Sep 13, 13",-0.13224770181703455
2013-09-16,12.2905,12.4719,12.162,12.4341,1106922,1106922,0.332584,2.748,12.3619,"Sep 16, 13",-0.10839822742331019
2013-09-17,12.487,12.7591,12.3585,12.7591,913959,913959,0.325025,2.614,12.6239,"Sep 17, 13",-0.08509371997303848
2013-09-18,12.7591,12.8272,12.4946,12.7591,600990,600990,0,0,12.6925,"Sep 18, 13",-0.08509371997303848
2013-09-19,12.8347,12.8347,12.4265,12.6798,494361,494361,-0.079366,-0.622,12.592,"Sep 19, 13",-0.09078001979090479
2013-09-20,12.676,13.1673,12.6684,13.069,1344965,1344965,0.389274,3.07,12.9983,"Sep 20, 13",-0.06287197579199467
2013-09-23,13.0539,13.069,12.4522,12.7818,874967,874967,-0.287231,-2.198,12.7467,"Sep 23, 13",-0.08346598976035793
2013-09-24,12.7742,13.2429,12.6457,12.8649,1052015,1052015,0.083145,0.65,13.0087,"Sep 24, 13",-0.07750720647076537
2013-09-25,12.9179,13.2051,12.7894,13.1333,900198,900198,0.268335,2.086,13.0784,"Sep 25, 13",-0.058261268625679416
2013-09-26,13.1522,13.1522,12.6835,12.6987,825927,825927,-0.434627,-3.309,12.8759,"Sep 26, 13",-0.0894247730499505
2013-09-27,12.6987,13.1295,12.5399,13.0766,864028,864028,0.377936,2.976,12.9962,"Sep 27, 13",-0.06232700884854229
