date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,21.3065,21.4261,21.2667,21.4261,609427,632866,-0.169336,-0.784,21.3735,"Aug 5, 13",0
2013-08-06,21.3564,21.3962,21.197,21.2169,332391,345175,-0.209181,-0.976,21.2742,"Aug 6, 13",-0.009763792757431482
2013-08-07,21.2368,21.7249,21.2169,21.695,740160,768628,0.478127,2.254,21.4987,"Aug 7, 13",0.012550114113160983
2013-08-08,21.4858,21.5954,21.3862,21.456,791788,822241,-0.239063,-1.102,21.4603,"Aug 8, 13",0.0013954942803402306
2013-08-09,21.3065,21.5157,21.2567,21.436,521896,541969,-0.019923,-0.093,21.3521,"Aug 9, 13",0.00046205329014604817
2013-08-12,21.1571,21.4958,21.1173,21.4261,544427,565367,-0.00996,-0.046,21.3538,"Aug 12, 13",0
2013-08-13,21.2866,21.3962,21.186,21.3165,642194,666894,-0.109571,-0.511,21.28,"Aug 13, 13",-0.005115256626264246
2013-08-14,21.2866,21.3763,21.2667,21.3165,492732,511683,0,0,21.3269,"Aug 14, 13",-0.005115256626264246
2013-08-15,21.1173,21.1173,20.8185,20.8583,420671,436851,-0.458205,-2.15,20.9138,"Aug 15, 13",-0.02650038971161349
2013-08-16,20.9679,20.9978,20.6491,20.8583,524044,544200,0,0,20.8508,"Aug 16, 13",-0.02650038971161349
2013-08-19,20.8882,21.0177,20.8483,20.928,578948,601215,0.069726,0.334,20.9115,"Aug 19, 13",-0.02324734786078665
2013-08-20,20.8782,20.948,20.7587,20.938,403247,418756,0.009962,0.048,20.8816,"Aug 20, 13",-0.022780627365689643
2013-08-21,20.7687,21.0774,20.7288,20.948,1250182,1298266,0.00996,0.048,20.8267,"Aug 21, 13",-0.022313906870592468
2013-08-22,20.7786,20.8683,20.6591,20.8185,601043,624160,-0.129493,-0.618,20.7839,"Aug 22, 13",-0.028357937282099937
2013-08-23,20.7786,20.9081,20.7238,20.8882,258949,268909,0.069728,0.335,20.8208,"Aug 23, 13",-0.025104895431273096
2013-08-26,20.8782,20.9978,20.8384,20.928,454089,471554,0.039843,0.191,20.8942,"Aug 26, 13",-0.02324734786078665
2013-08-27,20.5495,20.6392,20.2507,20.42,795629,826230,-0.508009,-2.427,20.4235,"Aug 27, 13",-0.04695674901171935
2013-08-28,20.181,20.3104,20.1312,20.2905,686431,712832,-0.129493,-0.634,20.2169,"Aug 28, 13",-0.05300077942322681
2013-08-29,20.1312,20.3403,20.1013,20.3104,630917,655183,0.019921,0.098,20.2274,"Aug 29, 13",-0.052072005637983594
2013-08-30,20.0515,20.1212,19.9319,19.9618,774093,803866,-0.348634,-1.717,20.0016,"Aug 30, 13",-0.0683418820970686
2013-09-03,19.9817,20.3105,19.9319,20.2507,914789,949973,0.288868,1.447,20.1717,"Sep 3, 13",-0.05485832699371342
2013-09-04,20.2108,20.7288,20.2009,20.7188,741632,770156,0.468167,2.312,20.5331,"Sep 4, 13",-0.033011140618217964
2013-09-05,20.6392,20.9181,20.6219,20.9081,905142,939955,0.189259,0.913,20.8,"Sep 5, 13",-0.02417612164602987
2013-09-06,20.7687,20.8483,20.5296,20.5296,550584,571760,-0.378517,-1.81,20.6677,"Sep 6, 13",-0.041841492385455266
2013-09-09,20.4599,20.7786,20.4599,20.7288,1145643,1189706,0.199219,0.97,20.5663,"Sep 9, 13",-0.032544420123120955
2013-09-10,20.9579,21.0177,20.8185,20.8583,390874,405908,0.129493,0.625,20.9119,"Sep 10, 13",-0.02650038971161349
2013-09-11,20.7487,20.938,20.679,20.8981,388463,403404,0.039843,0.191,20.851,"Sep 11, 13",-0.024642842141127046
2013-09-12,20.7188,20.7985,20.6491,20.7487,302992,314646,-0.149414,-0.715,20.7396,"Sep 12, 13",-0.03161564633787774
2013-09-13,20.7687,20.8384,20.6392,20.8384,269381,279742,0.089649,0.432,20.759,"Sep 13, 13",-0.02742916349685671
2013-09-16,21.3364,21.5058,21.187,21.3065,486441,505150,0.468165,2.247,21.3332,"Sep 16, 13",-0.00558197712136142
2013-09-17,21.5855,21.6253,21.2966,21.3663,422020,438252,0.059767,0.281,21.4413,"Sep 17, 13",-0.002790988560680793
2013-09-18,21.2767,21.6651,21.2567,21.5257,731954,760106,0.159376,0.746,21.4538,"Sep 18, 13",0.004648536131167072
2013-09-19,21.7149,21.7249,21.197,21.197,386373,401234,-0.328713,-1.527,21.3759,"Sep 19, 13",-0.010692566542674706
2013-09-20,21.0276,21.2169,20.9778,21.0675,787814,818115,-0.129492,-0.611,21.0764,"Sep 20, 13",-0.016736596954182174
2013-09-23,20.8981,20.9679,20.7587,20.9181,509727,529332,-0.149415,-0.709,20.8705,"Sep 23, 13",-0.023709401150932865
2013-09-24,20.8583,21.0675,20.7736,21.0575,474781,493042,0.139453,0.667,20.9485,"Sep 24, 13",-0.017203317449279183
2013-09-25,21.1571,21.2069,21.0177,21.0874,246443,255922,0.029883,0.142,21.1029,"Sep 25, 13",-0.01580782316893895
2013-09-26,21.187,21.4062,21.187,21.3962,298504,309985,0.308791,1.464,21.3142,"Sep 26, 13",-0.0013954942803403965
2013-09-27,21.4261,21.8594,21.4161,21.7946,516195,536049,0.39844,1.862,21.6771,"Sep 27, 13",0.017198650244328057
2013-09-30,21.436,21.5655,21.2269,21.3165,643656,668412,-0.478128,-2.194,21.3672,"Sep 30, 13",-0.005115256626264246
2013-10-01,21.456,21.954,21.4161,21.9341,766193,795662,0.617581,2.897,21.786,"Oct 1, 13",0.0237094011509327
2013-10-02,21.7448,21.7847,21.4261,21.5855,884066,918069,-0.348634,-1.589,21.5871,"Oct 2, 13",0.007439524691847698
2013-10-03,21.7249,21.7249,21.2069,21.2667,1511424,1569556,-0.318752,-1.477,21.3009,"Oct 3, 13",-0.007439524691847864
2013-10-04,21.1073,21.2269,21.0874,21.1173,487378,506123,-0.149415,-0.703,21.143,"Oct 4, 13",-0.014412328888598554
2013-10-07,20.9978,21.0575,20.8981,20.938,350478,363958,-0.179297,-0.849,20.968,"Oct 7, 13",-0.022780627365689643
2013-10-08,20.9778,21.0675,20.6392,20.7089,594417,617279,-0.229103,-1.094,20.7403,"Oct 8, 13",-0.03347319390836418
2013-10-09,20.689,20.7886,20.4399,20.7188,882318,916253,0.009961,0.048,20.597,"Oct 9, 13",-0.033011140618217964
2013-10-10,20.7089,20.928,20.679,20.7487,542267,563123,0.029883,0.144,20.7576,"Oct 10, 13",-0.03161564633787774
2013-10-11,20.8284,20.9679,20.7587,20.9679,413174,429065,0.219142,1.056,20.8618,"Oct 11, 13",-0.021385133085349246
2013-10-14,20.689,20.8782,20.679,20.8683,307408,319231,-0.099611,-0.475,20.7765,"Oct 14, 13",-0.026033669216516318
2013-10-15,20.5196,20.7687,20.4773,20.5495,1159374,1203965,-0.318751,-1.527,20.5599,"Oct 15, 13",-0.04091271860021205
2013-10-16,20.5595,20.7985,20.5495,20.7487,851851,884615,0.19922,0.969,20.6615,"Oct 16, 13",-0.03161564633787774
2013-10-17,20.7587,21.0376,20.679,21.0276,512491,532202,0.278907,1.344,20.8881,"Oct 17, 13",-0.01859881172961958
2013-10-18,20.9181,20.9679,20.8185,20.938,548999,570114,-0.089648,-0.426,20.8937,"Oct 18, 13",-0.022780627365689643
2013-10-21,20.8583,20.923,20.7487,20.8782,714720,742209,-0.059766,-0.285,20.8384,"Oct 21, 13",-0.025571615926370268
2013-10-22,21.2767,21.5556,21.1173,21.3862,679341,705470,0.508009,2.433,21.3211,"Oct 22, 13",-0.0018622147754375705
2013-10-23,21.3962,21.8146,21.3763,21.7648,411123,426935,0.378518,1.77,21.6479,"Oct 23, 13",0.015807823168938785
2013-10-24,21.9142,22.0636,21.7946,21.8345,509903,529515,0.069727,0.32,21.8972,"Oct 24, 13",0.01906086501976546
2013-10-25,21.8644,21.9241,21.705,21.7996,267829,278130,-0.034863,-0.16,21.8054,"Oct 25, 13",0.017432010491876725
2013-10-28,21.8444,21.8942,21.7349,21.8046,572793,594823,0.00498,0.023,21.8155,"Oct 28, 13",0.01766537073942523
2013-10-29,21.7548,21.8992,21.6004,21.8345,738380,766779,0.029883,0.137,21.7051,"Oct 29, 13",0.01906086501976546
2013-10-30,22.1333,22.4421,22.0437,22.213,905089,939900,0.378517,1.734,22.2757,"Oct 30, 13",0.03672623575919086
2013-10-31,22.6812,23.1493,22.5517,23.0696,779226,809196,0.856645,3.857,22.8781,"Oct 31, 13",0.07670551336920856
2013-11-01,22.8704,23.3485,22.8405,23.1593,1118296,1161307,0.089649,0.389,23.1274,"Nov 1, 13",0.08089199621022958
2013-11-04,22.8903,23.1693,22.8704,23.1194,862147,895306,-0.039844,-0.172,23.0574,"Nov 4, 13",0.079029781434792
2013-11-05,22.7609,22.99,22.7509,22.8704,850759,883480,-0.249024,-1.077,22.8752,"Nov 5, 13",0.06740844110687425
2013-11-06,22.6612,22.9202,22.5417,22.8206,782943,813056,-0.049805,-0.218,22.7535,"Nov 6, 13",0.06508417304129062
2013-11-07,22.6214,22.9501,22.472,22.5118,1172257,1217344,-0.308791,-1.353,22.7329,"Nov 7, 13",0.050671844152692234
2013-11-08,22.3226,22.6812,22.2927,22.5118,618440,642226,0,0,22.5273,"Nov 8, 13",0.050671844152692234
2013-11-11,22.5317,22.7409,22.5118,22.6911,435988,452757,0.179298,0.796,22.6788,"Nov 11, 13",0.05904014262978316
2013-11-12,22.5317,22.9999,22.5317,22.8704,1015106,1054149,0.179298,0.79,22.8255,"Nov 12, 13",0.06740844110687425
2013-11-13,22.4919,22.9202,22.4621,22.9003,818513,849994,0.029883,0.131,22.7506,"Nov 13, 13",0.06880393538721465
2013-11-14,23.0497,23.5328,23.0198,23.4681,922412,957889,0.567776,2.479,23.3835,"Nov 14, 13",0.09530432509882797
2013-11-15,23.5079,24.6435,23.5079,24.5538,2010156,2087470,1.0857,4.626,24.2288,"Nov 15, 13",0.1459761692515202
2013-11-18,24.2849,24.4293,23.6424,23.7769,1363158,1415587,-0.776957,-3.164,24.0322,"Nov 18, 13",0.10971665398742653
2013-11-19,23.4382,23.5677,23.1842,23.2589,1305462,1355672,-0.517971,-2.178,23.34,"Nov 19, 13",0.08554053234139665
2013-11-20,23.2489,23.6075,23.1991,23.3386,774920,804725,0.079688,0.343,23.3794,"Nov 20, 13",0.0892602946873205
2013-11-21,23.3286,23.478,23.1742,23.4581,636325,660799,0.119531,0.512,23.3411,"Nov 21, 13",0.09483760460373096
2013-11-22,23.4083,23.7071,23.3087,23.4681,828928,860810,0.009962,0.042,23.4692,"Nov 22, 13",0.09530432509882797
2013-11-25,23.2191,23.4183,23.1892,23.3386,764557,793963,-0.129493,-0.552,23.3382,"Nov 25, 13",0.0892602946873205
2013-11-26,23.2589,23.3485,23.1394,23.2987,465873,483791,-0.039845,-0.171,23.2577,"Nov 26, 13",0.08739807991188309
2013-11-27,23.3884,23.5976,23.3017,23.5079,390240,405249,0.209181,0.898,23.483,"Nov 27, 13",0.0971618726693144
2013-11-29,23.3884,23.498,23.1892,23.1991,259399,269376,-0.30879,-1.314,23.3043,"Nov 29, 13",0.08274954378071603
2013-12-02,22.98,23.3784,22.9302,23.3685,989565,1027625,0.169337,0.73,23.1964,"Dec 2, 13",0.0906557889676609
2013-12-03,23.2589,23.3386,23.1294,23.2888,421511,437723,-0.079688,-0.341,23.2625,"Dec 3, 13",0.08693602662173688
2013-12-04,22.9601,23.1693,22.9202,23.0099,687421,713860,-0.278907,-1.198,22.9901,"Dec 4, 13",0.07391919201347873
2013-12-05,22.9501,22.98,22.6413,22.8405,891358,925641,-0.169338,-0.736,22.7865,"Dec 5, 13",0.06601294682653384
2013-12-06,23.0099,23.4083,22.9999,23.3984,567306,589125,0.557816,2.442,23.2296,"Dec 6, 13",0.09205128324800113
2013-12-09,23.2788,23.3386,23.0995,23.1593,615342,639009,-0.239064,-1.022,23.2136,"Dec 9, 13",0.08089199621022958
2013-12-10,22.8306,22.99,22.6911,22.8505,1076365,1117764,-0.30879,-1.333,22.8189,"Dec 10, 13",0.06647966732163102
2013-12-11,22.4122,22.5118,22.0935,22.1333,932769,968645,-0.717191,-3.139,22.3265,"Dec 11, 13",0.03300647341326684
2013-12-12,22.1732,22.3325,22.0835,22.2329,398736,414072,0.09961,0.45,22.2203,"Dec 12, 13",0.03765500954443408
