date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-10-28,16.8,17.3,15,15.5,4593029,4593029,15.5,0,16.3269,"Oct 28, 16",0
2016-10-31,15.16,15.25,14.55,14.98,775941,775941,-0.52,-3.355,14.8152,"Oct 31, 16",-0.033548387096774164
2016-11-01,14.86,15.2,14.6,15,438162,438162,0.02,0.134,14.846,"Nov 1, 16",-0.03225806451612903
2016-11-02,15.09,15.19,14.428,14.68,256509,256509,-0.32,-2.133,14.6444,"Nov 2, 16",-0.05290322580645163
2016-11-03,14.64,14.64,14.36,14.36,149024,149024,-0.32,-2.18,14.4926,"Nov 3, 16",-0.07354838709677423
2016-11-04,14.3,14.9,13.751,14.07,152814,152814,-0.29,-2.019,14.1428,"Nov 4, 16",-0.09225806451612902
2016-11-07,14.75,14.75,14.04,14.14,87466,87466,0.07,0.498,14.2368,"Nov 7, 16",-0.08774193548387094
2016-11-08,14.07,14.326,14.01,14.07,227319,227319,-0.07,-0.495,14.0851,"Nov 8, 16",-0.09225806451612902
2016-11-09,14.13,15.33,13.99,15.3,233528,233528,1.23,8.742,14.7694,"Nov 9, 16",-0.012903225806451568
2016-11-10,15.41,15.4269,15,15.26,198833,198833,-0.04,-0.261,15.2329,"Nov 10, 16",-0.01548387096774195
2016-11-11,15.16,16.6999,14.875,16.19,118770,118770,0.93,6.094,15.9784,"Nov 11, 16",0.04451612903225815
2016-11-14,16.6,18.1748,16.31,17.66,416218,416218,1.47,9.08,17.1716,"Nov 14, 16",0.13935483870967744
2016-11-15,18.06,18.75,17.86,18.65,283775,283775,0.99,5.606,18.2469,"Nov 15, 16",0.2032258064516128
2016-11-16,19.27,19.27,18.5,19.03,121122,121122,0.38,2.038,18.8044,"Nov 16, 16",0.22774193548387103
2016-11-17,19,19.35,17.41,18.495,127933,127933,-0.535,-2.811,18.471,"Nov 17, 16",0.19322580645161297
2016-11-18,18.34,19.2816,17.82,18.99,460475,460475,0.495,2.676,19.0592,"Nov 18, 16",0.22516129032258053
2016-11-21,19.34,20.02,18.5001,19.99,210132,210132,1,5.266,19.3417,"Nov 21, 16",0.2896774193548386
2016-11-22,19.31,20.37,18.68,19.59,427555,427555,-0.4,-2.001,19.5021,"Nov 22, 16",0.26387096774193547
2016-11-23,19.63,20.63,19.53,19.99,269469,269469,0.4,2.042,20.069,"Nov 23, 16",0.2896774193548386
2016-11-25,20.05,20.389,19.94,20.01,34566,34566,0.02,0.1,20.1323,"Nov 25, 16",0.29096774193548397
2016-11-28,19.93,20.0603,19.0501,19.89,127089,127089,-0.12,-0.6,19.7047,"Nov 28, 16",0.28322580645161294
2016-11-29,19.91,20.68,19.19,19.85,175892,175892,-0.04,-0.201,19.9563,"Nov 29, 16",0.2806451612903227
2016-11-30,19.95,19.9927,18.141,18.99,142126,142126,-0.86,-4.332,18.929,"Nov 30, 16",0.22516129032258053
2016-12-01,18.94,19.3,16.32,17.01,249834,249834,-1.98,-10.427,17.8555,"Dec 1, 16",0.09741935483870978
2016-12-02,17.2,17.81,15.7635,16.83,222803,222803,-0.18,-1.058,16.6929,"Dec 2, 16",0.08580645161290311
2016-12-05,18.2,19.95,17.55,19.47,368635,368635,2.64,15.686,19.1724,"Dec 5, 16",0.25612903225806444
2016-12-06,20.43,20.52,19.5,19.56,313665,313665,0.09,0.462,19.9758,"Dec 6, 16",0.26193548387096766
2016-12-07,19.81,20,19,19.26,163584,163584,-0.3,-1.534,19.6373,"Dec 7, 16",0.24258064516129044
2016-12-08,19.29,19.45,18.025,18.57,169778,169778,-0.69,-3.583,18.4835,"Dec 8, 16",0.19806451612903228
2016-12-09,18,19.31,18,18.95,96957,96957,0.38,2.046,18.6564,"Dec 9, 16",0.22258064516129028
2016-12-12,18.82,19.44,17.89,18.96,114224,114224,0.01,0.053,18.7011,"Dec 12, 16",0.22322580645161297
2016-12-13,19.17,19.39,18.05,18.2,124469,124469,-0.76,-4.008,18.714,"Dec 13, 16",0.17419354838709672
2016-12-14,18.03,18.54,17.19,17.21,100357,100357,-0.99,-5.44,17.7175,"Dec 14, 16",0.11032258064516134
2016-12-15,17.38,17.815,16.65,17,314147,314147,-0.21,-1.22,17.0692,"Dec 15, 16",0.0967741935483871
2016-12-16,16.89,18,16.8,17.64,1020445,1020445,0.64,3.765,17.5921,"Dec 16, 16",0.13806451612903228
2016-12-19,17.76,18.1399,17.4001,18.1,112533,112533,0.46,2.608,17.8583,"Dec 19, 16",0.16774193548387106
2016-12-20,18.29,18.99,17.42,18.54,193418,193418,0.44,2.431,18.3027,"Dec 20, 16",0.19612903225806447
2016-12-21,18.31,18.84,17.9495,18.09,140566,140566,-0.45,-2.427,18.3139,"Dec 21, 16",0.16709677419354838
2016-12-22,18.025,18.4714,17.62,17.75,69278,69278,-0.34,-1.879,17.9356,"Dec 22, 16",0.14516129032258066
2016-12-23,17.81,18.09,17.7182,18.09,36040,36040,0.34,1.915,17.9982,"Dec 23, 16",0.16709677419354838
2016-12-27,18.1,18.64,18.1,18.39,46398,46398,0.3,1.658,18.3933,"Dec 27, 16",0.18645161290322584
