date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,34.1504,34.3153,33.4666,33.9855,1762047,1762047,-0.329767,-0.961,33.7971,"Aug 5, 13",0
2013-08-06,33.9855,35.3725,33.9855,34.4413,2394800,2394800,0.455855,1.341,34.7196,"Aug 6, 13",0.013411602006738061
2013-08-07,34.3347,34.6111,33.8449,34.4898,1310313,1310313,0.048494,0.141,34.3324,"Aug 7, 13",0.01483868120227746
2013-08-08,34.7226,35.2076,34.4607,34.936,1278826,1278826,0.446158,1.294,34.9506,"Aug 8, 13",0.027967809801238707
2013-08-09,34.8681,35.0621,34.518,34.9942,843599,843599,0.058193,0.167,34.8673,"Aug 9, 13",0.029680304835885817
2013-08-12,34.7808,35.2464,34.6935,35.2076,1166181,1166181,0.21338,0.61,35.088,"Aug 12, 13",0.035959453296258624
2013-08-13,35.2949,35.2949,34.8293,34.8778,2058791,2058791,-0.32977,-0.937,35.001,"Aug 13, 13",0.026255314766591598
2013-08-14,35.227,35.3337,34.7275,34.8099,1027958,1027958,-0.067891,-0.195,34.9038,"Aug 14, 13",0.024257403892836565
2013-08-15,34.5868,34.9748,34.4025,34.7711,629439,629439,-0.038797,-0.111,34.7627,"Aug 15, 13",0.02311574053640509
2013-08-16,34.7905,34.9457,34.228,34.6256,1279449,1279449,-0.145485,-0.418,34.5955,"Aug 16, 13",0.018834502949787314
2013-08-19,34.4801,34.6062,33.9564,34.034,864706,864706,-0.591644,-1.709,34.1392,"Aug 19, 13",0.0014270791955391887
2013-08-20,34.1116,34.4025,33.8206,34.2183,528380,528380,0.184283,0.541,34.2267,"Aug 20, 13",0.0068499801385884405
2013-08-21,34.0631,34.2086,33.743,33.84,722469,722469,-0.378263,-1.105,33.9586,"Aug 21, 13",-0.004281237586617775
2013-08-22,33.9855,34.8681,33.9564,34.7905,523577,523577,0.950507,2.809,34.6636,"Aug 22, 13",0.02368657221462093
2013-08-23,34.8972,35.2367,34.4607,35.0136,656407,656407,0.223079,0.641,34.965,"Aug 23, 13",0.03025113651410145
2013-08-26,35.1494,35.5955,35.0233,35.1688,848581,848581,0.155183,0.443,35.2851,"Aug 26, 13",0.03481778993982715
2013-08-27,34.839,35.1785,34.7226,34.9166,803896,803896,-0.252173,-0.717,34.9449,"Aug 27, 13",0.027396978123023073
2013-08-28,34.9166,35.3531,34.8487,35.13,1143541,1143541,0.213377,0.611,35.1166,"Aug 28, 13",0.03367612658339588
2013-08-29,34.9554,35.033,34.5529,34.6159,470092,470092,-0.514049,-1.463,34.7386,"Aug 29, 13",0.0185490871106796
2013-08-30,34.6644,34.8196,34.2668,34.3541,875577,875577,-0.261874,-0.757,34.5051,"Aug 30, 13",0.010845801886098504
2013-09-03,34.7032,34.9457,33.9806,34.3153,1118082,1118082,-0.038796,-0.113,34.3484,"Sep 3, 13",0.009704138529667027
2013-09-04,34.6159,35.1785,34.3444,34.839,1321529,1321529,0.523748,1.526,34.8676,"Sep 4, 13",0.025113651410160122
2013-09-05,34.9845,36.1872,34.839,36.0611,1832923,1832923,1.2221,3.508,35.938,"Sep 5, 13",0.061073104706418954
2013-09-06,36.2163,36.3909,35.6052,36.1387,1388708,1388708,0.077594,0.215,36.1604,"Sep 6, 13",0.0633564314192817
2013-09-09,36.2842,37.1183,36.2842,36.837,1639929,1639929,0.698331,1.932,36.7764,"Sep 9, 13",0.08390342940371633
2013-09-10,36.9922,37.2541,36.6139,36.9825,1672699,1672699,0.145486,0.395,37.0455,"Sep 10, 13",0.0881846669903341
2013-09-11,36.9728,37.2832,36.6818,36.9728,990274,990274,-0.009697,-0.026,36.8785,"Sep 11, 13",0.08789925115122618
2013-09-12,36.9437,37.2929,36.5849,37.1474,835536,835536,0.17458,0.472,37.0795,"Sep 12, 13",0.09303673625516751
2013-09-13,37.0504,37.1765,36.4684,36.7303,1602163,1602163,-0.41706,-1.123,36.7437,"Sep 13, 13",0.08076385517352982
2013-09-16,36.9922,37.0892,36.7643,36.8758,1543282,1543282,0.145488,0.396,36.8924,"Sep 16, 13",0.0850450927601476
