date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,14.5326,14.5625,14.3034,14.5027,3016434,3016434,-0.03987,-0.274,14.46,"Aug 5, 13",0
2013-08-06,14.4329,14.4728,13.8847,14.1638,3807066,3807066,-0.338896,-2.337,14.1278,"Aug 6, 13",-0.02336806249870718
2013-08-07,14.0442,14.1987,13.6555,14.1638,4193263,4193263,0,0,13.9812,"Aug 7, 13",-0.02336806249870718
2013-08-08,14.3233,14.5027,14.0542,14.104,3788040,3788040,-0.059802,-0.422,14.2509,"Aug 8, 13",-0.02749143262978629
2013-08-09,14.0841,14.3233,13.9047,13.9545,5286991,5286991,-0.149515,-1.06,14.0808,"Aug 9, 13",-0.03779985795748387
2013-08-12,13.8249,13.9545,13.5757,13.6654,3938195,3938195,-0.289058,-2.071,13.733,"Aug 12, 13",-0.05773407710288434
2013-08-13,13.6455,13.6654,13.1172,13.2966,5378090,5378090,-0.368799,-2.699,13.2741,"Aug 13, 13",-0.08316382466713101
2013-08-14,13.2119,13.3265,12.8332,13.0076,6666996,6666996,-0.289054,-2.174,12.9844,"Aug 14, 13",-0.10309114854475378
2013-08-15,12.7185,13.0575,12.6388,12.9478,4484921,4484921,-0.059806,-0.46,12.8693,"Aug 15, 13",-0.10721451867583276
2013-08-16,12.9577,13.3864,12.8581,13.0176,4488390,4488390,0.06977,0.539,13.1812,"Aug 16, 13",-0.10240162176698138
2013-08-19,12.9702,13.0001,12.5914,12.6113,3751010,3751010,-0.406222,-3.121,12.7566,"Aug 19, 13",-0.13041709474787458
2013-08-20,12.6612,13.1995,12.6612,13.1397,4219199,4219199,0.528384,4.19,12.9799,"Aug 20, 13",-0.09398249981038022
2013-08-21,13.0101,13.0699,12.721,12.8506,5418699,5418699,-0.289117,-2.2,12.9398,"Aug 21, 13",-0.11391671895578069
2013-08-22,12.9304,13.2793,12.9304,13.1397,2745607,2745607,0.289117,2.25,13.1125,"Aug 22, 13",-0.09398249981038022
2013-08-23,13.1397,13.1795,12.731,12.9702,3934105,3934105,-0.169483,-1.29,12.9195,"Aug 23, 13",-0.1056699786936226
2013-08-26,12.9802,13.2294,12.8416,13.0101,2259859,2259859,0.039876,0.307,13.0762,"Aug 26, 13",-0.10291876685031072
2013-08-27,12.7609,12.8292,12.382,12.4917,7220381,7220381,-0.518409,-3.985,12.526,"Aug 27, 13",-0.13866383501003268
2013-08-28,12.4618,12.8705,12.4319,12.7509,5390807,5390807,0.259206,2.075,12.7408,"Aug 28, 13",-0.1207913009301717
2013-08-29,12.8107,13.3192,12.8107,13.1696,4739132,4739132,0.418714,3.284,13.1813,"Aug 29, 13",-0.09192081474484061
2013-08-30,13.8176,14.0569,13.4488,13.5086,8897656,8897656,0.338961,2.574,13.6808,"Aug 30, 13",-0.06854585697835584
2013-09-03,13.688,13.8974,13.3989,13.5784,3129883,3129883,0.069789,0.517,13.5733,"Sep 3, 13",-0.06373296006950434
2013-09-04,13.5784,13.7778,12.6313,13.688,3825430,3825430,0.109664,0.808,13.5975,"Sep 4, 13",-0.05617574658511865
2013-09-05,13.698,13.8874,13.6881,13.8276,3267333,3267333,0.13957,1.02,13.8322,"Sep 5, 13",-0.046549952767415755
2013-09-06,13.9074,13.9373,13.3092,13.4388,4225440,4225440,-0.388806,-2.812,13.6084,"Sep 6, 13",-0.07335875388720722
2013-09-09,13.5086,13.7877,13.4886,13.6681,2905581,2905581,0.229296,1.706,13.6612,"Sep 9, 13",-0.05754790487288573
2013-09-10,13.7678,14.1267,13.7678,13.9373,5495494,5495494,0.269176,1.969,13.965,"Sep 10, 13",-0.038985844015252354
2013-09-11,13.8775,13.8974,13.5784,13.698,3604294,3604294,-0.239267,-1.717,13.6894,"Sep 11, 13",-0.05548621980734624
2013-09-12,13.6382,13.8376,13.2095,13.2195,5573124,5573124,-0.478534,-3.493,13.4057,"Sep 12, 13",-0.08848007612375632
2013-09-13,13.2494,13.4986,13.0774,13.4886,3875475,3875475,0.269175,2.036,13.3385,"Sep 13, 13",-0.06992491053390064
2013-09-16,13.6581,13.8176,13.4986,13.5983,3979769,3979769,0.109665,0.813,13.6471,"Sep 16, 13",-0.062360801781737245
2013-09-17,13.7678,14.1067,13.6482,14.0071,5566687,5566687,0.408746,3.006,13.9754,"Sep 17, 13",-0.03417294710640097
2013-09-18,13.9572,14.3161,13.6382,14.2064,8198692,8198692,0.19939,1.423,13.9232,"Sep 18, 13",-0.02043067842539668
2013-09-19,14.3161,14.3759,13.8775,13.9771,4491172,4491172,-0.229299,-1.614,14.0584,"Sep 19, 13",-0.03624152743971817
2013-09-20,14.027,14.0968,13.6482,13.688,4293877,4293877,-0.289112,-2.068,13.7962,"Sep 20, 13",-0.05617574658511865
2013-09-23,13.6182,13.6781,13.2593,13.4189,3674958,3674958,-0.269175,-1.966,13.4084,"Sep 23, 13",-0.07473091217497432
2013-09-24,13.4089,13.8824,13.2394,13.698,3853260,3853260,0.279144,2.08,13.6489,"Sep 24, 13",-0.05548621980734624
2013-09-25,13.698,14.1566,13.5784,13.8974,4929791,4929791,0.199388,1.456,13.9519,"Sep 25, 13",-0.04173705585856437
2013-09-26,13.9971,14.1965,13.9373,14.1167,2867129,2867129,0.219329,1.578,14.057,"Sep 26, 13",-0.02661573362201528
2013-09-27,14.0071,14.1067,13.7877,13.8675,3542853,3542853,-0.249237,-1.766,13.8241,"Sep 27, 13",-0.04379874092410386
2013-09-30,13.5584,14.017,13.4986,13.8874,3447024,3447024,0.019938,0.144,13.8732,"Sep 30, 13",-0.042426582636336765
