date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,45.7277,45.9379,45.605,45.9379,11236,11236,0.692047,1.53,45.7681,"Aug 5, 13",0
2013-08-06,45.9926,46.0544,45.6924,45.9749,23346,23346,0.037007,0.081,45.9179,"Aug 6, 13",0.0008054351635577385
2013-08-07,44.9449,45.201,44.9164,45.095,10076,10076,-0.879887,-1.914,45.0406,"Aug 7, 13",-0.018348683766563127
2013-08-08,45.2804,45.4482,45.148,45.3599,18614,18614,0.26485,0.587,45.2721,"Aug 8, 13",-0.012582203365848152
2013-08-09,45.3687,45.6071,45.3246,45.3422,18503,18503,-0.017654,-0.039,45.4194,"Aug 9, 13",-0.012967506133279945
2013-08-12,44.6889,44.7595,44.5018,44.6801,7755,7755,-0.662123,-1.46,44.635,"Aug 12, 13",-0.02738044185737694
2013-08-13,44.5388,44.803,44.3976,44.6624,22347,22347,-0.017658,-0.04,44.6187,"Aug 13, 13",-0.02776574462480873
2013-08-14,44.6006,44.786,44.6006,44.7595,9729,9729,0.097108,0.217,44.6941,"Aug 14, 13",-0.025652021533417863
2013-08-15,44.4506,44.6566,44.1681,44.6095,15510,15510,-0.15008,-0.335,44.5244,"Aug 15, 13",-0.02891729922351701
2013-08-16,44.2828,44.5388,44.2122,44.5124,7174,7174,-0.097112,-0.218,44.4289,"Aug 16, 13",-0.031031022314907723
2013-08-19,44.4064,44.5035,44.2572,44.3005,7750,7750,-0.211878,-0.476,44.3843,"Aug 19, 13",-0.035643771265120944
2013-08-20,44.5388,44.9273,44.4859,44.6889,14966,14966,0.388449,0.877,44.6789,"Aug 20, 13",-0.02718887889955793
2013-08-21,44.9185,44.9185,44.5468,44.5742,8211,8211,-0.11477,-0.257,44.7381,"Aug 21, 13",-0.029685727906586967
2013-08-22,44.53,44.7331,44.4682,44.7066,14985,14985,0.132425,0.297,44.5918,"Aug 22, 13",-0.02680357613212614
2013-08-23,44.5742,44.7242,44.4859,44.7242,17691,17691,0.017656,0.039,44.6037,"Aug 23, 13",-0.02642045021648782
2013-08-26,44.3623,44.4329,44.221,44.3093,21008,21008,-0.414932,-0.928,44.3168,"Aug 26, 13",-0.03545220830730179
2013-08-27,43.9738,44.0445,43.5148,43.6313,10009,10009,-0.678013,-1.53,43.7818,"Aug 27, 13",-0.05021126346654932
2013-08-28,43.144,43.453,43.144,43.2587,25005,25005,-0.372557,-0.854,43.2756,"Aug 28, 13",-0.058322213248755424
2013-08-29,43.8061,44.0974,43.8061,43.8767,16171,16171,0.617983,1.429,43.8784,"Aug 29, 13",-0.04486926916554739
2013-08-30,43.7443,43.7443,43.2323,43.2764,11006,11006,-0.600326,-1.368,43.45,"Aug 30, 13",-0.05793691048132363
2013-09-03,44.0091,44.0886,43.7227,43.8502,16679,16679,0.573843,1.326,43.9109,"Sep 3, 13",-0.04544613489079819
2013-09-04,43.9473,44.4417,43.9473,44.4417,6439,6439,0.591496,1.349,44.3279,"Sep 4, 13",-0.03257005653284111
2013-09-05,44.3446,44.6766,44.3181,44.6183,12987,12987,0.176568,0.397,44.5054,"Sep 5, 13",-0.02872573626569785
2013-09-06,44.583,44.7419,44.3005,44.477,21916,21916,-0.141255,-0.317,44.5557,"Sep 6, 13",-0.031801627849771155
2013-09-09,45.1303,45.5276,45.1215,45.3952,17370,17370,0.918146,2.064,45.2801,"Sep 9, 13",-0.011813774682778194
2013-09-10,45.6777,45.9911,45.5364,45.7836,16716,16716,0.388442,0.856,45.7439,"Sep 10, 13",-0.00335888231721518
2013-09-11,45.6777,46.0838,45.6777,46.0838,16318,16318,0.300165,0.656,45.8748,"Sep 11, 13",0.0031760267665695966
2013-09-12,45.9337,46.022,45.7131,45.7395,19756,19756,-0.344305,-0.747,45.8924,"Sep 12, 13",-0.004318873958104299
2013-09-13,45.6689,45.7395,45.4923,45.6777,8000,8000,-0.061798,-0.135,45.6375,"Sep 13, 13",-0.005664168366425055
2013-09-16,46.0573,46.2251,45.9955,46.0926,16220,16220,0.414932,0.908,46.0913,"Sep 16, 13",0.003367589724388757
2013-09-17,46.7636,47.0196,46.6047,46.6753,16485,16485,0.582668,1.264,46.7702,"Sep 17, 13",0.016052105124526827
2013-09-18,46.9666,47.3727,46.5076,47.3727,14494,14494,0.697437,1.494,46.786,"Sep 18, 13",0.031233469531693935
2013-09-19,47.8318,47.8583,47.2845,47.2845,17517,17517,-0.088283,-0.186,47.6214,"Sep 19, 13",0.029313486249915695
2013-09-20,47.8053,47.9731,47.6906,47.7612,18686,18686,0.47673,1.008,47.816,"Sep 20, 13",0.03969053874905042
2013-09-23,47.8848,47.8848,47.4875,47.5405,20198,20198,-0.22071,-0.462,47.7093,"Sep 23, 13",0.03488622684101804
2013-09-24,47.7524,48.3262,47.6906,48.0172,13288,13288,0.47673,1.003,48.0337,"Sep 24, 13",0.045263279340152764
2013-09-25,47.9377,48.1143,47.8848,47.9731,18286,18286,-0.044142,-0.092,48.0131,"Sep 25, 13",0.044303287699263644
2013-09-26,48.0084,48.1673,47.6464,47.7612,18650,18650,-0.211878,-0.442,47.9378,"Sep 26, 13",0.03969053874905042
2013-09-27,47.7524,47.973,47.6111,47.8406,13004,13004,0.079454,0.166,47.8411,"Sep 27, 13",0.0414189590730095
2013-09-30,47.4875,47.7612,47.4698,47.5934,14333,14333,-0.247193,-0.517,47.5829,"Sep 30, 13",0.036037781439726316
2013-10-01,47.8671,48.0437,47.7435,48.0084,20963,20963,0.414932,0.872,47.9427,"Oct 1, 13",0.0450717163823336
2013-10-02,47.7082,47.823,47.567,47.7259,9747,9747,-0.282506,-0.588,47.7625,"Oct 2, 13",0.03892211006598046
2013-10-03,47.408,47.4434,47.0461,47.1873,14432,14432,-0.538529,-1.128,47.2389,"Oct 3, 13",0.02719758630673151
