date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,33.6427,33.8186,33.5547,33.6779,24002,24002,0.149523,0.446,33.6826,"Aug 5, 13",0
2013-08-06,33.8557,33.8645,33.4567,33.6695,27896,27896,-0.008391,-0.025,33.6348,"Aug 6, 13",-0.000249421727601832
2013-08-07,32.7316,32.9975,32.253,32.8645,167477,167477,-0.804942,-2.391,32.8058,"Aug 7, 13",-0.02415233728943911
2013-08-08,33.2545,33.4406,33.1482,33.4229,38496,38496,0.558376,1.699,33.2643,"Aug 8, 13",-0.0075717310164826945
2013-08-09,33.3077,33.6002,33.3077,33.4938,20632,20632,0.070908,0.212,33.4827,"Aug 9, 13",-0.005466492863272378
2013-08-12,32.9709,32.9886,32.8557,32.9709,16365,16365,-0.522927,-1.561,32.9212,"Aug 12, 13",-0.020992995406483205
2013-08-13,32.9177,32.9266,32.705,32.8025,56551,56551,-0.168398,-0.511,32.7995,"Aug 13, 13",-0.025993307183642657
2013-08-14,32.8468,33.0241,32.8468,32.9354,18816,18816,0.132944,0.405,32.9516,"Aug 14, 13",-0.022047099136228793
2013-08-15,32.7936,33.0507,32.5455,33.0064,43373,43373,0.070907,0.215,32.829,"Aug 15, 13",-0.019938891676737614
2013-08-16,32.705,32.8823,32.643,32.7936,17271,17271,-0.212715,-0.644,32.7361,"Aug 16, 13",-0.02625757544264943
2013-08-19,32.767,32.9089,32.6873,32.6873,11896,11896,-0.106359,-0.324,32.7854,"Aug 19, 13",-0.029413948019324263
2013-08-20,33.0329,33.1858,32.9886,33.1038,41482,41482,0.416569,1.274,33.0678,"Aug 20, 13",-0.01704678735906934
2013-08-21,33.3697,33.4318,33.0329,33.0684,30747,30747,-0.035453,-0.107,33.2147,"Aug 21, 13",-0.018097921782534068
2013-08-22,33.2457,33.4229,33.2368,33.3963,22144,22144,0.327933,0.992,33.3112,"Aug 22, 13",-0.008361566487221724
2013-08-23,33.352,33.5204,33.3432,33.4052,18269,18269,0.008864,0.027,33.4123,"Aug 23, 13",-0.008097298228214953
2013-08-26,33.1393,33.2191,33.0329,33.0773,29655,29655,-0.327935,-0.982,33.1234,"Aug 26, 13",-0.0178336535235273
2013-08-27,32.9532,33.0773,32.6784,32.8291,81193,81193,-0.248167,-0.75,32.9292,"Aug 27, 13",-0.025203471712903838
2013-08-28,32.0491,32.2618,32.0403,32.2087,39274,39274,-0.620422,-1.89,32.1477,"Aug 28, 13",-0.0436250478800638
2013-08-29,32.448,32.6607,32.448,32.5543,44920,44920,0.345667,1.073,32.5436,"Aug 29, 13",-0.0333631253730192
2013-08-30,32.315,32.315,31.8541,32.0403,22582,22582,-0.514068,-1.579,32.0537,"Aug 30, 13",-0.048625359657223255
2013-09-03,32.3859,32.4391,32.253,32.315,20105,20105,0.274758,0.858,32.3559,"Sep 3, 13",-0.04046867530338897
2013-09-04,32.3593,32.8557,32.3062,32.838,38345,38345,0.522928,1.618,32.7093,"Sep 4, 13",-0.02493920345389707
2013-09-05,32.7139,32.9532,32.705,32.8114,29507,29507,-0.026591,-0.081,32.836,"Sep 5, 13",-0.025729038924636096
2013-09-06,32.9354,33.2102,32.7316,33.1482,30708,30708,0.336801,1.026,33.0275,"Sep 6, 13",-0.01572841537031698
