date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,13.8223,13.8859,13.6881,13.8435,82914,82914,-0.021201,-0.153,13.8234,"Aug 5, 13",0
2013-08-06,13.787,13.8788,13.5679,13.6457,162204,162204,-0.197864,-1.429,13.6947,"Aug 6, 13",-0.014288294145266793
2013-08-07,13.6315,13.8082,13.5679,13.7022,74055,74055,0.056534,0.414,13.6828,"Aug 7, 13",-0.010206956333297294
2013-08-08,13.7729,13.7799,13.6174,13.6951,69283,69283,-0.007067,-0.052,13.7126,"Aug 8, 13",-0.01071983241232351
2013-08-09,13.7093,13.9778,13.6386,13.9213,108766,108766,0.226131,1.651,13.8447,"Aug 9, 13",0.00561996604904828
2013-08-12,13.9566,14.3665,13.8859,14.2887,176668,176668,0.367468,2.64,14.1753,"Aug 12, 13",0.032159497236970404
2013-08-13,14.3311,14.3311,13.8153,13.9071,78079,78079,-0.381601,-2.671,13.9936,"Aug 13, 13",0.004594213890995717
2013-08-14,13.8082,13.8859,13.6386,13.7375,74932,74932,-0.169599,-1.22,13.7178,"Aug 14, 13",-0.007657023151659614
2013-08-15,13.6386,13.6739,13.2429,13.5538,223482,223482,-0.183733,-1.337,13.5141,"Aug 15, 13",-0.020926788745620678
2013-08-16,13.4831,13.7163,13.4619,13.5609,93303,93303,0.007068,0.052,13.5839,"Aug 16, 13",-0.02041391266659446
2013-08-19,13.5679,13.7941,13.1086,13.151,157436,157436,-0.409864,-3.022,13.4216,"Aug 19, 13",-0.050023476721927314
2013-08-20,13.1793,13.3701,13.1651,13.2075,101951,101951,0.05653,0.43,13.262,"Aug 20, 13",-0.04594213890995781
2013-08-21,13.2075,13.3347,13.0874,13.1439,64050,64050,-0.0636,-0.482,13.2151,"Aug 21, 13",-0.05053635280095353
2013-08-22,13.1793,13.4619,13.1793,13.4054,98190,98190,0.261466,1.989,13.354,"Aug 22, 13",-0.031646621157944185
2013-08-23,13.3983,13.7093,13.3135,13.5679,91910,91910,0.162531,1.212,13.515,"Aug 23, 13",-0.019908260194315075
2013-08-26,13.5371,13.6527,13.4619,13.6245,91834,91834,0.056533,0.417,13.5988,"Aug 26, 13",-0.01581969877559874
2013-08-27,13.4902,13.6315,13.4266,13.4831,150641,150641,-0.141331,-1.037,13.5132,"Aug 27, 13",-0.02603387871564274
2013-08-28,13.5185,13.6598,13.4478,13.5397,63563,63563,0.056535,0.419,13.5548,"Aug 28, 13",-0.021945317296926406
2013-08-29,13.4761,13.6386,13.2075,13.5114,77971,77971,-0.028266,-0.209,13.49,"Aug 29, 13",-0.023989598006284574
2013-08-30,13.469,13.5185,13.2782,13.3913,98648,98648,-0.120135,-0.889,13.3775,"Aug 30, 13",-0.03266514970924992
2013-09-03,13.6669,14.0308,13.6287,13.681,228099,228099,0.289733,2.164,13.7504,"Sep 3, 13",-0.011738360963629242
2013-09-04,13.7587,13.8257,13.5962,13.6881,124680,124680,0.007067,0.052,13.7113,"Sep 4, 13",-0.011225484884602897
2013-09-05,13.6598,13.8435,13.6457,13.7305,72802,72802,0.042398,0.31,13.7919,"Sep 5, 13",-0.008162675623939127
2013-09-06,13.8153,13.9071,13.6033,13.6033,171446,171446,-0.127197,-0.926,13.7642,"Sep 6, 13",-0.017351103405930563
2013-09-09,13.8223,14.4159,13.8223,14.0626,738496,738496,0.459328,3.377,14.1151,"Sep 9, 13",0.015826922382345447
2013-09-10,14.1333,14.3806,14.0414,14.0838,237529,237529,0.021202,0.151,14.173,"Sep 10, 13",0.017358327012677394
2013-09-11,14.0131,14.2181,13.8223,13.8365,173319,173319,-0.247331,-1.756,14.023,"Sep 11, 13",-0.0005056524722795138
2013-09-12,13.7941,14.0131,13.7446,13.7587,151066,151066,-0.077733,-0.562,13.8622,"Sep 12, 13",-0.006125618521327794
2013-09-13,13.8011,14.2039,13.7163,14.0767,229093,229093,0.317997,2.311,14.0443,"Sep 13, 13",0.016845450933651175
2013-09-16,14.1615,14.2534,14.0626,14.1757,215659,215659,0.098933,0.703,14.1498,"Sep 16, 13",0.023996821613031405
2013-09-17,14.2112,14.41,14.0762,14.2041,289330,289330,0.028407,0.2,14.2316,"Sep 17, 13",0.026048325929136404
2013-09-18,14.1686,14.2254,14.0123,14.2041,188364,188364,0,0,14.1965,"Sep 18, 13",0.026048325929136404
