date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-12-14,12.2815,12.2815,11.2329,11.2329,19070,19070,11.2329,0,11.2495,"Dec 14, 15",0
2015-12-15,12.2815,15.163,11.8092,12.2815,1174901,1174901,1.0487,9.336,12.8584,"Dec 15, 15",0.09335078207764679
2015-12-16,13.8876,14.2088,12.291,12.5461,404360,404360,0.264525,2.154,12.7431,"Dec 16, 15",0.11690658690097823
2015-12-17,12.3099,13.7742,12.291,13.6419,148488,148488,1.0959,8.735,13.3692,"Dec 17, 15",0.21445931148679315
2015-12-18,13.6892,16.6745,13.6892,15.8337,570755,570755,2.1918,16.066,15.1345,"Dec 18, 15",0.40958256549955924
2015-12-21,15.2102,15.777,13.2263,13.2735,768851,768851,-2.5602,-16.169,13.8728,"Dec 21, 15",0.18166279411371947
2015-12-22,12.8767,13.2924,12.4705,12.5838,516317,516317,-0.689657,-5.196,12.8255,"Dec 22, 15",0.12026279945517179
2015-12-23,12.2815,13.1412,12.2815,12.6878,312981,312981,0.103923,0.826,12.7371,"Dec 23, 15",0.1295213168460503
2015-12-24,12.6594,12.8673,12.6594,12.7067,146966,146966,0.018894,0.149,12.7097,"Dec 24, 15",0.13120387433343114
2015-12-28,12.7067,14.0671,12.6594,13.2074,399286,399286,0.500707,3.941,13.4628,"Dec 28, 15",0.17577829411817064
2015-12-29,13.179,13.6703,13.1318,13.6042,150972,150972,0.396789,3.004,13.4027,"Dec 29, 15",0.21110309893259974
2015-12-30,13.5286,13.8214,13.5097,13.6419,198189,198189,0.03779,0.278,13.6757,"Dec 30, 15",0.21445931148679315
2015-12-31,13.6419,13.897,13.3018,13.6136,247204,247204,-0.028343,-0.208,13.5336,"Dec 31, 15",0.211939926466006
2016-01-04,13.4341,15.0118,13.2263,14.804,235385,235385,1.1904,8.744,14.5765,"Jan 4, 16",0.31791434090929316
2016-01-05,14.974,15.389,14.53,14.9457,370073,370073,0.141711,0.957,14.9558,"Jan 5, 16",0.3305290708543652
2016-01-06,14.9268,15.3252,14.8323,15.0874,83445,83445,0.14171,0.948,15.1168,"Jan 6, 16",0.34314380079943735
2016-01-07,15.0685,15.3519,14.6528,14.8418,262776,262776,-0.24563,-1.628,14.997,"Jan 7, 16",0.3212794558840547
2016-01-08,14.8229,15.1724,14.6811,15.0024,166980,166980,0.160605,1.082,14.9721,"Jan 8, 16",0.33557674331650766
2016-01-11,15.059,15.777,15.059,15.522,133801,133801,0.519602,3.463,15.3963,"Jan 11, 16",0.38183372058862797
2016-01-12,15.6164,16.4665,15.6164,16.24,283216,283216,0.717996,4.626,16.2697,"Jan 12, 16",0.4457531002679626
2016-01-13,16.1927,16.8824,16.1927,16.8257,193563,193563,0.585734,3.607,16.4651,"Jan 13, 16",0.49789457753563193
2016-01-14,17.0808,19.1308,16.8635,18.9986,184742,184742,2.1729,12.914,18.4405,"Jan 14, 16",0.691335274061017
2016-01-15,18.5073,18.7529,17.4303,18.1389,153170,153170,-0.859707,-4.525,17.9128,"Jan 15, 16",0.6148011644366101
2016-01-19,18.2617,18.3845,17.5437,18.2995,174438,174438,0.160605,0.885,18.0686,"Jan 19, 16",0.629098451869063
2016-01-20,18.29,18.326,16.4856,17.9405,195454,195454,-0.358998,-1.962,17.2994,"Jan 20, 16",0.5971387620293956
2016-01-21,17.9405,18.3656,17.4964,17.9688,107342,107342,0.028342,0.158,17.8477,"Jan 21, 16",0.5996581470501829
2016-01-22,18.1389,20.3873,17.9499,20.3212,189857,189857,2.3524,13.091,19.4451,"Jan 22, 16",0.8090786884954019
2016-01-25,20.3212,20.7841,19.726,20.4346,96690,96690,0.113368,0.558,20.3582,"Jan 25, 16",0.8191740334196866
2016-01-26,20.8503,21.4927,20.6802,21.1809,173882,173882,0.746338,3.652,21.234,"Jan 26, 16",0.8856127981198088
2016-01-27,21.2659,21.2659,19.8488,19.8583,82154,82154,-1.3226,-6.244,20.4212,"Jan 27, 16",0.7678693836854239
2016-01-28,19.7922,19.7922,18.9135,19.4804,53980,53980,-0.377894,-1.903,19.4116,"Jan 28, 16",0.7342271363583757
2016-01-29,19.4898,19.7922,18.9986,19.6977,158233,158233,0.217289,1.115,19.571,"Jan 29, 16",0.7535720962529712
2016-02-01,19.6127,19.6127,18.6774,18.838,129454,129454,-0.859707,-4.365,18.8891,"Feb 1, 16",0.6770379866285643
2016-02-02,18.6963,18.7057,17.6665,17.9499,134909,134909,-0.888049,-4.714,18.0567,"Feb 2, 16",0.597975589562802
2016-02-03,17.8838,18.7813,17.7137,18.6774,75701,75701,0.727444,4.053,18.4465,"Feb 3, 16",0.6627406991961112
2016-02-04,18.6963,20.1606,18.6963,20.085,297055,297055,1.4077,7.537,19.7253,"Feb 4, 16",0.7880511711134257
2016-02-05,20.1323,20.5857,20.1323,20.5479,106825,106825,0.462921,2.305,20.4473,"Feb 5, 16",0.8292604759234034
2016-02-08,20.6141,20.7274,20.3118,20.5007,88615,88615,-0.047238,-0.23,20.5503,"Feb 8, 16",0.8250585334152354
2016-02-09,20.359,20.784,20.0945,20.2362,113205,113205,-0.264524,-1.29,20.4281,"Feb 9, 16",0.8015116310124721
