date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-03-29,0.3,0.3,0.17,0.2,976200,976200,0.2,0,0.241745,"Mar 29, 16",0
2016-03-30,0.19,0.19,0.19,0.19,30000,30000,-0.01,-5,0.19,"Mar 30, 16",-0.050000000000000044
2016-03-31,0.21,0.21,0.19,0.19,41000,41000,0,0,0.198171,"Mar 31, 16",-0.050000000000000044
2016-04-01,0.2,0.2,0.19,0.19,50900,50900,0,0,0.196287,"Apr 1, 16",-0.050000000000000044
2016-04-04,0.2,0.2,0.18,0.18,52000,52000,-0.01,-5.263,0.182327,"Apr 4, 16",-0.10000000000000009
2016-04-06,0.21,0.21,0.2,0.2,14100,14100,0.02,11.111,0.208511,"Apr 6, 16",0
2016-04-08,0.2,0.24,0.2,0.24,10000,10000,0.04,20,0.22,"Apr 8, 16",0.1999999999999999
2016-04-11,0.2,0.2005,0.2,0.2005,2000,2000,-0.0395,-16.458,0.20025,"Apr 11, 16",0.0025000000000000022
2016-04-12,0.2,0.22,0.2,0.22,27500,27500,0.0195,9.726,0.214727,"Apr 12, 16",0.09999999999999995
2016-04-13,0.2,0.24,0.2,0.2121,9500,9500,-0.0079,-3.591,0.219358,"Apr 13, 16",0.0605
2016-04-14,0.24,0.24,0.24,0.24,2765,2765,0.0279,13.154,0.24,"Apr 14, 16",0.1999999999999999
2016-04-15,0.218,0.22,0.218,0.22,5000,5000,-0.02,-8.333,0.2196,"Apr 15, 16",0.09999999999999995
2016-04-18,0.21,0.21,0.21,0.21,5000,5000,-0.01,-4.545,0.21,"Apr 18, 16",0.049999999999999906
2016-04-20,0.22,0.23,0.22,0.22,143400,143400,0.01,4.762,0.220237,"Apr 20, 16",0.09999999999999995
2016-04-21,0.24,0.245,0.2189,0.22,89200,89200,0,0,0.226353,"Apr 21, 16",0.09999999999999995
2016-04-22,0.21,0.21,0.21,0.21,200,200,-0.01,-4.545,0.21,"Apr 22, 16",0.049999999999999906
2016-04-26,0.245,0.245,0.2,0.2,42700,42700,-0.01,-4.762,0.209905,"Apr 26, 16",0
2016-04-27,0.1989,0.2,0.1989,0.2,56000,56000,0,0,0.199962,"Apr 27, 16",0
