date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,11.4883,11.6081,11.2856,11.433,282096,282096,-0.082914,-0.72,11.4326,"Aug 5, 13",0
2013-08-06,11.433,11.6726,11.3225,11.3685,312216,312216,-0.064492,-0.564,11.4468,"Aug 6, 13",-0.005641563893991137
2013-08-07,11.3225,11.6541,11.212,11.6265,217387,217387,0.257959,2.269,11.4608,"Aug 7, 13",0.016924691681973254
2013-08-08,11.7647,11.9029,11.5804,11.6449,233526,233526,0.018423,0.158,11.7161,"Aug 8, 13",0.018534068048631155
2013-08-09,11.5897,11.8015,11.5712,11.6818,158339,158339,0.036854,0.316,11.6995,"Aug 9, 13",0.021761567392635444
2013-08-12,11.6357,12.0871,11.6081,11.9674,218430,218430,0.285594,2.445,11.9045,"Aug 12, 13",0.04674188751858653
2013-08-13,12.0136,12.0228,11.8288,11.9304,176678,176678,-0.036967,-0.309,11.9213,"Aug 13, 13",0.043505641563894054
2013-08-14,11.9397,12.069,11.9304,11.9581,240885,240885,0.027725,0.232,11.9765,"Aug 14, 13",0.04592845272456924
2013-08-15,11.838,11.9212,11.4221,11.4868,232638,232638,-0.471303,-3.941,11.6793,"Aug 15, 13",0.004705676550336809
2013-08-16,11.4406,11.6532,11.3759,11.5608,151120,151120,0.07393,0.644,11.5634,"Aug 16, 13",0.011178168459721909
2013-08-19,11.57,11.5976,11.2558,11.265,159434,159434,-0.295718,-2.558,11.402,"Aug 19, 13",-0.014694305956441814
2013-08-20,11.2928,11.6163,11.2928,11.6162,106765,106765,0.351165,3.117,11.5339,"Aug 20, 13",0.01602379078107228
2013-08-21,11.5977,11.6347,11.182,11.4683,170613,170613,-0.147862,-1.273,11.4308,"Aug 21, 13",0.0030875535729904175
2013-08-22,11.4776,11.6717,11.3668,11.5515,85911,85911,0.083172,0.725,11.5512,"Aug 22, 13",0.010364733665704621
2013-08-23,11.607,11.607,11.3575,11.3667,146388,146388,-0.184825,-1.6,11.4225,"Aug 23, 13",-0.005799002886381529
2013-08-26,11.3944,11.5423,11.1634,11.3112,157279,157279,-0.055445,-0.488,11.4277,"Aug 26, 13",-0.010653371818420392
2013-08-27,11.1449,11.3112,10.9046,10.9961,223727,223727,-0.315128,-2.786,11.0898,"Aug 27, 13",-0.03821394209743721
2013-08-28,11.0155,11.1819,10.9508,11.0063,89366,89366,0.010167,0.092,11.0682,"Aug 28, 13",-0.03732178780722473
2013-08-29,11.034,11.3575,11.034,11.2096,131537,131537,0.203307,1.847,11.2478,"Aug 29, 13",-0.01953992827779234
2013-08-30,11.1819,11.1819,10.7475,10.9231,140931,140931,-0.286479,-2.556,10.934,"Aug 30, 13",-0.04459896789993878
2013-09-03,11.0802,11.2373,10.6828,10.8399,191307,191307,-0.08317,-0.761,10.8905,"Sep 3, 13",-0.051876147992652825
2013-09-04,10.8399,10.9693,10.6459,10.766,194334,194334,-0.07393,-0.682,10.8,"Sep 4, 13",-0.05833989329134959
2013-09-05,10.8122,10.8862,10.5812,10.8307,247976,247976,0.064688,0.601,10.7422,"Sep 5, 13",-0.05268083617598177
2013-09-06,10.9231,11.0802,10.5267,10.7475,132199,132199,-0.083171,-0.768,10.7405,"Sep 6, 13",-0.059958016268695825
2013-09-09,10.8307,10.8307,10.4888,10.6736,247586,247586,-0.073931,-0.688,10.5978,"Sep 9, 13",-0.06642176156739259
2013-09-10,10.7845,11.1264,10.6551,11.1172,193525,193525,0.443582,4.156,10.9216,"Sep 10, 13",-0.02762179655383534
2013-09-11,11.0895,11.0895,10.5744,10.9231,192174,192174,-0.194068,-1.746,10.825,"Sep 11, 13",-0.04459896789993878
2013-09-12,10.8862,11.071,10.8215,11.0617,166869,166869,0.138617,1.269,10.9604,"Sep 12, 13",-0.0324761654858742
2013-09-13,11.1172,11.2096,10.8584,11.1172,122565,122565,0.055451,0.501,11.0686,"Sep 13, 13",-0.02762179655383534
2013-09-16,11.2373,11.2983,10.9046,10.9139,132687,132687,-0.203308,-1.829,11.0695,"Sep 16, 13",-0.04540365608326773
2013-09-17,10.9139,11.1726,10.8862,11.1449,128708,128708,0.231032,2.117,11.0952,"Sep 17, 13",-0.025198985393160154
2013-09-18,11.1449,11.1634,10.9324,11.071,111385,111385,-0.073932,-0.663,11.0744,"Sep 18, 13",-0.03166273069185691
2013-09-19,11.071,11.1079,10.8862,11.0155,79085,79085,-0.055445,-0.501,10.9702,"Sep 19, 13",-0.03651709962389578
2013-09-20,11.0155,11.0617,10.6366,10.6828,262545,262545,-0.332685,-3.02,10.813,"Sep 20, 13",-0.06561707338406364
2013-09-23,10.6736,10.7291,10.4518,10.5812,147311,147311,-0.101654,-0.952,10.5922,"Sep 23, 13",-0.07450362984343559
2013-09-24,10.5904,11.0248,10.5904,10.9416,162897,162897,0.36041,3.406,10.9085,"Sep 24, 13",-0.04298084492259254
2013-09-25,10.9416,10.9416,10.7198,10.8122,100817,100817,-0.12938,-1.182,10.8254,"Sep 25, 13",-0.05429895915332801
2013-09-26,10.8307,10.9601,10.6644,10.803,148720,148720,-0.00924,-0.085,10.7812,"Sep 26, 13",-0.05510364733665696
2013-09-27,10.7291,11.0987,10.7291,11.0248,147596,147596,0.221787,2.053,10.9649,"Sep 27, 13",-0.035703664829878336
2013-09-30,10.8954,11.0433,10.7753,10.9508,260439,260439,-0.073928,-0.671,10.9383,"Sep 30, 13",-0.042176156739263594
2013-10-01,10.9324,11.2928,10.84,11.2558,177899,177899,0.304959,2.785,11.1811,"Oct 1, 13",-0.015498994139770763
2013-10-02,11.1634,11.2281,10.9231,10.9878,197454,197454,-0.267994,-2.381,11.0101,"Oct 2, 13",-0.038939910784570965
2013-10-03,10.9324,11.0571,10.3224,10.9324,460452,460452,-0.055447,-0.505,10.6867,"Oct 3, 13",-0.04378553310592149
2013-10-04,10.9046,11.0063,10.7614,10.8584,173900,173900,-0.073928,-0.676,10.9019,"Oct 4, 13",-0.05025802501530659
2013-10-07,10.7937,10.8289,10.6921,10.7198,263755,263755,-0.138618,-1.277,10.7448,"Oct 7, 13",-0.06238082742937116
2013-10-08,10.7198,10.8399,10.3964,10.5073,375013,375013,-0.212549,-1.983,10.5879,"Oct 8, 13",-0.08096737514213234
2013-10-09,10.4518,10.7106,10.3409,10.5904,160212,160212,0.083169,0.792,10.5551,"Oct 9, 13",-0.07369894166010664
2013-10-10,10.6921,10.7937,10.6089,10.7753,174469,174469,0.184824,1.745,10.7365,"Oct 10, 13",-0.0575264584973323
2013-10-11,10.7106,11.1079,10.6828,10.9739,156644,156644,0.198686,1.844,10.8983,"Oct 11, 13",-0.04015568967025272
2013-10-14,10.8862,10.9786,10.8122,10.9231,82324,82324,-0.050827,-0.463,11.0973,"Oct 14, 13",-0.04459896789993878
2013-10-15,10.8584,10.9508,10.5627,10.6274,128589,128589,-0.295717,-2.707,10.6974,"Oct 15, 13",-0.07046269570541416
2013-10-16,10.6828,10.7475,10.5442,10.5997,200414,200414,-0.027723,-0.261,10.6049,"Oct 16, 13",-0.07288550686608934
2013-10-17,10.535,10.7753,10.4287,10.7475,173864,173864,0.147857,1.395,10.6586,"Oct 17, 13",-0.059958016268695825
2013-10-18,10.8492,11.801,10.7291,11.6624,390558,390558,0.914882,8.512,11.4267,"Oct 18, 13",0.020064724919093856
2013-10-21,11.7179,11.9649,11.4868,11.5238,186289,186289,-0.138622,-1.189,11.5903,"Oct 21, 13",0.007941922505029281
2013-10-22,11.5423,11.5977,11.2835,11.3667,168900,168900,-0.157099,-1.363,11.4221,"Oct 22, 13",-0.005799002886381529
2013-10-23,11.3297,11.3598,11.0987,11.1634,190518,190518,-0.203306,-1.789,11.1891,"Oct 23, 13",-0.023580862415813916
2013-10-24,11.1541,11.1541,10.9786,11.034,135948,135948,-0.129374,-1.159,11.0405,"Oct 24, 13",-0.03489897664654939
2013-10-25,11.0895,11.1264,10.8769,11.0155,111677,111677,-0.018483,-0.168,11.0216,"Oct 25, 13",-0.03651709962389578
2013-10-28,11.0525,11.2096,11.034,11.2096,166640,166640,0.194064,1.762,11.1448,"Oct 28, 13",-0.01953992827779234
2013-10-29,11.2281,11.4406,11.1819,11.3297,111423,111423,0.120136,1.072,11.3296,"Oct 29, 13",-0.009035248841074001
2013-10-30,11.302,11.363,11.0996,11.2466,113801,113801,-0.083171,-0.734,11.2414,"Oct 30, 13",-0.016303682323099714
2013-10-31,11.2188,11.5053,10.9693,11.2466,279322,279322,0,0,11.2061,"Oct 31, 13",-0.016303682323099714
2013-11-01,11.7363,11.7918,10.7106,11.57,459343,459343,0.323443,2.876,11.331,"Nov 1, 13",0.011982856643050857
2013-11-04,11.9027,11.9027,11.3852,11.4129,372786,372786,-0.157101,-1.358,11.55,"Nov 4, 13",-0.0017580687483599528
2013-11-05,11.4129,11.9489,11.3759,11.9212,273637,273637,0.508266,4.453,11.8049,"Nov 5, 13",0.04270095338056511
2013-11-06,11.9674,12.0875,11.838,12.0413,253815,253815,0.120136,1.008,12.0139,"Nov 6, 13",0.05320563281728329
2013-11-07,12.0783,12.4294,12.0783,12.2076,401516,401516,0.166343,1.381,12.2583,"Nov 7, 13",0.06775124639202305
2013-11-08,12.2631,12.4849,12.2261,12.4664,353688,353688,0.258753,2.12,12.3816,"Nov 8, 13",0.0903874748534943
2013-11-11,12.4756,12.6143,12.3093,12.4756,299368,299368,0.009242,0.074,12.4687,"Nov 11, 13",0.09119216303682325
2013-11-12,12.4015,12.5683,12.2439,12.4849,164288,164288,0.009269,0.074,12.4185,"Nov 12, 13",0.09200559783084053
2013-11-13,12.3644,12.6239,12.3273,12.522,141331,141331,0.037074,0.297,12.4942,"Nov 13, 13",0.0952505903962215
2013-11-14,12.4942,12.6796,12.4294,12.6703,173170,173170,0.148299,1.184,12.6097,"Nov 14, 13",0.10822181404705672
2013-11-15,12.6517,12.6885,12.4478,12.5591,200879,200879,-0.111223,-0.878,12.5767,"Nov 15, 13",0.09849558296160246
2013-11-18,12.6147,12.698,12.2903,12.4293,175855,175855,-0.129761,-1.033,12.4675,"Nov 18, 13",0.08714248228811333
2013-11-19,12.4108,12.5776,12.2995,12.3644,109418,109418,-0.064883,-0.522,12.4336,"Nov 19, 13",0.08146593195136885
2013-11-20,12.383,12.383,12.0567,12.1234,177076,177076,-0.240985,-1.949,12.1715,"Nov 20, 13",0.06038660019242546
2013-11-21,12.1512,12.6026,12.1512,12.5591,184302,184302,0.435629,3.593,12.4844,"Nov 21, 13",0.09849558296160246
2013-11-22,12.5961,13.6064,12.5127,13.3932,733354,733354,0.83418,6.642,13.2375,"Nov 22, 13",0.17145106271319868
2013-11-25,13.5137,13.6156,12.9854,13.0688,308249,308249,-0.324402,-2.422,13.2585,"Nov 25, 13",0.1430770576401644
2013-11-26,13.1059,13.3283,12.9761,13.0874,247542,247542,0.018535,0.142,13.1302,"Nov 26, 13",0.14470392722819914
2013-11-27,13.2171,13.3747,13.1152,13.2079,147200,147200,0.120494,0.921,13.2453,"Nov 27, 13",0.15524359310767083
2013-11-29,13.2913,13.3747,13.1244,13.3284,91180,91180,0.120492,0.912,13.3111,"Nov 29, 13",0.16578325898714252
2013-12-02,13.3284,13.3284,12.8927,12.9205,223199,223199,-0.407822,-3.06,13.042,"Dec 2, 13",0.1301058339893292
2013-12-03,12.9205,12.9483,12.6054,12.6981,241255,241255,-0.222448,-1.722,12.7385,"Dec 3, 13",0.11065337181842039
2013-12-04,12.661,12.8464,12.1512,12.7352,199930,199930,0.037074,0.292,12.592,"Dec 4, 13",0.11389836438380135
2013-12-05,12.7352,12.9344,12.6332,12.6703,192603,192603,-0.06488,-0.509,12.7271,"Dec 5, 13",0.10822181404705672
2013-12-06,12.8186,13.0688,12.7699,12.902,156803,156803,0.231719,1.829,12.9505,"Dec 6, 13",0.1284877110119828
2013-12-09,12.8742,13.1986,12.8649,13.1986,227708,227708,0.296596,2.299,13.0607,"Dec 9, 13",0.15443015831365353
2013-12-10,13.1337,13.2171,12.9391,13.041,254523,254523,-0.157567,-1.194,13.0859,"Dec 10, 13",0.1406454998688009
2013-12-11,13.041,13.1291,12.661,12.7722,354070,354070,-0.268791,-2.061,12.8177,"Dec 11, 13",0.11713461033849383
2013-12-12,12.7352,13.0595,12.7074,12.9947,420446,420446,0.222448,1.742,12.8839,"Dec 12, 13",0.13659581912009097
2013-12-13,13.0503,13.0596,12.7908,12.8557,153235,153235,-0.13903,-1.07,12.9057,"Dec 13, 13",0.12443803026327305
2013-12-16,12.8742,13.0132,12.8649,12.9298,159651,159651,0.074148,0.577,12.8624,"Dec 16, 13",0.13091926878334648
