date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-06,21,27.166,21,26.85,5044547,5044547,26.85,0,23.8988,"Feb 6, 14",0
2014-02-07,26.54,29.37,25.1,28,662434,662434,1.15,4.283,27.2922,"Feb 7, 14",0.042830540037243896
2014-02-10,29.2,29.2,26.54,27.12,104902,104902,-0.88,-3.143,27.9331,"Feb 10, 14",0.010055865921787694
2014-02-11,27.15,27.16,26.5,26.6,111849,111849,-0.52,-1.917,26.6852,"Feb 11, 14",-0.009310986964618248
2014-02-12,26.5,26.98,25.8,26.93,143199,143199,0.33,1.241,26.4336,"Feb 12, 14",0.002979515828677776
2014-02-13,26.2,26.83,26.0001,26.72,83370,83370,-0.21,-0.78,26.419,"Feb 13, 14",-0.004841713221601584
2014-02-14,26.49,27.2,26,26.75,235075,235075,0.03,0.112,26.3253,"Feb 14, 14",-0.0037243947858473527
2014-02-18,29,29,26.5441,26.89,57717,57717,0.14,0.523,27.0286,"Feb 18, 14",0.001489757914338888
2014-02-19,26.79,27.49,26.0001,26.35,76773,76773,-0.54,-2.008,26.8155,"Feb 19, 14",-0.018621973929236497
2014-02-20,26.35,27.05,25.87,25.9,148704,148704,-0.45,-1.708,26.1226,"Feb 20, 14",-0.03538175046554945
2014-02-21,25.9,30.45,25.74,29.84,303661,303661,3.94,15.212,27.6524,"Feb 21, 14",0.1113594040968342
2014-02-24,30.96,30.96,28.51,29.58,100652,100652,-0.26,-0.871,29.5304,"Feb 24, 14",0.10167597765363116
2014-02-25,29.96,30.25,29.3,30.1,156034,156034,0.52,1.758,30.1133,"Feb 25, 14",0.12104283054003724
2014-02-26,30.3,31,29.0001,29.6,130799,130799,-0.5,-1.661,29.9354,"Feb 26, 14",0.10242085661080073
2014-02-27,29.72,30.235,29.17,29.94,122812,122812,0.34,1.149,29.8106,"Feb 27, 14",0.11508379888268155
2014-02-28,29.76,30.9899,26.92,26.93,171694,171694,-3.01,-10.053,28.2058,"Feb 28, 14",0.002979515828677776
2014-03-03,28.56,28.98,27.5436,27.78,239891,239891,0.85,3.156,27.9917,"Mar 3, 14",0.03463687150837987
2014-03-04,28.02,29.11,28.02,28.71,118789,118789,0.93,3.348,28.5873,"Mar 4, 14",0.06927374301675975
2014-03-05,28.74,32.35,28.6901,31.61,197612,197612,2.9,10.101,30.7145,"Mar 5, 14",0.1772811918063314
2014-03-06,32.06,33.7999,31.93,32.72,688878,688878,1.11,3.512,32.8116,"Mar 6, 14",0.21862197392923638
2014-03-07,33.15,34.55,31.51,34.35,192249,192249,1.63,4.982,33.3094,"Mar 7, 14",0.27932960893854747
2014-03-10,34.5,36.9,32.65,34.85,260717,260717,0.5,1.456,35.2157,"Mar 10, 14",0.29795158286778395
