date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,2.5295,2.5963,2.5105,2.5963,5475,5475,0.085906,3.422,2.5536,"Aug 5, 13",0
2013-08-06,2.6345,2.6345,2.5295,2.5963,25568,25568,0,0,2.5562,"Aug 6, 13",0
2013-08-07,2.5486,2.6344,2.539,2.5581,9896,9896,-0.038181,-1.471,2.5672,"Aug 7, 13",-0.014713245772830487
2013-08-08,2.5677,2.6345,2.5677,2.5677,12238,12238,0.009547,0.373,2.6123,"Aug 8, 13",-0.011015676154527582
2013-08-09,2.6058,2.6345,2.5677,2.5677,13390,13390,0,0,2.6256,"Aug 9, 13",-0.011015676154527582
2013-08-12,2.5963,2.644,2.5772,2.644,12097,12097,0.076358,2.974,2.6175,"Aug 12, 13",0.018372299040942997
2013-08-13,2.6249,2.6583,2.6249,2.644,16541,16541,0,0,2.6412,"Aug 13, 13",0.018372299040942997
2013-08-14,2.6249,2.6249,2.6249,2.6249,540,540,-0.019087,-0.722,2.6249,"Aug 14, 13",0.011015676154527582
2013-08-15,2.6249,2.6249,2.5772,2.5868,13756,13756,-0.038182,-1.455,2.6069,"Aug 15, 13",-0.0036590532681121677
2013-08-16,2.6249,2.6249,2.5772,2.5772,3881,3881,-0.009546,-0.369,2.6131,"Aug 16, 13",-0.0073566228864152435
2013-08-19,2.5486,2.6144,2.5295,2.539,23813,23813,-0.038181,-1.481,2.5635,"Aug 19, 13",-0.02206986865924573
2013-08-20,2.5295,2.5772,2.5104,2.5104,12725,12725,-0.028634,-1.128,2.5284,"Aug 20, 13",-0.033085544813773314
2013-08-21,2.5667,2.5667,2.4818,2.5295,16275,16275,0.019088,0.76,2.5089,"Aug 21, 13",-0.025728921927358067
2013-08-22,2.5772,2.6545,2.4913,2.5772,15597,15597,0.047727,1.887,2.593,"Aug 22, 13",-0.0073566228864152435
2013-08-23,2.5867,2.5868,2.5104,2.5295,3441,3441,-0.047727,-1.852,2.5555,"Aug 23, 13",-0.025728921927358067
2013-08-26,2.5963,2.6154,2.5032,2.539,4076,4076,0.009546,0.377,2.5937,"Aug 26, 13",-0.02206986865924573
2013-08-27,2.4913,2.5295,2.3863,2.4149,38900,38900,-0.124088,-4.887,2.4268,"Aug 27, 13",-0.06986865924584987
2013-08-28,2.4531,2.5772,2.3959,2.5581,14894,14894,0.143179,5.929,2.4928,"Aug 28, 13",-0.014713245772830487
2013-08-29,2.5581,2.5581,2.4436,2.4436,3000,3000,-0.114541,-4.478,2.5079,"Aug 29, 13",-0.05881446674113155
2013-08-30,2.5009,2.5677,2.5009,2.5581,11798,11798,0.114541,4.687,2.5581,"Aug 30, 13",-0.014713245772830487
2013-09-03,2.5486,2.5772,2.434,2.5581,19950,19950,0,0,2.5442,"Sep 3, 13",-0.014713245772830487
2013-09-04,2.5677,2.5677,2.5677,2.5677,1805,1805,0.009547,0.373,2.5677,"Sep 4, 13",-0.011015676154527582
2013-09-05,2.5677,2.5677,2.4531,2.5104,9855,9855,-0.057272,-2.231,2.5462,"Sep 5, 13",-0.033085544813773314
2013-09-06,2.5104,2.6154,2.5104,2.5772,16707,16707,0.066815,2.662,2.5768,"Sep 6, 13",-0.0073566228864152435
2013-09-09,2.6154,2.6154,2.4913,2.6058,2975,2975,0.028635,1.111,2.5608,"Sep 9, 13",0.0036590532681123385
2013-09-10,2.5581,2.6058,2.5497,2.6058,10016,10016,0,0,2.5882,"Sep 10, 13",0.0036590532681123385
2013-09-11,2.6058,2.6154,2.5868,2.5868,7921,7921,-0.019089,-0.733,2.6031,"Sep 11, 13",-0.0036590532681121677
2013-09-12,2.5868,2.6631,2.5772,2.644,24396,24396,0.057269,2.214,2.6004,"Sep 12, 13",0.018372299040942997
2013-09-13,2.6459,2.6536,2.5879,2.6249,5207,5207,-0.019087,-0.722,2.6019,"Sep 13, 13",0.011015676154527582
2013-09-16,2.6249,2.644,2.5963,2.5963,6633,6633,-0.028637,-1.091,2.6274,"Sep 16, 13",0
2013-09-17,2.5868,2.6249,2.5677,2.6249,15307,15307,0.028637,1.103,2.6106,"Sep 17, 13",0.011015676154527582
2013-09-18,2.6345,2.644,2.6011,2.6011,1000,1000,-0.023865,-0.909,2.6349,"Sep 18, 13",0.0018487848091516233
2013-09-19,2.5791,2.6249,2.4913,2.5772,13251,13251,-0.023863,-0.917,2.5047,"Sep 19, 13",-0.0073566228864152435
2013-09-20,2.5581,2.5772,2.5581,2.5772,10303,10303,0,0,2.5756,"Sep 20, 13",-0.0073566228864152435
2013-09-23,2.5295,2.5677,2.4913,2.5486,14395,14395,-0.028635,-1.111,2.5335,"Sep 23, 13",-0.018372299040942824
2013-09-24,2.5772,2.6536,2.4818,2.644,29174,29174,0.09545,3.745,2.5836,"Sep 24, 13",0.018372299040942997
2013-09-25,2.5868,2.6058,2.5486,2.6058,3774,3774,-0.03818,-1.444,2.5769,"Sep 25, 13",0.0036590532681123385
2013-09-26,2.5677,2.5963,2.5009,2.5677,8739,8739,-0.038178,-1.465,2.5799,"Sep 26, 13",-0.011015676154527582
2013-09-27,2.539,2.539,2.4913,2.4913,1233,1233,-0.076364,-2.974,2.4986,"Sep 27, 13",-0.04044216770018873
2013-09-30,2.4818,2.5772,2.4818,2.5104,17350,17350,0.019092,0.766,2.5077,"Sep 30, 13",-0.033085544813773314
2013-10-01,2.5199,2.5772,2.4818,2.5686,11080,11080,0.058225,2.319,2.5252,"Oct 1, 13",-0.010669029002811631
2013-10-02,2.5295,2.5772,2.5295,2.5677,17312,17312,-0.000953,-0.037,2.5703,"Oct 2, 13",-0.011015676154527582
2013-10-03,2.539,2.5486,2.4818,2.4818,18372,18372,-0.085911,-3.346,2.5132,"Oct 3, 13",-0.04410122096830107
2013-10-04,2.4627,2.5032,2.434,2.4722,16510,16510,-0.009545,-0.385,2.4577,"Oct 4, 13",-0.04779879058660397
2013-10-07,2.434,2.4848,2.3863,2.3959,23263,23263,-0.076359,-3.089,2.4165,"Oct 7, 13",-0.07718676578207438
2013-10-08,2.3873,2.434,2.3386,2.4149,24136,24136,0.019089,0.797,2.3926,"Oct 8, 13",-0.06986865924584987
2013-10-09,2.4149,2.5104,2.3959,2.5104,16308,16308,0.095454,3.953,2.4146,"Oct 9, 13",-0.033085544813773314
2013-10-10,2.4913,2.5772,2.3491,2.4722,53025,53025,-0.038184,-1.521,2.4191,"Oct 10, 13",-0.04779879058660397
2013-10-11,2.5009,2.5295,2.4627,2.4818,14929,14929,0.009545,0.386,2.4805,"Oct 11, 13",-0.04410122096830107
2013-10-14,2.4531,2.5772,2.3576,2.5772,10421,10421,0.095454,3.846,2.4033,"Oct 14, 13",-0.0073566228864152435
2013-10-15,2.539,2.539,2.4245,2.5104,8786,8786,-0.066815,-2.593,2.4947,"Oct 15, 13",-0.033085544813773314
2013-10-16,2.4054,2.5486,2.2909,2.5486,229553,229553,0.03818,1.521,2.2945,"Oct 16, 13",-0.018372299040942824
2013-10-17,2.5199,2.5486,2.3959,2.5486,29112,29112,0,0,2.4585,"Oct 17, 13",-0.018372299040942824
2013-10-18,2.539,2.5677,2.5199,2.5295,16179,16179,-0.019092,-0.749,2.544,"Oct 18, 13",-0.025728921927358067
2013-10-21,2.5581,2.6154,2.4913,2.6154,20538,20538,0.08591,3.396,2.5513,"Oct 21, 13",0.007356622886415414
2013-10-22,2.5963,2.6154,2.5296,2.5677,10892,10892,-0.047726,-1.825,2.5619,"Oct 22, 13",-0.011015676154527582
2013-10-23,2.539,2.5677,2.5009,2.5677,3382,3382,0,0,2.5287,"Oct 23, 13",-0.011015676154527582
2013-10-24,2.5868,2.6249,2.5868,2.6058,30406,30406,0.038178,1.487,2.6097,"Oct 24, 13",0.0036590532681123385
2013-10-25,2.6249,2.6249,2.5868,2.6154,21373,21373,0.009548,0.366,2.6213,"Oct 25, 13",0.007356622886415414
2013-10-28,2.5868,2.6249,2.5677,2.5677,8719,8719,-0.047726,-1.825,2.5884,"Oct 28, 13",-0.011015676154527582
2013-10-29,2.5581,2.6536,2.5581,2.6249,7096,7096,0.057271,2.23,2.616,"Oct 29, 13",0.011015676154527582
2013-10-30,2.539,2.539,2.4245,2.4818,81124,81124,-0.143182,-5.455,2.471,"Oct 30, 13",-0.04410122096830107
2013-10-31,2.5009,2.5772,2.5009,2.539,10708,10708,0.057273,2.308,2.5089,"Oct 31, 13",-0.02206986865924573
2013-11-01,2.5009,2.5581,2.4627,2.4913,5566,5566,-0.047726,-1.88,2.5039,"Nov 1, 13",-0.04044216770018873
2013-11-04,2.5295,2.5486,2.4818,2.5295,3767,3767,0.03818,1.533,2.4923,"Nov 4, 13",-0.025728921927358067
2013-11-05,2.4913,2.539,2.4818,2.5009,5829,5829,-0.028634,-1.132,2.4995,"Nov 5, 13",-0.03674459808188565
2013-11-06,2.4818,2.5534,2.4722,2.5104,10131,10131,0.009546,0.382,2.5021,"Nov 6, 13",-0.033085544813773314
2013-11-07,2.4913,2.539,2.4627,2.539,29971,29971,0.028634,1.141,2.4775,"Nov 7, 13",-0.02206986865924573
2013-11-08,2.5104,2.5772,2.5009,2.5772,46759,46759,0.038181,1.504,2.5475,"Nov 8, 13",-0.0073566228864152435
2013-11-11,2.5772,2.5772,2.4818,2.4818,16550,16550,-0.095454,-3.704,2.4849,"Nov 11, 13",-0.04410122096830107
2013-11-12,2.4927,2.539,2.4818,2.5104,13156,13156,0.028639,1.154,2.5301,"Nov 12, 13",-0.033085544813773314
2013-11-13,2.6058,2.6058,2.539,2.5963,11000,11000,0.085906,3.422,2.6045,"Nov 13, 13",0
2013-11-14,2.4913,2.4913,2.4913,2.4913,459,459,-0.104998,-4.044,2.4913,"Nov 14, 13",-0.04044216770018873
2013-11-15,2.539,2.6058,2.5199,2.5868,17414,17414,0.095453,3.831,2.5596,"Nov 15, 13",-0.0036590532681121677
2013-11-18,2.5868,2.5868,2.5581,2.5868,12877,12877,0,0,2.5708,"Nov 18, 13",-0.0036590532681121677
2013-11-19,2.5581,2.6154,2.5581,2.6059,24672,24672,0.019184,0.742,2.6004,"Nov 19, 13",0.0036975696183030758
2013-11-20,2.6249,2.6249,2.6058,2.6058,5504,5504,-0.000095,-0.004,2.6191,"Nov 20, 13",0.0036590532681123385
2013-11-21,2.5963,2.5963,2.5868,2.5963,7395,7395,-0.009544,-0.366,2.5935,"Nov 21, 13",0
2013-11-22,2.5963,2.5963,2.4913,2.5772,8425,8425,-0.019091,-0.735,2.576,"Nov 22, 13",-0.0073566228864152435
2013-11-25,2.5677,2.5868,2.5608,2.5868,2724,2724,0.009546,0.37,2.5721,"Nov 25, 13",-0.0036590532681121677
2013-11-26,2.5486,2.654,2.5486,2.6154,12919,12919,0.028637,1.107,2.6084,"Nov 26, 13",0.007356622886415414
2013-11-27,2.6345,2.6345,2.6345,2.6345,325,325,0.019089,0.73,2.6345,"Nov 27, 13",0.014713245772830657
2013-11-29,2.5772,2.6058,2.5772,2.5772,4383,4383,-0.057272,-2.174,2.5798,"Nov 29, 13",-0.0073566228864152435
2013-12-02,2.5773,2.6517,2.5773,2.6249,27542,27542,0.047728,1.852,2.6147,"Dec 2, 13",0.011015676154527582
2013-12-03,2.6249,2.644,2.6154,2.644,26450,26450,0.019087,0.727,2.6296,"Dec 3, 13",0.018372299040942997
2013-12-04,2.6248,2.644,2.6248,2.644,6700,6700,0,0,2.6298,"Dec 4, 13",0.018372299040942997
2013-12-05,2.6249,2.6345,2.6058,2.625,22163,22163,-0.018992,-0.718,2.6306,"Dec 5, 13",0.011054192504718318
2013-12-06,2.6631,2.6631,2.6249,2.644,29061,29061,0.018992,0.723,2.6369,"Dec 6, 13",0.018372299040942997
2013-12-09,2.6345,2.644,2.6249,2.6249,13677,13677,-0.019087,-0.722,2.6339,"Dec 9, 13",0.011015676154527582
2013-12-10,2.6249,2.6536,2.6249,2.6536,3151,3151,0.028634,1.091,2.6371,"Dec 10, 13",0.0220698686592459
2013-12-11,2.6068,2.6536,2.6068,2.6345,1254,1254,-0.01909,-0.719,2.6415,"Dec 11, 13",0.014713245772830657
2013-12-12,2.6259,2.6536,2.6249,2.6536,19443,19443,0.01909,0.725,2.6382,"Dec 12, 13",0.0220698686592459
2013-12-13,2.6345,2.6727,2.6345,2.6727,27329,27329,0.019093,0.72,2.6494,"Dec 13, 13",0.029426491545661144
2013-12-16,2.6822,2.8636,2.6814,2.749,55667,55667,0.076359,2.857,2.7668,"Dec 16, 13",0.05881446674113172
2013-12-17,2.7213,2.9018,2.7204,2.8445,350188,350188,0.095452,3.472,2.741,"Dec 17, 13",0.09559758117320812
2013-12-18,2.8158,2.8254,2.7681,2.7968,25141,25141,-0.047726,-1.678,2.795,"Dec 18, 13",0.07722528213226529
2013-12-19,2.7968,2.7968,2.7681,2.7968,28200,28200,0,0,2.792,"Dec 19, 13",0.07722528213226529
2013-12-20,2.7853,2.7968,2.7681,2.7681,11931,11931,-0.028635,-1.024,2.7839,"Dec 20, 13",0.06617108962754696
2013-12-23,2.7968,2.8636,2.6354,2.8063,18347,18347,0.03818,1.379,2.7683,"Dec 23, 13",0.08088433540037746
