date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-08-08,10.35,10.49,10.01,10.3,6666653,6666653,10.3,0,10.1954,"Aug 8, 14",0
2014-08-11,10.44,10.64,10.31,10.37,545775,545775,0.07,0.68,10.4419,"Aug 11, 14",0.006796116504854224
2014-08-12,10.4,10.4499,10.14,10.39,253748,253748,0.02,0.193,10.3356,"Aug 12, 14",0.00873786407766989
2014-08-13,10.36,10.43,10.28,10.39,134152,134152,0,0,10.3442,"Aug 13, 14",0.00873786407766989
2014-08-14,10.33,10.39,10.26,10.35,122883,122883,-0.04,-0.385,10.3127,"Aug 14, 14",0.004854368932038731
2014-08-15,10.35,10.4,10.24,10.35,103190,103190,0,0,10.3458,"Aug 15, 14",0.004854368932038731
2014-08-18,10.4,10.45,10.31,10.33,121947,121947,-0.02,-0.193,10.3649,"Aug 18, 14",0.0029126213592232386
2014-08-19,10.26,10.3,10.07,10.3,130304,130304,-0.03,-0.29,10.2154,"Aug 19, 14",0
2014-08-20,10.21,10.4699,10.192,10.426,76124,76124,0.126,1.223,10.3345,"Aug 20, 14",0.01223300970873781
2014-08-21,10.41,10.4441,10.35,10.4,62298,62298,-0.026,-0.249,10.3903,"Aug 21, 14",0.009708737864077634
2014-08-22,10.16,10.41,10.15,10.4,66224,66224,0,0,10.3252,"Aug 22, 14",0.009708737864077634
2014-08-25,10.47,10.75,10.3,10.58,194361,194361,0.18,1.731,10.5348,"Aug 25, 14",0.027184466019417413
2014-08-26,10.58,10.59,10.435,10.51,107735,107735,-0.07,-0.662,10.5023,"Aug 26, 14",0.020388349514563017
2014-08-27,10.53,10.8,10.38,10.73,114149,114149,0.22,2.093,10.7148,"Aug 27, 14",0.04174757281553395
2014-08-28,10.63,11.09,10.57,10.77,228715,228715,0.04,0.373,10.9283,"Aug 28, 14",0.04563106796116494
2014-08-29,10.8,10.99,10.8,10.95,52420,52420,0.18,1.671,10.9302,"Aug 29, 14",0.06310679611650472
2014-09-02,10.83,10.83,10.44,10.65,72187,72187,-0.3,-2.74,10.6212,"Sep 2, 14",0.03398058252427181
2014-09-03,10.62,10.72,10.55,10.61,103650,103650,-0.04,-0.376,10.6041,"Sep 3, 14",0.03009708737864065
2014-09-04,10.38,10.75,10.26,10.56,111514,111514,-0.05,-0.471,10.6099,"Sep 4, 14",0.02524271844660192
2014-09-05,10.59,10.72,10.41,10.51,84674,84674,-0.05,-0.473,10.5517,"Sep 5, 14",0.020388349514563017
2014-09-08,10.59,10.93,10.3,10.77,154647,154647,0.26,2.474,10.7556,"Sep 8, 14",0.04563106796116494
2014-09-09,10.62,11.04,10.62,10.93,339692,339692,0.16,1.486,10.9738,"Sep 9, 14",0.06116504854368922
2014-09-10,10.94,11.79,10.756,11.42,421914,421914,0.49,4.483,11.2697,"Sep 10, 14",0.10873786407766982
2014-09-11,11.28,11.6,11.214,11.44,231878,231878,0.02,0.175,11.4791,"Sep 11, 14",0.11067961165048532
2014-09-12,11.19,11.68,11.1,11.64,162317,162317,0.2,1.748,11.2728,"Sep 12, 14",0.13009708737864076
2014-09-15,11.56,11.9,11.06,11.65,250984,250984,0.01,0.086,11.5481,"Sep 15, 14",0.1310679611650485
2014-09-16,11.59,11.75,11.305,11.61,486420,486420,-0.04,-0.343,11.5708,"Sep 16, 14",0.12718446601941735
