date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,6.58,6.9,6.5,6.88,31011449,31011449,0.21,3.148,6.7656,"Aug 5, 13",0
2013-08-06,6.9,7.04,6.89,6.97,43636820,43636820,0.09,1.308,6.9744,"Aug 6, 13",0.01308139534883719
2013-08-07,6.98,7.03,6.71,6.92,19842647,19842647,-0.05,-0.717,6.8596,"Aug 7, 13",0.005813953488372098
2013-08-08,6.95,6.98,6.8,6.94,12815154,12815154,0.02,0.289,6.9183,"Aug 8, 13",0.008720930232558212
2013-08-09,6.9,7.26,6.89,7.25,27076541,27076541,0.31,4.467,7.1033,"Aug 9, 13",0.05377906976744188
2013-08-12,7.205,7.21,7.04,7.11,13168337,13168337,-0.14,-1.931,7.1209,"Aug 12, 13",0.033430232558139594
2013-08-13,7.115,7.1499,6.95,7.01,16162926,16162926,-0.1,-1.406,7.0172,"Aug 13, 13",0.018895348837209287
2013-08-14,7.07,7.1,6.96,7,11912128,11912128,-0.01,-0.143,7.0107,"Aug 14, 13",0.017441860465116296
2013-08-15,6.96,7.015,6.94,6.96,16387352,16387352,-0.04,-0.571,6.9598,"Aug 15, 13",0.011627906976744196
2013-08-16,6.95,7.04,6.91,6.92,16100429,16100429,-0.04,-0.575,6.965,"Aug 16, 13",0.005813953488372098
2013-08-19,6.95,6.97,6.81,6.91,17143800,17143800,-0.01,-0.145,6.8884,"Aug 19, 13",0.004360465116279106
2013-08-20,6.89,6.98,6.89,6.97,9805194,9805194,0.06,0.868,6.9512,"Aug 20, 13",0.01308139534883719
2013-08-21,6.9,6.97,6.9,6.96,11752763,11752763,-0.01,-0.143,6.9456,"Aug 21, 13",0.011627906976744196
2013-08-22,6.95,7,6.9,6.92,6942196,6942196,-0.04,-0.575,6.95,"Aug 22, 13",0.005813953488372098
2013-08-23,6.93,6.98,6.9,6.96,6137746,6137746,0.04,0.578,6.9473,"Aug 23, 13",0.011627906976744196
2013-08-26,6.93,6.98,6.89,6.91,8593608,8593608,-0.05,-0.718,6.9258,"Aug 26, 13",0.004360465116279106
2013-08-27,6.9,6.91,6.715,6.75,22127575,22127575,-0.16,-2.315,6.8043,"Aug 27, 13",-0.018895348837209287
2013-08-28,6.69,6.7445,6.65,6.66,13282384,13282384,-0.09,-1.333,6.6917,"Aug 28, 13",-0.03197674418604648
2013-08-29,6.66,6.84,6.65,6.76,19073106,19073106,0.1,1.502,6.7696,"Aug 29, 13",-0.017441860465116296
2013-08-30,6.82,6.82,6.54,6.71,15722835,15722835,-0.05,-0.74,6.6598,"Aug 30, 13",-0.024709302325581384
2013-09-03,6.78,6.86,6.63,6.68,9261864,9261864,-0.03,-0.447,6.7142,"Sep 3, 13",-0.029069767441860492
2013-09-04,6.66,6.72,6.58,6.65,9550602,9550602,-0.03,-0.449,6.6476,"Sep 4, 13",-0.03343023255813947
2013-09-05,6.63,6.68,6.45,6.48,12665342,12665342,-0.17,-2.556,6.5171,"Sep 5, 13",-0.05813953488372085
2013-09-06,6.57,6.57,6.4,6.47,14233994,14233994,-0.01,-0.154,6.4673,"Sep 6, 13",-0.059593023255813976
2013-09-09,6.44,6.515,6.32,6.37,15176200,15176200,-0.1,-1.546,6.4134,"Sep 9, 13",-0.07412790697674415
2013-09-10,6.38,6.42,6.265,6.33,28672551,28672551,-0.04,-0.628,6.3231,"Sep 10, 13",-0.07994186046511625
2013-09-11,6.35,6.53,6.32,6.5,19571938,19571938,0.17,2.686,6.4879,"Sep 11, 13",-0.05523255813953487
2013-09-12,6.42,6.83,6.42,6.69,24029213,24029213,0.19,2.923,6.7056,"Sep 12, 13",-0.02761627906976737
2013-09-13,6.7,6.87,6.64,6.72,17339144,17339144,0.03,0.448,6.7559,"Sep 13, 13",-0.023255813953488393
2013-09-16,6.74,6.83,6.61,6.64,15855034,15855034,-0.08,-1.19,6.7061,"Sep 16, 13",-0.03488372093023259
2013-09-17,6.59,6.6,6.37,6.39,29774624,29774624,-0.25,-3.765,6.4413,"Sep 17, 13",-0.07122093023255817
2013-09-18,6.37,6.45,6.25,6.44,24870743,24870743,0.05,0.782,6.3291,"Sep 18, 13",-0.06395348837209296
2013-09-19,6.46,6.5,6.3,6.49,13186644,13186644,0.05,0.776,6.4398,"Sep 19, 13",-0.05668604651162786
2013-09-20,6.48,6.49,6.18,6.26,28703186,28703186,-0.23,-3.544,6.2828,"Sep 20, 13",-0.09011627906976746
2013-09-23,6.19,6.2,6.02,6.15,30040102,30040102,-0.11,-1.757,6.1017,"Sep 23, 13",-0.10610465116279064
2013-09-24,6.14,6.24,6.05,6.19,12501488,12501488,0.04,0.65,6.1737,"Sep 24, 13",-0.10029069767441853
2013-09-25,6.28,6.3,6.04,6.19,19995469,19995469,0,0,6.1573,"Sep 25, 13",-0.10029069767441853
2013-09-26,6.18,6.33,6.18,6.3,11250151,11250151,0.11,1.777,6.2573,"Sep 26, 13",-0.08430232558139536
2013-09-27,6.28,6.32,6.13,6.16,7341603,7341603,-0.14,-2.222,6.232,"Sep 27, 13",-0.10465116279069764
2013-09-30,6.09,6.27,6.045,6.219,19916294,19916294,0.059,0.958,6.1908,"Sep 30, 13",-0.09607558139534877
2013-10-01,6.25,6.4,6.19,6.29,14919337,14919337,0.071,1.142,6.3331,"Oct 1, 13",-0.08575581395348836
2013-10-02,6.26,6.35,6.22,6.35,9550128,9550128,0.06,0.954,6.2811,"Oct 2, 13",-0.07703488372093027
2013-10-03,6.34,6.37,6.25,6.29,20216410,20216410,-0.06,-0.945,7.0809,"Oct 3, 13",-0.08575581395348836
2013-10-04,6.29,6.44,6.26,6.44,10848521,10848521,0.15,2.385,6.3817,"Oct 4, 13",-0.06395348837209296
2013-10-07,6.41,6.45,6.36,6.38,6762482,6762482,-0.06,-0.932,6.3885,"Oct 7, 13",-0.07267441860465117
2013-10-08,6.38,6.43,6.11,6.13,19666754,19666754,-0.25,-3.918,6.2745,"Oct 8, 13",-0.10901162790697674
2013-10-09,6.14,6.17,5.99,6,15901263,15901263,-0.13,-2.121,5.8961,"Oct 9, 13",-0.12790697674418602
2013-10-10,6.04,6.08,5.92,5.97,23745143,23745143,-0.03,-0.5,5.981,"Oct 10, 13",-0.13226744186046513
2013-10-11,6.03,6.15,5.93,6,17809908,17809908,0.03,0.503,6.0341,"Oct 11, 13",-0.12790697674418602
2013-10-14,6,6.09,6,6.03,8165727,8165727,0.03,0.5,6.021,"Oct 14, 13",-0.12354651162790693
2013-10-15,6.11,6.11,5.95,6.03,18525310,18525310,0,0,6.0058,"Oct 15, 13",-0.12354651162790693
2013-10-16,6.1,6.35,6.09,6.3,23810400,23810400,0.27,4.478,6.2708,"Oct 16, 13",-0.08430232558139536
2013-10-17,6.36,6.42,6.24,6.42,13360348,13360348,0.12,1.905,6.3736,"Oct 17, 13",-0.06686046511627906
2013-10-18,6.46,6.545,6.3,6.4,15582373,15582373,-0.02,-0.312,6.3982,"Oct 18, 13",-0.06976744186046505
