date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,67.2132,68.9756,66.7494,68.9292,354630,354630,2.0778,3.108,68.4386,"Aug 5, 13",0
2013-08-06,68.9941,69.2028,67.8996,68.7993,208555,208555,-0.129863,-0.188,68.6583,"Aug 6, 13",-0.0018845424000277407
2013-08-07,68.5582,68.6973,68.0016,68.5489,136327,136327,-0.250446,-0.364,68.4591,"Aug 7, 13",-0.005517255386686502
2013-08-08,68.7066,69.2316,68.586,68.9849,188065,188065,0.435967,0.636,69.0285,"Aug 8, 13",0.0008080755325754781
2013-08-09,68.9014,69.3093,68.3448,68.8736,83822,83822,-0.111309,-0.161,68.9167,"Aug 9, 13",-0.000806624768603122
2013-08-12,68.9199,69.7269,68.7438,69.6342,221370,221370,0.760623,1.104,69.5092,"Aug 12, 13",0.010227886004770294
2013-08-13,69.662,70.0609,68.8457,69.4301,116091,116091,-0.20407,-0.293,69.3497,"Aug 13, 13",0.007266876737289879
2013-08-14,69.4023,69.8475,68.5025,68.586,144834,144834,-0.844109,-1.216,69.1063,"Aug 14, 13",-0.0049790219529603705
2013-08-15,68.0387,68.4932,66.8885,68.0665,274413,274413,-0.519449,-0.757,67.9107,"Aug 15, 13",-0.01251574078909939
2013-08-16,67.881,68.0665,66.9442,67.2503,162183,162183,-0.816278,-1.199,67.4893,"Aug 16, 13",-0.024356876331075927
2013-08-19,67.0555,68.2799,66.9256,67.1575,118835,118835,-0.09276,-0.138,67.5376,"Aug 19, 13",-0.025703185297377536
2013-08-20,67.2688,68.5118,67.1761,67.8254,148927,148927,0.667867,0.994,67.6629,"Aug 20, 13",-0.01601353272633358
2013-08-21,67.7326,67.9692,65.729,66.0073,155841,155841,-1.8181,-2.681,66.5784,"Aug 21, 13",-0.04238987250686203
2013-08-22,65.998,66.3867,65.1168,66.0351,78015,78015,0.027827,0.042,65.9966,"Aug 22, 13",-0.04198656012256047
2013-08-23,65.9887,67.0555,65.5899,66.3227,102021,102021,0.287551,0.435,66.058,"Aug 23, 13",-0.037814162938203215
2013-08-26,66.3783,66.5175,64.0686,64.7365,374510,374510,-1.5862,-2.392,65.3423,"Aug 26, 13",-0.06082618106694968
2013-08-27,62.8442,64.1799,59.542,60.2933,1030817,1030817,-4.4432,-6.863,61.0617,"Aug 27, 13",-0.12528652588453068
2013-08-28,60.6737,60.7479,59.273,60.3212,443644,443644,0.02783,0.046,59.9819,"Aug 28, 13",-0.12488176273625688
