date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,36.1575,37.1125,36.1575,37.1055,22929,22929,0.603911,1.654,36.8499,"Aug 5, 13",0
2013-08-06,37.1125,37.2179,36.7333,37.0213,15012,15012,-0.084268,-0.227,37.0721,"Aug 6, 13",-0.002269205373866481
2013-08-07,37.3934,37.4988,37.0564,37.3162,20637,20637,0.294934,0.797,37.3026,"Aug 7, 13",0.005678403471183592
2013-08-08,37.5128,37.7094,36.9651,37.4566,14661,14661,0.140447,0.376,37.2854,"Aug 8, 13",0.009462209106466762
2013-08-09,37.5128,37.7024,37.1031,37.6322,13864,13864,0.175556,0.469,37.5294,"Aug 9, 13",0.01419466116882937
2013-08-12,37.4777,37.6673,37.0156,37.3513,15740,15740,-0.280887,-0.746,37.2784,"Aug 12, 13",0.006624354880004384
2013-08-13,37.6981,37.7455,36.9899,37.0607,7011,7011,-0.290603,-0.778,37.2882,"Aug 13, 13",-0.0012073681799194774
2013-08-14,37.0943,37.6839,36.4021,36.9049,14031,14031,-0.155809,-0.42,36.9057,"Aug 14, 13",-0.005406206627049937
2013-08-15,36.4658,36.9545,36.055,36.055,13431,13431,-0.849853,-2.303,36.2765,"Aug 15, 13",-0.028311166808155114
2013-08-16,35.8072,36.6499,35.8001,36.4304,20736,20736,0.375353,1.041,36.2381,"Aug 16, 13",-0.018194068264812506
2013-08-19,36.3737,36.6712,36.1223,36.4162,9501,9501,-0.014165,-0.039,36.3723,"Aug 19, 13",-0.0185767608575547
2013-08-20,36.395,37.1133,36.2523,36.7641,17977,17977,0.347873,0.955,36.649,"Aug 20, 13",-0.009200792335368076
2013-08-21,36.4091,36.8836,35.9417,36.3312,14594,14594,-0.432858,-1.177,36.4392,"Aug 21, 13",-0.02086752637749112
2013-08-22,36.4729,37.0394,36.4729,36.6924,12342,12342,0.361192,0.994,36.7154,"Aug 22, 13",-0.011133120426890892
2013-08-23,36.997,37.7902,36.7845,37.4006,15886,15886,0.708205,1.93,37.2598,"Aug 23, 13",0.007952998881567367
2013-08-26,37.0536,38.1018,37.0536,38.1018,28016,28016,0.701129,1.875,37.5921,"Aug 26, 13",0.026850466911913274
2013-08-27,37.8043,38.0309,37.0607,37.7547,15538,15538,-0.347025,-0.911,37.6446,"Aug 27, 13",0.017496058535796593
2013-08-28,37.9247,38.208,37.1811,37.1811,17495,17495,-0.573646,-1.519,37.6206,"Aug 28, 13",0.0020374338036140585
2013-08-29,37.5281,37.8964,37.1457,37.5635,9031,9031,0.382432,1.029,37.544,"Aug 29, 13",0.012343183625069018
2013-08-30,37.8326,37.8326,36.827,36.8458,15202,15202,-0.717771,-1.911,37.3038,"Aug 30, 13",-0.006998962417970443
2013-09-03,37.3157,37.6407,36.827,36.8411,12308,12308,-0.004607,-0.013,37.0522,"Sep 3, 13",-0.007125628276131624
2013-09-04,36.827,37.1811,36.6995,37.0394,14785,14785,0.198299,0.538,36.9715,"Sep 4, 13",-0.001781407069032858
2013-09-05,36.8411,37.1669,36.8411,36.9219,13969,13969,-0.117563,-0.317,36.9686,"Sep 5, 13",-0.004948053523062577
2013-09-06,36.9686,37.2802,36.4867,36.7208,11520,11520,-0.20113,-0.545,37.038,"Sep 6, 13",-0.010367735241406321
2013-09-09,36.9279,37.2983,36.764,36.7925,15426,15426,0.071737,0.195,37.0818,"Sep 9, 13",-0.008435407149883506
2013-09-10,36.6927,37.1772,36.6927,36.8466,14560,14560,0.054145,0.147,36.8313,"Sep 10, 13",-0.006977402271900312
2013-09-11,36.9065,37.0846,36.6927,36.9492,10642,10642,0.1026,0.278,36.8828,"Sep 11, 13",-0.0042123135384242675
2013-09-12,36.764,36.8922,36.4797,36.7084,18426,18426,-0.240818,-0.652,36.6584,"Sep 12, 13",-0.010701917505491147
2013-09-13,36.9065,36.9279,36.1324,36.308,16634,16634,-0.400413,-1.091,36.6712,"Sep 13, 13",-0.02149277061352089
2013-09-16,36.5004,36.8096,36.3424,36.4363,9084,9084,0.128246,0.353,36.5986,"Sep 16, 13",-0.018035062187546226
2013-09-17,36.479,36.8566,36.3579,36.8566,12079,12079,0.420365,1.154,36.5847,"Sep 17, 13",-0.006707900446025495
2013-09-18,36.9065,36.9065,36.3365,36.4505,32965,32965,-0.406114,-1.102,36.4612,"Sep 18, 13",-0.017652369594804037
2013-09-19,36.4149,36.692,36.4149,36.5146,13478,13478,0.064122,0.176,36.5299,"Sep 19, 13",-0.015924862890946027
2013-09-20,36.5146,36.7221,36.4434,36.6144,15427,15427,0.099746,0.273,36.5537,"Sep 20, 13",-0.01323523466871477
2013-09-23,36.5859,36.7946,36.308,36.7426,21278,21278,0.128245,0.35,36.4699,"Sep 23, 13",-0.009780221260998942
2013-09-24,36.6999,36.8352,36.534,36.6927,13610,13610,-0.049871,-0.136,36.6806,"Sep 24, 13",-0.01112503537211457
2013-09-25,36.8637,37.049,36.7284,36.8566,9396,9396,0.163872,0.447,36.9001,"Sep 25, 13",-0.006707900446025495
2013-09-26,36.7426,36.8709,36.6927,36.6999,7757,7757,-0.156746,-0.425,36.7455,"Sep 26, 13",-0.010930994057484733
2013-09-27,36.8139,37.0419,36.4149,36.4434,9877,9877,-0.256493,-0.699,36.6166,"Sep 27, 13",-0.017843715891175227
2013-09-30,36.3294,36.6714,36.1156,36.2296,16109,16109,-0.213747,-0.587,36.3117,"Sep 30, 13",-0.02360566492837993
2013-10-01,36.3365,36.5232,35.6953,36.0373,15721,15721,-0.192368,-0.531,36.0787,"Oct 1, 13",-0.028788185039953576
2013-10-02,35.8734,36.8139,35.6596,36.8139,22993,22993,0.776607,2.155,36.1069,"Oct 2, 13",-0.007858673242511285
2013-10-03,36.8424,37.277,36.4505,37.277,28273,28273,0.463111,1.258,36.998,"Oct 3, 13",0.004621956313754073
2013-10-04,37.277,37.8755,36.7996,37.5833,23903,23903,0.306365,0.822,37.5937,"Oct 4, 13",0.012876797240301358
2013-10-07,37.5691,37.8755,37.2271,37.3696,15999,15999,-0.213745,-0.569,37.6084,"Oct 7, 13",0.007117543221355301
2013-10-08,37.1701,37.3021,36.7212,36.8694,16372,16372,-0.500161,-1.338,37.1459,"Oct 8, 13",-0.006362938108905699
2013-10-09,37.0276,37.0276,36.693,36.764,15577,15577,-0.105446,-0.286,36.1195,"Oct 9, 13",-0.009203487353626723
2013-10-10,37.0612,37.6532,36.8315,37.011,10179,10179,0.24699,0.672,37.0906,"Oct 10, 13",-0.0025467922545174292
2013-10-11,36.9105,37.4569,36.9105,37.0182,8148,8148,0.00718,0.019,37.0645,"Oct 11, 13",-0.002352750939887592
2013-10-14,37.1689,37.5495,37.0541,37.2479,9953,9953,0.229749,0.621,37.3787,"Oct 14, 13",0.003837706000458209
2013-10-15,37.2982,37.5402,37.0397,37.4489,12189,12189,0.201031,0.54,37.3051,"Oct 15, 13",0.009254692700543117
2013-10-16,37.4417,37.6859,37.0951,37.133,19772,19772,-0.315907,-0.844,37.3683,"Oct 16, 13",0.0007411300211559853
2013-10-17,37.133,37.4201,37.1187,37.3987,8043,8043,0.265647,0.715,37.246,"Oct 17, 13",0.007901793534651164
2013-10-18,37.0756,37.2623,36.451,36.7094,30681,30681,-0.689239,-1.843,36.7898,"Oct 18, 13",-0.010674967322903533
2013-10-21,36.5371,36.7597,36.4007,36.6089,14575,14575,-0.100521,-0.274,36.5166,"Oct 21, 13",-0.013383460672946082
2013-10-22,36.4869,36.8961,36.3361,36.5946,20874,20874,-0.014359,-0.039,36.488,"Oct 22, 13",-0.013768848283947109
2013-10-23,36.4007,36.6305,36.2643,36.4869,12125,12125,-0.107692,-0.294,36.4259,"Oct 23, 13",-0.016671382948619497
2013-10-24,36.7166,36.7956,36.4007,36.5658,21904,21904,0.078976,0.216,36.5716,"Oct 24, 13",-0.01454501354246665
2013-10-25,36.7453,36.9464,36.2715,36.2787,22535,22535,-0.287185,-0.785,36.4442,"Oct 25, 13",-0.02228241096333424
2013-10-28,36.293,36.6728,36.0633,36.4079,15506,15506,0.129234,0.356,36.4326,"Oct 28, 13",-0.01880044737303099
2013-10-29,36.6376,36.7812,36.4366,36.7669,6903,6903,0.358978,0.986,36.5728,"Oct 29, 13",-0.009125331824123097
2013-10-30,36.5802,36.9026,36.3002,36.4294,12286,12286,-0.337443,-0.918,36.5365,"Oct 30, 13",-0.01822101844739993
