date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,2904.5,2941.66,2858.62,2938.42,296,296,37.9151,1.307,2921.47,"Aug 5, 13",0
2013-08-06,2939.42,2939.42,2843.64,2852.29,189,189,-86.1372,-2.931,2866.5,"Aug 6, 13",-0.02931167089796561
2013-08-07,2860.11,2863.59,2828.67,2839.65,279,279,-12.6417,-0.443,2842.3,"Aug 7, 13",-0.033613302386997085
2013-08-08,2858.6,2893.47,2834.02,2893.47,465,465,53.8295,1.896,2866.42,"Aug 8, 13",-0.01529733666392152
2013-08-09,2893.47,2893.52,2831.8,2831.8,183,183,-61.672,-2.131,2862.18,"Aug 9, 13",-0.0362848061202959
2013-08-12,2828.62,2870.33,2825.84,2847.29,195,195,15.4853,0.547,2852.96,"Aug 12, 13",-0.031013265632550864
2013-08-13,2840.64,2873.57,2816.7,2848.63,209,209,1.337,0.047,2853.16,"Aug 13, 13",-0.030557238243681964
2013-08-14,2848.63,2865.49,2807.72,2823.69,370,370,-24.9342,-0.875,2837.32,"Aug 14, 13",-0.039044792779793225
2013-08-15,2808.66,2838.64,2793.75,2793.75,561,561,-29.943,-1.06,2804.94,"Aug 15, 13",-0.04923394205048974
2013-08-16,2793.85,2851.62,2793.75,2793.76,325,325,0.009976,0,2804.2,"Aug 16, 13",-0.049230538861020495
2013-08-19,2793.75,2816.65,2711.62,2712.97,686,686,-80.7892,-2.892,2755.75,"Aug 19, 13",-0.07672490658244917
2013-08-20,2723.76,2793.65,2718.92,2792.56,222,222,79.5919,2.934,2772.63,"Aug 20, 13",-0.04963892159732105
2013-08-21,2773.82,2818.69,2758.83,2764.81,188,188,-27.7479,-0.994,2785.4,"Aug 21, 13",-0.059082772374269205
2013-08-22,2764.81,2814.18,2731.09,2814.18,111,111,49.3695,1.786,2793.96,"Aug 22, 13",-0.04228122596497445
2013-08-23,2816.7,2832.52,2746.85,2828.65,151,151,14.4676,0.514,2807.32,"Aug 23, 13",-0.037356810803084645
2013-08-26,2835.65,2835.65,2768.8,2791.75,145,145,-36.8974,-1.304,2793.16,"Aug 26, 13",-0.04991457994432384
2013-08-27,2770.77,2778.78,2684.87,2684.87,587,587,-106.8808,-3.828,2710.98,"Aug 27, 13",-0.08628786899081825
2013-08-28,2690.98,2725.83,2690.98,2698.21,143,143,13.3401,0.497,2704.21,"Aug 28, 13",-0.08174801423894475
2013-08-29,2688.98,2753.84,2688.98,2745.86,323,323,47.6434,1.766,2733.69,"Aug 29, 13",-0.06553181641834725
2013-08-30,2751.84,2753.69,2624.13,2674.02,519,519,-71.8392,-2.616,2702.72,"Aug 30, 13",-0.08998032956486822
2013-09-03,2698.13,2729.88,2661.04,2699.2,254,254,25.1836,0.942,2689.98,"Sep 3, 13",-0.08141109848149694
2013-09-04,2694.97,2736.33,2644.08,2718.93,442,442,19.7259,0.731,2690.06,"Sep 4, 13",-0.07469660565882352
2013-09-05,2711.78,2728.89,2675.01,2701.95,477,477,-16.972,-0.624,2699.39,"Sep 5, 13",-0.08047522137747505
2013-09-06,2704.59,2723.9,2654.06,2703.89,302,302,1.9357,0.072,2695.57,"Sep 6, 13",-0.07981500262045596
2013-09-09,2721.35,2743.86,2717.92,2740.95,236,236,37.0571,1.371,2730.33,"Sep 9, 13",-0.06720278244771008
2013-09-10,2746.63,2755.83,2720.91,2748.19,307,307,7.2438,0.264,2742.35,"Sep 10, 13",-0.06473887327203055
2013-09-11,2743.86,2766.81,2725.05,2741.86,264,264,-6.3258,-0.23,2741.24,"Sep 11, 13",-0.06689309220601546
2013-09-12,2749.42,2766.81,2674.05,2743.86,260,260,1.9955,0.073,2747.66,"Sep 12, 13",-0.06621245431218135
2013-09-13,2759.82,2764.81,2740.87,2757.7,89,89,13.839,0.504,2754.79,"Sep 13, 13",-0.06150244008684948
2013-09-16,2781.77,2830.67,2750.85,2817.67,460,460,59.9758,2.175,2796.86,"Sep 16, 13",-0.04109351284023387
2013-09-17,2801.68,2818.69,2768.8,2817.35,336,336,-0.319286,-0.011,2803.41,"Sep 17, 13",-0.04120241490324738
2013-09-18,2808.97,2831.66,2754.83,2825.64,382,382,8.2815,0.294,2789.67,"Sep 18, 13",-0.03838117083330504
2013-09-19,2840.37,2853.61,2797.24,2798.77,234,234,-26.8699,-0.951,2820.21,"Sep 19, 13",-0.047525540936966156
2013-09-20,2797.23,2824.69,2750.84,2824.69,1196,1196,25.922,0.926,2808.19,"Sep 20, 13",-0.038704473832876174
2013-09-23,2827.67,2827.67,2741.97,2802.67,854,854,-22.0207,-0.78,2772.33,"Sep 23, 13",-0.046198297043989624
2013-09-24,2812.71,2812.71,2745.86,2746.88,616,616,-55.7852,-1.99,2762.52,"Sep 24, 13",-0.06518469109249186
2013-09-25,2745.9,2785.76,2743.86,2780.78,283,283,33.8941,1.234,2765.32,"Sep 25, 13",-0.05364787879200382
2013-09-26,2793.75,2803.14,2763.82,2798.72,148,148,17.9399,0.645,2786.87,"Sep 26, 13",-0.04754255688431207
2013-09-27,2788.56,2793.75,2758.83,2790.67,138,138,-8.042,-0.287,2782.25,"Sep 27, 13",-0.050282124406994234
2013-09-30,2755.97,2788.75,2704.95,2741.86,550,550,-48.8108,-1.749,2746.22,"Sep 30, 13",-0.06689309220601546
2013-10-01,2735.88,2793.75,2735.88,2793.61,216,216,51.7442,1.887,2782.96,"Oct 1, 13",-0.049281586703058086
2013-10-02,2781.81,2781.81,2715.92,2752.84,440,440,-40.7688,-1.459,2746.8,"Oct 2, 13",-0.06315639016886623
2013-10-03,2741.86,2741.86,2647.08,2706.94,790,790,-45.8973,-1.667,2694.5,"Oct 3, 13",-0.07877702983235889
2013-10-04,2699.86,2750.84,2699.86,2729.89,166,166,22.9486,0.848,2725.84,"Oct 4, 13",-0.07096671000061264
2013-10-07,2698.06,2749.85,2671.02,2718.92,348,348,-10.9754,-0.402,2721.56,"Oct 7, 13",-0.07470000884829262
2013-10-08,2714.92,2828.03,2689.68,2689.68,1039,1039,-29.2346,-1.075,2746.12,"Oct 8, 13",-0.08465093485614726
2013-10-09,2690.06,2738.87,2690.06,2703.95,421,421,14.2681,0.53,2711.76,"Oct 9, 13",-0.07979458348364095
2013-10-10,2744.86,2773.79,2688.98,2768.79,454,454,64.8449,2.398,2756.18,"Oct 10, 13",-0.05772830296553934
2013-10-11,2768.8,2815.7,2728.89,2815.7,493,493,46.905,1.694,2771.41,"Oct 11, 13",-0.04176394116566054
2013-10-14,2801.73,2841.64,2758.83,2813.71,322,322,-1.9856,-0.071,2823.72,"Oct 14, 13",-0.0424411758700254
