date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,7.8533,8.0943,7.8533,7.9497,11564,11564,0.192722,2.484,7.9539,"Aug 5, 13",0
2013-08-06,7.8533,7.969,7.7281,7.757,8722,8722,-0.192722,-2.424,7.8095,"Aug 6, 13",-0.024239908424217305
2013-08-07,7.7859,7.9497,7.7088,7.757,5854,5854,0,0,7.8742,"Aug 7, 13",-0.024239908424217305
2013-08-08,7.757,7.8533,7.757,7.757,1146,1146,0,0,7.7931,"Aug 8, 13",-0.024239908424217305
2013-08-09,7.757,7.8533,7.5161,7.757,9494,9494,0,0,7.7017,"Aug 9, 13",-0.024239908424217305
2013-08-12,7.8919,8.0446,7.7859,7.9497,17179,17179,0.192722,2.484,7.9007,"Aug 12, 13",0
2013-08-13,7.8919,8.0075,7.7859,7.7955,4780,4780,-0.154174,-1.939,7.8255,"Aug 13, 13",-0.01939695837578781
2013-08-14,7.7956,8.3159,7.7956,8.2966,13746,13746,0.501071,6.428,8.0624,"Aug 14, 13",0.043636866800005
2013-08-15,8.3159,8.3824,7.7859,8.0461,43599,43599,-0.250537,-3.02,8.1545,"Aug 15, 13",0.012126243757625967
2013-08-16,8.1328,8.287,7.9112,8.1328,6797,6797,0.086725,1.078,8.102,"Aug 16, 13",0.023032315684868562
2013-08-19,8.2484,8.3062,7.7281,7.8052,10514,10514,-0.327625,-4.028,8.0365,"Aug 19, 13",-0.01817678654540421
2013-08-20,7.8052,8.1896,7.8052,7.9015,4864,4864,0.09636,1.235,7.8752,"Aug 20, 13",-0.006063121878812984
2013-08-21,7.9969,8.0075,7.8148,7.8341,4897,4897,-0.067451,-0.854,7.9798,"Aug 21, 13",-0.014541429236323346
2013-08-22,7.9208,8.0943,7.9208,8.0364,3083,3083,0.202355,2.583,8.0364,"Aug 22, 13",0.010906071927242593
2013-08-23,8.0653,8.1896,8.0364,8.0461,3751,3751,0.009636,0.12,8.0864,"Aug 23, 13",0.012126243757625967
2013-08-26,8.0846,8.7302,8.0461,8.393,23330,23330,0.346896,4.311,8.3908,"Aug 26, 13",0.055763110557631196
2013-08-27,8.393,8.393,8.0461,8.2099,7875,7875,-0.183082,-2.181,8.1803,"Aug 27, 13",0.03273079487276241
2013-08-28,8.1906,8.1906,8.1424,8.1424,23312,23312,-0.067453,-0.822,8.188,"Aug 28, 13",0.024239908424217305
2013-08-29,8.1617,8.287,7.8244,8.0653,29963,29963,-0.077088,-0.947,8.0076,"Aug 29, 13",0.014541429236323457
2013-08-30,8.0075,8.181,7.9208,7.9497,6851,6851,-0.115633,-1.434,8.0065,"Aug 30, 13",0
2013-09-03,8.0653,8.2773,7.9497,7.9979,7744,7744,0.048181,0.606,7.988,"Sep 3, 13",0.006063121878812984
2013-09-04,8.0557,8.2292,7.9497,8.0846,15323,15323,0.086722,1.084,8.1032,"Sep 4, 13",0.016969193806055577
2013-09-05,8.0557,8.1713,8.0557,8.075,4755,4755,-0.009635,-0.119,8.1032,"Sep 5, 13",0.01576160106670683
2013-09-06,8.0847,8.287,8.0847,8.1039,650,650,0.028907,0.358,8.1528,"Sep 6, 13",0.019396958375787695
2013-09-09,8.1906,8.1906,8.075,8.1328,5898,5898,0.02891,0.357,8.1058,"Sep 9, 13",0.023032315684868562
2013-09-10,8.0943,8.6242,8.0943,8.4797,18709,18709,0.346897,4.265,8.284,"Sep 10, 13",0.06666918248487357
2013-09-11,8.4797,8.6724,8.2099,8.3352,10101,10101,-0.144542,-1.705,8.3563,"Sep 11, 13",0.04849239593946946
2013-09-12,7.9507,8.6242,7.9497,8.2581,3365,3365,-0.077086,-0.925,8.2628,"Sep 12, 13",0.03879391675157562
2013-09-13,8.181,8.2484,7.9497,8.0364,4596,4596,-0.22163,-2.684,8.0749,"Sep 13, 13",0.010906071927242593
2013-09-16,8.0653,8.5961,7.9025,8.3352,4153,4153,0.298716,3.717,8.0754,"Sep 16, 13",0.04849239593946946
2013-09-17,8.2581,8.3159,7.9979,8.2292,3394,3394,-0.105995,-1.272,8.1826,"Sep 17, 13",0.03515855944249475
2013-09-18,8.2099,8.5279,8.2099,8.4604,21503,21503,0.231262,2.81,8.395,"Sep 18, 13",0.06424141791514144
2013-09-19,8.4893,8.5182,8.4604,8.4604,1666,1666,0,0,8.4806,"Sep 19, 13",0.06424141791514144
2013-09-20,8.4315,8.4411,8.3641,8.4315,13043,13043,-0.028905,-0.342,8.4159,"Sep 20, 13",0.06060606060606058
2013-09-23,8.4315,8.5182,8.3447,8.4315,5333,5333,0,0,8.4427,"Sep 23, 13",0.06060606060606058
2013-09-24,8.4604,8.5279,8.3506,8.4315,7024,7024,0,0,8.4275,"Sep 24, 13",0.06060606060606058
2013-09-25,8.4316,8.4316,8.4026,8.4026,1398,1398,-0.028908,-0.343,8.4294,"Sep 25, 13",0.056970703296979716
2013-09-26,8.5182,8.5182,8.4315,8.4315,1178,1178,0.028908,0.344,8.5101,"Sep 26, 13",0.06060606060606058
2013-09-27,8.5277,8.5279,8.4122,8.5279,65378,65378,0.096361,1.143,8.5272,"Sep 27, 13",0.07273230436368677
2013-09-30,8.4411,8.5086,8.287,8.4797,6340,6340,-0.048181,-0.565,8.4333,"Sep 30, 13",0.06666918248487357
2013-10-01,8.5182,8.7688,8.5182,8.6917,5364,5364,0.211991,2.5,8.6813,"Oct 1, 13",0.09333685547882321
2013-10-02,8.7013,8.7495,8.2389,8.7206,8582,8582,0.028907,0.333,8.5981,"Oct 2, 13",0.09697221278790386
2013-10-03,8.5953,8.9133,8.4436,8.5375,17553,17553,-0.183083,-2.099,8.691,"Oct 3, 13",0.07393989710303529
2013-10-04,8.5953,8.7495,8.4316,8.4701,20550,20550,-0.067452,-0.79,8.6058,"Oct 4, 13",0.06546158974552505
2013-10-07,8.4893,8.8642,8.4893,8.817,44780,44780,0.346896,4.096,8.7392,"Oct 7, 13",0.10909845654553005
2013-10-08,8.7784,8.8651,8.7206,8.817,6123,6123,0,0,8.7887,"Oct 8, 13",0.10909845654553005
2013-10-09,8.7688,8.8651,8.7688,8.7784,3806,3806,-0.038544,-0.437,8.7795,"Oct 9, 13",0.10424292740606558
2013-10-10,8.8651,8.8748,8.7688,8.788,7658,7658,0.009636,0.11,8.7969,"Oct 10, 13",0.10545052014541433
2013-10-11,8.817,8.8651,8.788,8.788,1549,1549,0,0,8.8167,"Oct 11, 13",0.10545052014541433
2013-10-14,8.8545,8.9133,8.841,8.8459,4647,4647,0.057817,0.658,8.8677,"Oct 14, 13",0.11273381385461091
2013-10-15,8.8844,9.0675,8.8651,8.9904,16234,16234,0.144539,1.634,8.9283,"Oct 15, 13",0.130910600400015
2013-10-16,8.9615,9.0964,8.8844,8.9519,2502,2502,-0.038544,-0.429,8.9588,"Oct 16, 13",0.12606765035158563
2013-10-17,8.8651,8.8989,8.5279,8.8073,8221,8221,-0.14454,-1.615,8.7322,"Oct 17, 13",0.10787828471514645
2013-10-18,8.8073,8.8844,8.682,8.6917,5539,5539,-0.115632,-1.313,8.8094,"Oct 18, 13",0.09333685547882321
2013-10-21,9.0964,9.106,8.7784,9.106,20038,20038,0.414349,4.767,8.9651,"Oct 21, 13",0.14545202963633846
2013-10-22,9.0747,9.0747,8.5375,9.0579,4254,4254,-0.048182,-0.529,8.8091,"Oct 22, 13",0.13940148684856032
2013-10-23,8.9133,9.0579,8.9133,9.0482,6854,6854,-0.009634,-0.106,9.0004,"Oct 23, 13",0.13818131501817674
2013-10-24,8.9808,9.0964,8.6724,9.0964,11504,11504,0.04818,0.532,8.8003,"Oct 24, 13",0.1442444368969897
