date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,17.0604,17.186,17.0604,17.1146,10937,7291,0.070386,0.413,17.1402,"Aug 5, 13",0
2013-08-06,17.147,17.2337,17.0225,17.1146,12492,8328,0,0,17.119,"Aug 6, 13",0
2013-08-07,17.0496,17.1708,17.0172,17.055,20861,13907,-0.059558,-0.348,17.1136,"Aug 7, 13",-0.003482406833931243
2013-08-08,17.8076,17.9321,17.7048,17.9213,16356,10904,0.866284,5.079,17.8616,"Aug 8, 13",0.04713519451228772
2013-08-09,18.1108,18.2786,18.0783,18.2191,32813,21875,0.29779,1.662,18.1855,"Aug 9, 13",0.06453554275297124
2013-08-12,18.5602,18.6847,18.5114,18.636,24824,16549,0.416897,2.288,18.5994,"Aug 12, 13",0.0888948616970306
2013-08-13,18.7334,18.7914,18.5981,18.7443,16535,11023,0.108286,0.581,18.692,"Aug 13, 13",0.09522279223586878
2013-08-14,18.7064,18.8417,18.7064,18.7388,12819,8546,-0.005413,-0.029,18.7302,"Aug 14, 13",0.0949014291891135
2013-08-15,19.2478,19.3181,19.1178,19.237,24974,16649,0.498113,2.658,19.2163,"Aug 15, 13",0.12401107826066628
2013-08-16,20.374,20.4118,20.2169,20.3361,37728,25152,1.0991,5.713,20.3146,"Aug 16, 13",0.1882311009313685
2013-08-19,19.9679,20.0058,19.5672,19.5672,30947,20631,-0.768828,-3.781,19.731,"Aug 19, 13",0.1433045469949634
2013-08-20,18.6414,18.6901,18.4573,18.5277,30912,20608,-1.0395,-5.313,18.5417,"Aug 20, 13",0.08256693115819243
2013-08-21,18.8255,18.8417,18.6739,18.7064,13488,8992,0.178671,0.964,18.7758,"Aug 21, 13",0.09300830869549971
2013-08-22,18.9338,19.1341,18.9175,19.0962,13904,9269,0.389828,2.084,19.0408,"Aug 22, 13",0.11578418426372807
2013-08-23,18.8038,18.8038,18.6793,18.7659,12911,8607,-0.330269,-1.73,18.7629,"Aug 23, 13",0.09648487256494451
2013-08-26,18.349,18.6793,18.1866,18.2407,31877,21251,-0.525185,-2.799,18.3158,"Aug 26, 13",0.06579762308204697
2013-08-27,18.6468,18.7226,18.4032,18.4086,28865,19243,0.167841,0.92,18.5373,"Aug 27, 13",0.07560796045481638
2013-08-28,18.2786,18.5006,18.257,18.4898,10034,6689,0.081215,0.441,18.4496,"Aug 28, 13",0.08035244761782336
2013-08-29,19.5456,19.6376,19.3669,19.3669,23319,15546,0.877116,4.744,19.5063,"Aug 29, 13",0.13160108912858037
2013-08-30,19.3723,19.3723,19.0691,19.0691,7922,5281,-0.297788,-1.538,19.1598,"Aug 30, 13",0.11420074088789686
2013-09-03,19.3398,19.4514,19.2315,19.4048,27791,18527,0.335686,1.76,19.3552,"Sep 3, 13",0.13381557266894945
2013-09-04,19.7297,20.0924,19.7297,20.0924,25652,17101,0.687613,3.544,19.9963,"Sep 4, 13",0.17399179647786114
2013-09-05,20.4877,20.5201,20.2872,20.4552,34823,23215,0.362758,1.805,20.4077,"Sep 5, 13",0.19519007163474472
2013-09-06,20.6447,20.7258,20.4335,20.6826,37266,24844,0.227401,1.112,20.6355,"Sep 6, 13",0.20847697287695893
2013-09-09,20.2927,20.623,20.2873,20.623,26840,17893,-0.05956,-0.288,20.4337,"Sep 9, 13",0.2049945660430277
2013-09-10,20.6988,20.9154,20.6393,20.9154,38406,25604,0.292372,1.418,20.7798,"Sep 10, 13",0.22207939420144218
2013-09-11,21.0778,21.2582,20.9912,21.2078,31394,20929,0.292373,1.398,21.1486,"Sep 11, 13",0.2391642223598565
2013-09-12,21.2348,21.2348,20.9966,21.0183,44823,29882,-0.189501,-0.894,21.0739,"Sep 12, 13",0.22809180465801132
2013-09-13,20.7854,20.8396,20.6717,20.7042,32687,21791,-0.314028,-1.494,20.731,"Sep 13, 13",0.20973905320603467
2013-09-16,20.0545,20.1899,20.0329,20.0491,33911,22607,-0.65513,-3.164,20.1001,"Sep 16, 13",0.17146179285522303
2013-09-17,20.3631,20.5256,20.1682,20.3794,23897,15931,0.330273,1.647,20.4284,"Sep 17, 13",0.19076110455400658
2013-09-18,20.8937,21.2619,20.8233,21.2619,36090,24060,0.882529,4.331,21.0979,"Sep 18, 13",0.24232526614703245
2013-09-19,20.8991,20.9311,20.6669,20.8721,44406,29604,-0.389828,-1.833,20.7755,"Sep 19, 13",0.2195493905788041
2013-09-20,20.7692,20.8721,20.4227,20.4227,63719,42479,-0.449386,-2.153,20.5474,"Sep 20, 13",0.1932911081766445
2013-09-23,20.4173,20.4173,20.152,20.3631,27885,18590,-0.059558,-0.292,20.3012,"Sep 23, 13",0.18980870134271324
2013-09-24,20.1628,20.2922,19.9901,20.0599,34223,22815,-0.3032,-1.489,20.1609,"Sep 24, 13",0.1720928330197609
2013-09-25,20.3144,20.3361,20.1411,20.3361,32904,21936,0.276128,1.377,20.2458,"Sep 25, 13",0.1882311009313685
2013-09-26,20.5526,20.7421,20.5418,20.7367,20451,13634,0.400659,1.97,20.6734,"Sep 26, 13",0.2116380166641347
2013-09-27,20.5797,20.6934,20.5147,20.6393,32694,21796,-0.097461,-0.47,20.5946,"Sep 27, 13",0.20594696925432085
2013-09-30,20.244,20.3415,20.0496,20.3415,39233,26155,-0.297784,-1.443,20.2529,"Sep 30, 13",0.1885466210136375
2013-10-01,20.2765,20.4552,20.263,20.4552,14547,9698,0.113701,0.559,20.3595,"Oct 1, 13",0.19519007163474472
