date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,3.55,3.74,3.54,3.55,366368,366368,0.01,0.282,3.6486,"Aug 5, 13",0
2013-08-06,3.49,3.51,3.41,3.44,206796,206796,-0.11,-3.099,3.4785,"Aug 6, 13",-0.030985915492957712
2013-08-07,3.44,3.5,3.32,3.39,210724,210724,-0.05,-1.453,3.4306,"Aug 7, 13",-0.04507042253521119
2013-08-08,3.41,3.53,3.36,3.51,427625,427625,0.12,3.54,3.4792,"Aug 8, 13",-0.011267605633802828
2013-08-09,3.52,3.66,3.5,3.56,231658,231658,0.05,1.425,3.5928,"Aug 9, 13",0.0028169014084507694
2013-08-12,3.54,3.58,3.5,3.5,154765,154765,-0.06,-1.685,3.5262,"Aug 12, 13",-0.014084507042253471
2013-08-13,3.5,3.59,3.5,3.56,88325,88325,0.06,1.714,3.5394,"Aug 13, 13",0.0028169014084507694
2013-08-14,3.57,3.66,3.51,3.61,131946,131946,0.05,1.404,3.5971,"Aug 14, 13",0.01690140845070424
2013-08-15,3.55,3.6724,3.5,3.51,117881,117881,-0.1,-2.77,3.5378,"Aug 15, 13",-0.011267605633802828
2013-08-16,3.5,3.55,3.47,3.49,160735,160735,-0.02,-0.57,3.4973,"Aug 16, 13",-0.016901408450704116
2013-08-19,3.49,3.52,3.44,3.46,77211,77211,-0.03,-0.86,3.4763,"Aug 19, 13",-0.0253521126760563
2013-08-20,3.46,3.61,3.45,3.59,96022,96022,0.13,3.757,3.5631,"Aug 20, 13",0.011267605633802828
2013-08-21,3.57,3.62,3.49,3.55,96507,96507,-0.04,-1.114,3.562,"Aug 21, 13",0
2013-08-22,3.55,3.66,3.52,3.6,55548,55548,0.05,1.408,3.5992,"Aug 22, 13",0.014084507042253596
2013-08-23,3.57,3.65,3.54,3.59,141786,141786,-0.01,-0.278,3.5696,"Aug 23, 13",0.011267605633802828
2013-08-26,3.59,3.7,3.59,3.62,117625,117625,0.03,0.836,3.6577,"Aug 26, 13",0.01971830985915501
2013-08-27,3.59,3.66,3.36,3.36,185773,185773,-0.26,-7.182,3.4692,"Aug 27, 13",-0.053521126760563364
2013-08-28,3.35,3.45,3.33,3.42,126815,126815,0.06,1.786,3.389,"Aug 28, 13",-0.03661971830985913
2013-08-29,3.42,3.57,3.42,3.56,89842,89842,0.14,4.094,3.5361,"Aug 29, 13",0.0028169014084507694
2013-08-30,3.57,3.66,3.5,3.53,113289,113289,-0.03,-0.843,3.5441,"Aug 30, 13",-0.005633802816901414
2013-09-03,3.57,3.6,3.5,3.57,81451,81451,0.04,1.133,3.5579,"Sep 3, 13",0.005633802816901414
2013-09-04,3.59,3.59,3.51,3.56,126796,126796,-0.01,-0.28,3.5553,"Sep 4, 13",0.0028169014084507694
2013-09-05,3.54,3.59,3.5,3.56,104589,104589,0,0,3.5297,"Sep 5, 13",0.0028169014084507694
2013-09-06,3.59,3.59,3.47,3.49,162772,162772,-0.07,-1.966,3.5103,"Sep 6, 13",-0.016901408450704116
2013-09-09,3.5,3.56,3.4001,3.56,150575,150575,0.07,2.006,3.5334,"Sep 9, 13",0.0028169014084507694
2013-09-10,3.57,3.61,3.52,3.59,145378,145378,0.03,0.843,3.5732,"Sep 10, 13",0.011267605633802828
2013-09-11,3.59,3.64,3.5499,3.55,92744,92744,-0.04,-1.114,3.5757,"Sep 11, 13",0
2013-09-12,3.56,3.64,3.51,3.52,140231,140231,-0.03,-0.845,3.5535,"Sep 12, 13",-0.008450704225352058
2013-09-13,3.54,3.58,3.51,3.52,104114,104114,0,0,3.5241,"Sep 13, 13",-0.008450704225352058
2013-09-16,3.56,3.61,3.51,3.58,102456,102456,0.06,1.705,3.573,"Sep 16, 13",0.008450704225352183
2013-09-17,3.6,3.61,3.53,3.56,154668,154668,-0.02,-0.559,3.5586,"Sep 17, 13",0.0028169014084507694
2013-09-18,3.57,3.63,3.53,3.6,112512,112512,0.04,1.124,3.5733,"Sep 18, 13",0.014084507042253596
2013-09-19,3.62,3.72,3.5899,3.61,189704,189704,0.01,0.278,3.6407,"Sep 19, 13",0.01690140845070424
2013-09-20,3.62,3.65,3.56,3.63,203310,203310,0.02,0.554,3.6176,"Sep 20, 13",0.022535211267605656
2013-09-23,3.68,3.73,3.55,3.59,178892,178892,-0.04,-1.102,3.6177,"Sep 23, 13",0.011267605633802828
2013-09-24,3.61,3.69,3.55,3.56,139639,139639,-0.03,-0.836,3.619,"Sep 24, 13",0.0028169014084507694
2013-09-25,3.57,3.645,3.54,3.61,403896,403896,0.05,1.404,3.6026,"Sep 25, 13",0.01690140845070424
2013-09-26,3.63,3.7,3.59,3.67,247375,247375,0.06,1.662,3.6657,"Sep 26, 13",0.03380281690140848
2013-09-27,3.66,3.95,3.66,3.86,510260,510260,0.19,5.177,3.8551,"Sep 27, 13",0.08732394366197185
2013-09-30,3.8,3.995,3.78,3.82,235614,235614,-0.04,-1.036,3.851,"Sep 30, 13",0.07605633802816902
2013-10-01,3.84,4.13,3.8,4.07,417625,417625,0.25,6.545,4.0264,"Oct 1, 13",0.14647887323943676
2013-10-02,4.04,4.15,3.91,3.92,252431,252431,-0.15,-3.686,4.0171,"Oct 2, 13",0.1042253521126761
2013-10-03,3.94,3.94,3.7,3.74,261232,261232,-0.18,-4.592,3.7881,"Oct 3, 13",0.053521126760563496
2013-10-04,3.73,3.75,3.64,3.69,191930,191930,-0.05,-1.337,3.6998,"Oct 4, 13",0.0394366197183099
2013-10-07,3.61,3.6501,3.545,3.56,119126,119126,-0.13,-3.523,3.5902,"Oct 7, 13",0.0028169014084507694
2013-10-08,3.58,3.6,3.41,3.45,395339,395339,-0.11,-3.09,3.4599,"Oct 8, 13",-0.028169014084506942
