date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,6.5,6.5,6.3,6.3,4700,47000,0,0,6.3808,"Aug 5, 13",0
2013-08-06,6.3,6.3,6,6,3918,39180,-0.3,-4.762,6.0719,"Aug 6, 13",-0.047619047619047596
2013-08-08,6.4,6.4,6,6,1013,10130,0,0,6.0051,"Aug 8, 13",-0.047619047619047596
2013-08-09,6,6,5.54,5.54,5583,55825,-0.46,-7.667,5.9959,"Aug 9, 13",-0.12063492063492061
2013-08-12,5.54,6.2,5.54,6.2,1100,11000,0.66,11.913,5.84,"Aug 12, 13",-0.015873015873015817
2013-08-13,6,6.3,5.75,6.3,5680,56800,0.1,1.613,6.0951,"Aug 13, 13",0
2013-08-14,5.9,6.4,5.9,6,5450,54500,-0.3,-4.762,6.0591,"Aug 14, 13",-0.047619047619047596
2013-08-15,5.9,6.3,5.9,6,3050,30500,0,0,6.0287,"Aug 15, 13",-0.047619047619047596
2013-08-16,5.9,6.3,5.9,5.9,3165,31650,-0.1,-1.667,5.9886,"Aug 16, 13",-0.0634920634920634
2013-08-19,5.9,6.2,5.9,5.95,4595,45951,0.05,0.847,5.9857,"Aug 19, 13",-0.055555555555555504
2013-08-20,6,6,5.75,6,4838,48378,0.05,0.84,5.9649,"Aug 20, 13",-0.047619047619047596
2013-08-21,6,6,5.9,6,1682,16815,0,0,5.9868,"Aug 21, 13",-0.047619047619047596
2013-08-22,5.9,6,5.7,6,4053,40525,0,0,5.9012,"Aug 22, 13",-0.047619047619047596
2013-08-23,6,6.35,5.5,6.25,7408,74082,0.25,4.167,6.0838,"Aug 23, 13",-0.007936507936507908
2013-08-26,6.25,6.4,6,6,10982,109815,-0.25,-4,6.2847,"Aug 26, 13",-0.047619047619047596
2013-08-27,6.4,6.4,6,6,1729,17291,0,0,5.8514,"Aug 27, 13",-0.047619047619047596
2013-08-28,5.75,6,5.6,5.8,7500,75000,-0.2,-3.333,5.8139,"Aug 28, 13",-0.07936507936507936
2013-08-29,6,6.2,5.9,6,2330,23300,0.2,3.448,5.9923,"Aug 29, 13",-0.047619047619047596
2013-08-30,6.2,6.2,5.8,6.2,3990,39900,0.2,3.333,6.0139,"Aug 30, 13",-0.015873015873015817
2013-09-03,6.1,6.15,5.6,6.1,10164,101640,-0.1,-1.613,5.8301,"Sep 3, 13",-0.03174603174603177
2013-09-04,6,6.2,5.6,6.2,33662,336620,0.1,1.639,6.0967,"Sep 4, 13",-0.015873015873015817
2013-09-05,6.2,6.2,5.9,6.175,8840,88400,-0.025,-0.403,6.085,"Sep 5, 13",-0.01984126984126984
2013-09-09,5.6,5.85,5.2,5.5,37428,374276,-0.675,-10.931,5.6366,"Sep 9, 13",-0.12698412698412695
2013-09-10,5.2,5.898,5.2,5.5,8555,85550,0,0,5.5298,"Sep 10, 13",-0.12698412698412695
2013-09-11,5.45,5.45,4.51,5.2,8165,81650,-0.3,-5.455,4.9026,"Sep 11, 13",-0.17460317460317454
2013-09-12,5.2,5.5,5.1,5.45,6625,66250,0.25,4.808,5.3699,"Sep 12, 13",-0.13492063492063486
2013-09-13,5.45,5.5,5,5.5,4830,48300,0.05,0.917,5.4156,"Sep 13, 13",-0.12698412698412695
2013-09-16,5.45,5.5,5.1,5.4,4110,41100,-0.1,-1.818,5.4693,"Sep 16, 13",-0.14285714285714277
2013-09-17,5.5,5.5,5.02,5.2,9100,91000,-0.2,-3.704,5.2612,"Sep 17, 13",-0.17460317460317454
2013-09-18,5.2,5.475,5.2,5.45,4840,48400,0.25,4.808,5.3079,"Sep 18, 13",-0.13492063492063486
2013-09-19,5.45,5.45,5.15,5.3,14728,147280,-0.15,-2.752,5.255,"Sep 19, 13",-0.15873015873015872
2013-09-20,5.3,5.4,5.3,5.4,4400,44000,0.1,1.887,5.375,"Sep 20, 13",-0.14285714285714277
2013-09-23,5.37,5.4,5.3,5.3,15669,156685,-0.1,-1.852,5.3657,"Sep 23, 13",-0.15873015873015872
2013-09-24,5.4,5.45,5.4,5.45,2350,23500,0.15,2.83,5.4021,"Sep 24, 13",-0.13492063492063486
2013-09-25,5.4,5.7,5.3,5.65,18180,181800,0.2,3.67,5.4689,"Sep 25, 13",-0.1031746031746031
2013-09-26,5.4,5.4,5,5.4,8920,89200,-0.25,-4.425,5.2915,"Sep 26, 13",-0.14285714285714277
2013-09-27,5.4,5.5,5.4,5.5,3160,31600,0.1,1.852,5.4286,"Sep 27, 13",-0.12698412698412695
2013-09-30,5.2,5.5,5.2,5.4,4530,45300,-0.1,-1.818,5.4406,"Sep 30, 13",-0.14285714285714277
2013-10-01,5.3,5.3,5.3,5.3,3350,33500,-0.1,-1.852,5.3,"Oct 1, 13",-0.15873015873015872
2013-10-02,5.5,5.5,5.4,5.4,12675,126750,0.1,1.887,5.4484,"Oct 2, 13",-0.14285714285714277
2013-10-03,5.3,5.4,5.3,5.4,2350,23500,0,0,5.3149,"Oct 3, 13",-0.14285714285714277
2013-10-04,5.4,5.5,5.3,5.45,10879,108789,0.05,0.926,5.4422,"Oct 4, 13",-0.13492063492063486
2013-10-07,5.2,5.3,5.2,5.2,1615,16150,-0.25,-4.587,5.2062,"Oct 7, 13",-0.17460317460317454
2013-10-08,5.39,5.4,5.3,5.4,8630,86300,0.2,3.846,5.3971,"Oct 8, 13",-0.14285714285714277
2013-10-09,5.44,5.5,5.4,5.4,5120,51200,0,0,5.4719,"Oct 9, 13",-0.14285714285714277
2013-10-10,5.2,5.4,5.2,5.35,7945,79450,-0.05,-0.926,5.2911,"Oct 10, 13",-0.1507936507936508
2013-10-11,5.2,5.5,5.05,5.5,5650,56500,0.15,2.804,5.431,"Oct 11, 13",-0.12698412698412695
2013-10-14,5.4,5.5,5.4,5.5,22913,229128,0,0,5.4668,"Oct 14, 13",-0.12698412698412695
2013-10-15,5.5,5.7,5.5,5.6,24362,243615,0.1,1.818,5.5944,"Oct 15, 13",-0.11111111111111115
2013-10-16,5.6,5.65,5.3,5.6,3420,34200,0,0,5.524,"Oct 16, 13",-0.11111111111111115
2013-10-17,5.6,5.65,5.5,5.65,4017,40170,0.05,0.893,5.5405,"Oct 17, 13",-0.1031746031746031
2013-10-18,5.5,5.68,5.5,5.68,10110,101100,0.03,0.531,5.578,"Oct 18, 13",-0.09841269841269844
2013-10-21,5.68,5.9,5.5,5.9,29750,297500,0.22,3.873,5.696,"Oct 21, 13",-0.0634920634920634
2013-10-22,5.9,5.95,5.65,5.9,50645,506445,0,0,5.8835,"Oct 22, 13",-0.0634920634920634
2013-10-23,6,6,5.46,5.9,11649,116489,0,0,5.8629,"Oct 23, 13",-0.0634920634920634
2013-10-24,5.85,5.85,5.3,5.5,5676,56762,-0.4,-6.78,5.6476,"Oct 24, 13",-0.12698412698412695
2013-10-25,5.7,5.849,5.5,5.849,3590,35898,0.349,6.345,5.6114,"Oct 25, 13",-0.07158730158730153
