date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,25.7024,25.8872,25.652,25.7822,111896,55948,-0.016798,-0.065,25.7514,"Aug 5, 13",0
2013-08-06,25.6898,25.7486,25.5638,25.6352,109402,54701,-0.146992,-0.57,25.6392,"Aug 6, 13",-0.005701608086198946
2013-08-07,25.5218,25.7024,25.5008,25.6184,80540,40270,-0.016799,-0.066,25.6081,"Aug 7, 13",-0.006353220438907401
2013-08-08,25.6688,25.6814,25.3244,25.5596,99924,49962,-0.058797,-0.23,25.531,"Aug 8, 13",-0.008633863673387062
2013-08-09,25.4588,25.6132,25.2446,25.3538,115578,57789,-0.205786,-0.805,25.3772,"Aug 9, 13",-0.016616114994065668
2013-08-12,25.2488,25.6772,25.2488,25.6352,141086,70543,0.281382,1.11,25.4762,"Aug 12, 13",-0.005701608086198946
2013-08-13,25.6814,25.7486,25.2572,25.4042,102696,51348,-0.230984,-0.901,25.409,"Aug 13, 13",-0.014661277935940305
2013-08-14,25.3244,25.3412,24.9801,25.1018,165814,82907,-0.302383,-1.19,25.1111,"Aug 14, 13",-0.026390300284692494
2013-08-15,24.8331,24.8499,24.4131,24.4509,181246,90623,-0.65096,-2.593,24.5435,"Aug 15, 13",-0.051636400307188635
2013-08-16,24.3165,24.3333,24.0267,24.2451,199206,99603,-0.205787,-0.842,24.2344,"Aug 16, 13",-0.059618651627867246
2013-08-19,24.1737,24.3648,24.0477,24.1023,134532,67266,-0.142792,-0.589,24.1634,"Aug 19, 13",-0.06515735662588917
2013-08-20,24.1023,24.6084,24.1023,24.3249,95272,47636,0.222587,0.924,24.3579,"Aug 20, 13",-0.056523492952502113
2013-08-21,24.1611,24.3795,23.9683,24.2199,101236,50618,-0.104993,-0.432,24.2333,"Aug 21, 13",-0.06059607015692999
2013-08-22,24.3207,24.6546,24.1233,24.3585,146744,73372,0.13859,0.572,24.3947,"Aug 22, 13",-0.05522026824708521
2013-08-23,24.3459,24.8415,24.3459,24.8121,112044,56022,0.453574,1.862,24.6735,"Aug 23, 13",-0.037626734723956785
2013-08-26,24.7827,24.9255,24.4971,24.5727,118646,59323,-0.239385,-0.965,24.717,"Aug 26, 13",-0.0469122107500523
2013-08-27,24.2661,24.6827,24.2661,24.3543,169778,84889,-0.218388,-0.889,24.4372,"Aug 27, 13",-0.055383171335262354
2013-08-28,24.3039,24.5727,24.3039,24.3753,146974,73487,0.021002,0.086,24.4288,"Aug 28, 13",-0.054568655894376754
2013-08-29,24.2787,24.5265,24.2787,24.4341,92618,46309,0.058795,0.241,24.4212,"Aug 29, 13",-0.05228801265989709
