date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,25.31,25.3544,25.0972,25.2834,64029,64029,0.283783,1.135,25.2402,"Aug 5, 13",0
2013-08-06,25.4476,25.4476,24.912,25.3137,18829,18829,0.030274,0.12,25.1859,"Aug 6, 13",0.0011984147701654222
2013-08-07,25.3226,25.4297,25.1084,25.2512,31815,31815,-0.06248,-0.247,25.2712,"Aug 7, 13",-0.0012735628910668488
2013-08-08,25.2869,25.2869,24.9924,25.1352,25779,25779,-0.116035,-0.46,25.1579,"Aug 8, 13",-0.00586155343031393
2013-08-09,25.1441,25.2512,24.8763,24.921,33008,33008,-0.214223,-0.852,25.0251,"Aug 9, 13",-0.014333515270889238
2013-08-12,24.7871,25.1173,24.6443,24.8228,20622,20622,-0.098184,-0.394,24.877,"Aug 12, 13",-0.018217486572217324
2013-08-13,24.8139,24.8139,24.5193,24.5996,12204,12204,-0.223146,-0.899,24.5948,"Aug 13, 13",-0.02704541319601009
2013-08-14,24.68,24.68,24.2426,24.3497,20576,20576,-0.249925,-1.016,24.4235,"Aug 14, 13",-0.03692936867668121
2013-08-15,24.1355,24.1355,23.6535,23.7517,40690,40690,-0.59803,-2.456,23.8182,"Aug 15, 13",-0.06058125093935154
2013-08-16,23.6267,23.9213,23.2965,23.6089,31296,31296,-0.142812,-0.601,23.5996,"Aug 16, 13",-0.06622922549973508
2013-08-19,23.5018,23.5018,22.9841,23.0733,22126,22126,-0.535554,-2.268,23.1878,"Aug 19, 13",-0.0874130852654311
2013-08-20,23.1626,23.4214,23.1626,23.3143,14280,14280,0.241,1.044,23.3246,"Aug 20, 13",-0.07788113940371948
2013-08-21,23.1626,23.4839,22.6279,23.3411,33607,33607,0.026777,0.115,23.2705,"Aug 21, 13",-0.07682115538258302
2013-08-22,23.475,23.7606,23.2518,23.7517,14217,14217,0.410589,1.759,23.5726,"Aug 22, 13",-0.06058125093935154
2013-08-23,23.8856,24.0552,23.475,23.9838,37611,37611,0.232071,0.977,23.7396,"Aug 23, 13",-0.051401314696599414
2013-08-26,23.957,24.2069,23.6535,23.8856,26659,26659,-0.098182,-0.409,23.8944,"Aug 26, 13",-0.0552852859979275
2013-08-27,23.6892,24.0998,23.5732,23.8052,26636,26636,-0.080334,-0.336,23.8085,"Aug 27, 13",-0.05846523806133673
2013-08-28,23.8588,24.1266,23.5196,24.1087,53997,53997,0.303481,1.275,24.0656,"Aug 28, 13",-0.046461314538392834
2013-08-29,24.1266,24.2337,23.8767,24.0552,58846,58846,-0.053556,-0.222,24.1021,"Aug 29, 13",-0.04857732741640765
2013-08-30,24.0105,24.073,23.2608,23.3411,31967,31967,-0.714069,-2.968,23.4449,"Aug 30, 13",-0.07682115538258302
2013-09-03,23.7249,23.7249,22.993,23.2251,22491,22491,-0.116036,-0.497,23.2276,"Sep 3, 13",-0.0814091459218301
2013-09-04,23.2875,23.4393,23.118,23.3768,17341,17341,0.151739,0.653,23.3415,"Sep 4, 13",-0.0754091617424872
2013-09-05,23.4036,23.4304,22.9394,22.9573,15352,15352,-0.419514,-1.795,23.0685,"Sep 5, 13",-0.09200107580467817
2013-09-06,22.993,23.2786,22.877,23.2429,26328,26328,0.285626,1.244,23.1414,"Sep 6, 13",-0.08070512668391125
2013-09-09,23.2697,23.5285,22.993,23.5018,13657,13657,0.258851,1.114,23.3237,"Sep 9, 13",-0.07046520642002266
2013-09-10,23.591,24.0195,23.5181,23.9838,28159,28159,0.481994,2.051,23.8891,"Sep 10, 13",-0.051401314696599414
2013-09-11,24.0105,24.0819,23.6089,23.6803,10409,10409,-0.303478,-1.265,23.7702,"Sep 11, 13",-0.0634052382195433
2013-09-12,23.6267,23.8276,23.5107,23.5999,14674,14674,-0.080334,-0.339,23.6279,"Sep 12, 13",-0.0665851902829524
2013-09-13,23.7338,23.7338,23.3054,23.5285,9810,9810,-0.071406,-0.303,23.5267,"Sep 13, 13",-0.06940917756314417
2013-09-16,23.6981,23.6981,23.0376,23.2161,34450,34450,-0.312405,-1.328,23.2001,"Sep 16, 13",-0.08176511070504756
2013-09-17,23.2072,23.957,23.0912,23.8677,23695,23695,0.651589,2.807,23.6812,"Sep 17, 13",-0.05599326040010446
2013-09-18,23.9213,24.6353,23.716,24.6264,25623,25623,0.758697,3.179,24.2185,"Sep 18, 13",-0.025985429174873634
2013-09-19,24.6264,24.6264,24.3229,24.5372,12292,12292,-0.089262,-0.362,24.4759,"Sep 19, 13",-0.0295134356929844
2013-09-20,24.6711,25.2512,24.4211,25.1977,72352,72352,0.660516,2.692,24.9661,"Sep 20, 13",-0.003389575769081659
2013-09-23,25.0816,25.4833,25.0192,25.4565,51839,51839,0.258848,1.027,25.3618,"Sep 23, 13",0.00684638933054882
2013-09-24,25.4387,25.7511,25.3227,25.4476,32026,32026,-0.008924,-0.035,25.5627,"Sep 24, 13",0.0064943797115894625
2013-09-25,25.519,25.5458,25.2869,25.4297,48258,48258,-0.017853,-0.07,25.4322,"Sep 25, 13",0.005786405309412504
2013-09-26,25.4922,25.7779,25.1798,25.3226,13436,13436,-0.107109,-0.421,25.3675,"Sep 26, 13",0.0015504243891249203
2013-09-27,25.1084,25.1798,24.8139,25.0013,41988,41988,-0.321331,-1.269,25.0286,"Sep 27, 13",-0.01115751837173797
2013-09-30,24.7871,25.0638,24.7871,25.0102,102813,102813,0.008926,0.036,25.0092,"Sep 30, 13",-0.010805508752778472
2013-10-01,25.0102,25.3851,24.8853,25.0816,29527,29527,0.071405,0.286,25.0558,"Oct 1, 13",-0.007981521472586703
2013-10-02,24.9745,24.9835,24.6711,24.8674,53484,53484,-0.214217,-0.854,26.6584,"Oct 2, 13",-0.01645348331316201
2013-10-03,24.8585,25.0727,24.0909,24.2962,38237,38237,-0.571256,-2.297,24.3811,"Oct 3, 13",-0.03904538155469602
2013-10-04,24.2337,24.6353,24.2337,24.4479,19188,19188,0.151738,0.625,24.4617,"Oct 4, 13",-0.03304539737535299
2013-10-07,24.3051,24.5015,24.1177,24.3229,26910,26910,-0.124959,-0.511,24.3066,"Oct 7, 13",-0.03798935269781753
2013-10-08,24.4568,24.9478,24.4122,24.7425,39723,39723,0.419512,1.725,24.6904,"Oct 8, 13",-0.021393483471368588
2013-10-09,24.8853,25.4476,24.6771,24.9924,25061,25061,0.249924,1.01,22.381,"Oct 9, 13",-0.011509527990697469
2013-10-10,25.2869,25.7236,24.9924,25.5369,25963,25963,0.544478,2.179,25.418,"Oct 10, 13",0.01002634139395805
2013-10-11,25.4655,25.7868,25.3494,25.7779,31529,31529,0.240999,0.944,25.6385,"Oct 11, 13",0.019558287255669674
2013-10-14,25.7332,25.7332,25.2155,25.6261,21904,21904,-0.151742,-0.589,25.7626,"Oct 14, 13",0.013554347912068814
2013-10-15,25.4744,25.5012,25.1441,25.3316,23920,23920,-0.294553,-1.149,25.3576,"Oct 15, 13",0.001906389172342381
2013-10-16,25.4387,25.4655,25.3316,25.3851,33837,33837,0.053556,0.211,25.4184,"Oct 16, 13",0.004022402050357191
2013-10-17,25.3673,26.0099,25.3583,25.9117,35174,35174,0.526624,2.075,25.7995,"Oct 17, 13",0.024850297032835752
2013-10-18,26.0099,26.6062,26.0099,26.5276,57545,57545,0.615885,2.377,26.3931,"Oct 18, 13",0.049210153697683036
2013-10-21,26.5544,26.608,26.4027,26.5633,48602,48602,0.035704,0.135,26.5618,"Oct 21, 13",0.05062214733777899
2013-10-22,26.5901,26.7686,26.0099,26.2063,62409,62409,-0.357035,-1.344,26.3244,"Oct 22, 13",0.03650221093682015
2013-10-23,26.0724,26.5455,26.0724,26.358,25079,25079,0.151742,0.579,26.3732,"Oct 23, 13",0.04250219511616318
2013-10-24,26.4741,26.4741,26.1938,26.2956,29504,29504,-0.062481,-0.237,26.3139,"Oct 24, 13",0.040034172619188874
2013-10-25,26.4562,26.5455,26.2331,26.5455,12127,12127,0.24992,0.95,26.4713,"Oct 25, 13",0.049918128099859994
2013-10-28,26.4651,26.7418,26.4562,26.6615,32996,32996,0.116038,0.437,26.6155,"Oct 28, 13",0.05450611863910708
2013-10-29,26.6704,26.849,26.0367,26.8043,57879,57879,0.142813,0.536,26.5921,"Oct 29, 13",0.06015409319949062
2013-10-30,26.8043,26.8043,26.3402,26.5633,33106,33106,-0.240997,-0.899,26.5446,"Oct 30, 13",0.05062214733777899
2013-10-31,26.0189,26.2152,25.1887,25.1977,59127,59127,-1.3657,-5.141,25.6155,"Oct 31, 13",-0.003389575769081659
