date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-11-21,7.464,7.6216,6.8503,7.0577,4342872,4342872,7.0577,0,7.3058,"Nov 21, 14",0
2014-11-24,7.0577,7.2152,6.8669,7.0908,475667,475667,0.033173,0.47,7.04,"Nov 24, 14",0.004689913144508853
2014-11-25,7.2567,7.2567,7.0908,7.1655,201911,201911,0.07464,1.053,7.1472,"Nov 25, 14",0.01527409779389888
2014-11-26,7.1655,7.3313,7.1323,7.2567,406141,406141,0.091228,1.273,7.2333,"Nov 26, 14",0.028196154554600044
2014-11-28,7.3479,7.4475,7.2982,7.3728,138764,138764,0.116108,1.6,7.3797,"Nov 28, 14",0.044646272865097716
2014-12-01,7.4226,7.4475,7.066,7.124,192662,192662,-0.248802,-3.375,7.2773,"Dec 1, 14",0.009393995210904406
2014-12-02,6.9747,7.066,6.7122,6.9001,348994,348994,-0.223919,-3.143,6.9069,"Dec 2, 14",-0.022330220893492146
2014-12-03,6.7425,7.0204,6.5103,6.5767,410255,410255,-0.323445,-4.688,6.6388,"Dec 3, 14",-0.06815251427518879
2014-12-04,6.5767,6.593,6.1703,6.1869,215907,215907,-0.38979,-5.927,6.3785,"Dec 4, 14",-0.12338297178967653
2014-12-05,6.1952,6.4274,5.7639,6.4274,771935,771935,0.240509,3.887,5.9614,"Dec 5, 14",-0.08930671465208213
2014-12-08,6.4274,6.4274,5.8883,6.303,174763,174763,-0.124399,-1.935,6.2901,"Dec 8, 14",-0.10693285347917873
2014-12-09,6.0293,6.387,6.0127,6.3113,97548,97548,0.008292,0.132,6.279,"Dec 9, 14",-0.10575683296257982
2014-12-10,6.3942,6.444,6.2366,6.3196,57248,57248,0.008294,0.131,6.3725,"Dec 10, 14",-0.10458081244598089
2014-12-11,6.4688,6.5269,5.9381,6.3527,85387,85387,0.033174,0.525,6.3245,"Dec 11, 14",-0.09989089930147217
2014-12-12,6.2615,6.4025,6.0956,6.22,104286,104286,-0.132695,-2.089,6.2387,"Dec 12, 14",-0.11869305864516767
2014-12-15,6.4025,6.4936,6.3196,6.4274,104202,104202,0.207334,3.333,6.3742,"Dec 15, 14",-0.08930671465208213
2014-12-16,6.3942,6.4688,6.3113,6.3693,101908,101908,-0.058054,-0.903,6.3829,"Dec 16, 14",-0.09753885826827433
2014-12-17,6.4265,6.4274,6.3196,6.361,62885,62885,-0.008292,-0.13,6.3612,"Dec 17, 14",-0.09871487878487324
2014-12-18,6.4025,6.5684,6.2326,6.444,144121,144121,0.082934,1.304,6.4309,"Dec 18, 14",-0.0869546736188843
2014-12-19,6.444,6.5767,6.4274,6.5767,113243,113243,0.132693,2.059,6.5002,"Dec 19, 14",-0.06815251427518879
2014-12-22,6.22,6.6264,6.22,6.4771,58337,58337,-0.099521,-1.513,6.3902,"Dec 22, 14",-0.08226476047437545
2014-12-23,6.5103,6.5103,6.303,6.3113,32607,32607,-0.165867,-2.561,6.3876,"Dec 23, 14",-0.10575683296257982
2014-12-24,6.7674,6.8006,6.5932,6.6347,264224,264224,0.323442,5.125,6.6646,"Dec 24, 14",-0.0599345395808833
2014-12-26,6.8006,7.0079,6.643,6.7508,204373,204373,0.116111,1.75,6.7331,"Dec 26, 14",-0.0434844212703855
2014-12-29,6.842,6.8835,6.6679,6.8089,194151,194151,0.058049,0.86,6.7893,"Dec 29, 14",-0.035252277654193184
2014-12-30,6.9006,6.9006,6.7829,6.8585,89606,89606,0.049679,0.73,6.8463,"Dec 30, 14",-0.02822449239837332
2014-12-31,6.909,6.909,6.7241,6.7241,85119,85119,-0.134482,-1.961,6.7958,"Dec 31, 14",-0.04726752341414337
2015-01-02,7.22,7.22,6.7241,6.7661,74125,74125,0.042025,0.625,6.7824,"Jan 2, 15",-0.04131657622171527
2015-01-05,6.8585,6.9594,6.682,6.7409,91275,91275,-0.025213,-0.373,6.733,"Jan 5, 15",-0.04488714453717213
2015-01-06,6.7241,6.93,6.64,6.6652,70308,70308,-0.075649,-1.122,6.6893,"Jan 6, 15",-0.055613018405429544
2015-01-07,6.7241,6.8922,6.6148,6.64,97508,97508,-0.025216,-0.378,6.6758,"Jan 7, 15",-0.0591835867208864
2015-01-08,6.64,6.7576,6.6148,6.6736,168399,168399,0.033622,0.506,6.6894,"Jan 8, 15",-0.054422828966943795
2015-01-09,6.7157,6.7316,6.6148,6.6232,11811,11811,-0.050431,-0.756,6.657,"Jan 9, 15",-0.061563965597857644
2015-01-12,6.7241,6.7325,6.6148,6.6148,28065,28065,-0.008406,-0.127,6.646,"Jan 12, 15",-0.06275415503634327
2015-01-13,6.6736,6.7426,6.5476,6.5476,36288,36288,-0.067239,-1.016,6.5936,"Jan 13, 15",-0.07227567054422823
2015-01-14,6.5644,6.598,6.5476,6.556,17835,17835,0.008404,0.128,6.5588,"Jan 14, 15",-0.07108548110574262
