date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,32.6305,32.6305,32.0025,32.0948,213841,213841,-0.526447,-1.614,32.2631,"Aug 5, 13",0
2013-08-06,32.1041,32.3128,31.6423,31.7531,323693,323693,-0.341731,-1.065,31.8281,"Aug 6, 13",-0.010646584493438173
2013-08-07,29.7766,30.2754,25.9252,30.026,751605,751605,-1.7271,-5.439,28.7156,"Aug 7, 13",-0.06445904009372233
2013-08-08,30.0722,30.1461,28.8576,28.9823,376084,376084,-1.0437,-3.476,29.2495,"Aug 8, 13",-0.09697832670713015
2013-08-09,28.9823,29.421,28.9177,28.9454,155816,155816,-0.036942,-0.127,29.0557,"Aug 9, 13",-0.09812804566471828
2013-08-12,28.853,29.1763,28.5021,28.7699,203772,203772,-0.175485,-0.606,28.7895,"Aug 12, 13",-0.10359622119471065
2013-08-13,28.7699,29.1393,28.5021,28.8438,235892,235892,0.073886,0.257,28.8399,"Aug 13, 13",-0.10129366751000154
2013-08-14,28.7884,29.01,28.6498,28.7699,212537,212537,-0.073886,-0.256,28.7926,"Aug 14, 13",-0.10359622119471065
2013-08-15,28.5382,28.8718,28.4548,28.5752,224012,224012,-0.19465,-0.677,28.6297,"Aug 15, 13",-0.10966262447499285
2013-08-16,28.5382,28.9468,28.464,28.6587,226246,226246,0.08342,0.292,28.6681,"Aug 16, 13",-0.1070609569151389
2013-08-19,28.5196,28.6494,27.8708,27.945,229491,229491,-0.713686,-2.49,28.2658,"Aug 19, 13",-0.1292982040704413
2013-08-20,27.843,28.6679,27.6577,28.2323,226729,226729,0.287327,1.028,28.3293,"Aug 20, 13",-0.12034659820282416
2013-08-21,28.0747,28.5938,27.9264,28.1211,210527,210527,-0.111225,-0.394,28.2099,"Aug 21, 13",-0.1238113339232524
2013-08-22,28.1674,28.844,28.1674,28.7143,92228,92228,0.593193,2.109,28.6165,"Aug 22, 13",-0.10532858905492472
2013-08-23,28.7235,28.7606,28.3991,28.5196,130824,130824,-0.19464,-0.678,28.5513,"Aug 23, 13",-0.11139499233520692
2013-08-26,28.4918,28.844,28.3991,28.5474,109445,109445,0.027806,0.097,28.6191,"Aug 26, 13",-0.11052880840509989
2013-08-27,28.2787,28.6216,27.6669,27.6947,215015,215015,-0.852715,-2.987,28.0625,"Aug 27, 13",-0.13709697521093756
2013-08-28,27.6391,28.4733,27.5464,28.2416,100185,100185,0.546851,1.975,28.2074,"Aug 28, 13",-0.12005683163627756
2013-08-29,28.2045,28.8533,28.0655,28.6957,89136,89136,0.454164,1.608,28.6045,"Aug 29, 13",-0.10590812218801803
2013-08-30,28.7328,28.8162,28.2972,28.4177,131702,131702,-0.278061,-0.969,28.4974,"Aug 30, 13",-0.11456996148908856
2013-09-03,28.7977,28.8162,28.4084,28.5845,300873,300873,0.166835,0.587,28.5921,"Sep 3, 13",-0.10937285790844625
2013-09-04,28.5474,29.0943,28.5474,28.807,251891,251891,0.222447,0.778,28.8277,"Sep 4, 13",-0.10244027069805703
2013-09-05,28.9275,29.326,28.1118,28.1118,189984,189984,-0.695148,-2.413,28.4787,"Sep 5, 13",-0.12410110048979899
2013-09-06,28.325,28.325,27.6298,27.7689,217484,217484,-0.342938,-1.22,27.938,"Sep 6, 13",-0.1347850742176303
2013-09-09,27.806,28.0099,27.704,27.8801,218549,218549,0.111224,0.401,27.8409,"Sep 9, 13",-0.13132033849720207
2013-09-10,28.0284,28.3435,27.8616,28.084,301031,301031,0.203909,0.731,28.0686,"Sep 10, 13",-0.12496728441990602
2013-09-11,28.0562,28.3435,27.9403,28.3343,157849,157849,0.250254,0.891,28.0922,"Sep 11, 13",-0.11716851327940976
2013-09-12,28.2601,28.5289,27.9728,28.5011,192298,192298,0.166833,0.589,28.343,"Sep 12, 13",-0.11197140969876736
2013-09-13,28.5104,28.7235,28.2694,28.7235,163105,163105,0.22245,0.78,28.547,"Sep 13, 13",-0.10504193825791087
2013-09-16,29.1128,29.3724,28.9923,29.2889,126667,126667,0.565388,1.968,29.2516,"Sep 16, 13",-0.08742537731969034
2013-09-17,29.2889,29.3075,29.0016,29.1777,114458,114458,-0.111226,-0.38,29.1578,"Sep 17, 13",-0.09089011304011858
2013-09-18,29.1221,29.8729,28.9553,29.5763,131994,131994,0.398551,1.366,29.3781,"Sep 18, 13",-0.07847065568254045
2013-09-19,29.6504,29.8172,29.465,29.6319,125959,125959,0.055612,0.188,29.6232,"Sep 19, 13",-0.07673828782232629
2013-09-20,29.7709,29.7709,29.428,29.5021,188915,188915,-0.12976,-0.438,29.5609,"Sep 20, 13",-0.08078255667584783
2013-09-23,29.5485,29.567,29.1036,29.2148,91478,91478,-0.287327,-0.974,29.2854,"Sep 23, 13",-0.08973416254346496
2013-09-24,29.1963,30.0304,29.085,29.8265,118655,118655,0.611729,2.094,29.5838,"Sep 24, 13",-0.07067500031157696
2013-09-25,29.7802,29.9007,29.5253,29.7616,113107,113107,-0.064879,-0.218,29.7281,"Sep 25, 13",-0.07269713473833761
2013-09-26,29.7524,30.568,29.7524,30.2158,101914,101914,0.454162,1.526,30.1514,"Sep 26, 13",-0.05854530952054532
2013-09-27,29.9285,30.1315,29.8265,29.9841,112464,112464,-0.231713,-0.767,29.9929,"Sep 27, 13",-0.06576454752794839
2013-09-30,29.6041,29.9841,29.4382,29.808,162374,162374,-0.176105,-0.587,29.7677,"Sep 30, 13",-0.07125141767513739
