date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,4.9033,5.0267,4.8457,4.9774,24502,20158,0.106951,2.196,4.9379,"Aug 5, 13",0
2013-08-06,4.9609,5.1172,4.9444,5.0678,28825,23714,0.090497,1.818,5.025,"Aug 6, 13",0.018162092658817817
2013-08-07,5.0761,5.2159,4.9774,5.0843,132849,109295,0.016454,0.325,5.096,"Aug 7, 13",0.02147707638526129
2013-08-08,5.0843,5.2632,5.0596,5.0761,55774,45885,-0.008227,-0.162,5.1299,"Aug 8, 13",0.019829629927271268
2013-08-09,5.0267,5.1008,5.002,5.0514,20520,16882,-0.024681,-0.486,5.0437,"Aug 9, 13",0.014867199742837595
2013-08-12,5.0349,5.1254,4.8869,5.0432,18600,15302,-0.008226,-0.163,5.022,"Aug 12, 13",0.013219753284847393
2013-08-13,5.0843,5.1501,5.0185,5.1172,61416,50527,0.074043,1.468,5.0959,"Aug 13, 13",0.028086953027685164
2013-08-14,5.0843,5.2488,4.9774,5.1172,75783,62347,0,0,5.113,"Aug 14, 13",0.028086953027685164
2013-08-15,5.0432,5.2242,4.8457,4.8869,75259,61916,-0.230357,-4.502,5.0365,"Aug 15, 13",-0.018182183469281243
2013-08-16,4.8704,5.1995,4.6894,5.002,110404,90830,0.115178,2.357,4.945,"Aug 16, 13",0.004942339373970248
2013-08-19,4.9609,5.0349,4.7717,4.8951,31311,25760,-0.106951,-2.138,4.896,"Aug 19, 13",-0.016534737011291042
2013-08-20,4.9033,4.9691,4.6894,4.7717,14725,12114,-0.123406,-2.521,4.7846,"Aug 20, 13",-0.04132679712299598
2013-08-21,4.8457,4.8869,4.7305,4.8376,28759,23660,0.0659,1.381,4.7812,"Aug 21, 13",-0.028086953027685164
2013-08-22,4.8704,4.8704,4.7305,4.7881,6104,5022,-0.049446,-1.022,4.7857,"Aug 22, 13",-0.03803190420701576
2013-08-23,4.7306,4.788,4.6483,4.7059,35145,28914,-0.08227,-1.718,4.7112,"Aug 23, 13",-0.05454655040784356
2013-08-26,4.6647,4.6647,4.2945,4.5002,95901,78898,-0.205675,-4.371,4.4632,"Aug 26, 13",-0.09587334753083936
2013-08-27,4.3932,4.7799,4.3604,4.7799,47455,39041,0.279718,6.216,4.6003,"Aug 27, 13",-0.03967935066500596
2013-08-28,4.8704,4.9774,4.8128,4.8457,52018,42795,0.065816,1.377,4.8752,"Aug 28, 13",-0.02645959738015839
2013-08-29,4.8539,4.928,4.8539,4.8704,14849,12216,0.024682,0.509,4.8831,"Aug 29, 13",-0.021497167195724715
2013-08-30,4.8638,4.9774,4.8539,4.8951,29680,24418,0.024681,0.507,4.8971,"Aug 30, 13",-0.016534737011291042
2013-09-03,4.9444,5.0103,4.9115,4.9609,28669,23586,0.065815,1.345,4.9547,"Sep 3, 13",-0.00331498372644365
2013-09-04,4.9966,5.0267,4.9856,5.0103,22117,18196,0.049363,0.995,5.0095,"Sep 4, 13",0.0066098766424236965
2013-09-05,5.0678,5.0892,5.0267,5.0843,17382,14300,0.074043,1.478,5.0561,"Sep 5, 13",0.02147707638526129
2013-09-06,5.0925,5.1913,5.0432,5.1583,19248,15835,0.074044,1.456,5.1166,"Sep 6, 13",0.03634427612809888
2013-09-09,5.2159,5.2571,5.1419,5.1913,20040,16487,0.032908,0.638,5.1914,"Sep 9, 13",0.042974243580986005
2013-09-10,5.2159,5.2653,5.1172,5.2571,10171,8368,0.065816,1.268,5.2318,"Sep 10, 13",0.056193996865833575
2013-09-11,5.2653,5.4216,5.1954,5.3887,24708,20327,0.131632,2.504,5.2586,"Sep 11, 13",0.08263350343552854
2013-09-12,5.3558,5.4691,5.3311,5.4224,38550,31715,0.033732,0.626,5.3977,"Sep 12, 13",0.08940410656165858
2013-09-13,5.3476,5.5532,5.3476,5.471,15501,12753,0.048539,0.895,5.4443,"Sep 13, 13",0.09916824044681959
2013-09-16,5.4463,5.6766,5.4052,5.4134,44996,37018,-0.057589,-1.053,5.4694,"Sep 16, 13",0.08759593361996221
2013-09-17,5.3887,5.4545,5.3229,5.3969,50017,41149,-0.016454,-0.304,5.3908,"Sep 17, 13",0.08428094989351856
2013-09-18,5.429,5.4627,5.3476,5.4216,13003,10698,0.024681,0.457,5.4106,"Sep 18, 13",0.08924338007795224
2013-09-19,5.4298,5.4298,5.2818,5.29,12771,10507,-0.131634,-2.428,5.3632,"Sep 19, 13",0.06280387350825728
2013-09-20,5.3064,5.3517,5.0678,5.0678,77452,63720,-0.222129,-4.199,5.1365,"Sep 20, 13",0.018162092658817817
2013-09-23,5.0349,5.2316,4.9617,5.0596,30049,24721,-0.008227,-0.162,5.0992,"Sep 23, 13",0.016514646200827616
2013-09-24,5.0432,5.1008,4.9198,4.9773,16090,13237,-0.082352,-1.628,5.0024,"Sep 24, 13",-0.000020090810463425706
2013-09-25,4.9691,5.3064,4.9444,5.0185,10882,8953,0.041217,0.828,5.034,"Sep 25, 13",0.008257323100413898
2013-09-26,5.0103,5.1666,4.9774,5.0514,10575,8700,0.032908,0.656,5.0579,"Sep 26, 13",0.014867199742837595
2013-09-27,5.0185,5.1069,4.8128,4.8375,27154,22340,-0.213902,-4.235,4.9075,"Sep 27, 13",-0.028107043838148413
2013-09-30,4.7552,5.0678,4.7552,4.9856,16261,13378,0.148085,3.061,4.9512,"Sep 30, 13",0.001647446457990023
2013-10-01,5.002,5.0678,4.9198,4.9527,9706,7985,-0.032907,-0.66,5.0078,"Oct 1, 13",-0.0049624301844336735
2013-10-02,4.9362,4.9362,4.8046,4.928,23615,19428,-0.024681,-0.498,4.9006,"Oct 2, 13",-0.009924860368867347
2013-10-03,4.8704,4.9362,4.7305,4.7717,23874,19641,-0.156314,-3.172,4.8105,"Oct 3, 13",-0.04132679712299598
2013-10-04,4.8128,4.928,4.7059,4.7141,27304,22463,-0.057589,-1.207,4.7819,"Oct 4, 13",-0.05289910394985335
2013-10-07,4.6647,4.8951,4.5989,4.7141,42105,34640,0,0,4.6921,"Oct 7, 13",-0.05289910394985335
2013-10-08,4.747,4.8046,4.4097,4.5084,24187,19899,-0.205675,-4.363,4.6129,"Oct 8, 13",-0.09422590107284934
2013-10-09,4.5578,4.7955,4.4179,4.6894,42859,35260,0.180994,4.015,4.682,"Oct 9, 13",-0.057861534134287025
2013-10-10,4.6976,4.8293,4.6647,4.7881,29327,24127,0.098724,2.105,4.774,"Oct 10, 13",-0.03803190420701576
2013-10-11,4.6976,4.8293,4.6976,4.7799,12328,10142,-0.008227,-0.172,4.752,"Oct 11, 13",-0.03967935066500596
2013-10-14,4.7643,4.8293,4.7634,4.7881,20807,17118,0.008227,0.172,4.787,"Oct 14, 13",-0.03803190420701576
2013-10-15,4.7634,4.821,4.7059,4.7388,81077,66702,-0.049361,-1.031,4.7663,"Oct 15, 13",-0.04793667376541968
2013-10-16,4.7141,4.7388,4.4837,4.6976,31090,25578,-0.041135,-0.868,4.613,"Oct 16, 13",-0.05621408767629683
2013-10-17,4.6154,4.6894,4.6154,4.6318,8720,7174,-0.065818,-1.401,4.6737,"Oct 17, 13",-0.0694338409611444
2013-10-18,4.5742,4.6154,4.4508,4.5578,34285,28206,-0.074042,-1.599,4.5498,"Oct 18, 13",-0.08430104070398199
2013-10-21,4.5578,4.6236,4.5495,4.5989,13526,11128,0.041135,0.903,4.5929,"Oct 21, 13",-0.0760437176035681
2013-10-22,4.492,4.6071,4.4097,4.5002,28939,23808,-0.098724,-2.147,4.4993,"Oct 22, 13",-0.09587334753083936
2013-10-23,4.4755,4.4755,4.2945,4.3603,38848,31960,-0.139861,-3.108,4.3757,"Oct 23, 13",-0.12398039136898795
2013-10-24,4.3521,4.4673,4.204,4.2945,38602,31758,-0.065814,-1.509,4.3031,"Oct 24, 13",-0.13720014465383534
2013-10-25,4.3027,4.3768,4.2287,4.3192,27442,22577,0.02468,0.575,4.3107,"Oct 25, 13",-0.13223771446940166
2013-10-28,4.3191,4.5948,4.2881,4.5084,10729,8827,0.189222,4.381,4.4208,"Oct 28, 13",-0.09422590107284934
2013-10-29,4.5578,4.7717,4.5578,4.7551,25571,21037,0.246727,5.473,4.7371,"Oct 29, 13",-0.04466187165990288
2013-10-30,4.7464,4.8046,4.6894,4.7552,17005,13990,0.000083,0.002,4.7502,"Oct 30, 13",-0.044641780849439455
2013-10-31,4.7305,4.8951,4.7305,4.8293,25744,21180,0.074043,1.557,4.8184,"Oct 31, 13",-0.029754490296138615
2013-11-01,4.8869,4.8869,4.747,4.8786,10284,8461,0.049362,1.022,4.8076,"Nov 1, 13",-0.019849720737734694
2013-11-04,4.8704,4.8951,4.5578,4.8951,14755,12139,0.016455,0.337,4.7643,"Nov 4, 13",-0.016534737011291042
2013-11-05,4.8539,4.9033,4.821,4.9033,5052,4156,0.008227,0.168,4.8816,"Nov 5, 13",-0.014887290553301019
2013-11-06,4.8457,4.9362,4.8211,4.8696,6988,5749,-0.033732,-0.688,4.8827,"Nov 6, 13",-0.02165789367943105
2013-11-07,4.8457,4.8869,4.5084,4.64,39240,32283,-0.229533,-4.714,4.7459,"Nov 7, 13",-0.06778639450315437
2013-11-08,4.9197,4.9197,4.6483,4.8704,6618,5445,0.230357,4.965,4.859,"Nov 8, 13",-0.021497167195724715
2013-11-11,4.8622,4.8704,4.7717,4.8622,23712,19508,-0.008227,-0.169,4.8279,"Nov 11, 13",-0.023144613653714917
2013-11-12,4.7231,4.8457,4.7231,4.7305,3760,3093,-0.131633,-2.707,4.7392,"Nov 12, 13",-0.04960421103387313
2013-11-13,4.7305,4.8457,4.7224,4.7634,22921,18857,0.032908,0.696,4.7615,"Nov 13, 13",-0.04299433439144943
2013-11-14,4.7223,4.821,4.5331,4.5825,16894,13899,-0.180994,-3.8,4.6856,"Nov 14, 13",-0.07933861051954849
2013-11-15,4.5495,4.8539,3.8502,4.1546,117520,96684,-0.427806,-9.336,4.1998,"Nov 15, 13",-0.16530718849198375
2013-11-18,4.0559,4.3439,3.949,3.949,109991,90490,-0.205675,-4.95,3.9854,"Nov 18, 13",-0.2066138948045165
2013-11-19,3.949,4.1053,3.949,3.9572,19753,16251,0.008227,0.208,3.9876,"Nov 19, 13",-0.2049664483465264
2013-11-20,3.9983,4.0066,3.949,3.9983,35054,28839,0.041135,1.039,3.9646,"Nov 20, 13",-0.19670912524611248
2013-11-21,3.9819,3.9901,3.949,3.9901,26509,21809,-0.008226,-0.206,3.9733,"Nov 21, 13",-0.1983565717041026
2013-11-22,4.0312,4.0395,3.949,4.0312,27785,22859,0.041134,1.031,4.0035,"Nov 22, 13",-0.19009924860368868
2013-11-25,3.9901,3.9901,3.8009,3.9243,37063,30492,-0.106951,-2.653,3.9052,"Nov 25, 13",-0.21157632498895007
2013-11-26,3.9243,3.9646,3.8338,3.8338,16432,13519,-0.090498,-2.306,3.8768,"Nov 26, 13",-0.22975850845823123
2013-11-27,3.8502,3.9737,3.8256,3.9737,30938,25453,0.13986,3.648,3.9041,"Nov 27, 13",-0.20165146462008282
2013-11-29,3.949,4.1135,3.949,4.0728,5115,4208,0.099136,2.495,4.07,"Nov 29, 13",-0.18174147145095837
2013-12-02,4.0724,4.1053,3.9737,4.0724,9674,7959,-0.000413,-0.01,4.0717,"Dec 2, 13",-0.18182183469281155
2013-12-03,4.0724,4.0724,3.9572,4.0642,6293,5177,-0.008226,-0.202,4.0191,"Dec 3, 13",-0.18346928115080174
2013-12-04,4.0518,4.0724,3.9161,4.0312,13732,11297,-0.032908,-0.81,3.9471,"Dec 4, 13",-0.19009924860368868
2013-12-05,4.023,4.0642,3.949,4.0559,4824,3969,0.02468,0.612,4.013,"Dec 5, 13",-0.18513681841925503
2013-12-06,4.0724,4.0724,3.7844,3.9901,28056,23082,-0.065814,-1.623,3.9443,"Dec 6, 13",-0.1983565717041026
2013-12-09,3.9407,3.9819,3.8017,3.8832,15120,12439,-0.106953,-2.68,3.8902,"Dec 9, 13",-0.21983364808936398
2013-12-10,3.8749,4.0312,3.8173,3.8832,31301,25751,0,0,3.9008,"Dec 10, 13",-0.21983364808936398
2013-12-11,3.8219,3.8585,3.7927,3.8256,11811,9717,-0.057588,-1.483,3.8406,"Dec 11, 13",-0.23140595491622135
2013-12-12,3.842,3.9375,3.7927,3.9243,9064,7457,0.098724,2.581,3.8542,"Dec 12, 13",-0.21157632498895007
2013-12-13,3.8832,3.949,3.7844,3.8832,18376,15118,-0.041136,-1.048,3.8911,"Dec 13, 13",-0.21983364808936398
