date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,47.8047,48.0987,47.6601,47.9397,221916,221916,0.106038,0.222,47.9415,"Aug 5, 13",0
2013-08-06,47.7662,48.2867,47.6215,48.171,229772,229772,0.231363,0.483,48.1052,"Aug 6, 13",0.004824811169031041
2013-08-07,48.0071,48.3542,47.2649,47.8915,222673,222673,-0.279562,-0.58,47.8999,"Aug 7, 13",-0.0010054297377747744
2013-08-08,48.0071,48.4891,47.7854,48.2096,197437,197437,0.318119,0.664,48.1776,"Aug 8, 13",0.005629989340776013
2013-08-09,48.1421,49.2266,48.065,48.9711,143948,143948,0.76156,1.58,48.841,"Aug 9, 13",0.021514527625329273
2013-08-12,48.8073,49.6556,48.7591,49.5592,178838,178838,0.588039,1.201,49.1255,"Aug 12, 13",0.0337820219984688
2013-08-13,49.7038,50.6196,49.617,50.3689,162321,162321,0.809759,1.634,50.2739,"Aug 13, 13",0.050671990020796844
2013-08-14,50.34,50.6389,50.0605,50.0797,170608,170608,-0.289198,-0.574,50.187,"Aug 14, 13",0.04463941159414849
2013-08-15,49.6845,49.8966,48.9519,49.0579,193358,193358,-1.0218,-2.04,49.2671,"Aug 15, 13",0.023325135534848874
2013-08-16,48.8747,49.3857,48.7205,48.7205,171705,171705,-0.3374,-0.688,48.9976,"Aug 16, 13",0.016287127370425748
2013-08-19,48.653,49.1543,48.5557,48.7012,127991,127991,-0.01928,-0.04,48.9004,"Aug 19, 13",0.015884538284553263
2013-08-20,48.7687,48.7687,48.0843,48.1421,201088,201088,-0.559121,-1.148,48.2288,"Aug 20, 13",0.004221970517128752
2013-08-21,48.0457,48.1614,47.6505,47.6794,168537,168537,-0.462717,-0.961,47.8795,"Aug 21, 13",-0.0054297377747462095
2013-08-22,47.7758,47.9879,47.7179,47.9011,146838,146838,0.221719,0.465,47.8989,"Aug 22, 13",-0.0008051781717449715
2013-08-23,48.065,48.7398,47.8529,48.6723,174574,174574,0.771199,1.61,48.327,"Aug 23, 13",0.015281697632650974
2013-08-26,48.7591,49.2218,48.599,48.8747,80106,80106,0.202441,0.416,48.9466,"Aug 26, 13",0.019503668149779725
2013-08-27,47.2841,47.3516,45.7417,46.0213,282015,282015,-2.8534,-5.838,46.3136,"Aug 27, 13",-0.04001693794496013
2013-08-28,46.2527,47.1974,46.0984,46.966,181646,181646,0.944718,2.053,46.7052,"Aug 28, 13",-0.020310932275337576
2013-08-29,46.8021,47.3227,46.7539,47.1395,117716,117716,0.173521,0.369,47.1322,"Aug 29, 13",-0.016691802410111114
2013-08-30,47.1395,47.2359,45.7417,45.7996,188269,188269,-1.34,-2.843,46.2723,"Aug 30, 13",-0.04464149754796137
2013-09-03,46.0695,46.8214,45.8189,45.9731,129809,129809,0.173521,0.379,46.2126,"Sep 3, 13",-0.04102236768273476
2013-09-04,45.9731,46.243,45.7321,45.9056,137642,137642,-0.06748,-0.147,45.9618,"Sep 4, 13",-0.04243038650638202
2013-09-05,46.031,46.2527,45.7707,45.9538,109366,109366,0.048201,0.105,46.035,"Sep 5, 13",-0.041424956768607246
2013-09-06,46.2623,46.2719,45.1826,45.4044,188363,188363,-0.54948,-1.196,45.54,"Sep 6, 13",-0.05288518701618907
2013-09-09,45.5972,46.031,45.5489,45.8863,176303,176303,0.481998,1.062,45.8797,"Sep 9, 13",-0.042832975592254505
2013-09-10,46.0213,46.3009,45.9076,46.243,215906,215906,0.35668,0.777,46.2659,"Sep 10, 13",-0.03539237834195875
2013-09-11,51.6318,56.982,51.6318,55.5167,1251002,1251002,9.2737,20.054,55.3032,"Sep 11, 13",0.15805272039666493
2013-09-12,55.6709,56.0469,54.8612,54.9479,343218,343218,-0.568759,-1.024,55.2202,"Sep 12, 13",0.14618781510939774
2013-09-13,54.9576,56.7024,54.9576,56.6446,275292,275292,1.6966,3.088,56.1977,"Sep 13, 13",0.18158019345135648
2013-09-16,57.0687,58.4858,57.0687,58.1677,218587,218587,1.5231,2.689,58.0102,"Sep 16, 13",0.21335135597427604
2013-09-17,58.2737,58.6497,58.0327,58.1773,126006,126006,0.009638,0.017,58.2745,"Sep 17, 13",0.21355160754030583
2013-09-18,59.6523,59.6523,58.2834,58.6497,140627,140627,0.472361,0.812,58.7045,"Sep 18, 13",0.22340565335202348
2013-09-19,58.6786,59.1799,58.428,58.4955,98538,98538,-0.154241,-0.263,58.6634,"Sep 19, 13",0.22018911257266935
2013-09-20,58.9389,61.204,58.5051,60.6934,260407,260407,2.1979,3.757,60.2943,"Sep 20, 13",0.2660362914244352
2013-09-23,60.4717,62.1779,60.4717,60.5681,220403,220403,-0.12532,-0.206,60.9099,"Sep 23, 13",0.2634225912969835
2013-09-24,60.3174,60.9537,59.7776,60.2789,178078,178078,-0.289198,-0.477,60.506,"Sep 24, 13",0.25739001287033497
2013-09-25,60.2114,60.2162,59.2763,59.8065,304536,304536,-0.472359,-0.784,59.7097,"Sep 25, 13",0.24753596705861733
2013-09-26,60.5199,61.2332,58.4376,59.3149,523708,523708,-0.49164,-0.822,59.5119,"Sep 26, 13",0.23728141811484008
2013-09-27,59.1992,59.83,59.1992,59.6812,242064,242064,0.366319,0.618,59.6772,"Sep 27, 13",0.2449222669311655
2013-09-30,59.2377,59.633,58.7461,59.2377,311096,311096,-0.44344,-0.743,59.227,"Sep 30, 13",0.23567106177135014
2013-10-01,58.9967,59.8836,58.9757,59.8161,340407,340407,0.5784,0.976,59.4841,"Oct 1, 13",0.24773621862464715
2013-10-02,59.6041,60.1246,59.2911,59.7776,201447,201447,-0.038561,-0.064,59.7893,"Oct 2, 13",0.24693312640671505
2013-10-03,59.8643,59.9935,59.0064,59.6041,156768,156768,-0.173518,-0.29,59.4594,"Oct 3, 13",0.24331399654148858
2013-10-04,59.4402,60.1149,59.2088,59.633,134317,134317,0.028921,0.049,59.7544,"Oct 4, 13",0.24391683719339086
2013-10-07,59.0739,59.6619,58.6979,58.7268,192871,192871,-0.906162,-1.52,59.0507,"Oct 7, 13",0.2250139237417004
2013-10-08,58.6304,59.2859,57.4158,57.4158,97370,97370,-1.311,-2.232,57.8936,"Oct 8, 13",0.19766706925575242
2013-10-09,57.5122,57.7435,56.124,56.8952,108613,108613,-0.520558,-0.907,55.3989,"Oct 9, 13",0.18680759370626016
2013-10-10,57.3772,58.4174,57.1169,58.1099,122890,122890,1.2146,2.135,58.0093,"Oct 10, 13",0.21214567467047146
2013-10-11,57.7917,58.9389,57.6375,58.4858,80796,80796,0.375957,0.647,58.4528,"Oct 11, 13",0.21998677505282668
2013-10-14,57.8496,59.0257,57.8496,58.6015,99505,99505,0.115682,0.198,58.4583,"Oct 14, 13",0.22240022361424872
2013-10-15,58.2352,58.2448,57.1266,57.1651,101048,101048,-1.4364,-2.451,57.5075,"Oct 15, 13",0.19243758304703618
2013-10-16,57.6375,58.6593,57.0784,58.3412,174952,174952,1.1761,2.057,58.3587,"Oct 16, 13",0.2169704858395025
2013-10-17,58.3123,59.1317,57.5797,59.1221,212465,212465,0.780839,1.338,58.6442,"Oct 17, 13",0.23325969916374112
2013-10-18,59.5173,59.5173,58.7268,59.2474,134910,134910,0.125321,0.212,59.1529,"Oct 18, 13",0.23587339929119283
2013-10-21,59.2377,59.6426,58.6979,59.0739,134508,134508,-0.173522,-0.293,59.1679,"Oct 21, 13",0.23225426942596636
2013-10-22,59.2859,59.5366,58.9003,59.2667,139695,139695,0.192801,0.326,59.2836,"Oct 22, 13",0.23627598837706532
2013-10-23,59.1413,59.3052,58.1195,59.2088,124543,124543,-0.05784,-0.098,58.9353,"Oct 23, 13",0.23506822111944786
