date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,10.5088,10.5386,10.4491,10.5088,67873,67873,0,0,10.4902,"Aug 5, 13",0
2013-08-06,10.5446,10.5446,10.4252,10.4908,8137,8137,-0.017913,-0.17,10.4907,"Aug 6, 13",-0.0017128501827040842
2013-08-07,10.4311,10.5386,10.3834,10.4491,6449,6449,-0.041794,-0.398,10.4648,"Aug 7, 13",-0.005680953105968445
2013-08-08,10.4132,10.5088,10.3958,10.4431,19547,19547,-0.005974,-0.057,10.4452,"Aug 8, 13",-0.006251903166869806
2013-08-09,10.4526,10.4729,10.4252,10.467,3235,3235,0.023885,0.229,10.4481,"Aug 9, 13",-0.0039776187576126935
2013-08-12,10.467,10.4908,10.4311,10.4908,5769,5769,0.023883,0.228,10.4383,"Aug 12, 13",-0.0017128501827040842
2013-08-13,10.5326,10.5326,10.4371,10.5088,8221,8221,0.017913,0.171,10.4575,"Aug 13, 13",0
2013-08-14,10.5088,10.5738,10.5088,10.5685,8443,8443,0.059707,0.568,10.5539,"Aug 14, 13",0.005680953105968276
2013-08-15,10.5088,10.5088,10.461,10.461,1424,1424,-0.107476,-1.017,10.4831,"Aug 15, 13",-0.004548568818514055
2013-08-16,10.467,10.5446,10.3893,10.3893,9366,9366,-0.071649,-0.685,10.4825,"Aug 16, 13",-0.011371422046285055
2013-08-19,10.449,10.4491,10.2162,10.2222,9946,9946,-0.167185,-1.609,10.3877,"Aug 19, 13",-0.027272381242387327
2013-08-20,10.2938,10.3655,10.2819,10.3356,5850,5850,0.113448,1.11,10.3067,"Aug 20, 13",-0.01648142509135214
2013-08-21,10.2699,10.2938,10.0938,10.1863,20536,20536,-0.149274,-1.444,10.2188,"Aug 21, 13",-0.03068856577344716
2013-08-22,10.258,10.3356,10.2019,10.2938,7611,7611,0.107478,1.055,10.2952,"Aug 22, 13",-0.020459043848964832
2013-08-23,10.4067,10.4067,10.2747,10.3058,2125,2125,0.011941,0.116,10.3256,"Aug 23, 13",-0.019317143727162107
2013-08-26,10.3416,10.3416,10.3357,10.3357,1038,1038,0.029913,0.29,10.3393,"Aug 26, 13",-0.016471909257003804
2013-08-27,10.2401,10.2938,10.1744,10.2162,24486,24486,-0.119476,-1.156,10.2249,"Aug 27, 13",-0.027843331303288688
2013-08-28,10.264,10.264,10.2102,10.264,6199,6199,0.047766,0.468,10.2472,"Aug 28, 13",-0.023294762484774804
2013-08-29,10.2699,10.3117,10.2102,10.2699,2272,2272,0.005971,0.058,10.2656,"Aug 29, 13",-0.022733328258221774
2013-08-30,10.252,10.2699,10.2102,10.2699,7395,7395,0,0,10.2476,"Aug 30, 13",-0.022733328258221774
2013-09-03,10.246,10.258,10.2222,10.2293,5400,5400,-0.040603,-0.395,10.2312,"Sep 3, 13",-0.026596757003654128
2013-09-04,10.2162,10.5565,10.2162,10.4968,19384,19384,0.267499,2.615,10.3363,"Sep 4, 13",-0.0011419001218027228
2013-09-05,10.2998,10.467,10.2759,10.2819,16048,16048,-0.214955,-2.048,10.334,"Sep 5, 13",-0.021591428136419052
2013-09-06,10.2699,10.3834,10.2699,10.3058,12005,12005,0.023885,0.232,10.2985,"Sep 6, 13",-0.019317143727162107
2013-09-09,10.264,10.4231,10.264,10.4231,3720,3720,0.117328,1.138,10.3161,"Sep 9, 13",-0.008155070036540897
2013-09-10,10.3714,10.4729,10.3595,10.4192,9599,9599,-0.003882,-0.037,10.3995,"Sep 10, 13",-0.00852618757612675
2013-09-11,10.4968,10.5088,10.3302,10.4431,23008,23008,0.023883,0.229,10.4225,"Sep 11, 13",-0.006251903166869806
2013-09-12,10.3416,10.4191,10.3416,10.4013,9740,9740,-0.041795,-0.4,10.3881,"Sep 12, 13",-0.010229521924482331
2013-09-13,10.3953,10.5804,10.3953,10.4603,18006,18006,0.058991,0.567,10.4197,"Sep 13, 13",-0.004615179658952559
2013-09-16,10.4491,10.6342,10.4491,10.5506,10573,10573,0.09028,0.863,10.5619,"Sep 16, 13",0.003977618757612525
2013-09-17,10.5565,10.5864,10.467,10.4968,8868,8868,-0.053735,-0.509,10.523,"Sep 17, 13",-0.0011419001218027228
2013-09-18,10.5326,10.6222,10.5028,10.6222,9054,9054,0.125387,1.195,10.543,"Sep 18, 13",0.01079095615103519
2013-09-19,10.6282,10.67,10.5207,10.6282,11043,11043,0.005971,0.056,10.6079,"Sep 19, 13",0.011361906211936551
2013-09-20,10.5147,10.5863,10.4431,10.5565,5523,5523,-0.071652,-0.674,10.5492,"Sep 20, 13",0.004539052984165553
2013-09-23,10.4968,10.6194,10.4968,10.5267,9134,9134,-0.029852,-0.283,10.5304,"Sep 23, 13",0.0017033343483555817
2013-09-24,10.5559,10.5983,10.5386,10.5386,2774,2774,0.011941,0.113,10.5649,"Sep 24, 13",0.002835718635809971
2013-09-25,10.5864,10.5864,10.4908,10.4908,3251,3251,-0.047768,-0.453,10.5499,"Sep 25, 13",-0.0017128501827040842
2013-09-26,10.5446,10.5983,10.4019,10.5625,20777,20777,0.071651,0.683,10.5044,"Sep 26, 13",0.005110003045066914
2013-09-27,10.4252,10.5088,10.4252,10.4789,14776,14776,-0.083592,-0.791,10.45,"Sep 27, 13",-0.0028452344701584737
2013-09-30,10.455,10.5764,10.4491,10.5147,15157,15157,0.035825,0.342,10.4709,"Sep 30, 13",0.0005614342265528589
2013-10-01,10.5446,10.5924,10.5386,10.5744,10810,10810,0.059708,0.568,10.5736,"Oct 1, 13",0.006242387332521303
2013-10-02,10.5625,10.5625,10.467,10.4908,6159,6159,-0.083592,-0.791,10.5003,"Oct 2, 13",-0.0017128501827040842
2013-10-03,10.5088,10.5088,10.3655,10.461,17410,17410,-0.029856,-0.285,10.4307,"Oct 3, 13",-0.004548568818514055
2013-10-04,10.5326,10.5386,10.5326,10.5356,2400,2400,0.074639,0.713,10.537,"Oct 4, 13",0.0025502436053592903
2013-10-07,10.467,10.5506,10.4564,10.5506,4100,4100,0.014925,0.142,10.4964,"Oct 7, 13",0.003977618757612525
2013-10-08,10.5506,10.5983,10.455,10.467,5959,5959,-0.083591,-0.792,10.5396,"Oct 8, 13",-0.0039776187576126935
2013-10-10,10.6156,10.6222,10.4855,10.5983,18999,18999,0.131361,1.255,10.5658,"Oct 10, 13",0.008516671741778246
2013-10-11,10.4908,10.6342,10.4908,10.6342,900,900,0.035824,0.338,10.5758,"Oct 11, 13",0.011932856272837912
2013-10-14,10.664,10.6819,10.5565,10.5864,4736,4736,-0.047768,-0.449,10.5997,"Oct 14, 13",0.007384287454323858
2013-10-15,10.5625,10.6222,10.5625,10.6222,2592,2592,0.035826,0.338,10.5846,"Oct 15, 13",0.01079095615103519
2013-10-16,10.587,10.6401,10.5864,10.6401,12015,12015,0.017913,0.169,10.603,"Oct 16, 13",0.01249429049939094
2013-10-17,10.6819,10.6879,10.6521,10.6879,14911,14911,0.047767,0.449,10.6717,"Oct 17, 13",0.017042859317904994
2013-10-18,10.6998,10.879,10.6998,10.879,6255,6255,0.191068,1.788,10.8312,"Oct 18, 13",0.035227618757612544
2013-10-21,10.9267,10.9685,10.8763,10.9626,11805,11805,0.083594,0.768,10.9469,"Oct 21, 13",0.04318285627283793
2013-10-22,10.9148,11.1297,10.9148,11.1058,2418,2418,0.143298,1.307,11.0646,"Oct 22, 13",0.05680953105968326
2013-10-23,10.9864,11.0647,10.9864,11.0647,4009,4009,-0.041196,-0.371,11.0347,"Oct 23, 13",0.05289852314250908
2013-10-24,11.07,11.1656,11.07,11.1596,1548,1548,0.094937,0.858,11.1036,"Oct 24, 13",0.061929049939098514
2013-10-25,11.2909,11.2969,11.2193,11.2293,11341,11341,0.069738,0.625,11.2603,"Oct 25, 13",0.0685615864799025
2013-10-28,11.2193,11.2193,11.076,11.1357,8659,8659,-0.093623,-0.834,11.1337,"Oct 28, 13",0.05965476552984157
2013-10-29,11.1297,11.2253,11.1118,11.1775,19396,19396,0.041797,0.375,11.1809,"Oct 29, 13",0.06363238428745427
2013-10-30,11.1954,11.285,11.0879,11.285,32652,32652,0.107477,0.962,11.1726,"Oct 30, 13",0.0738619062119366
2013-10-31,11.1653,11.2194,11.082,11.1058,27520,27520,-0.17913,-1.587,11.137,"Oct 31, 13",0.05680953105968326
2013-11-01,11.1179,11.1894,11.0581,11.1297,18947,18947,0.023884,0.215,11.1253,"Nov 1, 13",0.059083815468940204
2013-11-04,11.2253,11.2253,11.07,11.1656,26611,26611,0.035826,0.322,11.1611,"Nov 4, 13",0.062499999999999875
2013-11-05,11.2014,11.273,11.1476,11.1835,21361,21361,0.017913,0.16,11.1724,"Nov 5, 13",0.06420333434835562
2013-11-06,11.1835,11.2253,11.1835,11.2193,33109,33109,0.035825,0.32,11.2094,"Nov 6, 13",0.06761000304506695
2013-11-07,11.2014,11.2611,11.0879,11.1238,14634,14634,-0.095534,-0.852,11.1808,"Nov 7, 13",0.05852238124238718
2013-11-08,11.1118,11.2074,10.9327,11.1357,6083,6083,0.011942,0.107,11.0281,"Nov 8, 13",0.05965476552984157
2013-11-11,11.1357,11.1357,11.1058,11.1357,3349,3349,0,0,11.1321,"Nov 11, 13",0.05965476552984157
