date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,58.4592,59.2012,58.4451,59.1824,858697,858697,0.234815,0.398,58.9408,"Aug 5, 13",0
2013-08-06,59.1918,60.3189,58.6095,59.4924,1024552,1024552,0.309956,0.524,59.2272,"Aug 6, 13",0.005238043742734365
2013-08-07,59.4172,59.4642,58.1492,59.0603,1746365,1746365,-0.43206,-0.726,59.0066,"Aug 7, 13",-0.0020631133580254132
2013-08-08,59.8117,59.8117,58.3653,59.1261,1326495,1326495,0.065749,0.111,59.0446,"Aug 8, 13",-0.0009512963313417543
2013-08-09,58.8067,59.4548,58.741,58.9476,942042,942042,-0.17846,-0.302,59.0119,"Aug 9, 13",-0.003967395712238772
2013-08-12,58.7504,59.2106,58.4028,58.9006,892316,892316,-0.046962,-0.08,58.9209,"Aug 12, 13",-0.004761550731298562
2013-08-13,59.1167,59.9902,58.6282,59.7084,1599977,1599977,0.80776,1.371,59.3871,"Aug 13, 13",0.008887777447349149
2013-08-14,59.5111,59.5464,57.7266,57.7923,1131599,1131599,-1.9161,-3.209,58.2673,"Aug 14, 13",-0.023488401957338735
2013-08-15,57.2569,57.6232,56.4116,56.637,1221681,1221681,-1.1553,-1.999,56.7623,"Aug 15, 13",-0.04300940820243857
2013-08-16,56.5525,57.379,56.5431,56.9752,1167727,1167727,0.338134,0.597,56.9582,"Aug 16, 13",-0.03729487144826841
2013-08-19,57.1479,57.3932,56.5723,56.6194,793757,793757,-0.355725,-0.624,56.8743,"Aug 19, 13",-0.04330679391170352
2013-08-20,56.7232,56.9403,56.2042,56.761,833970,833970,0.141551,0.25,56.6628,"Aug 20, 13",-0.040914190705344806
2013-08-21,56.7138,56.8459,55.6663,55.9117,898842,898842,-0.849295,-1.496,56.159,"Aug 21, 13",-0.05526474086890694
2013-08-22,56.0061,56.827,55.5154,56.6289,963630,963630,0.717182,1.283,56.3616,"Aug 22, 13",-0.043146273216361615
2013-08-23,56.912,56.912,56.2137,56.6194,2047791,2047791,-0.009438,-0.017,56.6071,"Aug 23, 13",-0.04330679391170352
2013-08-26,56.9592,57.2328,56.3458,56.7799,1016874,1016874,0.160421,0.283,56.8441,"Aug 26, 13",-0.04059483900619109
2013-08-27,55.9683,56.157,55.1285,55.1662,617297,617297,-1.6137,-2.842,55.5266,"Aug 27, 13",-0.06786139122441803
2013-08-28,55.1662,55.8362,54.9492,55.3738,719695,719695,0.207604,0.376,55.5094,"Aug 28, 13",-0.06435359160831595
2013-08-29,55.7324,55.7324,55.119,55.3078,929151,929151,-0.066057,-0.119,55.3796,"Aug 29, 13",-0.06546878801805944
2013-08-30,55.3361,55.5059,54.9586,55.0813,1097997,1097997,-0.226477,-0.409,55.194,"Aug 30, 13",-0.06929593933331535
2013-09-03,55.7513,56.8648,55.2889,56.5439,1923782,1923782,1.4627,2.655,56.4307,"Sep 3, 13",-0.044582511016788784
2013-09-04,57.497,57.497,55.9023,56.4307,1937179,1937179,-0.113238,-0.2,56.4098,"Sep 4, 13",-0.04649524182865175
2013-09-05,56.3835,56.7704,56.1523,56.4779,1046343,1046343,0.047185,0.084,56.5525,"Sep 5, 13",-0.045697707426532265
2013-09-06,56.7799,56.8931,55.7701,56.6477,1315889,1315889,0.169857,0.301,56.6125,"Sep 6, 13",-0.042828611208737745
2013-09-09,56.6855,57.9311,56.6855,57.733,1578443,1578443,1.0852,1.916,57.523,"Sep 9, 13",-0.024490389034577918
2013-09-10,57.9311,58.5351,57.9028,58.4596,967598,967598,0.726616,1.259,58.3599,"Sep 10, 13",-0.012213090378220543
2013-09-11,58.469,58.9125,58.2238,58.7144,944195,944195,0.254788,0.436,58.6543,"Sep 11, 13",-0.007907756359998979
