date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-16,4.9,4.95,4.14,4.15,3644952,3644952,4.15,0,4.6288,"Aug 16, 13",0
2013-08-19,4.35,4.4,4.15,4.15,223811,223811,0,0,4.2853,"Aug 19, 13",0
2013-08-20,4.15,4.3,4.15,4.27,256638,256638,0.12,2.892,4.2148,"Aug 20, 13",0.02891566265060222
2013-08-21,4.38,4.38,4.27,4.37,117080,117080,0.1,2.342,4.3276,"Aug 21, 13",0.05301204819277102
2013-08-22,4.4,4.85,4.4,4.77,474194,474194,0.4,9.153,4.6325,"Aug 22, 13",0.1493975903614456
2013-08-23,4.8,4.8,4.62,4.62,222328,222328,-0.15,-3.145,4.7623,"Aug 23, 13",0.1132530120481927
2013-08-26,4.64,4.6702,4.305,4.35,114131,114131,-0.27,-5.844,4.5057,"Aug 26, 13",0.04819277108433717
2013-08-27,4.36,4.67,4.36,4.65,53782,53782,0.3,6.897,4.5002,"Aug 27, 13",0.12048192771084336
2013-08-28,4.66,4.66,4.33,4.45,63312,63312,-0.2,-4.301,4.5388,"Aug 28, 13",0.07228915662650598
2013-08-29,4.43,4.5031,4.33,4.41,26936,26936,-0.04,-0.899,4.4302,"Aug 29, 13",0.0626506024096385
2013-08-30,4.39,4.4,4.11,4.22,82451,82451,-0.19,-4.308,4.2711,"Aug 30, 13",0.016867469879517927
2013-09-03,4.1,4.4399,4.1,4.39,94012,94012,0.17,4.028,4.2934,"Sep 3, 13",0.057831325301204654
2013-09-04,4.16,4.48,4.16,4.44,37053,37053,0.05,1.139,4.4297,"Sep 4, 13",0.06987951807228916
2013-09-05,4.36,4.48,4.35,4.42,31152,31152,-0.02,-0.45,4.4404,"Sep 5, 13",0.06506024096385532
2013-09-06,4.45,4.5,4.39,4.49,49728,49728,0.07,1.584,4.4562,"Sep 6, 13",0.08192771084337346
2013-09-09,4.45,4.57,4.45,4.55,55764,55764,0.06,1.336,4.4991,"Sep 9, 13",0.09638554216867457
2013-09-10,4.75,4.75,4.5101,4.67,112007,112007,0.12,2.637,4.6492,"Sep 10, 13",0.125301204819277
2013-09-11,4.74,5.1,4.7,4.92,356119,356119,0.25,5.353,4.9022,"Sep 11, 13",0.18554216867469867
2013-09-12,5,5.39,4.91,5.07,314235,314235,0.15,3.049,5.1309,"Sep 12, 13",0.22168674698795177
2013-09-13,5.12,5.66,5.1,5.66,140361,140361,0.59,11.637,5.2838,"Sep 13, 13",0.3638554216867469
2013-09-16,5.8,5.91,4.81,4.9,369057,369057,-0.76,-13.428,5.2277,"Sep 16, 13",0.18072289156626503
2013-09-17,4.88,4.99,4.77,4.94,76298,76298,0.04,0.816,4.8928,"Sep 17, 13",0.19036144578313252
2013-09-18,4.94,5,4.8301,4.91,34502,34502,-0.03,-0.607,4.9261,"Sep 18, 13",0.18313253012048186
2013-09-19,4.9,5.11,4.89,4.98,64664,64664,0.07,1.426,4.9967,"Sep 19, 13",0.2
2013-09-20,5,5,4.62,4.77,63596,63596,-0.21,-4.217,4.8164,"Sep 20, 13",0.1493975903614456
2013-09-23,4.76,4.76,4.55,4.71,30382,30382,-0.06,-1.258,4.6874,"Sep 23, 13",0.13493975903614447
2013-09-24,4.72,4.76,4.5,4.71,42561,42561,0,0,4.6808,"Sep 24, 13",0.13493975903614447
2013-09-25,4.72,4.7201,4.54,4.55,14001,14001,-0.16,-3.397,4.6319,"Sep 25, 13",0.09638554216867457
2013-09-26,4.57,4.57,4.21,4.37,97762,97762,-0.18,-3.956,4.3232,"Sep 26, 13",0.05301204819277102
2013-09-27,4.35,4.45,4.25,4.37,28067,28067,0,0,4.3059,"Sep 27, 13",0.05301204819277102
2013-09-30,4.31,4.7,4.3,4.68,26851,26851,0.31,7.094,4.3765,"Sep 30, 13",0.1277108433734938
2013-10-01,4.6685,4.6685,4.31,4.42,24324,24324,-0.26,-5.556,4.4448,"Oct 1, 13",0.06506024096385532
2013-10-02,4.46,4.59,4.4318,4.49,11110,11110,0.07,1.584,4.4816,"Oct 2, 13",0.08192771084337346
2013-10-03,4.55,4.66,4.27,4.34,25721,25721,-0.15,-3.341,4.453,"Oct 3, 13",0.04578313253012036
2013-10-04,4.3,4.54,4.3,4.4,30298,30298,0.06,1.382,4.4503,"Oct 4, 13",0.06024096385542168
2013-10-07,4.41,4.6,4.41,4.52,38673,38673,0.12,2.727,4.5173,"Oct 7, 13",0.0891566265060239
2013-10-08,4.3901,4.55,4.37,4.37,20244,20244,-0.15,-3.319,4.4693,"Oct 8, 13",0.05301204819277102
2013-10-09,4.41,4.41,4.35,4.39,13705,13705,0.02,0.458,4.3828,"Oct 9, 13",0.057831325301204654
2013-10-10,4.45,4.45,4.22,4.34,153534,153534,-0.05,-1.139,4.3534,"Oct 10, 13",0.04578313253012036
2013-10-11,4.2601,4.44,4.25,4.36,18990,18990,0.02,0.461,4.3201,"Oct 11, 13",0.050602409638554204
2013-10-14,4.35,4.4499,4.32,4.4,24410,24410,0.04,0.917,4.396,"Oct 14, 13",0.06024096385542168
2013-10-15,4.55,4.55,4.3601,4.42,30796,30796,0.02,0.455,4.4132,"Oct 15, 13",0.06506024096385532
2013-10-16,4.41,4.52,4.35,4.52,36478,36478,0.1,2.262,4.3988,"Oct 16, 13",0.0891566265060239
2013-10-17,4.51,4.51,4.27,4.5,32358,32358,-0.02,-0.442,4.4137,"Oct 17, 13",0.08433734939759027
2013-10-18,4.5,4.55,4.42,4.49,46599,46599,-0.01,-0.222,4.4746,"Oct 18, 13",0.08192771084337346
2013-10-21,4.5,4.66,4.5,4.6,42834,42834,0.11,2.45,4.5801,"Oct 21, 13",0.10843373493975886
2013-10-22,4.59,4.61,4.55,4.56,37387,37387,-0.04,-0.87,4.5696,"Oct 22, 13",0.09879518072289138
2013-10-23,4.58,4.6,4.3,4.35,32553,32553,-0.21,-4.605,4.4376,"Oct 23, 13",0.04819277108433717
2013-10-24,4.36,4.45,4.22,4.41,27796,27796,0.06,1.379,4.3643,"Oct 24, 13",0.0626506024096385
2013-10-25,4.42,4.45,4.22,4.22,8981,8981,-0.19,-4.308,4.3851,"Oct 25, 13",0.016867469879517927
2013-10-28,4.23,4.55,4.23,4.31,12026,12026,0.09,2.133,4.4057,"Oct 28, 13",0.038554216867469696
2013-10-29,4.35,4.51,4.35,4.41,6784,6784,0.1,2.32,4.4496,"Oct 29, 13",0.0626506024096385
2013-10-30,4.46,4.65,4.4,4.55,19093,19093,0.14,3.175,4.5693,"Oct 30, 13",0.09638554216867457
2013-10-31,4.63,4.679,4.46,4.64,30844,30844,0.09,1.978,4.628,"Oct 31, 13",0.11807228915662633
2013-11-01,4.71,4.7899,4.67,4.76,40787,40787,0.12,2.586,4.7646,"Nov 1, 13",0.14698795180722876
2013-11-04,4.85,4.85,4.5,4.51,20268,20268,-0.25,-5.252,4.6194,"Nov 4, 13",0.08674698795180709
2013-11-05,4.85,4.85,4.5,4.51,6593,6593,0,0,4.6121,"Nov 5, 13",0.08674698795180709
2013-11-06,4.5,4.6205,4.5,4.54,12656,12656,0.03,0.665,4.5495,"Nov 6, 13",0.09397590361445775
2013-11-07,4.56,4.56,4.4,4.45,18093,18093,-0.09,-1.982,4.4795,"Nov 7, 13",0.07228915662650598
2013-11-08,4.5,4.57,4.4,4.57,5374,5374,0.12,2.697,4.4901,"Nov 8, 13",0.10120481927710841
2013-11-11,4.66,4.66,4.4,4.49,10727,10727,-0.08,-1.751,4.4815,"Nov 11, 13",0.08192771084337346
2013-11-12,4.45,4.54,4.4,4.5399,12630,12630,0.0499,1.111,4.4692,"Nov 12, 13",0.09395180722891563
2013-11-13,4.4,4.5,4.25,4.26,19004,19004,-0.2799,-6.165,4.4063,"Nov 13, 13",0.026506024096385403
2013-11-14,4.4,4.4,4.08,4.17,36350,36350,-0.09,-2.113,4.3345,"Nov 14, 13",0.004819277108433632
2013-11-15,4.25,4.4499,4.2,4.31,19972,19972,0.14,3.357,4.2821,"Nov 15, 13",0.038554216867469696
2013-11-18,4.65,4.65,4.29,4.29,18760,18760,-0.02,-0.464,4.3856,"Nov 18, 13",0.03373493975903606
2013-11-19,4.27,4.55,4.25,4.51,15214,15214,0.22,5.128,4.3019,"Nov 19, 13",0.08674698795180709
2013-11-20,4.71,4.71,4.39,4.39,44530,44530,-0.12,-2.661,4.5389,"Nov 20, 13",0.057831325301204654
2013-11-21,4.61,4.61,4.43,4.46,17172,17172,0.07,1.595,4.5171,"Nov 21, 13",0.0746987951807228
2013-11-22,4.45,4.45,4.11,4.25,53963,53963,-0.21,-4.709,4.3013,"Nov 22, 13",0.024096385542168586
2013-11-25,4.21,4.5,4.12,4.36,79995,79995,0.11,2.588,4.3048,"Nov 25, 13",0.050602409638554204
2013-11-26,4.33,4.35,4.2,4.32,12657,12657,-0.04,-0.917,4.2593,"Nov 26, 13",0.04096385542168673
2013-11-27,4.33,4.33,4.13,4.29,47680,47680,-0.03,-0.694,4.2573,"Nov 27, 13",0.03373493975903606
2013-11-29,4.26,4.33,4.1601,4.29,4737,4737,0,0,4.2715,"Nov 29, 13",0.03373493975903606
2013-12-02,4.2,4.3,4.17,4.22,49364,49364,-0.07,-1.632,4.225,"Dec 2, 13",0.016867469879517927
2013-12-03,4.18,4.1999,3.89,4.01,105162,105162,-0.21,-4.976,4.0362,"Dec 3, 13",-0.03373493975903628
2013-12-04,4,4.16,3.96,3.96,45585,45585,-0.05,-1.247,4.0262,"Dec 4, 13",-0.04578313253012057
