date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,5.6544,5.6544,5.5233,5.5327,38372,38372,-0.018723,-0.337,5.5977,"Aug 5, 13",0
2013-08-06,5.6263,5.6731,5.4578,5.5046,44920,44920,-0.028085,-0.508,5.5713,"Aug 6, 13",-0.005078894572270363
2013-08-07,5.542,5.5888,5.4203,5.4391,24847,24847,-0.065531,-1.19,5.4845,"Aug 7, 13",-0.016917599002295506
2013-08-08,5.4859,5.5233,5.2799,5.2986,43587,43587,-0.140424,-2.582,5.3517,"Aug 8, 13",-0.042312071863647
2013-08-09,5.308,5.3454,5.2331,5.2893,14286,14286,-0.00936,-0.177,5.2957,"Aug 9, 13",-0.04399298714913158
2013-08-12,5.2799,5.3361,5.2612,5.2706,11371,11371,-0.018724,-0.354,5.2886,"Aug 12, 13",-0.04737289207800897
2013-08-13,5.2331,5.3174,4.9855,5.2799,25556,25556,0.009362,0.178,5.1029,"Aug 13, 13",-0.04569197679252455
2013-08-14,5.2144,5.2612,5.1395,5.1769,24239,24239,-0.102977,-1.95,5.1878,"Aug 14, 13",-0.06430856543821287
2013-08-15,5.1395,5.1395,4.9242,5.0084,91622,91622,-0.168508,-3.255,5.0166,"Aug 15, 13",-0.09476385851392632
2013-08-16,4.971,5.1114,4.9523,5.0552,24947,24947,0.046808,0.935,5.0368,"Aug 16, 13",-0.08630505901277857
2013-08-19,5.0412,5.1395,5.0412,5.0552,17514,17514,0,0,5.0791,"Aug 19, 13",-0.08630505901277857
2013-08-20,5.074,5.205,5.0552,5.1769,8366,8366,0.1217,2.407,5.1605,"Aug 20, 13",-0.06430856543821287
2013-08-21,5.1208,5.3454,5.1208,5.205,38713,38713,0.028085,0.543,5.1923,"Aug 21, 13",-0.0592296708659425
2013-08-22,5.1676,5.3829,5.1676,5.3454,10627,10627,0.140422,2.698,5.3005,"Aug 22, 13",-0.0338532723624994
2013-08-23,5.3454,5.3829,5.205,5.3361,7584,7584,-0.009361,-0.175,5.3341,"Aug 23, 13",-0.03553418764798382
2013-08-26,5.308,5.3735,5.2518,5.3548,18736,18736,0.018724,0.351,5.3392,"Aug 26, 13",-0.03215428271910643
2013-08-27,5.2425,5.2893,5.0927,5.1582,59210,59210,-0.196594,-3.671,5.2084,"Aug 27, 13",-0.06768847036709026
2013-08-28,5.1302,5.1863,4.9242,5.0178,25407,25407,-0.140423,-2.722,5.0082,"Aug 28, 13",-0.09306486887053336
2013-08-29,5.1114,5.2986,5.0833,5.1208,45993,45993,0.102977,2.052,5.1725,"Aug 29, 13",-0.07444828022484504
2013-08-30,5.102,5.1957,5.102,5.1301,87703,87703,0.009361,0.183,5.1466,"Aug 30, 13",-0.07276736493936062
2013-09-03,5.2425,5.6637,5.1395,5.645,272710,272710,0.514886,10.037,5.1764,"Sep 3, 13",0.020297503931172738
2013-09-04,5.645,5.7853,5.5514,5.5795,24488,24488,-0.065531,-1.161,5.6455,"Sep 4, 13",0.008458799501147753
2013-09-05,5.5701,5.5786,5.3923,5.5046,7328,7328,-0.074892,-1.342,5.5156,"Sep 5, 13",-0.005078894572270363
2013-09-06,5.5233,5.5233,5.2986,5.4765,14539,14539,-0.028085,-0.51,5.4618,"Sep 6, 13",-0.010157789144540725
