date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,25.6836,25.8326,25.3507,25.624,1133209,1133209,-0.109293,-0.425,25.6054,"Aug 5, 13",0
2013-08-06,24.8291,25.7432,23.5385,24.849,3840571,3840571,-0.774979,-3.024,24.6193,"Aug 6, 13",-0.030245082734935945
2013-08-07,24.7,25.1371,24.392,25.0278,2792411,2792411,0.178842,0.72,24.677,"Aug 7, 13",-0.0232672494536372
2013-08-08,25.0775,25.2365,24.5758,24.7894,1003330,1003330,-0.238456,-0.953,24.7781,"Aug 8, 13",-0.032571027162035526
2013-08-09,24.7,24.8709,24.5112,24.7894,1095622,1095622,0,0,24.7399,"Aug 9, 13",-0.032571027162035526
2013-08-12,24.69,24.8391,24.4218,24.4814,1035273,1035273,-0.308005,-1.242,24.5921,"Aug 12, 13",-0.04459100842959718
2013-08-13,25.1868,25.6935,24.5509,24.8093,2647572,2647572,0.327876,1.339,24.97,"Aug 13, 13",-0.03179441148922879
2013-08-14,24.8589,25.0378,24.5211,24.5907,907129,907129,-0.218583,-0.881,24.7795,"Aug 14, 13",-0.040325476116141144
2013-08-15,24.2727,24.2727,23.299,23.4679,2363434,2363434,-1.1227,-4.566,23.6103,"Aug 15, 13",-0.08414377146425221
2013-08-16,23.3785,23.5971,23.2196,23.309,1344918,1344918,-0.15897,-0.677,23.3679,"Aug 16, 13",-0.09034498907274421
2013-08-19,23.2096,23.4277,23.0805,23.1401,824333,824333,-0.168905,-0.725,23.261,"Aug 19, 13",-0.09693646581329997
2013-08-20,23.1202,23.6269,23.1202,23.2891,978601,978601,0.149034,0.644,23.424,"Aug 20, 13",-0.09112160474555095
2013-08-21,23.2295,23.4282,23.1003,23.1103,831115,831115,-0.178842,-0.768,23.2755,"Aug 21, 13",-0.09809943802684984
2013-08-22,23.2196,23.4243,23.1699,23.3288,814779,814779,0.218584,0.946,23.2886,"Aug 22, 13",-0.08957227599125811
2013-08-23,23.3487,23.6219,23.2613,23.5673,1209992,1209992,0.238457,1.022,23.5212,"Aug 23, 13",-0.08026459569153915
2013-08-26,23.5673,23.762,23.4381,23.4381,962294,962294,-0.129165,-0.548,23.5697,"Aug 26, 13",-0.08530674367780207
2013-08-27,22.8817,23.0407,22.1068,22.3552,1831280,1831280,-1.083,-4.621,22.4671,"Aug 27, 13",-0.12756790508897906
2013-08-28,22.3254,22.842,22.2459,22.7327,1177100,1177100,0.377555,1.689,22.6298,"Aug 28, 13",-0.11283562285357468
2013-08-29,22.7327,23.001,22.6532,22.8221,683879,683879,0.089419,0.393,22.8569,"Aug 29, 13",-0.10934670621292539
