date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-07-16,28.68,33.75,28.5,30.8,7681005,7681005,30.8,0,30.8697,"Jul 16, 15",0
2015-07-17,31.35,31.57,29.02,30,1077760,1077760,-0.8,-2.597,29.9663,"Jul 17, 15",-0.025974025974025997
2015-07-20,29.87,30.962,29.33,30.05,371884,371884,0.05,0.167,30.2163,"Jul 20, 15",-0.024350649350649352
2015-07-21,29.75,30.89,29.36,29.8,315389,315389,-0.25,-0.832,30.1698,"Jul 21, 15",-0.032467532467532464
2015-07-22,29.88,30.34,29.7,30.01,288539,288539,0.21,0.705,29.9931,"Jul 22, 15",-0.02564935064935062
2015-07-23,30.26,30.49,29.34,29.64,407955,407955,-0.37,-1.233,29.9674,"Jul 23, 15",-0.03766233766233767
2015-07-24,29.62,30.94,29.11,29.44,562415,562415,-0.2,-0.675,30.0811,"Jul 24, 15",-0.044155844155844136
2015-07-27,29.48,30.08,25.1609,26.03,350505,350505,-3.41,-11.583,27.3417,"Jul 27, 15",-0.15487012987012985
2015-07-28,26.06,27.2595,26.0101,26.81,332309,332309,0.78,2.997,26.6033,"Jul 28, 15",-0.1295454545454546
2015-07-29,27.59,27.64,25.75,26.08,100028,100028,-0.73,-2.723,26.7037,"Jul 29, 15",-0.15324675324675333
2015-07-30,26.7,26.97,25.46,25.62,107675,107675,-0.46,-1.764,26.036,"Jul 30, 15",-0.16818181818181818
2015-07-31,25.6,28.95,25.375,27.4,357000,357000,1.78,6.948,26.8278,"Jul 31, 15",-0.11038961038961045
2015-08-03,27.71,29.49,27,28.54,321186,321186,1.14,4.161,28.2701,"Aug 3, 15",-0.07337662337662343
2015-08-04,29.05,29.45,27.5001,29.25,174976,174976,0.71,2.488,28.8863,"Aug 4, 15",-0.05032467532467535
2015-08-05,29.03,30.5,28.56,28.96,158476,158476,-0.29,-0.991,29.123,"Aug 5, 15",-0.05974025974025973
2015-08-06,30.2,30.25,28.09,29.03,262056,262056,0.07,0.242,28.9404,"Aug 6, 15",-0.05746753246753245
2015-08-07,29.06,29.45,27.5,28.56,60710,60710,-0.47,-1.619,28.496,"Aug 7, 15",-0.0727272727272728
2015-08-10,29.18,29.29,24.515,25.01,237019,237019,-3.55,-12.43,26.0661,"Aug 10, 15",-0.18798701298701295
2015-08-11,25.36,25.39,24.7701,25.12,91769,91769,0.11,0.44,25.0562,"Aug 11, 15",-0.1844155844155844
2015-08-12,26.01,26.7499,25,25.38,59008,59008,0.26,1.035,25.3329,"Aug 12, 15",-0.17597402597402603
2015-08-13,25.02,26.29,24.895,24.95,140925,140925,-0.43,-1.694,25.3698,"Aug 13, 15",-0.18993506493506498
2015-08-14,24.77,25.55,24.45,25.38,229653,229653,0.43,1.723,24.9609,"Aug 14, 15",-0.17597402597402603
2015-08-17,25.82,28.5,25.45,27.45,53067,53067,2.07,8.156,27.43,"Aug 17, 15",-0.10876623376623382
2015-08-18,27.7,30.2,26.65,28.9,131925,131925,1.45,5.282,28.3613,"Aug 18, 15",-0.06168831168831176
2015-08-19,28.42,29.02,28,28.84,86357,86357,-0.06,-0.208,28.7081,"Aug 19, 15",-0.06363636363636366
2015-08-20,28.55,29.07,28.16,28.95,107057,107057,0.11,0.381,28.8808,"Aug 20, 15",-0.06006493506493511
2015-08-21,28.38,29.75,26.02,27.94,275349,275349,-1.01,-3.489,28.1451,"Aug 21, 15",-0.09285714285714283
2015-08-24,26.96,28.535,25.88,26.88,372666,372666,-1.06,-3.794,27.4799,"Aug 24, 15",-0.12727272727272732
2015-08-25,26.93,27.92,22.67,25.88,321922,321922,-1,-3.72,25.3226,"Aug 25, 15",-0.1597402597402598
2015-08-26,26.5,28.01,26.06,27.41,403950,403950,1.53,5.912,26.9938,"Aug 26, 15",-0.11006493506493509
2015-08-27,27.31,29.89,26.0201,28.32,378642,378642,0.91,3.32,28.9726,"Aug 27, 15",-0.08051948051948053
2015-08-28,28.01,30.75,27.8,30.04,244055,244055,1.72,6.073,29.8595,"Aug 28, 15",-0.024675324675324725
2015-08-31,29.46,30.25,28.35,28.95,103643,103643,-1.09,-3.628,29.0501,"Aug 31, 15",-0.06006493506493511
2015-09-01,28.17,29.37,28,28.82,352096,352096,-0.13,-0.449,28.9227,"Sep 1, 15",-0.0642857142857143
2015-09-02,28.4,30.53,28.32,30.51,109570,109570,1.69,5.864,29.5016,"Sep 2, 15",-0.009415584415584387
2015-09-03,30.74,32.99,30.2128,31.32,212555,212555,0.81,2.655,31.7741,"Sep 3, 15",0.016883116883116868
2015-09-04,30.48,30.75,29.9,30.3,170582,170582,-1.02,-3.257,30.4485,"Sep 4, 15",-0.016233766233766232
2015-09-08,30.83,31.36,30,30.55,110003,110003,0.25,0.825,30.5841,"Sep 8, 15",-0.008116883116883116
2015-09-09,31.12,31.44,30.49,30.6,20899,20899,0.05,0.164,30.824,"Sep 9, 15",-0.0064935064935064705
2015-09-10,30.45,30.91,29.93,30.73,34951,34951,0.13,0.425,30.3706,"Sep 10, 15",-0.0022727272727272817
2015-09-11,30.59,30.92,29.92,30.79,67402,67402,0.06,0.195,30.3307,"Sep 11, 15",-0.0003246753246753754
2015-09-14,31.09,31.6925,30.26,30.92,16564,16564,0.13,0.422,30.8713,"Sep 14, 15",0.003896103896103928
2015-09-15,31.27,31.32,30.32,30.7,140727,140727,-0.22,-0.712,30.7801,"Sep 15, 15",-0.003246753246753293
