date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-07-26,6.14,6.14,5.8501,5.8501,400,400,5.8501,0,6.0134,"Jul 26, 16",0
2016-07-27,5.7048,5.7048,5.7048,5.7048,100,100,-0.1453,-2.484,5.7048,"Jul 27, 16",-0.024837182270388652
2016-07-28,6.5,6.5,5.7501,6,4112,4112,0.2952,5.175,5.9812,"Jul 28, 16",0.0256234936154937
2016-07-29,6.12,6.12,6.114,6.114,270,270,0.114,1.9,6.117,"Jul 29, 16",0.04511033999418806
2016-08-01,6.15,6.35,6.15,6.35,2658,2658,0.236,3.86,6.2775,"Aug 1, 16",0.08545153074306411
2016-08-02,6.2499,6.2499,6.159,6.159,307,307,-0.191,-3.008,6.2155,"Aug 2, 16",0.05280251619630425
2016-08-04,,,,6.159,107,107,0,0,,"Aug 4, 16",0.05280251619630425
2016-08-05,6.1201,6.55,6.1201,6.3546,7000,7000,0.1956,3.176,6.417,"Aug 5, 16",0.0862378420881693
2016-08-08,6.4001,6.4001,6.4001,6.4001,1000,1000,0.0455,0.716,6.4001,"Aug 8, 16",0.09401548691475356
2016-08-09,6.389,6.5,6.389,6.49,5077,5077,0.0899,1.405,6.446,"Aug 9, 16",0.10938274559409239
2016-08-10,6.4201,6.4632,6.4201,6.4632,1283,1283,-0.0268,-0.413,6.4345,"Aug 10, 16",0.10480162732260975
2016-08-11,6.55,6.69,6.55,6.55,800,800,0.0868,1.343,6.5987,"Aug 11, 16",0.11963898053024725
2016-08-12,6.55,6.55,6.4347,6.5,5700,5700,-0.05,-0.763,6.4929,"Aug 12, 16",0.11109211808345151
2016-08-15,6.5,6.55,6.388,6.55,7647,7647,0.05,0.769,6.5206,"Aug 15, 16",0.11963898053024725
2016-08-16,6.55,6.55,6.408,6.408,368,368,-0.142,-2.168,6.4888,"Aug 16, 16",0.09536589118134733
2016-08-17,6.5,6.5,6.4,6.4,10300,10300,-0.008,-0.125,6.4029,"Aug 17, 16",0.09399839318986
2016-08-18,6.49,6.49,6.49,6.49,230,230,0.09,1.406,6.49,"Aug 18, 16",0.10938274559409239
2016-08-19,6.5,6.5,6.5,6.5,393,393,0.01,0.154,6.5,"Aug 19, 16",0.11109211808345151
2016-08-22,6.49,6.5,6.28,6.28,6913,6913,-0.22,-3.385,6.47,"Aug 22, 16",0.07348592331755012
2016-08-23,6.28,6.37,6.28,6.37,3312,3312,0.09,1.433,6.2994,"Aug 23, 16",0.0888702757217825
2016-08-24,6.28,6.47,6.25,6.25,29086,29086,-0.12,-1.884,6.3024,"Aug 24, 16",0.0683578058494726
2016-08-25,6.37,6.37,6.22,6.29,10051,10051,0.04,0.64,6.2779,"Aug 25, 16",0.07519529580690923
2016-08-26,6.1317,6.1317,6.1317,6.1317,1090,1090,-0.1583,-2.517,6.1317,"Aug 26, 16",0.04813592930035385
2016-08-29,6.27,6.27,6.16,6.16,590,590,0.0283,0.462,6.2327,"Aug 29, 16",0.05297345344524022
2016-08-30,6.3,6.3,6.3,6.3,100,100,0.14,2.273,6.3,"Aug 30, 16",0.07690466829626835
2016-08-31,6.3,6.3,6.3,6.3,507,507,0,0,6.3,"Aug 31, 16",0.07690466829626835
2016-09-02,6.3001,6.3001,6.3001,6.3001,1000,1000,0.0001,0.002,6.3001,"Sep 2, 16",0.07692176202116191
2016-09-06,6.29,6.31,6.15,6.15,6770,6770,-0.1501,-2.383,6.2722,"Sep 6, 16",0.0512640809558811
2016-09-07,6.29,6.3,6.2437,6.2854,400,400,0.1354,2.202,6.2798,"Sep 7, 16",0.07440898446180404
2016-09-12,6.215,6.215,6.15,6.15,350,350,-0.1354,-2.154,6.1933,"Sep 12, 16",0.0512640809558811
2016-09-13,6.15,6.15,6.121,6.13,3201,3201,-0.02,-0.325,6.1426,"Sep 13, 16",0.047845335977162715
2016-09-14,,,,6.13,14,14,0,0,,"Sep 14, 16",0.047845335977162715
2016-09-16,6.12,6.3,6.05,6.3,15837,15837,0.17,2.773,6.1776,"Sep 16, 16",0.07690466829626835
2016-09-19,6.3,6.3,6.2485,6.2485,5200,5200,-0.0515,-0.817,6.298,"Sep 19, 16",0.06810139997606872
2016-09-21,6.056,6.2,6.056,6.2,618,618,-0.0485,-0.776,6.08,"Sep 21, 16",0.059810943402676855
2016-09-22,6.2008,6.2008,6.2008,6.2008,180,180,0.0008,0.013,6.2008,"Sep 22, 16",0.05994769320182557
2016-09-23,6.29,6.29,6.29,6.29,250,250,0.0892,1.439,6.29,"Sep 23, 16",0.07519529580690923
2016-09-27,6.2,6.225,6.2,6.225,1259,1259,-0.065,-1.033,6.2125,"Sep 27, 16",0.06408437462607465
2016-09-28,6.15,6.16,6.15,6.16,200,200,-0.065,-1.044,6.155,"Sep 28, 16",0.05297345344524022
2016-09-29,6.2,6.2,6.15,6.15,3001,3001,-0.01,-0.162,6.1517,"Sep 29, 16",0.0512640809558811
2016-09-30,6.188,6.28,6.15,6.15,1152,1152,0,0,6.175,"Sep 30, 16",0.0512640809558811
2016-10-03,6.3,6.3,6.22,6.22,4221,4221,0.07,1.138,6.261,"Oct 3, 16",0.06322968838139509
2016-10-04,6.25,6.3,6.25,6.29,4574,4574,0.07,1.125,6.2958,"Oct 4, 16",0.07519529580690923
2016-10-05,5.68,6.3,5.68,6.3,600,600,0.01,0.159,6.1967,"Oct 5, 16",0.07690466829626835
2016-10-06,6.04,6.1376,6.02,6.1376,500,500,-0.1624,-2.578,6.071,"Oct 6, 16",0.04914445906907568
2016-10-10,6.49,6.49,6.18,6.18,400,400,0.0424,0.691,6.335,"Oct 10, 16",0.05639219842395846
2016-10-11,6.3,6.3,6.08,6.3,830,830,0.12,1.942,6.246,"Oct 11, 16",0.07690466829626835
2016-10-12,6.33,6.35,6.33,6.35,300,300,0.05,0.794,6.3433,"Oct 12, 16",0.08545153074306411
2016-10-13,6.25,6.25,5.8045,5.8045,500,500,-0.5455,-8.591,6.1609,"Oct 13, 16",-0.007794738551477804
2016-10-14,6.1411,6.1411,6.07,6.07,700,700,0.2655,4.574,6.097,"Oct 14, 16",0.03758910104100784
2016-10-18,,,,6.07,40,40,0,0,,"Oct 18, 16",0.03758910104100784
2016-10-19,6.33,6.33,5.85,5.855,2000,2000,-0.215,-3.542,5.9783,"Oct 19, 16",0.0008375925197860081
2016-10-20,6.25,6.25,6.0975,6.0975,300,300,0.2425,4.142,6.1483,"Oct 20, 16",0.042289875386745494
2016-10-21,6.35,6.35,6.35,6.35,200,200,0.2525,4.141,6.35,"Oct 21, 16",0.08545153074306411
2016-10-24,6.31,6.35,6.31,6.35,1684,1684,0,0,6.3428,"Oct 24, 16",0.08545153074306411
2016-10-26,6.31,6.31,5.8501,5.854,1500,1500,-0.496,-7.811,5.9125,"Oct 26, 16",0.0006666552708500355
2016-10-27,6.31,6.327,6.3,6.3,600,600,0.446,7.619,6.3168,"Oct 27, 16",0.07690466829626835
2016-10-28,6.3,6.3,6.3,6.3,300,300,0,0,6.3,"Oct 28, 16",0.07690466829626835
2016-10-31,6.4955,6.4955,6.4955,6.4955,179,179,0.1955,3.103,6.4955,"Oct 31, 16",0.11032290046323986
2016-11-01,6.3,6.3,5.85,6.03,1163,1163,-0.4655,-7.166,6.1118,"Nov 1, 16",0.03075161108357121
2016-11-02,,,,6.03,45,45,0,0,,"Nov 2, 16",0.03075161108357121
2016-11-03,,,,6.03,50,50,0,0,,"Nov 3, 16",0.03075161108357121
2016-11-04,6.03,6.3,6.03,6.3,4316,4316,0.27,4.478,6.2844,"Nov 4, 16",0.07690466829626835
2016-11-07,6.3,6.3,6.1565,6.1565,734,734,-0.1435,-2.278,6.2669,"Nov 7, 16",0.05237517307396455
2016-11-08,6.3,6.3,6.3,6.3,212,212,0.1435,2.331,6.3,"Nov 8, 16",0.07690466829626835
2016-11-09,6.139,6.139,6.139,6.139,1070,1070,-0.161,-2.556,6.139,"Nov 9, 16",0.04938377121758601
2016-11-11,6.25,6.25,6.041,6.041,1200,1200,-0.098,-1.596,6.1782,"Nov 11, 16",0.032631920821866306
2016-11-15,6.0225,6.0225,5.85,5.85,2012,2012,-0.191,-3.162,5.9101,"Nov 15, 16",-0.000017093724893703545
2016-11-16,5.86,5.964,5.67,5.67,8300,8300,-0.18,-3.077,5.7064,"Nov 16, 16",-0.030785798533358465
2016-11-17,5.88,5.88,5.86,5.86,500,500,0.19,3.351,5.8759,"Nov 17, 16",0.001692278764465568
2016-11-18,5.29,5.29,5.29,5.29,210,210,-0.57,-9.727,5.29,"Nov 18, 16",-0.09574195312900638
2016-11-21,5.4223,5.4223,5.2932,5.2932,2537,2537,0.0032,0.06,5.3945,"Nov 21, 16",-0.09519495393241151
2016-11-22,5.1,5.3199,5.1,5.232,3064,3064,-0.0612,-1.156,5.2591,"Nov 22, 16",-0.10565631356728945
2016-11-23,5.27,5.27,4.95,4.95,1250,1250,-0.282,-5.39,5.1043,"Nov 23, 16",-0.15386061776721766
2016-11-25,5.59,5.59,5.22,5.22,485,485,0.27,5.455,5.3125,"Nov 25, 16",-0.10770756055452052
2016-11-28,5.03,6.1,4.671,6.1,1310,1310,0.88,16.858,5.2674,"Nov 28, 16",0.0427172185090852
2016-11-29,6,6,5.7525,5.7525,13850,13850,-0.3475,-5.697,5.9877,"Nov 29, 16",-0.01668347549614535
2016-11-30,6,6,6,6,1666,1666,0.2475,4.302,6,"Nov 30, 16",0.0256234936154937
2016-12-01,6,6,5.4999,5.4999,480,480,-0.5001,-8.335,5.875,"Dec 1, 16",-0.05986222457735766
2016-12-02,5.8,6,5.8,6,5200,5200,0.5001,9.093,5.9661,"Dec 2, 16",0.0256234936154937
2016-12-05,5.5,5.505,5.5,5.505,5250,5250,-0.495,-8.25,5.5003,"Dec 5, 16",-0.05899044460778455
2016-12-06,5.9444,5.9444,5.9444,5.9444,227,227,0.4394,7.982,5.9444,"Dec 6, 16",0.016119382574656775
2016-12-07,5.55,5.5889,5.55,5.5889,400,400,-0.3555,-5.98,5.5694,"Dec 7, 16",-0.04464880942206125
2016-12-08,5.75,5.75,5.75,5.75,505,505,0.1611,2.882,5.75,"Dec 8, 16",-0.017110818618485204
2016-12-09,5.98,6,5.85,6,1647,1647,0.25,4.348,5.9791,"Dec 9, 16",0.0256234936154937
2016-12-12,,,,6,74,74,0,0,,"Dec 12, 16",0.0256234936154937
2016-12-14,5.69,5.69,5.69,5.69,300,300,-0.31,-5.167,5.69,"Dec 14, 16",-0.027367053554640076
2016-12-15,,,,5.69,20,20,0,0,,"Dec 15, 16",-0.027367053554640076
2016-12-16,5.5945,5.5945,5.5,5.55,5554,5554,-0.14,-2.46,5.5262,"Dec 16, 16",-0.05129826840566836
2016-12-19,5.55,5.55,5.5001,5.5001,1000,1000,-0.0499,-0.899,5.5251,"Dec 19, 16",-0.05982803712757056
2016-12-20,5.5001,5.5001,5.2501,5.4937,4260,4260,-0.0064,-0.116,5.4401,"Dec 20, 16",-0.06092203552076045
2016-12-22,5.2658,5.2658,5.2658,5.2658,502,502,-0.2279,-4.148,5.2658,"Dec 22, 16",-0.09987863455325562
2016-12-23,5.5,5.5,5.4999,5.4999,1376,1376,0.2341,4.446,5.4999,"Dec 23, 16",-0.05986222457735766
2016-12-27,5.5,5.5,5.5,5.5,100,100,0.0001,0.002,5.5,"Dec 27, 16",-0.05984513085246411
2016-12-28,5.26,5.28,5.2166,5.2499,4400,4400,-0.2501,-4.547,5.2487,"Dec 28, 16",-0.10259653681133657
2016-12-29,5.2,5.25,5.1,5.1,5640,5640,-0.1499,-2.855,5.1347,"Dec 29, 16",-0.12822003042683042
2016-12-30,5.248,5.25,5.23,5.25,1900,1900,0.15,2.941,5.2479,"Dec 30, 16",-0.10257944308644301
2017-01-03,5.25,5.25,5.2388,5.24,2302,2302,-0.01,-0.19,5.2408,"Jan 3, 17",-0.10428881557580214
2017-01-04,5.05,5.23,5.05,5.07,1561,1561,-0.17,-3.244,5.1055,"Jan 4, 17",-0.1333481478949078
2017-01-05,,,,5.07,10,10,0,0,,"Jan 5, 17",-0.1333481478949078
2017-01-06,,,,5.07,25,25,0,0,,"Jan 6, 17",-0.1333481478949078
2017-01-10,5.06,5.06,5.05,5.05,821,821,-0.02,-0.394,5.0537,"Jan 10, 17",-0.13676689287362617
2017-01-11,5.07,5.07,5.07,5.07,200,200,0.02,0.396,5.07,"Jan 11, 17",-0.1333481478949078
2017-01-12,4.85,5.065,3.61,5.05,4896,4896,-0.02,-0.394,4.5731,"Jan 12, 17",-0.13676689287362617
2017-01-17,,,,5.05,28,28,0,0,,"Jan 17, 17",-0.13676689287362617
2017-01-18,4.8,4.8,4.8,4.8,500,500,-0.25,-4.95,4.8,"Jan 18, 17",-0.17950120510760506
2017-01-19,5,5.15,4.8001,4.8001,3107,3107,0.0001,0.002,4.9582,"Jan 19, 17",-0.17948411138271153
2017-01-20,4.82,4.9918,4.82,4.9918,1600,1600,0.1917,3.994,4.9489,"Jan 20, 17",-0.1467154407616965
2017-01-23,5,5,5,5,1000,1000,0.0082,0.164,5,"Jan 23, 17",-0.14531375532042193
