date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-10-13,0.2,0.2,0.2,0.2,17500,17500,0.2,0,0.2,"Oct 13, 16",0
2016-10-14,0.2,0.2,0.18,0.2,32350,32350,0,0,0.196161,"Oct 14, 16",0
2016-10-17,0.22,0.5,0.22,0.24,600,600,0.04,20,0.2742,"Oct 17, 16",0.1999999999999999
2016-10-18,0.2,0.2,0.2,0.2,100,100,-0.04,-16.667,0.2,"Oct 18, 16",0
2016-10-19,0.2,0.2,0.17,0.17,25598,25598,-0.03,-15,0.199883,"Oct 19, 16",-0.15
2016-10-20,0.19,0.2,0.18,0.18,4151,4151,0.01,5.882,0.185059,"Oct 20, 16",-0.10000000000000009
2016-10-21,0.1701,0.1701,0.1701,0.1701,100,100,-0.0099,-5.5,0.1701,"Oct 21, 16",-0.14950000000000005
2016-10-24,0.18,0.18,0.18,0.18,103,103,0.0099,5.82,0.18,"Oct 24, 16",-0.10000000000000009
2016-10-26,0.2,0.2,0.1846,0.1846,1600,1600,0.0046,2.556,0.194225,"Oct 26, 16",-0.07700000000000012
2016-10-27,0.2,0.2,0.2,0.2,1000,1000,0.0154,8.342,0.2,"Oct 27, 16",0
2016-10-31,0.2,0.2,0.2,0.2,10000,10000,0,0,0.2,"Oct 31, 16",0
2016-11-02,0.18,0.2,0.18,0.1884,40300,40300,-0.0116,-5.8,0.199872,"Nov 2, 16",-0.057999999999999996
2016-11-03,0.18,0.2,0.18,0.1997,15100,15100,0.0113,5.998,0.199719,"Nov 3, 16",-0.0015000000000001124
2016-11-08,0.1601,0.18,0.15,0.18,36100,36100,-0.0197,-9.865,0.171025,"Nov 8, 16",-0.10000000000000009
2016-11-11,0.18,0.18,0.18,0.18,195000,195000,0,0,0.18,"Nov 11, 16",-0.10000000000000009
2016-11-17,0.18,0.18,0.18,0.18,100,100,0,0,0.18,"Nov 17, 16",-0.10000000000000009
2016-11-18,0.18,0.18,0.18,0.18,100,100,0,0,0.18,"Nov 18, 16",-0.10000000000000009
2016-11-21,0.19,0.19,0.19,0.19,5000,5000,0.01,5.556,0.19,"Nov 21, 16",-0.050000000000000044
2016-11-22,0.19,0.19,0.19,0.19,10000,10000,0,0,0.19,"Nov 22, 16",-0.050000000000000044
2016-11-23,0.18,0.18,0.18,0.18,20000,20000,-0.01,-5.263,0.18,"Nov 23, 16",-0.10000000000000009
2016-11-28,0.19,0.19,0.186,0.186,7000,7000,0.006,3.333,0.1884,"Nov 28, 16",-0.07000000000000006
