date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,3.29,3.31,3.2,3.23,54802,54802,-0.1,-3.003,3.2202,"Aug 5, 13",0
2013-08-06,3.23,3.25,3.19,3.24,51726,51726,0.01,0.31,3.2245,"Aug 6, 13",0.0030959752321982137
2013-08-07,3.23,3.33,3.23,3.27,18015,18015,0.03,0.926,3.2511,"Aug 7, 13",0.01238390092879258
2013-08-08,3.26,3.32,3.196,3.28,20333,20333,0.01,0.306,3.2694,"Aug 8, 13",0.015479876160990657
2013-08-09,3.25,3.25,3.22,3.235,24849,24849,-0.045,-1.372,3.2368,"Aug 9, 13",0.0015479876160990381
2013-08-12,3.2,3.31,3.15,3.31,69095,69095,0.075,2.318,3.2186,"Aug 12, 13",0.02476780185758516
2013-08-13,3.3,3.43,3.18,3.43,79869,79869,0.12,3.625,3.3138,"Aug 13, 13",0.061919504643962904
2013-08-14,3.43,3.49,3.35,3.49,43543,43543,0.06,1.749,3.4077,"Aug 14, 13",0.08049535603715177
2013-08-15,3.21,3.4,2.66,3.29,284894,284894,-0.2,-5.731,3.0405,"Aug 15, 13",0.01857585139318887
2013-08-16,3.25,3.31,3.001,3.31,78020,78020,0.02,0.608,3.2197,"Aug 16, 13",0.02476780185758516
2013-08-19,3.27,3.4,3.1101,3.3,137789,137789,-0.01,-0.302,3.2912,"Aug 19, 13",0.02167182662538695
2013-08-20,3.3,3.3,3.15,3.27,21688,21688,-0.03,-0.909,3.2264,"Aug 20, 13",0.01238390092879258
2013-08-21,3.35,3.35,3.2301,3.25,9704,9704,-0.02,-0.612,3.2705,"Aug 21, 13",0.00619195046439629
2013-08-22,3.28,3.31,3.25,3.28,8745,8745,0.03,0.923,3.2818,"Aug 22, 13",0.015479876160990657
2013-08-23,3.32,3.32,3.23,3.28,23523,23523,0,0,3.269,"Aug 23, 13",0.015479876160990657
2013-08-26,3.26,3.26,3.11,3.2,43290,43290,-0.08,-2.439,3.2052,"Aug 26, 13",-0.009287925696594366
2013-08-27,3.19,3.28,3.16,3.19,19014,19014,-0.01,-0.312,3.2247,"Aug 27, 13",-0.01238390092879258
2013-08-28,3.17,3.29,3.17,3.24,22953,22953,0.05,1.567,3.2313,"Aug 28, 13",0.0030959752321982137
2013-08-29,3.26,3.34,3.13,3.34,25812,25812,0.1,3.086,3.2318,"Aug 29, 13",0.03405572755417953
2013-08-30,3.36,3.36,3.2,3.24,19939,19939,-0.1,-2.994,3.2709,"Aug 30, 13",0.0030959752321982137
2013-09-03,3.26,3.38,3.225,3.33,27401,27401,0.09,2.778,3.2995,"Sep 3, 13",0.030959752321981452
2013-09-04,3.3,3.33,3.25,3.31,108821,108821,-0.02,-0.601,3.2606,"Sep 4, 13",0.02476780185758516
2013-09-05,3.3,3.4,3.3,3.35,11617,11617,0.04,1.208,3.3456,"Sep 5, 13",0.03715170278637774
2013-09-06,3.32,3.41,3.3,3.4,8778,8778,0.05,1.493,3.3461,"Sep 6, 13",0.0526315789473684
2013-09-09,3.38,3.38,3.14,3.31,26614,26614,-0.09,-2.647,3.2463,"Sep 9, 13",0.02476780185758516
2013-09-10,3.41,3.41,3.26,3.26,12355,12355,-0.05,-1.511,3.3383,"Sep 10, 13",0.009287925696594366
2013-09-11,3.3,3.33,3.2,3.33,257089,257089,0.07,2.147,3.2974,"Sep 11, 13",0.030959752321981452
2013-09-12,3.3,3.39,3.19,3.19,6187,6187,-0.14,-4.204,3.2831,"Sep 12, 13",-0.01238390092879258
2013-09-13,3.19,3.19,2.93,3.05,47137,47137,-0.14,-4.389,3.06,"Sep 13, 13",-0.05572755417956661
2013-09-16,3.05,3.11,2.8,2.98,79078,79078,-0.07,-2.295,2.9596,"Sep 16, 13",-0.07739938080495357
2013-09-17,3,3.03,2.99,3.01,62845,62845,0.03,1.007,3.002,"Sep 17, 13",-0.0681114551083592
2013-09-18,3,3.09,3,3.08,247229,247229,0.07,2.326,3.0232,"Sep 18, 13",-0.04643962848297211
2013-09-19,3.021,3.1,3.01,3.06,126471,126471,-0.02,-0.649,3.0294,"Sep 19, 13",-0.0526315789473684
2013-09-20,3.04,3.125,3.03,3.05,322837,322837,-0.01,-0.327,3.0519,"Sep 20, 13",-0.05572755417956661
2013-09-23,3.07,3.25,2.9,3.02,209336,209336,-0.03,-0.984,3.0024,"Sep 23, 13",-0.06501547987616098
2013-09-24,3.095,3.1001,3,3.05,13734,13734,0.03,0.993,3.0407,"Sep 24, 13",-0.05572755417956661
2013-09-25,3.04,3.07,3,3.01,22365,22365,-0.04,-1.311,3.0172,"Sep 25, 13",-0.0681114551083592
2013-09-26,3.05,3.05,3,3.01,30834,30834,0,0,3.007,"Sep 26, 13",-0.0681114551083592
2013-09-27,3.02,3.05,3,3,11385,11385,-0.01,-0.332,3.0157,"Sep 27, 13",-0.07120743034055727
2013-09-30,2.96,2.99,2.69,2.77,80155,80155,-0.23,-7.667,2.8099,"Sep 30, 13",-0.14241486068111453
2013-10-01,2.8,2.9,2.8,2.82,51710,51710,0.05,1.805,2.8339,"Oct 1, 13",-0.1269349845201239
2013-10-02,2.97,2.97,2.9,2.9,19177,19177,0.08,2.837,2.9115,"Oct 2, 13",-0.10216718266253873
2013-10-03,2.93,2.93,2.74,2.78,37123,37123,-0.12,-4.138,2.7978,"Oct 3, 13",-0.13931888544891646
2013-10-04,2.77,2.9,2.62,2.72,39622,39622,-0.06,-2.158,2.7039,"Oct 4, 13",-0.1578947368421052
2013-10-07,2.7,2.71,2.6,2.65,24860,24860,-0.07,-2.574,2.6675,"Oct 7, 13",-0.17956656346749228
2013-10-08,2.65,2.65,2.45,2.47,70073,70073,-0.18,-6.792,2.4951,"Oct 8, 13",-0.23529411764705876
2013-10-09,2.5,2.7,2.5,2.65,36293,36293,0.18,7.287,2.6234,"Oct 9, 13",-0.17956656346749228
2013-10-10,2.64,2.71,2.63,2.68,15276,15276,0.03,1.132,2.6815,"Oct 10, 13",-0.17027863777089777
2013-10-11,2.651,2.7,2.62,2.62,23778,23778,-0.06,-2.239,2.6478,"Oct 11, 13",-0.18885448916408665
2013-10-14,2.6,2.69,2.3215,2.6,31552,31552,-0.02,-0.763,2.6199,"Oct 14, 13",-0.19504643962848295
2013-10-15,2.58,2.66,2.52,2.61,79459,79459,0.01,0.385,2.5954,"Oct 15, 13",-0.19195046439628485
2013-10-16,2.63,2.89,2.63,2.85,141332,141332,0.24,9.195,2.7787,"Oct 16, 13",-0.11764705882352938
2013-10-17,2.84,2.95,2.83,2.87,64062,64062,0.02,0.702,2.897,"Oct 17, 13",-0.1114551083591331
2013-10-18,2.9,3.0499,2.889,3,193233,193233,0.13,4.53,2.9513,"Oct 18, 13",-0.07120743034055727
2013-10-21,3,3.04,2.93,2.93,23848,23848,-0.07,-2.333,2.9912,"Oct 21, 13",-0.09287925696594422
2013-10-22,2.95,2.99,2.68,2.7199,133424,133424,-0.2101,-7.171,2.8638,"Oct 22, 13",-0.15792569659442723
2013-10-23,2.7,2.7,2.46,2.54,199297,199297,-0.1799,-6.614,2.5521,"Oct 23, 13",-0.21362229102167182
2013-10-24,2.57,2.7,2.51,2.67,70345,70345,0.13,5.118,2.6431,"Oct 24, 13",-0.173374613003096
2013-10-25,2.71,2.82,2.65,2.74,101805,101805,0.07,2.622,2.7078,"Oct 25, 13",-0.1517027863777089
2013-10-28,2.77,2.86,2.77,2.78,20685,20685,0.04,1.46,2.8104,"Oct 28, 13",-0.13931888544891646
2013-10-29,2.82,2.9,2.66,2.82,84276,84276,0.04,1.439,2.7303,"Oct 29, 13",-0.1269349845201239
2013-10-30,2.86,2.87,2.76,2.82,41499,41499,0,0,2.8166,"Oct 30, 13",-0.1269349845201239
2013-10-31,2.81,2.99,2.775,2.84,35979,35979,0.02,0.709,2.8657,"Oct 31, 13",-0.12074303405572759
2013-11-01,2.85,3,2.791,2.98,56720,56720,0.14,4.93,2.9384,"Nov 1, 13",-0.07739938080495357
2013-11-04,2.96,2.96,2.81,2.86,109028,109028,-0.12,-4.027,2.8815,"Nov 4, 13",-0.1145510835913313
2013-11-05,2.88,2.95,2.75,2.95,130984,130984,0.09,3.147,2.8468,"Nov 5, 13",-0.08668730650154793
2013-11-06,2.9,2.93,2.68,2.81,151988,151988,-0.14,-4.746,2.794,"Nov 6, 13",-0.13003095975232196
2013-11-07,2.84,2.92,2.62,2.7399,186807,186807,-0.0701,-2.495,2.6948,"Nov 7, 13",-0.15173374613003096
2013-11-08,2.75,2.8599,2.75,2.84,40241,40241,0.1001,3.653,2.803,"Nov 8, 13",-0.12074303405572759
2013-11-11,2.87,2.9,2.72,2.85,54808,54808,0.01,0.352,2.8371,"Nov 11, 13",-0.11764705882352938
2013-11-12,2.86,2.95,2.72,2.83,147805,147805,-0.02,-0.702,2.8532,"Nov 12, 13",-0.12383900928792567
2013-11-13,2.84,2.88,2.76,2.87,96848,96848,0.04,1.413,2.803,"Nov 13, 13",-0.1114551083591331
2013-11-14,2.87,2.93,2.61,2.6212,153873,153873,-0.2488,-8.669,2.7921,"Nov 14, 13",-0.18848297213622292
2013-11-15,2.26,2.29,1.9,2.01,732809,732809,-0.6112,-23.318,2.0581,"Nov 15, 13",-0.37770897832817346
2013-11-18,2.05,2.1999,1.99,2.02,298594,298594,0.01,0.498,2.0314,"Nov 18, 13",-0.3746130030959752
2013-11-19,2.02,2.1,2.0199,2.09,126341,126341,0.07,3.465,2.0658,"Nov 19, 13",-0.35294117647058826
2013-11-20,2.1,2.1,2.02,2.05,181493,181493,-0.04,-1.914,2.0406,"Nov 20, 13",-0.36532507739938086
2013-11-21,2.07,2.1,2.03,2.075,114236,114236,0.025,1.22,2.057,"Nov 21, 13",-0.3575851393188854
2013-11-22,2.09,2.139,2.01,2.05,74536,74536,-0.025,-1.205,2.049,"Nov 22, 13",-0.36532507739938086
2013-11-25,2.03,2.0999,2.02,2.06,113927,113927,0.01,0.488,2.0643,"Nov 25, 13",-0.3622291021671826
2013-11-26,2.08,2.11,2.05,2.1,33655,33655,0.04,1.942,2.0724,"Nov 26, 13",-0.3498452012383901
2013-11-27,2.13,2.19,2.0607,2.19,44295,44295,0.09,4.286,2.1356,"Nov 27, 13",-0.3219814241486068
2013-11-29,2.16,2.19,2.1012,2.14,32458,32458,-0.05,-2.283,2.165,"Nov 29, 13",-0.3374613003095975
2013-12-02,2.12,2.18,2.09,2.15,86923,86923,0.01,0.467,2.1324,"Dec 2, 13",-0.3343653250773994
2013-12-03,2.13,2.17,2.07,2.1,60544,60544,-0.05,-2.326,2.1379,"Dec 3, 13",-0.3498452012383901
2013-12-04,2.11,2.24,2.11,2.12,123997,123997,0.02,0.952,2.1414,"Dec 4, 13",-0.3436532507739938
2013-12-05,2.13,2.17,2.085,2.12,116244,116244,0,0,2.1196,"Dec 5, 13",-0.3436532507739938
2013-12-06,2.11,2.19,2.08,2.13,112333,112333,0.01,0.472,2.1495,"Dec 6, 13",-0.3405572755417957
2013-12-09,2.13,2.15,2.06,2.11,63508,63508,-0.02,-0.939,2.1036,"Dec 9, 13",-0.346749226006192
2013-12-10,2.09,2.1999,2.0401,2.12,78354,78354,0.01,0.474,2.118,"Dec 10, 13",-0.3436532507739938
2013-12-11,2.11,2.15,2.1,2.1,40756,40756,-0.02,-0.943,2.1343,"Dec 11, 13",-0.3498452012383901
2013-12-12,2.12,2.14,2.07,2.08,256967,256967,-0.02,-0.952,2.1015,"Dec 12, 13",-0.3560371517027863
2013-12-13,2.1,2.1,2.0401,2.06,47696,47696,-0.02,-0.962,2.0634,"Dec 13, 13",-0.3622291021671826
2013-12-16,2.06,2.13,2.05,2.1,87594,87594,0.04,1.942,2.0952,"Dec 16, 13",-0.3498452012383901
