date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,7.0954,7.1137,7.0954,7.1137,1145,1145,-0.009394,-0.132,7.0986,"Aug 5, 13",0
2013-08-07,7.2868,7.2868,7.2868,7.2868,110,110,0.173191,2.435,7.2868,"Aug 7, 13",0.024333328647539353
2013-08-08,7.4875,7.4876,7.2687,7.2778,1318,1318,-0.00903,-0.124,7.3899,"Aug 8, 13",0.023068164246454078
2013-08-09,7.1228,7.1228,7.1137,7.1137,1067,1067,-0.164161,-2.256,7.1154,"Aug 9, 13",0
2013-08-13,7.3873,8.1989,7.3873,7.8433,71561,71561,0.729606,10.256,7.9189,"Aug 13, 13",0.10256266078130938
2013-08-14,7.7065,7.8524,7.6791,7.8524,2775,2775,0.00912,0.116,7.8115,"Aug 14, 13",0.1038418825646289
2013-08-15,7.8439,7.8439,7.6609,7.825,9680,9680,-0.027361,-0.348,7.7812,"Aug 15, 13",0.09999015983243607
2013-08-19,7.442,7.848,7.442,7.7521,5680,5680,-0.07296,-0.932,7.7705,"Aug 19, 13",0.08974232818364575
2013-08-20,7.8159,7.8433,7.8159,7.8433,1480,1480,0.091201,1.176,7.8396,"Aug 20, 13",0.10256266078130938
2013-08-21,7.8433,7.8706,7.8433,7.8502,11120,11120,0.006931,0.088,7.8495,"Aug 21, 13",0.10353262015547471
2013-08-22,7.5286,7.8432,7.5286,7.7247,900,900,-0.125491,-1.599,7.6168,"Aug 22, 13",0.08589060545145293
2013-08-23,7.6168,7.6335,7.5879,7.5879,9600,9600,-0.136801,-1.771,7.6189,"Aug 23, 13",0.06666010655495742
2013-08-26,7.5423,7.6415,7.5423,7.6415,668,668,0.053625,0.707,7.5878,"Aug 26, 13",0.07419486343253161
2013-08-27,7.5879,7.6271,7.5788,7.597,1000,1000,-0.044506,-0.582,7.5956,"Aug 27, 13",0.06793932833827696
2013-08-28,7.6335,7.8706,7.6335,7.8533,2050,2050,0.256275,3.373,7.7475,"Aug 28, 13",0.10396839900473738
2013-08-29,7.825,7.825,7.825,7.825,100,100,-0.028274,-0.36,7.825,"Aug 29, 13",0.09999015983243607
2013-08-30,7.7521,7.7575,7.7521,7.7575,2000,2000,-0.067488,-0.862,7.7523,"Aug 30, 13",0.09050142682429686
2013-09-03,7.7521,7.7835,7.5423,7.5423,4300,4300,-0.215233,-2.775,7.7642,"Sep 3, 13",0.06024994025612555
2013-09-04,7.5788,7.6244,7.5788,7.6244,4500,4500,0.08208,1.088,7.6226,"Sep 4, 13",0.07179105107046965
2013-09-05,7.6244,7.6252,7.6244,7.6244,1579,1579,0,0,7.6247,"Sep 5, 13",0.07179105107046965
2013-09-06,7.7429,8.1351,7.7429,7.8889,12189,12189,0.264483,3.469,7.8445,"Sep 6, 13",0.10897282708014112
2013-09-09,7.8889,7.9162,7.7885,7.8797,7416,7416,-0.009119,-0.116,7.8814,"Sep 9, 13",0.10767954791458735
2013-09-10,7.7977,7.9801,7.7977,7.9801,14653,14653,0.100319,1.273,7.8612,"Sep 10, 13",0.12179315967780488
2013-09-11,8.0257,8.0257,8.0257,8.0257,1500,1500,0.045601,0.571,8.0257,"Sep 11, 13",0.12820332597663675
2013-09-13,8.0348,8.1625,7.8615,8.1625,6530,6530,0.136801,1.705,7.9925,"Sep 13, 13",0.1474338248731321
2013-09-16,8.1989,8.1989,7.9345,8.0713,9170,9170,-0.091201,-1.117,8.0976,"Sep 16, 13",0.13461349227546862
2013-09-17,8.4908,8.4908,7.9709,8.281,12445,12445,0.209762,2.599,8.2076,"Sep 17, 13",0.16409182282075446
2013-09-18,8.2628,8.2628,7.8159,7.8159,17860,17860,-0.465124,-5.617,7.9265,"Sep 18, 13",0.09871093804911656
2013-09-20,7.8797,8.126,7.8433,8.126,5543,5543,0.310083,3.967,7.9208,"Sep 20, 13",0.1423028803576198
2013-09-23,8.1169,8.1807,7.8797,7.8797,10039,10039,-0.246241,-3.03,7.9808,"Sep 23, 13",0.10767954791458735
2013-09-24,7.8797,8.0621,7.8797,7.9345,400,400,0.054719,0.694,7.9755,"Sep 24, 13",0.115382993378973
2013-09-25,7.9162,8.1625,7.8889,7.9527,1700,1700,0.01824,0.23,8.0262,"Sep 25, 13",0.11794143694561206
2013-09-26,8.1351,8.1351,8.0621,8.0713,600,600,0.118561,1.491,8.0941,"Sep 26, 13",0.13461349227546862
2013-09-27,7.8524,8.0439,7.8433,8.0348,3902,3902,-0.036481,-0.452,7.9654,"Sep 27, 13",0.12948254775995627
2013-09-30,8.0348,8.0986,7.9071,7.9436,6034,6034,-0.0912,-1.135,8.0345,"Sep 30, 13",0.11666221516229253
