date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,14.9337,15.1591,14.9055,15.0276,459163,459163,0.018785,0.125,14.9846,"Aug 5, 13",0
2013-08-06,14.9337,14.9337,14.6519,14.6895,405678,405678,-0.338121,-2.25,14.7642,"Aug 6, 13",-0.022498602571268796
2013-08-07,14.605,14.9149,14.2716,14.8022,575213,575213,0.112707,0.767,14.7923,"Aug 7, 13",-0.014999068380845942
2013-08-08,14.9525,15.2061,14.8774,15.0746,494467,494467,0.272376,1.84,15.0934,"Aug 8, 13",0.0031275785887301096
2013-08-09,15.0464,15.5912,15.0464,15.4221,560257,560257,0.347512,2.305,15.4431,"Aug 9, 13",0.026251696877745
2013-08-12,15.3282,15.6851,15.3282,15.6569,376071,376071,0.234809,1.523,15.627,"Aug 12, 13",0.041876280976336916
2013-08-13,15.7321,15.7415,15.3282,15.347,252277,252277,-0.309944,-1.98,15.4138,"Aug 13, 13",0.021254225558306045
2013-08-14,15.3188,15.7602,15.3,15.4597,189394,189394,0.112705,0.734,15.4976,"Aug 14, 13",0.028753759748729017
2013-08-15,15.3188,15.6757,15.0182,15.2812,567216,567216,-0.178453,-1.154,15.2279,"Aug 15, 13",0.016875615534083985
2013-08-16,15.2061,15.3845,15.0652,15.2906,237210,237210,0.009393,0.061,15.2748,"Aug 16, 13",0.01750113125182996
2013-08-19,15.2437,15.3094,15.037,15.1216,269825,269825,-0.169062,-1.106,15.143,"Aug 19, 13",0.006255157177460219
2013-08-20,15.1403,15.3188,14.9807,14.9995,307541,307541,-0.122099,-0.807,15.1068,"Aug 20, 13",-0.0018698927307088447
2013-08-21,15.0089,15.1216,14.7365,14.7928,308588,308588,-0.206629,-1.378,14.9071,"Aug 21, 13",-0.015624584098591918
2013-08-22,14.9055,15.4033,14.9055,15.3282,275809,275809,0.535359,3.619,15.292,"Aug 22, 13",0.020003194122814094
2013-08-23,15.347,15.5254,15.2437,15.4973,315643,315643,0.169061,1.103,15.4359,"Aug 23, 13",0.03125582261971303
2013-08-26,15.4973,15.7908,15.3845,15.4691,214338,214338,-0.028176,-0.182,15.5458,"Aug 26, 13",0.02937927546647499
2013-08-27,15.3188,15.3845,14.9375,15.0089,263097,263097,-0.460223,-2.975,15.0501,"Aug 27, 13",-0.001244377012962752
2013-08-28,14.9901,15.0934,14.8868,14.9807,272664,272664,-0.028176,-0.188,14.9959,"Aug 28, 13",-0.003120924166200794
2013-08-29,14.9337,15.2155,14.868,14.9525,884595,884595,-0.028178,-0.188,15.0199,"Aug 29, 13",-0.004997471319438836
2013-08-30,14.9055,15.0276,14.6519,14.774,394886,394886,-0.178451,-1.193,14.8056,"Aug 30, 13",-0.016875615534083985
2013-09-03,14.9431,15.1497,14.5843,15.0182,407507,407507,0.244198,1.653,15.0164,"Sep 3, 13",-0.0006255157177459746
2013-09-04,15.0746,15.0746,14.9055,14.9995,372383,372383,-0.018785,-0.125,15.0147,"Sep 4, 13",-0.0018698927307088447
2013-09-05,14.9713,15.2812,14.9525,15.131,395701,395701,0.131492,0.877,15.1145,"Sep 5, 13",0.006880672895206194
2013-09-06,15.3282,15.7133,15.1873,15.6006,770059,770059,0.469613,3.104,15.5633,"Sep 6, 13",0.03812984109239003
2013-09-09,15.6381,15.7415,15.4315,15.7039,350911,350911,0.103314,0.662,15.6021,"Sep 9, 13",0.04500385956506703
2013-09-10,15.7884,15.8917,15.4409,15.6851,234242,234242,-0.018782,-0.12,15.6383,"Sep 10, 13",0.04375282812957496
2013-09-11,15.6945,15.8823,15.4409,15.8635,342302,342302,0.178452,1.138,15.7472,"Sep 11, 13",0.05562431792169079
2013-09-12,15.7884,15.8448,15.4973,15.61,399854,399854,-0.253591,-1.599,15.6196,"Sep 12, 13",0.038755356810136005
2013-09-13,15.6851,15.7415,15.2812,15.4033,456480,456480,-0.20663,-1.324,15.4557,"Sep 13, 13",0.02500066544225293
2013-09-16,15.5066,15.7602,15.3376,15.3752,447291,447291,-0.028177,-0.183,15.479,"Sep 16, 13",0.02313077271154409
2013-09-17,15.3752,15.7978,15.3282,15.6006,412557,412557,0.225414,1.466,15.6036,"Sep 17, 13",0.03812984109239003
2013-09-18,15.563,16.1641,15.4315,16.0984,469903,469903,0.49779,3.191,15.8082,"Sep 18, 13",0.07125555644281202
2013-09-19,16.1641,16.2486,15.6945,15.7321,339825,339825,-0.366297,-2.275,15.8118,"Sep 19, 13",0.04688040671830507
2013-09-20,15.7884,15.8401,15.4127,15.4503,1056593,1056593,-0.281768,-1.791,15.5093,"Sep 20, 13",0.028128244030983043
2013-09-23,15.4973,15.7415,15.4597,15.6381,264630,264630,0.187845,1.216,15.6326,"Sep 23, 13",0.04062524954084485
2013-09-24,15.6757,15.7321,15.4597,15.5254,283364,283364,-0.112707,-0.721,15.5952,"Sep 24, 13",0.03312571535042188
2013-09-25,15.5254,15.8166,15.516,15.6945,432771,432771,0.16906,1.089,15.6952,"Sep 25, 13",0.044378343847320936
2013-09-26,15.7508,15.8542,15.5066,15.7508,407333,407333,0.056355,0.359,15.6945,"Sep 26, 13",0.04812478373126782
2013-09-27,15.7508,15.8072,15.5818,15.6851,456501,456501,-0.065746,-0.417,15.7022,"Sep 27, 13",0.04375282812957496
2013-09-30,15.5818,15.995,15.5066,15.9669,439895,439895,0.281767,1.796,15.8564,"Sep 30, 13",0.06250499081689699
2013-10-01,15.9856,16.1265,15.7039,16.1171,545521,545521,0.150277,0.941,16.0136,"Oct 1, 13",0.07249993345577478
2013-10-02,15.9856,16.2486,15.6381,16.2111,400010,400010,0.093923,0.583,16.1405,"Oct 2, 13",0.07875509063323476
2013-10-03,16.2298,16.4177,16.1171,16.2956,492011,492011,0.084531,0.521,16.2883,"Oct 3, 13",0.08437807767041981
2013-10-04,16.2205,16.5539,16.2205,16.3895,381726,381726,0.093923,0.576,16.5046,"Oct 4, 13",0.09062658042535084
2013-10-07,16.3332,16.3989,16.1923,16.2298,325802,325802,-0.15967,-0.974,16.2496,"Oct 7, 13",0.07999946764619775
