date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-07-31,22.0425,23.0009,21.6591,22.0425,56483860,56483860,22.0425,0,22.0069,"Jul 31, 14",0
2014-08-01,21.9467,22.0425,21.7262,22.0425,6458897,6458897,0,0,21.8987,"Aug 1, 14",0
2014-08-04,22.1383,22.1671,21.9467,22.0425,3455893,3455893,0,0,22.0408,"Aug 4, 14",0
2014-08-05,22.0329,22.0521,21.7262,22.0425,4450212,4450212,0,0,21.941,"Aug 5, 14",0
2014-08-06,21.8508,22.0233,21.7262,22.0233,6993351,6993351,-0.019166,-0.087,21.9282,"Aug 6, 14",-0.0008710445729840733
2014-08-07,21.9371,22.0425,21.8508,21.9754,3190375,3190375,-0.047919,-0.218,21.9501,"Aug 7, 14",-0.003044119314959734
2014-08-08,21.9754,22.0712,21.8508,21.9946,2855023,2855023,0.019167,0.087,21.9645,"Aug 8, 14",-0.0021730747419758216
2014-08-11,21.9467,21.9754,21.8508,21.9754,1767541,1767541,-0.019167,-0.087,21.8995,"Aug 11, 14",-0.003044119314959734
2014-08-12,21.9371,22.0425,21.8796,22.0425,1549684,1549684,0.067085,0.305,21.9562,"Aug 12, 14",0
2014-08-13,22.0425,22.2629,21.9275,22.215,1659078,1659078,0.172507,0.783,22.0753,"Aug 13, 14",0.007825791085403173
2014-08-14,22.2342,22.2533,21.9946,22.0521,1391857,1391857,-0.162923,-0.733,22.0795,"Aug 14, 14",0.0004355222864919561
2014-08-15,22.0617,22.1192,22.0425,22.0425,1948218,1948218,-0.009584,-0.043,22.0531,"Aug 15, 14",0
2014-08-18,22.1,22.2054,22.0617,22.2054,1073659,1073659,0.162925,0.739,22.1236,"Aug 18, 14",0.007390268798911216
2014-08-19,22.2342,23.4178,22.2342,23.3938,2852039,2852039,1.1884,5.352,23.0136,"Aug 19, 14",0.061304298514233795
2014-08-20,23.2884,24.5247,23.25,24.1413,3549452,3549452,0.747528,3.195,24.0993,"Aug 20, 14",0.09521605988431442
2014-08-21,24.4097,24.4576,23.8826,24.333,2358073,2358073,0.191675,0.794,24.2031,"Aug 21, 14",0.1039128955427015
2014-08-22,24.1988,24.3713,24.0551,24.3042,892137,892137,-0.028752,-0.118,24.252,"Aug 22, 14",0.10260632868322564
2014-08-25,24.3138,24.3426,23.8442,24.0742,1185585,1185585,-0.230008,-0.946,24.061,"Aug 25, 14",0.09217194056935468
2014-08-26,23.9592,24.0551,23.9017,24.0071,951035,951035,-0.067086,-0.279,23.9666,"Aug 26, 14",0.08912782125439496
2014-08-27,23.9592,24.4767,23.9113,24.4097,1230580,1230580,0.402514,1.677,24.1725,"Aug 27, 14",0.10739253714415335
2014-08-28,24.3426,24.7643,24.2563,24.6205,982632,982632,0.210841,0.864,24.537,"Aug 28, 14",0.11695588068504023
