date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,3.2105,3.2105,3.0659,3.0755,27928,27928,-0.096412,-3.04,3.1182,"Aug 5, 13",0
2013-08-06,3.0567,3.0948,3.0562,3.0755,25122,25122,0,0,3.0625,"Aug 6, 13",0
2013-08-07,3.0852,3.1044,3.0659,3.0755,16484,16484,0,0,3.0847,"Aug 7, 13",0
2013-08-08,3.1044,3.1044,3.0852,3.0948,6204,6204,0.019282,0.627,3.0993,"Aug 8, 13",0.0062754023735978924
2013-08-09,3.0852,3.1236,3.0852,3.0852,10987,10987,-0.009641,-0.312,3.09,"Aug 9, 13",0.003153958705901493
2013-08-12,3.0852,3.1334,3.0755,3.0755,17094,17094,-0.009641,-0.312,3.0894,"Aug 12, 13",0
2013-08-13,3.0852,3.0948,3.0659,3.0659,22472,22472,-0.009641,-0.313,3.0813,"Aug 13, 13",-0.003121443667696255
2013-08-14,3.0466,3.0852,2.9502,2.9695,53456,53456,-0.096411,-3.145,2.9994,"Aug 14, 13",-0.034465940497480044
2013-08-15,2.9309,3.0273,2.9309,2.9888,112669,112669,0.019283,0.649,2.9653,"Aug 15, 13",-0.028190538123882298
2013-08-16,2.9791,3.0177,2.9695,2.9695,25620,25620,-0.019283,-0.645,2.9859,"Aug 16, 13",-0.034465940497480044
2013-08-19,2.9888,3.0755,2.9695,3.008,15960,15960,0.038565,1.299,3.0159,"Aug 19, 13",-0.021947650788489644
2013-08-20,3.0129,3.0129,2.9406,2.9791,24348,24348,-0.028924,-0.962,2.9729,"Aug 20, 13",-0.03134449682978379
2013-08-21,2.9888,2.9888,2.9695,2.9888,20705,20705,0.009642,0.324,2.9749,"Aug 21, 13",-0.028190538123882298
2013-08-22,2.9888,3.0852,2.9695,3.0659,20224,20224,0.077128,2.581,3.0336,"Aug 22, 13",-0.003121443667696255
2013-08-23,2.9984,3.008,2.9531,2.9888,22490,22490,-0.077128,-2.516,2.993,"Aug 23, 13",-0.028190538123882298
2013-08-26,3.0177,3.0562,2.9213,2.9695,22287,22287,-0.019283,-0.645,3.0083,"Aug 26, 13",-0.034465940497480044
2013-08-27,2.9888,3.008,2.9116,2.9502,15116,15116,-0.019283,-0.649,2.97,"Aug 27, 13",-0.04074134287107779
2013-08-28,2.9695,3.008,2.9598,2.9791,14427,14427,0.028924,0.98,2.9883,"Aug 28, 13",-0.03134449682978379
2013-08-29,2.9598,3.0466,2.9598,3.0466,77034,77034,0.067487,2.265,3.0157,"Aug 29, 13",-0.009396846041294003
