date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,2.0536,2.0718,2.0436,2.0669,709632,118272,0.028222,1.384,2.0585,"Aug 5, 13",0
2013-08-06,2.0752,2.0835,2.0503,2.0552,745176,124196,-0.011621,-0.562,2.0593,"Aug 6, 13",-0.005660651216798017
2013-08-07,2.0619,2.0669,2.037,2.0552,454602,75767,0,0,2.0573,"Aug 7, 13",-0.005660651216798017
2013-08-08,2.042,2.1416,2.0386,2.0984,8455302,1409217,0.043163,2.1,2.1027,"Aug 8, 13",0.015240214814456365
2013-08-09,2.1084,2.1167,2.0835,2.0835,573372,95562,-0.014941,-0.712,2.094,"Aug 9, 13",0.008031351299046858
2013-08-12,2.0835,2.11,2.0552,2.1084,443538,73923,0.024902,1.195,2.0922,"Aug 12, 13",0.02007837824761725
2013-08-13,2.0918,2.125,2.0752,2.1034,592074,98679,-0.00498,-0.236,2.1023,"Aug 13, 13",0.017659296531036914
2013-08-14,2.0901,2.1549,2.0801,2.1449,522882,87147,0.041503,1.973,2.1344,"Aug 14, 13",0.03773767477865395
2013-08-15,2.1133,2.1299,2.0752,2.0752,1058718,176453,-0.069725,-3.251,2.0906,"Aug 15, 13",0.0040156756495235355
2013-08-16,2.0619,2.0868,2.0303,2.0735,362082,60347,-0.001661,-0.08,2.0661,"Aug 16, 13",0.003193187865886188
2013-08-19,2.0519,2.0685,2.042,2.0503,292278,48713,-0.023241,-1.121,2.0501,"Aug 19, 13",-0.008031351299046858
2013-08-20,2.0503,2.0801,2.0503,2.0735,457764,76294,0.023241,1.134,2.074,"Aug 20, 13",0.003193187865886188
2013-08-21,2.0735,2.0752,2.0519,2.0602,1064676,177446,-0.013281,-0.641,2.0677,"Aug 21, 13",-0.0032415695002176825
2013-08-22,2.0702,2.1216,2.0619,2.12,2172552,362092,0.059765,2.901,2.0858,"Aug 22, 13",0.025690647830083773
2013-08-23,2.11,2.1133,2.0752,2.0835,462714,77119,-0.036523,-1.723,2.0893,"Aug 23, 13",0.008031351299046858
2013-08-26,2.0652,2.0884,2.027,2.0635,444342,74057,-0.019921,-0.956,2.063,"Aug 26, 13",-0.0016449755672746963
2013-08-27,2.0569,2.0735,2.0204,2.0403,763368,127228,-0.023242,-1.126,2.047,"Aug 27, 13",-0.012869514732207741
2013-08-28,2.0254,2.042,1.9805,2.0005,816312,136052,-0.039843,-1.953,2.0059,"Aug 28, 13",-0.03212540519618743
2013-08-29,2.0088,2.0137,1.9689,2.0054,452562,75427,0.00498,0.249,2.0016,"Aug 29, 13",-0.029754705113938802
2013-08-30,1.9988,2.0054,1.9424,1.9789,366618,61103,-0.026562,-1.324,1.9729,"Aug 30, 13",-0.04257583821181472
2013-09-03,1.9789,2.0005,1.9573,1.9988,507162,84527,0.019921,1.007,1.9882,"Sep 3, 13",-0.03294789297982488
2013-09-04,2.0005,2.0851,2.0005,2.0801,372942,62157,0.081347,4.07,2.05,"Sep 4, 13",0.006386375731772161
2013-09-05,2.0785,2.1017,2.0486,2.0635,206550,34425,-0.016601,-0.798,2.0695,"Sep 5, 13",-0.0016449755672746963
2013-09-06,2.0735,2.1142,2.0337,2.0934,459444,76574,0.029882,1.448,2.0772,"Sep 6, 13",0.01282113309787603
2013-09-09,2.1034,2.2395,2.1034,2.213,1194624,199104,0.119529,5.71,2.1847,"Sep 9, 13",0.07068556775847894
2013-09-10,2.2163,2.2163,2.1598,2.193,1489830,248305,-0.019921,-0.9,2.1866,"Sep 10, 13",0.06100924089215739
2013-09-11,2.1914,2.1914,2.1383,2.1499,872148,145358,-0.043164,-1.968,2.154,"Sep 11, 13",0.0401567564952345
2013-09-12,2.1582,2.1698,2.1216,2.1432,820080,136680,-0.00664,-0.309,2.1456,"Sep 12, 13",0.036915186995016815
2013-09-13,2.1432,2.1663,2.1366,2.1515,296982,49497,0.008301,0.387,2.1507,"Sep 13, 13",0.040930862644540135
2013-09-16,2.1764,2.2047,2.1349,2.1731,2392404,398734,0.021581,1.003,2.1705,"Sep 16, 13",0.05138129566016733
2013-09-17,2.1731,2.1831,2.1399,2.1499,852846,142141,-0.023242,-1.07,2.1615,"Sep 17, 13",0.0401567564952345
2013-09-18,2.1565,2.1748,2.1514,2.1598,1231092,205182,0.009961,0.463,2.1618,"Sep 18, 13",0.04494653829406367
2013-09-19,2.1482,2.3142,2.1482,2.2976,2695464,449244,0.137791,6.38,2.2057,"Sep 19, 13",0.11161643040301908
2013-09-20,2.2893,2.3322,2.2611,2.2644,1542396,257066,-0.033202,-1.445,2.2939,"Sep 20, 13",0.09555372780492537
2013-09-23,2.2993,2.3391,2.2877,2.3209,1553262,258877,0.056444,2.493,2.3111,"Sep 23, 13",0.12288935120228361
2013-09-24,2.3242,2.3657,2.3109,2.3242,1099692,183282,0.00332,0.143,2.3319,"Sep 24, 13",0.12448594513522661
2013-09-25,2.3242,2.5433,2.3192,2.4703,6789774,1131629,0.146092,6.286,2.4831,"Sep 25, 13",0.19517151289370555
2013-09-26,2.5134,2.6927,2.4836,2.4935,4802070,800345,0.023242,0.941,2.5012,"Sep 26, 13",0.2063960520586386
2013-09-27,2.4902,2.5234,2.4736,2.4869,2714250,452375,-0.006641,-0.266,2.4927,"Sep 27, 13",0.2032028641927524
2013-09-30,2.4968,2.4968,2.3989,2.4072,1577022,262837,-0.079686,-3.204,2.4281,"Sep 30, 13",0.1646427016304611
2013-10-01,2.4172,2.4188,2.3823,2.4155,2272578,378763,0.0083,0.345,2.4048,"Oct 1, 13",0.16865837727998464
2013-10-02,2.3906,2.4678,2.3856,2.4454,834654,139109,0.029883,1.237,2.4417,"Oct 2, 13",0.18312448594513514
2013-10-03,2.4437,2.4504,2.4238,2.4321,560838,93473,-0.013281,-0.543,2.4378,"Oct 3, 13",0.1766897285790315
2013-10-04,2.4321,2.4827,2.4155,2.4769,597990,99665,0.044823,1.843,2.4608,"Oct 4, 13",0.19836470075959173
2013-10-07,2.4686,2.4902,2.457,2.4836,1623972,270662,0.006641,0.268,2.4851,"Oct 7, 13",0.20160627025980943
2013-10-08,2.4902,2.4902,2.3175,2.3673,2390802,398467,-0.116209,-4.679,2.4101,"Oct 8, 13",0.1453384295321497
2013-10-09,2.3607,2.4205,2.3308,2.3839,959250,159875,0.016601,0.701,2.3574,"Oct 9, 13",0.15336978083119657
2013-10-10,2.4005,2.4338,2.3856,2.4172,1199202,199867,0.033203,1.393,2.4115,"Oct 10, 13",0.16948086506362178
2013-10-11,2.4155,2.4852,2.4155,2.4769,734556,122426,0.059764,2.472,2.461,"Oct 11, 13",0.19836470075959173
2013-10-14,2.457,2.5151,2.4338,2.4869,2857128,476188,0.009961,0.402,2.4836,"Oct 14, 13",0.2032028641927524
2013-10-15,2.4819,2.4985,2.4736,2.4786,2360304,393384,-0.0083,-0.334,2.4885,"Oct 15, 13",0.1991871885432291
