date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-06-28,25,31.2,24.75,26,4009631,4009631,26,0,27.2233,"Jun 28, 18",0
2018-06-29,26.31,31,26.31,29.9,665179,665179,3.9,15,29.2311,"Jun 29, 18",0.14999999999999994
2018-07-02,29.46,30.5,29.01,30.01,330108,330108,0.11,0.368,29.7906,"Jul 2, 18",0.15423076923076928
2018-07-03,30.41,34.8,30.37,32.94,426757,426757,2.93,9.763,32.1617,Jul 3,0.2669230769230768
2018-07-05,34,34.65,33,34.01,235536,235536,1.07,3.248,33.6368,Jul 5,0.308076923076923
2018-07-06,34.01,34.7059,30.41,30.5,234411,234411,-3.51,-10.32,32.7265,Jul 6,0.17307692307692307
2018-07-09,30.76,31.36,30.061,31.07,65104,65104,0.57,1.869,30.781,Jul 9,0.195
2018-07-10,31.07,33.25,31.005,32.86,71506,71506,1.79,5.761,32.1559,Jul 10,0.26384615384615384
2018-07-11,32.86,32.86,30.87,30.99,77214,77214,-1.87,-5.691,31.7341,Jul 11,0.19192307692307686
2018-07-12,31.58,32.5759,30,30.82,48684,48684,-0.17,-0.549,30.8663,Jul 12,0.1853846153846154
2018-07-13,30.689,30.689,28.53,29.1,279957,279957,-1.72,-5.581,29.1489,Jul 13,0.11923076923076928
2018-07-16,29.1,30.3435,28.655,29.03,125231,125231,-0.07,-0.241,29.0332,Jul 16,0.11653846153846158
2018-07-17,29.31,29.999,27.31,28.57,106474,106474,-0.46,-1.585,28.8415,Jul 17,0.09884615384615386
2018-07-18,29,29.4076,26.77,28.8,137053,137053,0.23,0.805,28.4423,Jul 18,0.10769230769230773
2018-07-19,29.25,30.57,28.175,29.89,93215,93215,1.09,3.785,29.4101,Jul 19,0.14961538461538465
2018-07-20,29.51,30.7069,29.26,29.5,75954,75954,-0.39,-1.305,29.6018,Jul 20,0.1346153846153846
2018-07-23,28.43,29.53,26.55,29.25,48916,48916,-0.25,-0.847,28.4573,Jul 23,0.125
2018-07-24,29.45,29.8057,26.94,27.1,44619,44619,-2.15,-7.35,27.7677,Jul 24,0.042307692307692366
2018-07-25,27.18,28.485,26.55,27.06,94712,94712,-0.04,-0.148,27.3053,Jul 25,0.04076923076923072
2018-07-26,26.77,27.56,25.06,26.22,291200,291200,-0.84,-3.104,25.9966,Jul 26,0.008461538461538418
2018-07-27,25.5,26,23,24.36,194548,194548,-1.86,-7.094,24.7633,Jul 27,-0.0630769230769231
2018-07-30,23.47,24,23,23.18,126568,126568,-1.18,-4.844,23.2171,Jul 30,-0.10846153846153847
2018-07-31,22.59,24,22,23.65,152048,152048,0.47,2.028,23.2926,Jul 31,-0.09038461538461544
2018-08-01,23.86,23.92,21.87,22.97,126058,126058,-0.68,-2.875,23.2432,Aug 1,-0.11653846153846158
2018-08-02,22.79,25.89,22,22.5,279640,279640,-0.47,-2.046,23.3668,Aug 2,-0.1346153846153846
