date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,15.8602,15.9369,15.7357,15.7836,2166328,2166328,-0.134165,-0.843,15.8292,"Aug 5, 13",0
2013-08-06,15.774,15.9082,15.5823,15.6686,3009660,3009660,-0.114998,-0.729,15.678,"Aug 6, 13",-0.007286043741605224
2013-08-07,15.5919,15.659,15.429,15.5344,1896970,1896970,-0.134166,-0.856,15.5702,"Aug 7, 13",-0.015788540003547992
2013-08-08,15.6686,15.7357,15.4769,15.4865,1230785,1230785,-0.047917,-0.308,15.5412,"Aug 8, 13",-0.01882333561418183
2013-08-09,15.4194,15.5152,15.3715,15.5057,1711649,1711649,0.019168,0.124,15.4564,"Aug 9, 13",-0.017606883093844287
2013-08-12,15.4386,15.8507,15.3907,15.8027,2199088,2199088,0.297079,1.916,15.7369,"Aug 12, 13",0.0012101168301274674
2013-08-13,15.7932,15.8986,15.6782,15.8794,1891749,1891749,0.076667,0.485,15.804,"Aug 13, 13",0.00606959122126768
2013-08-14,15.8411,15.9752,15.7548,15.7932,1344553,1344553,-0.086249,-0.543,15.8474,"Aug 14, 13",0.0006082262601688283
2013-08-15,15.6111,15.6111,15.2948,15.2948,1887450,1887450,-0.49833,-3.155,15.387,"Aug 15, 13",-0.030968853746927157
2013-08-16,15.2852,15.4961,15.2661,15.314,1915221,1915221,0.019167,0.125,15.3618,"Aug 16, 13",-0.029752401226589613
2013-08-19,15.3236,15.3523,14.9882,15.0169,1946280,1946280,-0.297079,-1.94,15.0951,"Aug 19, 13",-0.04857573684077145
2013-08-20,15.0361,15.1511,14.9594,15.0744,2352161,2352161,0.057501,0.383,15.0992,"Aug 20, 13",-0.04493271496996878
2013-08-21,15.0361,15.1271,14.8636,14.9402,1449776,1449776,-0.134167,-0.89,15.002,"Aug 21, 13",-0.05343521123191154
2013-08-22,14.9882,15.1894,14.969,15.1607,1064988,1064988,0.220414,1.475,15.1018,"Aug 22, 13",-0.03946501431865985
2013-08-23,15.2373,15.3044,15.1415,15.2373,1125670,1125670,0.076667,0.506,15.2461,"Aug 23, 13",-0.034611875617729826
2013-08-26,15.2086,15.2852,15.1032,15.1032,1609297,1609297,-0.134166,-0.881,15.1529,"Aug 26, 13",-0.04310803618946252
2013-08-27,14.9211,14.9498,14.6623,14.6911,2049207,2049207,-0.412079,-2.728,14.7524,"Aug 27, 13",-0.06921741554524946
2013-08-28,14.6815,14.8061,14.5857,14.6528,2088714,2088714,-0.038329,-0.261,14.6776,"Aug 28, 13",-0.07164398489571458
2013-08-29,14.624,14.8827,14.6144,14.8061,1642653,1642653,0.153329,1.046,14.8136,"Aug 29, 13",-0.06193137180364423
2013-08-30,14.8636,14.8636,14.5857,14.7103,1489294,1489294,-0.095833,-0.647,14.6995,"Aug 30, 13",-0.06800096302491192
2013-09-03,14.9211,15.0648,14.6432,14.8061,1369243,1369243,0.095833,0.651,14.7986,"Sep 3, 13",-0.06193137180364423
2013-09-04,14.8348,15.2469,14.6623,15.2086,1547065,1547065,0.402494,2.718,15.1099,"Sep 4, 13",-0.036430218708026006
2013-09-05,15.199,15.4098,15.1463,15.3523,1602514,1602514,0.143751,0.945,15.3085,"Sep 5, 13",-0.027325831876124602
2013-09-06,15.3811,15.4098,15.1127,15.2469,1761682,1761682,-0.105418,-0.687,15.2876,"Sep 6, 13",-0.034003649357561
2013-09-09,15.314,15.544,15.2852,15.4865,1668758,1668758,0.23958,1.571,15.3966,"Sep 9, 13",-0.01882333561418183
2013-09-10,15.5727,15.7548,15.5248,15.6877,1875546,1875546,0.201249,1.3,15.6902,"Sep 10, 13",-0.006075926911477757
2013-09-11,15.6015,15.7357,15.4482,15.6877,2254459,2254459,0,0,15.6371,"Sep 11, 13",-0.006075926911477757
2013-09-12,15.6877,15.6877,15.4769,15.4961,2088865,2088865,-0.191665,-1.222,15.5954,"Sep 12, 13",-0.018215109354013003
2013-09-13,15.5248,15.5919,15.3332,15.4482,1540714,1540714,-0.047914,-0.309,15.4095,"Sep 13, 13",-0.021249904964646845
2013-09-16,15.6111,15.6437,15.4673,15.5344,1645987,1645987,0.086247,0.558,15.5624,"Sep 16, 13",-0.015788540003547992
2013-09-17,15.6207,15.6686,15.5057,15.5536,1620091,1620091,0.019164,0.123,15.57,"Sep 17, 13",-0.014572087483210448
2013-09-18,15.5727,15.6398,15.4434,15.6015,1801455,1801455,0.047919,0.308,15.5599,"Sep 18, 13",-0.011537291872576608
2013-09-19,15.6686,15.7692,15.5727,15.6686,2452765,2452765,0.067083,0.43,15.6765,"Sep 19, 13",-0.007286043741605224
2013-09-20,15.6973,15.7548,15.5919,15.6686,3682679,3682679,0,0,15.6794,"Sep 20, 13",-0.007286043741605224
2013-09-23,15.6686,15.7261,15.4386,15.6015,2147722,2147722,-0.067083,-0.428,15.6125,"Sep 23, 13",-0.011537291872576608
2013-09-24,15.6782,15.9944,15.5536,15.8602,4324773,4324773,0.258748,1.658,15.7944,"Sep 24, 13",0.004853138700930136
2013-09-25,15.8027,15.9513,15.5727,15.8315,3190425,3190425,-0.028751,-0.181,15.7683,"Sep 25, 13",0.00303479561063384
2013-09-26,15.8411,15.9273,15.7069,15.774,2894889,2894889,-0.057499,-0.363,15.8082,"Sep 26, 13",-0.0006082262601688283
2013-09-27,15.7165,16.0519,15.6356,16.0136,2694421,2694421,0.239581,1.519,15.9537,"Sep 27, 13",0.014572087483210448
2013-09-30,15.8315,15.9082,15.6015,15.8315,2217234,2217234,-0.182082,-1.137,15.8164,"Sep 30, 13",0.00303479561063384
2013-10-01,15.8027,16.0136,15.6877,15.8411,2006079,2006079,0.009585,0.061,15.831,"Oct 1, 13",0.0036430218708026684
2013-10-02,15.7069,15.8507,15.544,15.5919,2394270,2394270,-0.249163,-1.573,15.6324,"Oct 2, 13",-0.012145518132745324
2013-10-03,15.4769,15.5009,15.1319,15.2469,3080523,3080523,-0.344999,-2.213,15.2548,"Oct 3, 13",-0.034003649357561
2013-10-04,15.2661,15.4386,15.1127,15.4194,2818025,2818025,0.172498,1.131,15.3368,"Oct 4, 13",-0.023074583745153216
2013-10-07,15.1894,15.4865,15.0936,15.3907,3270775,3270775,-0.028747,-0.186,15.3793,"Oct 7, 13",-0.0248929268354494
2013-10-08,15.4002,15.4817,15.1415,15.1894,3109484,3109484,-0.20125,-1.308,15.2833,"Oct 8, 13",-0.03764667122836366
2013-10-09,15.2469,15.4865,15.1032,15.3427,2647101,2647101,0.153333,1.009,14.9536,"Oct 9, 13",-0.027934058136293315
2013-10-10,15.5536,15.8219,15.5488,15.7644,1868700,1868700,0.421664,2.748,15.7443,"Oct 10, 13",-0.0012164525203375441
2013-10-11,15.6015,16.0807,15.5536,16.0423,2449125,2449125,0.27791,1.763,15.9436,"Oct 11, 13",0.016390430573506743
2013-10-14,15.8986,16.3298,15.889,16.2436,2217742,2217742,0.201248,1.254,16.0311,"Oct 14, 13",0.029144174966420897
2013-10-15,16.0136,16.1861,15.865,15.889,1915630,1915630,-0.354579,-2.183,16.0005,"Oct 15, 13",0.006677817481436396
2013-10-16,15.9848,16.1286,15.9369,16.0807,1143198,1143198,0.191665,1.206,16.2929,"Oct 16, 13",0.01882333561418183
2013-10-17,15.9657,16.1956,15.8602,16.1573,1264529,1264529,0.076665,0.477,16.1034,"Oct 17, 13",0.023676474315111856
2013-10-18,16.234,16.3298,16.095,16.2915,1838925,1838925,0.134164,0.83,16.241,"Oct 18, 13",0.03217897057705462
2013-10-21,16.3011,16.3586,16.1669,16.2627,965824,965824,-0.028749,-0.176,16.2484,"Oct 21, 13",0.03035429179654825
