date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,35.0104,35.4847,35.0104,35.3726,214134,214134,0.258699,0.737,35.3359,"Aug 5, 13",0
2013-08-06,35.4244,35.7952,35.3467,35.5968,239250,239250,0.224203,0.634,35.5604,"Aug 6, 13",0.00633823920209437
2013-08-07,35.295,35.4502,34.8552,35.2174,214052,214052,-0.37942,-1.066,35.1763,"Aug 7, 13",-0.004387576825000161
2013-08-08,34.769,35.1657,33.8635,33.9756,486166,486166,-1.2418,-3.526,34.1976,"Aug 8, 13",-0.03949384551884788
2013-08-09,33.8635,34.2257,33.8568,34.0015,164759,164759,0.025868,0.076,34.0314,"Aug 9, 13",-0.03876164036570675
2013-08-12,33.898,34.1136,33.6048,33.6307,137768,137768,-0.370799,-1.091,33.7647,"Aug 12, 13",-0.049244330357395304
2013-08-13,33.7428,33.8118,32.915,33.2082,307470,307470,-0.422539,-1.256,33.1897,"Aug 13, 13",-0.061188603608442714
2013-08-14,33.1651,33.3893,32.9667,33.1996,346895,346895,-0.008625,-0.026,33.1944,"Aug 14, 13",-0.06143172964384868
2013-08-15,33.1909,33.2082,32.7899,32.8891,257206,257206,-0.310439,-0.935,32.968,"Aug 15, 13",-0.07020971034077222
2013-08-16,32.777,32.9926,32.4062,32.708,163127,163127,-0.181085,-0.551,32.7843,"Aug 16, 13",-0.07532949231891352
2013-08-19,32.4062,32.6347,32.1906,32.3459,188581,188581,-0.362177,-1.107,32.3805,"Aug 19, 13",-0.08556622922827269
2013-08-20,32.2769,33.1478,32.0785,33.0443,170073,170073,0.698483,2.159,32.7976,"Aug 20, 13",-0.06582213351577205
2013-08-21,33.0271,33.1133,32.6304,32.8115,136428,136428,-0.23283,-0.705,32.8488,"Aug 21, 13",-0.0724034987532722
2013-08-22,32.9667,33.3548,32.8115,33.1478,87230,87230,0.336311,1.025,33.0426,"Aug 22, 13",-0.06289613995013095
2013-08-23,33.1651,33.5014,32.9926,33.4927,81580,81580,0.344931,1.041,33.2844,"Aug 23, 13",-0.05314565511158352
2013-08-26,33.5531,34.3965,33.5272,34.1567,174126,174126,0.663989,1.982,34.1507,"Aug 26, 13",-0.03437406354070659
2013-08-27,33.7859,34.0533,33.717,33.9756,199434,199434,-0.181088,-0.53,33.913,"Aug 27, 13",-0.03949384551884788
2013-08-28,33.9498,34.3982,33.8722,34.0964,110780,110780,0.120726,0.355,34.199,"Aug 28, 13",-0.0360787728354714
2013-08-29,34.0015,34.562,34.0015,34.3551,172927,172927,0.258697,0.759,34.3254,"Aug 29, 13",-0.02876520244483013
2013-08-30,34.493,34.493,34.105,34.4499,220482,220482,0.094858,0.276,34.31,"Aug 30, 13",-0.026085161961518208
