date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2016-07-29,27.66,28,24.2601,25.5,5135118,5135118,25.5,0,26.3767,"Jul 29, 16",0
2016-08-01,26.51,27.4,25.68,26.02,1008266,1008266,0.52,2.039,26.6374,"Aug 1, 16",0.020392156862745082
2016-08-02,26.04,26.4068,25.03,25.85,332613,332613,-0.17,-0.653,25.4534,"Aug 2, 16",0.013725490196078487
2016-08-03,26.21,26.34,25.25,25.52,207560,207560,-0.33,-1.277,25.4895,"Aug 3, 16",0.0007843137254901793
2016-08-04,25.5,25.88,25,25.78,143061,143061,0.26,1.019,25.5161,"Aug 4, 16",0.01098039215686279
2016-08-05,26,26.05,25.09,25.62,281444,281444,-0.16,-0.621,25.5936,"Aug 5, 16",0.004705882352941215
2016-08-08,24.84,25.57,24.8,25.12,296838,296838,-0.5,-1.952,25.0771,"Aug 8, 16",-0.014901960784313686
2016-08-09,25.39,25.81,25.05,25.4,252319,252319,0.28,1.115,25.3988,"Aug 9, 16",-0.003921568627451036
2016-08-10,25.25,25.26,24.61,24.87,459681,459681,-0.53,-2.087,24.9275,"Aug 10, 16",-0.024705882352941137
2016-08-11,25.15,25.28,24.795,24.96,217080,217080,0.09,0.362,25.0245,"Aug 11, 16",-0.021176470588235262
2016-08-12,25.1,25.17,24.586,25.11,186555,186555,0.15,0.601,24.996,"Aug 12, 16",-0.015294117647058845
2016-08-15,25.48,32.89,25.48,31.11,2228016,2228016,6,23.895,29.9335,"Aug 15, 16",0.21999999999999997
2016-08-16,32.68,34.489,30.302,30.85,970112,970112,-0.26,-0.836,31.84,"Aug 16, 16",0.2098039215686275
2016-08-17,30.8,30.8,28.5,29.3,496291,496291,-1.55,-5.024,29.6557,"Aug 17, 16",0.14901960784313728
2016-08-18,29.75,29.75,25.79,26.39,667894,667894,-2.91,-9.932,27.5185,"Aug 18, 16",0.03490196078431375
2016-08-19,26.16,28.76,25.5,27.56,760111,760111,1.17,4.433,27.5022,"Aug 19, 16",0.08078431372549015
2016-08-22,28.31,31.49,27.68,29.8,1338337,1338337,2.24,8.128,29.7785,"Aug 22, 16",0.1686274509803922
2016-08-23,29.72,30.77,28.27,29.89,470994,470994,0.09,0.302,29.6305,"Aug 23, 16",0.17215686274509806
2016-08-24,29.38,29.97,28.27,28.6,396325,396325,-1.29,-4.316,28.8566,"Aug 24, 16",0.12156862745098045
2016-08-25,28.79,30.7,28.21,30.18,1203158,1203158,1.58,5.524,29.5989,"Aug 25, 16",0.18352941176470586
2016-08-26,25.7,29.275,25.34,28.98,1964328,1964328,-1.2,-3.976,27.6249,"Aug 26, 16",0.13647058823529412
2016-08-29,28.65,29.63,27.58,27.66,400729,400729,-1.32,-4.555,28.2742,"Aug 29, 16",0.08470588235294119
2016-08-30,27.33,27.7,25.841,25.96,524891,524891,-1.7,-6.146,26.5137,"Aug 30, 16",0.018039215686274545
2016-08-31,25.8,27,25.5105,25.6,184628,184628,-0.36,-1.387,26.0465,"Aug 31, 16",0.003921568627451036
2016-09-01,25.5,25.79,24.81,25.27,471542,471542,-0.33,-1.289,25.2758,"Sep 1, 16",-0.009019607843137272
2016-09-02,25.49,26.329,24.8815,25.08,691506,691506,-0.19,-0.752,25.3591,"Sep 2, 16",-0.016470588235294185
2016-09-06,25.11,25.68,24.8,25.29,311892,311892,0.21,0.837,25.1752,"Sep 6, 16",-0.008235294117647092
2016-09-07,25.79,26.343,25.35,25.88,400747,400747,0.59,2.333,25.8232,"Sep 7, 16",0.014901960784313686
2016-09-08,26,26.768,25.66,26.61,411687,411687,0.73,2.821,26.2087,"Sep 8, 16",0.04352941176470586
2016-09-09,26.81,27.216,26.01,26.23,421023,421023,-0.38,-1.428,26.4355,"Sep 9, 16",0.028627450980392172
2016-09-12,26,27.225,25.37,26.45,441317,441317,0.22,0.839,26.4889,"Sep 12, 16",0.037254901960784285
2016-09-13,25.9,27.14,25.4,27,284306,284306,0.55,2.079,26.541,"Sep 13, 16",0.058823529411764705
2016-09-14,27,27.98,26.5,27.31,274288,274288,0.31,1.148,27.3103,"Sep 14, 16",0.07098039215686269
2016-09-15,27.41,28.2,26.871,28.13,321048,321048,0.82,3.003,27.4916,"Sep 15, 16",0.10313725490196074
2016-09-16,27.84,28,26.52,26.67,239364,239364,-1.46,-5.19,26.9988,"Sep 16, 16",0.04588235294117654
2016-09-19,26.91,27.13,25.3,25.4,305872,305872,-1.27,-4.762,25.9601,"Sep 19, 16",-0.003921568627451036
2016-09-20,25.4,25.7,25,25.1,116059,116059,-0.3,-1.181,25.1576,"Sep 20, 16",-0.015686274509803866
2016-09-21,25.1,25.615,24.7,25.34,226806,226806,0.24,0.956,25.1194,"Sep 21, 16",-0.0062745098039215744
2016-09-22,25.41,25.8,24.85,25.04,251743,251743,-0.3,-1.184,25.1768,"Sep 22, 16",-0.018039215686274545
2016-09-23,25.1,25.32,24.87,25.04,204881,204881,0,0,25.0701,"Sep 23, 16",-0.018039215686274545
2016-09-26,24.89,26.88,24.89,26.5,351241,351241,1.46,5.831,26.0918,"Sep 26, 16",0.0392156862745098
2016-09-27,26.47,26.8,25.52,26.36,297971,297971,-0.14,-0.528,26.1574,"Sep 27, 16",0.03372549019607841
2016-09-28,26.5,26.9299,25.4567,25.51,229311,229311,-0.85,-3.225,26.0963,"Sep 28, 16",0.00039215686274515933
2016-09-29,25.56,25.8499,25.1,25.11,103474,103474,-0.4,-1.568,25.3625,"Sep 29, 16",-0.015294117647058845
2016-09-30,25,26.31,24.9007,26.16,226934,226934,1.05,4.182,25.4967,"Sep 30, 16",0.025882352941176478
2016-10-03,26.16,26.51,25.5325,25.68,48628,48628,-0.48,-1.835,25.8393,"Oct 3, 16",0.007058823529411754
2016-10-04,25.5,25.9906,25.26,25.5,121443,121443,-0.18,-0.701,25.578,"Oct 4, 16",0
2016-10-05,25.62,25.72,25,25.15,127019,127019,-0.35,-1.373,25.2889,"Oct 5, 16",-0.013725490196078487
