date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,29.8445,30.2239,29.6155,29.7801,47166,47166,-0.350694,-1.164,29.785,"Aug 5, 13",0
2013-08-06,29.6227,30.5531,28.7996,30.1165,94115,94115,0.33638,1.13,29.6845,"Aug 6, 13",0.011296133995520418
2013-08-07,29.7014,30.3956,28.9857,30.3169,57009,57009,0.200395,0.665,29.9035,"Aug 7, 13",0.018025459954802016
2013-08-08,30.274,30.683,29.5011,29.7086,29308,29308,-0.608343,-2.007,29.8351,"Aug 8, 13",-0.0024009321661109377
2013-08-09,29.5583,30.0449,29.4938,29.6155,30160,30160,-0.093041,-0.313,29.6919,"Aug 9, 13",-0.005527180902683338
2013-08-12,29.6728,29.6728,29.1718,29.2791,23726,23726,-0.336376,-1.136,29.4122,"Aug 12, 13",-0.016823314898203875
2013-08-13,29.272,29.272,28.8212,28.9356,32667,32667,-0.343534,-1.173,28.9649,"Aug 13, 13",-0.02835786313679269
2013-08-14,29.5225,29.6227,27.6974,28.2485,79782,79782,-0.687071,-2.374,28.5,"Aug 14, 13",-0.051430317561055906
2013-08-15,28.0481,28.2271,27.9265,27.9408,20019,20019,-0.307749,-1.089,28.0435,"Aug 15, 13",-0.061762720743046576
2013-08-16,27.9122,29.4795,27.7533,29.3579,109831,109831,1.4171,5.072,29.0952,"Aug 16, 13",-0.014177252594853614
2013-08-19,29.4938,29.4938,29.0215,29.1145,17699,17699,-0.243337,-0.829,29.196,"Aug 19, 13",-0.022350495800887212
2013-08-20,28.9929,29.501,28.8426,29.0358,25284,25284,-0.078727,-0.27,29.1814,"Aug 20, 13",-0.02499320015715201
2013-08-21,28.8927,29.2935,28.8426,29.0358,32491,32491,0,0,29.1532,"Aug 21, 13",-0.02499320015715201
2013-08-22,28.9714,29.8231,28.9714,29.3507,34257,34257,0.314907,1.085,29.3668,"Aug 22, 13",-0.014419024785007475
2013-08-23,29.4151,29.8231,29.1002,29.773,19024,19024,0.422262,1.439,29.5775,"Aug 23, 13",-0.00023841424306839858
2013-08-26,29.8231,30.2167,29.6298,30.1666,39202,39202,0.39363,1.322,30.0166,"Aug 26, 13",0.012978465485340816
2013-08-27,30.231,30.5888,29.8159,30.1451,32312,32312,-0.021468,-0.071,30.1997,"Aug 27, 13",0.012256506861964816
2013-08-28,30.2024,30.3913,29.8875,30.3241,19840,19840,0.178922,0.594,30.2303,"Aug 28, 13",0.018267232144955875
2013-08-29,30.0521,30.2024,29.6162,29.8803,15260,15260,-0.443731,-1.463,30.0093,"Aug 29, 13",0.0033646629796406794
2013-08-30,29.773,29.9447,29.4512,29.5439,17636,17636,-0.336377,-1.126,29.724,"Aug 30, 13",-0.007931471015879737
2013-09-03,29.9161,30.1952,29.4509,29.9591,22769,22769,0.415105,1.405,29.9126,"Sep 3, 13",0.0060107252829909395
