date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-08-05,46.2527,46.2911,45.5947,45.7608,591779,394519,-0.491916,-1.064,45.7929,"Aug 5, 13",0
2013-08-06,45.7544,45.7544,45.1028,45.4158,683010,455340,-0.344975,-0.754,45.4089,"Aug 6, 13",-0.007539203860072507
2013-08-07,45.32,45.4031,44.9559,45.2497,383279,255519,-0.166102,-0.366,45.2637,"Aug 7, 13",-0.011168948095313151
2013-08-08,45.5181,45.7864,45.1411,45.4606,344142,229428,0.21082,0.466,45.4825,"Aug 8, 13",-0.00656019999650364
2013-08-09,45.4222,45.6203,45.2114,45.4606,442146,294764,0,0,45.4757,"Aug 9, 13",-0.00656019999650364
2013-08-12,45.3009,45.5436,45.2114,45.4478,452673,301782,-0.012775,-0.028,45.4218,"Aug 12, 13",-0.006839915386094701
2013-08-13,45.5308,45.7928,45.3136,45.6905,420729,280486,0.24276,0.534,45.668,"Aug 13, 13",-0.001536249366269889
2013-08-14,45.5947,45.716,45.3328,45.4542,272819,181879,-0.236375,-0.517,45.4884,"Aug 14, 13",-0.00670005769129917
2013-08-15,45.1731,45.2753,44.7642,44.9814,412932,275288,-0.472747,-1.04,45.0173,"Aug 15, 13",-0.017032044894320083
2013-08-16,44.9303,45.7033,44.9048,45.3136,451344,300896,0.332202,0.739,45.2783,"Aug 16, 13",-0.009772556423838792
2013-08-19,45.2561,45.4222,44.7131,44.7195,717608,478405,-0.594132,-1.311,44.9113,"Aug 19, 13",-0.02275528399853164
2013-08-20,44.7898,45.205,44.4461,45.0006,514404,342936,0.281095,0.629,44.9905,"Aug 20, 13",-0.016612471809933492
2013-08-21,44.9112,45.122,44.5023,44.6939,553403,368935,-0.30665,-0.681,44.8086,"Aug 21, 13",-0.02331471477771376
2013-08-22,44.8409,45.7544,44.7259,45.5564,396534,264356,0.862448,1.93,45.3862,"Aug 22, 13",-0.004466705127532884
2013-08-23,45.5947,45.9141,45.2114,45.5628,516809,344539,0.00639,0.014,45.4501,"Aug 23, 13",-0.0043268474327371985
2013-08-26,45.5819,45.6969,45.2625,45.4031,513866,342577,-0.159713,-0.351,45.4682,"Aug 26, 13",-0.007816733973182314
2013-08-27,45.0389,45.0453,44.1254,44.1445,686840,457893,-1.2585,-2.772,44.4474,"Aug 27, 13",-0.03532062376531884
2013-08-28,44.1765,44.5278,44.0104,44.3106,597306,398204,0.166101,0.376,44.3786,"Aug 28, 13",-0.031690879530078195
2013-08-29,44.2659,44.8537,44.0551,44.4831,452984,301989,0.172489,0.389,44.5825,"Aug 29, 13",-0.02792127760004202
2013-08-30,44.4512,44.6428,43.8826,44.0104,567387,378258,-0.472748,-1.063,44.1135,"Aug 30, 13",-0.038251079526581834
2013-09-03,44.5151,44.8856,43.9145,44.1893,558783,372522,0.17888,0.406,44.2634,"Sep 3, 13",-0.03434161990174998
2013-09-04,44.202,45.0581,44.1733,44.8153,578384,385589,0.626067,1.417,44.8008,"Sep 4, 13",-0.02066178912956073
2013-09-05,44.7898,45.3583,44.7387,45.2753,527123,351415,0.459976,1.026,45.1768,"Sep 5, 13",-0.010609517316130876
2013-09-06,45.4606,45.467,44.5406,45.0709,397712,265141,-0.204432,-0.452,45.101,"Sep 6, 13",-0.015076222443663604
2013-09-09,45.0709,45.6458,44.9686,45.6331,273731,182487,0.562186,1.247,45.4088,"Sep 9, 13",-0.002790598066467465
2013-09-10,45.9269,46.0994,45.7417,46.0866,494885,329923,0.453585,0.994,45.9662,"Sep 10, 13",0.007119630775685605
2013-09-11,46.0994,46.4061,45.8567,46.3677,476019,317346,0.281095,0.61,46.2048,"Sep 11, 13",0.013262442964283753
2013-09-12,46.3805,46.3805,45.9078,46.093,267950,178633,-0.274705,-0.592,46.1088,"Sep 12, 13",0.007259488470481291
